"","COL.Open","COL.High","COL.Low","COL.Close","COL.Volume"
"2011-09-15",50.95,52.17,50.82,52.14,2429502
"2011-09-22",50.96,51.99,50.51,51.71,2987517
"2011-09-29",53.91,54.34,52.69,53.57,2006935
"2011-10-06",53.97,55.22,53.97,54.93,1411912
"2011-10-13",56.07,56.31,54.86,55.98,1437798
"2011-10-20",53.74,54.34,53.31,53.86,1384266
"2011-10-27",55.82,56.83,55.34,55.96,1670455
"2011-11-03",53.89,55.28,53.51,55.15,1384113
"2011-11-10",54.96,55.64,54.72,54.95,1168015
"2011-11-17",54,54.14,52.45,53.14,1337857
"2011-12-01",54.95,55.61,54.8,55.42,662537
"2011-12-08",54.13,54.5,52.93,53.08,1146242
"2011-12-15",53.65,53.92,53.11,53.59,1282551
"2011-12-22",55.15,55.82,54.92,55.66,746050
"2011-12-29",54.93,55.62,54.85,55.35,1045831
"2012-01-05",56.08,56.45,55.54,56.42,912617
"2012-01-12",57.2,57.71,57.13,57.5,1093757
"2012-01-19",59.71,61.46,57.6,59.96,3315675
"2012-01-26",59.85,59.85,58.39,58.62,1049977
"2012-02-02",59.11,59.11,58.4,58.77,614218
"2012-02-09",59.19,59.5,58.89,58.99,671759
"2012-02-16",58.33,58.85,57.95,58.77,515237
"2012-02-23",59.09,59.51,58.99,59.4,581310
"2012-03-01",59.36,59.66,58.97,59.62,915539
"2012-03-08",58.44,59.02,58.22,58.64,762477
"2012-03-15",58.76,58.96,58.52,58.9,723374
"2012-03-22",57.23,57.49,56.5,57.29,772504
"2012-03-29",57.46,57.68,57.04,57.58,501375
"2012-04-05",56.6,57,55.96,56.19,989790
"2012-04-12",56.09,57.34,55.99,57.21,946409
"2012-04-19",57.05,57.22,55.76,55.85,4672832
"2012-04-26",54.99,55.73,54.9,55.63,1230995
"2012-05-03",55.03,55.09,54.53,54.59,925660
"2012-05-10",53.14,53.2,52.14,52.26,1155535
"2012-05-17",50.97,51.32,50.36,50.39,1616148
"2012-05-24",51.39,51.39,50.1,50.62,1041583
"2012-05-31",50.41,50.62,49.97,50.37,1622395
"2012-06-07",51.11,51.38,50.41,50.45,1407115
"2012-06-14",49.79,50.34,49.61,50.07,1419761
"2012-06-21",49.38,49.63,48.06,48.26,2053441
"2012-06-28",47.4,47.82,46.95,47.75,824891
"2012-07-05",49.33,49.44,48.85,49.11,593108
"2012-07-12",47.86,48.16,47.69,47.96,1035957
"2012-07-19",49.09,51.09,49.03,50.63,1537504
"2012-07-26",49.31,49.71,48.64,49.61,1208521
"2012-08-02",49.96,50.04,48.7,49.55,971357
"2012-08-09",50.69,50.72,50,50.31,738101
"2012-08-16",49.3,50.12,49.3,50.02,881771
"2012-08-23",50.09,50.11,49.33,49.38,913789
"2012-08-30",48.71,48.86,48.17,48.65,671233
"2012-09-06",48.98,49.84,48.98,49.78,578502
"2012-09-13",52.67,53.16,51.91,52.98,1104746
"2012-09-20",52.31,52.47,51.84,52.39,763887
"2012-09-27",52.85,54.34,52.6,54.14,1830415
"2012-10-04",53.86,54.16,53.27,53.6,1178519
"2012-10-11",52.98,53.32,52.79,52.83,732837
"2012-10-18",54.31,54.99,53.88,54.81,894765
"2012-10-25",53.18,53.36,52.24,53.31,1336762
"2012-11-01",53.79,54.5,53.44,54.27,1710807
"2012-11-08",53.78,54.05,53.18,53.43,869310
"2012-11-15",53.74,54.83,53.68,54.41,1915400
"2012-11-29",56.13,56.94,55.53,56.9,1616624
"2012-12-06",56.01,56.16,55.29,55.9,885350
"2012-12-13",56.96,57.25,56.54,56.58,601351
"2012-12-20",58.62,58.7,58.22,58.4,948116
"2012-12-27",58.21,58.29,57.56,58.14,673333
"2013-01-03",59.3,59.86,59.02,59.64,666794
"2013-01-10",59.8,59.83,59.25,59.53,479200
"2013-01-17",59.33,60.33,59.18,60.15,1095215
"2013-01-24",59.8,60.1,59.55,59.74,872507
"2013-01-31",59.05,59.36,58.8,58.88,1293607
"2013-02-07",59.35,60.32,59.25,60.18,1180586
"2013-02-14",58.84,59.54,58.64,59.13,637865
"2013-02-21",58.58,58.72,57.75,57.89,1281212
"2013-02-28",60,60.55,59.9,60.11,887016
"2013-03-07",60.22,61.04,60.04,60.69,867529
"2013-03-14",63.38,63.78,62.99,63.2,1061051
"2013-03-21",63.41,63.77,62.66,63.03,535818
"2013-03-28",62.68,63.22,62.44,63.12,1298722
"2013-04-04",62.24,62.7,62.15,62.41,979806
"2013-04-11",63.77,63.93,63.48,63.69,612568
"2013-04-18",59.69,59.8,58.79,59.68,1164441
"2013-04-25",61.71,62.45,61.65,61.92,1169181
"2013-05-02",62.5,63.51,62.5,63.4,643898
"2013-05-09",65.18,65.68,64.95,65.31,527192
"2013-05-16",66.29,66.62,65.66,65.66,408283
"2013-05-23",65.47,66.47,65.37,66.05,551432
"2013-05-30",66.34,66.76,65.88,65.93,669663
"2013-06-06",63.9,64.74,63.63,64.72,550146
"2013-06-13",64.49,65.03,64.19,64.87,723638
"2013-06-20",63.16,63.36,62.07,62.36,825022
"2013-06-27",63,63.28,62.63,62.93,608149
"2013-07-11",67,67.6,67,67.56,556871
"2013-07-18",68.31,68.99,68.31,68.52,743781
"2013-07-25",70.89,71.23,70.35,70.97,559563
"2013-08-01",71.59,73.29,71.05,73.21,657184
"2013-08-08",74.76,75.25,74.25,74.64,468196
"2013-08-15",73.67,73.78,72.4,72.96,1071993
"2013-08-22",71.42,71.98,71.27,71.78,400229
"2013-08-29",70.84,71.7,70.62,71.43,345232
"2013-09-05",71.24,71.47,70.89,71.12,641540
"2013-09-12",72.41,73.28,72.41,72.79,407909
"2013-09-19",74.06,75.05,74.06,74.28,736765
"2013-09-26",68.95,69.32,68.52,68.93,1182400
