"","COP.Open","COP.High","COP.Low","COP.Close","COP.Volume"
"2014-09-15",78.24,79.62,77.96,79.4,3919955
"2014-09-16",79.5,81.28,79.32,80.75,6172455
"2014-09-17",81,81.09,80.37,80.64,4242455
"2014-09-18",80.84,80.87,79.65,79.97,4424210
"2014-09-19",80.46,81,80.31,80.56,8054297
"2014-09-22",80.33,80.33,79.41,79.68,5235609
"2014-09-23",79.54,79.84,78.86,78.91,4344977
"2014-09-24",78.85,79.08,77.59,78.72,6281242
"2014-09-25",78.7,78.7,77.57,77.57,4911376
"2014-09-26",77.6,78.47,77.12,78.12,5259711
"2014-09-29",77.5,77.95,76.78,77.84,5887615
"2014-09-30",77.32,77.64,75.92,76.52,8403204
"2014-10-01",76.27,76.52,74.58,75,8719620
"2014-10-02",74.57,75.13,73.37,74.69,7414365
"2014-10-03",74.95,75.17,74.11,74.77,5567035
"2014-10-06",75.26,75.74,74.32,74.96,6386181
"2014-10-07",74.62,75.34,73.89,73.91,7296074
"2014-10-08",73.68,74.63,72.66,74.53,11997059
"2014-10-09",73.45,73.57,71.4,71.44,10352063
"2014-10-10",71.4,71.9,69.91,70.36,10323438
"2014-10-13",70.12,70.62,68,68.07,8608693
"2014-10-14",68.27,68.62,65.91,66.2,13019223
"2014-10-15",63.79,66.35,63.56,66.25,16077927
"2014-10-16",64.96,67.37,64.89,66.93,12799471
"2014-10-17",67.93,70.02,67.5,68.08,11014164
"2014-10-20",68.18,68.96,67.33,68.83,6748732
"2014-10-21",70.07,70.84,69.65,70.59,9003438
"2014-10-22",71,71.45,69.38,69.44,9846120
"2014-10-23",70.79,70.92,69.7,70,7661103
"2014-10-24",69.99,70.26,69.11,70.07,5421797
"2014-10-27",69.02,69.16,68.26,68.83,7492099
"2014-10-28",69.08,70.28,68.69,70.22,5758627
"2014-10-29",71.91,72.15,70.21,70.75,7751965
"2014-10-30",69.37,71.91,69.25,71.35,7172921
"2014-10-31",71.59,72.24,70.07,72.15,9434291
"2014-11-03",72.26,72.57,70.47,70.56,9549852
"2014-11-04",69.2,69.84,68.21,68.77,10962362
"2014-11-05",69.95,70.25,68.98,69.88,7883395
"2014-11-06",69.72,71.35,69.49,71.32,7761070
"2014-11-07",71.44,72.31,71.4,72.16,7367183
"2014-11-10",72.82,73.22,71.46,71.6,7301758
"2014-11-11",71.52,71.95,71.07,71.75,5921902
"2014-11-12",71.36,71.88,71.09,71.2,5751498
"2014-11-13",70.78,71,69.54,70.35,7521128
"2014-11-14",70.57,71.46,70.49,71.41,5272667
"2014-11-17",71.03,71.77,70.61,71.42,5100622
"2014-11-18",71.53,72.15,71.07,71.67,5305708
"2014-11-19",72.36,72.48,71.32,72.13,6372640
"2014-11-20",72.13,73.25,72.13,73.21,5726331
"2014-11-21",74.47,74.68,73.18,73.64,8938190
"2014-11-24",73.56,73.79,72.66,73.33,6118599
"2014-11-25",73.9,73.91,71.57,71.73,8907118
"2014-11-26",71.75,71.75,70.55,70.83,7391574
"2014-11-28",67.7,68.14,65.65,66.07,11779117
"2014-12-01",65.93,67.9,65.4,67.77,14028722
"2014-12-02",67.33,69.58,67.24,69.21,11685591
"2014-12-03",69.66,71.22,69.28,70.8,11903955
"2014-12-04",70.16,70.43,68.68,69.31,10716385
"2014-12-05",69.37,69.37,67.46,67.85,9822100
"2014-12-08",66.98,67.13,64.88,65.03,10164162
"2014-12-09",64.35,66.25,63.37,64.96,12139816
"2014-12-10",63.91,64.15,62.83,63.54,9843149
"2014-12-11",63.3,65.45,63.3,63.61,8175137
"2014-12-12",62.69,63.79,62.31,62.45,8678360
"2014-12-15",63.28,63.5,61.5,61.69,9823230
"2014-12-16",61.44,64.98,60.84,63.22,12951452
"2014-12-17",64.14,67.67,64.01,66.94,15364054
"2014-12-18",69.22,69.84,66.66,69.75,15948472
"2014-12-19",69.63,71,68.63,70.98,17823411
"2014-12-22",70.08,70.45,68.49,69.52,9510071
"2014-12-23",70.32,71.37,69.8,71.05,8170917
"2014-12-24",70.54,70.63,68.94,70.13,3858100
"2014-12-26",70.55,70.79,69.52,69.88,3340081
"2014-12-29",70.45,70.68,69.55,70.11,5241497
"2014-12-30",69.61,70.2,69.27,69.93,4537924
"2014-12-31",69.34,69.75,68.7,69.06,5923617
"2015-01-02",68.5,69.48,68.23,68.92,5701787
"2015-01-05",67.71,67.98,65.43,65.64,10948884
"2015-01-06",65.29,66.6,62.88,62.93,18054690
"2015-01-07",64.01,64.23,62.85,63.35,12350537
"2015-01-08",64.85,65.49,63.9,64.93,10348337
"2015-01-09",64.94,65.34,64.01,64.92,7984136
"2015-01-12",64.15,64.27,62.61,63.07,8317112
"2015-01-13",63.19,63.83,61.51,62.44,10240869
"2015-01-14",61.82,62.78,60.85,62.62,10005362
"2015-01-15",63.61,63.87,61.38,61.41,9993989
"2015-01-16",61.75,63.48,61.48,63.08,10031369
"2015-01-20",62.81,63.28,61.76,63.19,6890502
"2015-01-21",63.89,64.78,63.23,64.54,7979715
"2015-01-22",65.1,65.58,64,65.3,8759536
"2015-01-23",65.35,65.71,64.64,64.65,6392948
"2015-01-26",64.89,66,63.89,65.82,5861090
"2015-01-27",65.29,66.15,65.06,65.54,5939916
"2015-01-28",65.26,65.45,62.5,62.58,8679263
"2015-01-29",63.18,63.58,60.64,62.82,11360052
"2015-01-30",62.23,63.81,61.15,62.98,10524250
"2015-02-02",64.47,65.78,63.41,65.77,10075752
"2015-02-03",66.93,67.96,66.51,67.74,15631664
"2015-02-04",66.62,66.66,65.24,65.87,12243308
"2015-02-05",67.02,67.59,66.29,67.57,8708833
"2015-02-06",68.24,68.38,67.18,67.49,7653088
"2015-02-09",67.97,68.61,67.64,67.85,8070639
"2015-02-10",67.86,68.11,66.5,67.99,7876630
"2015-02-11",67.23,68.47,66.8,67.88,8365366
"2015-02-12",68.24,68.85,67.62,68.04,8642784
"2015-02-13",68.83,70.11,68.7,69.88,8419227
"2015-02-17",69.15,69.97,68.52,69.47,7652717
