"","COST.Open","COST.High","COST.Low","COST.Close","COST.Volume"
"2011-09-15",82.89,83.29,82.1,83.01,2440241
"2011-09-22",82.73,83.78,81.73,83.18,4550133
"2011-09-29",84.98,85.27,81.99,82.98,2434146
"2011-10-06",79.81,80,78.41,79.2,4214790
"2011-10-13",81.44,81.95,81.28,81.67,1839052
"2011-10-20",84.38,85.35,83.78,84.26,2419511
"2011-10-27",85,86.14,84.06,85.22,3728249
"2011-11-03",83.89,84.76,82.88,84.7,2623210
"2011-11-10",84.02,84.12,82.45,82.72,2502468
"2011-11-17",82.64,83.17,81.19,81.98,2311970
"2011-12-01",85,87.68,84.96,87.09,3572337
"2011-12-08",84.87,86.95,84,85.76,4381489
"2011-12-15",83.1,83.33,82.5,82.57,1911967
"2011-12-22",83.95,84,83.19,83.77,1677964
"2011-12-29",84.2,84.4,83.6,84.34,1021232
"2012-01-05",83.57,83.64,82.1,83.26,3590494
"2012-01-12",80.19,80.47,79.77,79.95,2502822
"2012-01-19",81.7,81.75,81.11,81.21,1994090
"2012-01-26",82.83,83.08,81.8,82.06,1952583
"2012-02-02",83.76,85.89,83.76,85.51,4697954
"2012-02-09",84.27,84.6,84.07,84.53,1317248
"2012-02-16",83.51,84.05,83.51,84.05,1771803
"2012-02-23",84.31,84.96,83.8,84.77,1996804
"2012-03-01",86.54,86.79,85.69,86.16,3051111
"2012-03-08",88.01,88.5,87.84,88.3,1614120
"2012-03-15",90.82,91.6,90.27,91.46,1834274
"2012-03-22",90.25,91.09,90.05,90.5,1499265
"2012-03-29",90.16,90.72,89.33,89.84,2245566
"2012-04-05",87.41,88.87,87.4,88.65,2752580
"2012-04-12",87.51,87.56,86.95,87.18,2509831
"2012-04-19",87.94,87.94,86.69,87.12,1762740
"2012-04-26",87.26,88.46,87,88.08,2447500
"2012-05-03",85.86,85.94,83.94,84.24,4696644
"2012-05-10",83.4,84.36,83.11,83.88,2600349
"2012-05-17",84.86,85.21,83.47,83.47,2022488
"2012-05-24",84.25,85.27,83.48,84.48,3558204
"2012-05-31",85.59,87.05,85.58,86.39,3564660
"2012-06-07",88.05,88.7,87.95,88.13,1909632
"2012-06-14",87.85,90.08,87.81,89.83,3117394
"2012-06-21",91.5,92.35,90.28,90.4,2631671
"2012-06-28",90.83,93,89.91,92.92,4409092
"2012-07-05",93.46,94.53,93.44,94,1902158
"2012-07-12",94.09,94.24,93.11,94.02,1895111
"2012-07-19",96.02,96.38,95.07,95.95,1602228
"2012-07-26",94.95,96.13,94.86,95.91,1562097
"2012-08-02",95.6,96.34,95,95.7,1373414
"2012-08-09",95.82,95.9,95.05,95.37,1006960
"2012-08-16",96.23,96.61,95.7,96.48,1638043
"2012-08-23",95.18,95.49,94.69,94.74,1155674
"2012-08-30",97.56,99.06,96.55,98.59,2426382
"2012-09-06",98.72,99.99,98.72,99.98,1462532
"2012-09-13",100.79,102.89,100.54,102.75,1901820
"2012-09-20",101.58,102.68,101.5,102.64,1356568
"2012-09-27",101.06,101.7,100.13,100.3,1821033
"2012-10-04",100,101.69,99.96,101.48,2051791
"2012-10-11",101.83,102,98.3,98.32,4755393
"2012-10-18",96.87,97.36,96.25,96.33,2804263
"2012-10-25",96,96.63,95.77,96.62,2734718
"2012-11-01",98.59,98.8,97.13,97.13,2941192
"2012-11-08",96.96,97.44,94.74,94.74,2905953
"2012-11-15",94,95.88,93.51,95.7,2445454
"2012-11-29",103.08,103.21,101.56,101.88,6360492
"2012-12-06",98.44,99.63,98.08,98.47,5059742
"2012-12-13",98.05,98.87,97.34,97.85,2715072
"2012-12-20",99.22,99.43,98.14,99.2,1970506
"2012-12-27",98.52,98.72,97.13,97.92,2057513
"2013-01-03",102.11,103.02,101.76,102.49,3872340
"2013-01-10",101.35,101.5,100.13,100.74,2328607
"2013-01-17",101.57,101.75,100.96,100.96,2095350
"2013-01-24",102.39,103.53,102.29,102.89,1515376
"2013-01-31",102.5,103.15,102.11,102.34,1656297
"2013-02-07",101.77,102.31,101.2,101.85,3007261
"2013-02-14",101.04,102.06,101.01,102.02,2211142
"2013-02-21",101.17,101.42,100.26,100.69,2730413
"2013-02-28",101.07,102.37,100.79,101.29,2213151
"2013-03-07",103.55,103.98,101.9,101.97,2603259
"2013-03-14",103.27,104.03,102.91,102.91,2316725
"2013-03-21",102.85,103.97,102.68,103.52,2216806
"2013-03-28",106.66,107.06,105.61,106.11,1672884
"2013-04-04",106.26,106.89,105.46,106.36,1575701
"2013-04-11",105.88,106.4,105.19,106.01,2319396
"2013-04-18",104.76,105.12,103.33,103.61,1854230
"2013-04-25",108.35,109.34,107.8,109.13,1848291
"2013-05-02",108.17,109.29,107.72,108.69,1442844
"2013-05-09",109.88,110.16,108.88,109.14,1306233
"2013-05-16",112.59,113,111.22,111.51,1533529
"2013-05-23",112.73,114.2,111.85,113.19,2243226
"2013-05-30",114.28,115.49,111.87,111.88,3460554
"2013-06-06",109.54,111.13,109.38,111.09,2187533
"2013-06-13",109.17,111.14,109.02,110.88,1230494
"2013-06-20",109.73,109.73,107.38,107.56,2212078
"2013-06-27",111.57,112.35,111.24,111.49,922198
"2013-07-11",114.84,115.94,114.34,115.9,1550024
"2013-07-18",117.34,117.6,116.4,117.06,1180656
"2013-07-25",117.09,117.68,116.66,117.45,1352152
"2013-08-01",118.07,118.6,117.65,118.34,1265363
"2013-08-08",118.06,118.91,116.08,117.39,2373419
"2013-08-15",112.46,112.78,111.51,111.79,1657013
"2013-08-22",112.05,112.58,111.9,112.24,998884
"2013-08-29",110.29,111.89,110.19,111.39,1387952
"2013-09-05",113,115.1,113,114.62,2564060
"2013-09-12",119.06,119.33,117.86,118.19,1371136
"2013-09-19",119.07,119.47,118.64,119.2,1228685
"2013-09-26",115.89,116.48,115.24,116.4,1039095
"2013-10-03",114.34,115.14,113.9,114.42,1608037
"2013-10-10",114.98,115.96,114.13,115.7,2388285
"2013-10-17",117.23,118.7,117.1,118.26,2099740
"2013-10-24",115.54,116.8,115.18,116.24,2250079
"2013-10-31",117.86,118.6,117.47,118,1588489
"2013-11-07",124.74,124.74,122.51,122.78,2459632
"2013-11-14",123.39,124.06,122.85,123.74,1488015
"2013-11-21",122.95,124.2,122.31,123.89,1164216
"2013-12-05",121.5,122.35,120.5,120.95,3329382
"2013-12-12",118.22,119.4,118.1,118.22,2023730
"2013-12-19",117.97,118.44,117.25,117.99,2339343
"2013-12-26",118.68,119.11,118.59,118.63,1169900
"2014-01-02",118.71,119.3,117.74,117.81,1618678
"2014-01-09",116.2,119.1,114.05,118.51,5763123
"2014-01-16",116.44,116.47,115.3,115.56,1938349
"2014-01-23",113.5,113.53,112.4,112.8,2168058
"2014-01-30",112.75,113.49,112.09,112.73,1629387
"2014-02-06",113.01,114.58,113,114.26,3755143
"2014-02-13",114.14,115.93,114.14,115.81,1587102
"2014-02-20",114.57,115.55,113.88,115.06,1837090
