"","CPB.Open","CPB.High","CPB.Low","CPB.Close","CPB.Volume"
"2011-09-15",31.45,31.48,31.18,31.39,1942070
"2011-09-22",30.07,30.92,29.93,30.81,3478981
"2011-09-29",32.22,32.49,31.98,32.27,1694435
"2011-10-06",32.44,32.83,32.36,32.64,3141399
"2011-10-13",33.23,33.3,32.94,33.15,2561864
"2011-10-20",33.45,33.69,33.03,33.28,2472889
"2011-10-27",33.86,34,33.49,33.66,2629415
"2011-11-03",32.99,33.34,32.82,33.3,2261637
"2011-11-10",33.58,33.69,33.24,33.6,1448304
"2011-11-17",33.39,33.64,33.16,33.41,2404030
"2011-12-01",32.51,32.78,32.44,32.53,2147954
"2011-12-08",32.87,32.98,32.55,32.6,1674954
"2011-12-15",32.47,32.8,32.3,32.68,1641495
"2011-12-22",33.1,33.26,32.97,33.17,1150476
"2011-12-29",33.3,33.51,33.21,33.49,741399
"2012-01-05",32.69,32.73,31.8,31.81,4622314
"2012-01-12",32.37,32.6,32.3,32.58,1489765
"2012-01-19",31.98,32.39,31.84,32.26,2155353
"2012-01-26",31.81,32.14,31.57,31.67,1960754
"2012-02-02",31.68,31.9,31.61,31.84,1675037
"2012-02-09",31.87,32.1,31.74,32.07,1078740
"2012-02-16",31.83,32.25,31.8,32.06,2692305
"2012-02-23",33.03,33.62,32.95,33.54,2692835
"2012-03-01",33.33,33.38,32.94,33.16,1945759
"2012-03-08",33.01,33.06,32.74,32.79,1531658
"2012-03-15",32.91,33.06,32.8,33.04,1060486
"2012-03-22",32.69,32.88,32.61,32.81,1536284
"2012-03-29",32.98,33.29,32.89,33.18,1873510
"2012-04-05",33.56,33.67,33.35,33.55,2373168
"2012-04-12",33.14,33.23,33,33.14,1683467
"2012-04-19",33.68,33.84,33.47,33.81,1809051
"2012-04-26",33.68,33.95,33.62,33.9,1268107
"2012-05-03",33.66,33.74,33.51,33.64,1340473
"2012-05-10",34.22,34.47,34.06,34.43,1524375
"2012-05-17",34.23,34.35,33.8,33.8,1839422
"2012-05-24",32.5,32.59,32.43,32.56,1415233
"2012-05-31",31.95,32.01,31.7,31.7,2748971
"2012-06-07",31.84,31.91,31.54,31.58,2384215
"2012-06-14",31.47,31.78,31.33,31.69,1583602
"2012-06-21",32.43,32.56,32.09,32.12,2727093
"2012-06-28",32.23,32.53,32.08,32.52,2138990
"2012-07-05",33.23,33.33,33.03,33.19,2471947
"2012-07-12",32.76,32.88,32.62,32.77,1550840
"2012-07-19",33.22,33.58,33.14,33.58,1883197
"2012-07-26",32.88,33,32.71,32.75,1720640
"2012-08-02",32.77,32.91,32.24,32.47,1896097
"2012-08-09",33.29,33.29,33.04,33.16,630193
"2012-08-16",34.57,34.83,34.41,34.8,2123633
"2012-08-23",34.55,34.82,34.31,34.7,1654943
"2012-08-30",35.2,35.26,34.68,35.09,2053657
"2012-09-06",34.75,35.25,34.75,35.18,2152415
"2012-09-13",34.6,34.81,34.46,34.67,2704791
"2012-09-20",35.12,35.46,35.08,35.14,2263388
"2012-09-27",34.92,34.95,34.62,34.75,1565255
"2012-10-04",35.29,35.29,35.01,35.12,1481240
"2012-10-11",35.23,35.23,34.81,34.88,1607673
"2012-10-18",35.19,35.54,35.17,35.46,1783978
"2012-10-25",34.8,34.92,34.54,34.75,1205848
"2012-11-01",35.27,35.39,35,35.22,1736347
"2012-11-08",35.14,35.66,35.14,35.46,2585037
"2012-11-15",36.28,36.41,36.14,36.25,2357924
"2012-11-29",36.62,36.75,36.44,36.55,1854355
"2012-12-06",36.63,36.74,36.27,36.43,3029378
"2012-12-13",35.91,36.08,35.78,35.82,1738165
"2012-12-20",36.06,36.16,35.53,35.89,2475635
"2012-12-27",35.04,35.07,34.48,34.87,1718031
"2013-01-03",35.91,36,35.59,35.99,1609721
"2013-01-10",35.25,35.51,35.18,35.31,1873913
"2013-01-17",35.78,36.33,35.78,36.12,1381465
"2013-01-24",36.33,36.54,36.2,36.42,1151521
"2013-01-31",36.54,36.86,36.54,36.71,1742364
"2013-02-07",37.09,37.45,37.04,37.38,1747445
"2013-02-14",38.73,40.56,38.72,38.72,8251043
"2013-02-21",40,40.17,39.4,39.67,2704586
"2013-02-28",40.59,41.53,40.52,41.16,3321255
"2013-03-07",41.5,41.82,41.35,41.41,1631941
"2013-03-14",41.85,41.95,41.65,41.88,1279474
"2013-03-21",42.78,42.84,42.45,42.7,1102135
"2013-03-28",44.9,45.4,44.74,45.36,2103843
"2013-04-04",45.49,45.71,45.14,45.22,2699810
"2013-04-11",45.49,45.75,45.3,45.37,1170132
"2013-04-18",45.91,46.26,45.78,45.97,1939713
"2013-04-25",46.18,46.54,46.09,46.2,2714315
"2013-05-02",46.11,46.7,46.02,46.51,1253292
"2013-05-09",46.6,46.8,45.99,46.06,1217304
"2013-05-16",47.97,48.43,47.81,47.85,1340606
"2013-05-23",45.53,45.98,45.19,45.76,1349689
"2013-05-30",44.64,44.66,44.08,44.16,2252040
"2013-06-06",42.99,43.19,42.67,43.19,1171499
"2013-06-13",44.13,44.61,43.8,44.54,1158673
"2013-06-20",44.33,44.45,43.24,43.36,1936956
"2013-06-27",44.71,45.06,44.65,44.88,1483772
"2013-07-11",45.75,46.49,45.75,46.39,1057618
"2013-07-18",46.01,46.55,46.01,46.38,571266
"2013-07-25",46.31,46.73,46.19,46.64,820418
"2013-08-01",47.16,47.6,47.13,47.52,821655
"2013-08-08",47.28,47.87,47.08,47.61,1005389
"2013-08-15",46.7,46.85,46.13,46.14,1244906
"2013-08-22",45.43,46.03,45.25,45.85,696987
"2013-08-29",43.72,43.72,42.87,43.33,3092650
"2013-09-05",42.82,42.97,41.5,41.88,3823633
"2013-09-12",41.46,41.9,41.17,41.22,2033786
"2013-09-19",42.57,42.82,42.06,42.2,1817240
"2013-09-26",41.49,41.65,41.13,41.37,1332897
"2013-10-03",40.95,41.14,40.78,40.87,2214715
"2013-10-10",40.4,41.06,40.32,41,1654201
"2013-10-17",41.36,41.65,41.27,41.63,1257864
"2013-10-24",42.8,42.84,42.01,42.4,3082161
"2013-10-31",42.97,43.12,42.56,42.57,1375564
"2013-11-07",42.65,42.79,41.78,41.8,1246585
"2013-11-14",42.18,42.73,42.11,42.54,1093034
"2013-11-21",38.63,38.98,38.4,38.89,2605026
"2013-12-05",40.02,40.89,39.74,40.1,6828083
"2013-12-12",40.66,40.92,40.31,40.81,3336112
"2013-12-19",43.26,43.43,42.81,43.2,2998285
"2013-12-26",42.83,43.05,42.59,42.82,1254352
"2014-01-02",43.08,43.23,42.68,43.04,2169184
"2014-01-09",42.5,42.56,42,42.49,1955771
"2014-01-16",42.3,43.01,42.22,42.85,1398681
"2014-01-23",41.99,42.1,41.59,41.86,1781435
"2014-01-30",41.35,41.45,41,41.16,1223408
"2014-02-06",39.95,40.08,39.62,40.02,1463435
"2014-02-13",40.6,41.16,40.6,40.97,2355817
"2014-02-20",43.46,43.76,43.35,43.69,1633096
"2014-02-27",43.22,43.52,42.97,43.13,2566105
"2014-03-06",43.85,43.89,43.52,43.72,1133313
"2014-03-13",44.32,44.6,43.81,44.02,1324282
"2014-03-20",43.97,44.64,43.91,44.64,1730585
"2014-03-27",44.1,44.34,43.96,44.15,614283
"2014-04-03",44.76,44.92,44.26,44.87,1314675
"2014-04-10",44.97,45.48,44.65,44.69,1091169
"2014-04-17",44.52,44.63,44.36,44.54,762192
"2014-04-24",44.91,45.17,44.77,44.87,714973
"2014-05-01",45.39,45.46,44.9,45.2,624999
"2014-05-08",45.37,45.61,45.03,45.24,621974
"2014-05-15",45.16,45.47,44.96,45.03,868400
"2014-05-22",44.32,44.33,43.99,44.25,630523
"2014-05-29",44.67,45.15,44.45,45.14,1388642
"2014-06-05",45.87,46.47,45.69,46.37,2023797
"2014-06-12",45.32,45.54,45.12,45.26,569679
"2014-06-19",46,46.67,45.97,46.61,896625
"2014-06-26",45.25,45.27,45.01,45.26,702944
"2014-07-03",45.87,46.07,45.63,45.87,585816
"2014-07-10",44.93,45.33,44.88,45.27,577698
"2014-07-17",44.44,44.46,43.7,43.74,1545072
"2014-07-24",43.85,43.98,43.4,43.53,1526442
"2014-07-31",42.57,42.6,41.51,41.59,1480540
"2014-08-07",42.38,42.48,42,42.14,815666
"2014-08-14",43.57,43.89,43.53,43.72,653274
"2014-08-21",44.32,44.59,44.31,44.45,476670
"2014-08-28",44.49,44.78,44.45,44.77,756083
"2014-09-04",44.48,44.68,44.14,44.25,625627
"2014-09-11",43.32,44.13,43.27,44.12,1169103
"2014-09-18",43.35,43.48,43.1,43.4,740994
"2014-09-25",42.76,42.92,42.31,42.38,719798
"2014-10-02",42.22,42.45,41.92,42.1,1199822
"2014-10-09",42.49,42.74,41.83,41.88,1184207
"2014-10-16",41.26,41.79,41.15,41.6,1129288
"2014-10-23",43.16,43.23,42.92,42.97,572292
"2014-10-30",43.27,44.07,43.27,43.91,850590
"2014-11-06",45.04,45.2,44.48,44.69,1855720
"2014-11-13",44.01,44.14,43.75,43.85,1051452
"2014-11-20",44.75,45.07,44.62,44.71,774622
"2014-12-04",43.94,44.09,43.41,43.65,3321934
"2014-12-11",44.1,44.68,44,44.42,838261
"2014-12-18",43.57,44.05,43.47,44.05,2408541
"2015-01-08",45.03,45.61,44.91,45.53,1744679
"2015-01-15",45.89,46.45,45.68,46.09,1642357
