"","CVS.Open","CVS.High","CVS.Low","CVS.Close","CVS.Volume"
"2011-09-15",36.9,37.18,36.39,36.9,13947739
"2011-09-22",34.33,34.88,34.19,34.61,15450265
"2011-09-29",34.5,34.51,33.44,34.08,10468291
"2011-10-06",33.13,33.79,33.13,33.75,11176906
"2011-10-13",34.44,34.79,34.4,34.7,7503881
"2011-10-20",34.79,34.95,34.28,34.78,8323128
"2011-10-27",36.82,37.5,36.64,36.97,13611296
"2011-11-03",36.97,37.42,36.77,37.31,18323932
"2011-11-10",38.65,38.95,38,38.5,9947789
"2011-11-17",38.34,38.88,38.15,38.48,9499562
"2011-12-01",38.66,39.12,38.39,38.48,9832142
"2011-12-08",38.07,38.44,37.61,37.7,8071984
"2011-12-15",37.42,37.61,37.23,37.3,8198499
"2011-12-22",40.41,41.19,40.29,40.96,10261865
"2011-12-29",41.19,41.35,40.93,41.16,3677672
"2012-01-05",41.67,41.78,41.14,41.75,8442910
"2012-01-12",42,42.4,41.92,42.15,6952180
"2012-01-19",43.15,43.17,42.58,42.88,10069743
"2012-01-26",42.27,42.54,41.95,42.18,6933183
"2012-02-02",42.54,42.96,42.46,42.66,5131559
"2012-02-09",43.26,43.72,42.76,43,11311115
"2012-02-16",43.58,44.56,43.56,44.55,10365588
"2012-02-23",43.65,44.12,43.63,44.04,6537204
"2012-03-01",45.07,45.39,44.82,45.21,6995052
"2012-03-08",45.07,45.36,44.88,45.21,5267286
"2012-03-15",45.05,45.2,44.8,44.88,6605440
"2012-03-22",44.77,44.9,44.49,44.75,3971619
"2012-03-29",44.42,44.5,43.93,44.29,7511443
"2012-04-05",44.1,44.72,44.07,44.62,5284730
"2012-04-12",43.76,43.92,43.43,43.48,8110104
"2012-04-19",43.59,44.06,43.33,43.33,11422424
"2012-04-26",43.82,44.76,43.8,44.58,6672602
"2012-05-03",45.81,46.22,45.66,46.14,9118865
"2012-05-10",45.49,46,45.39,45.97,8027289
"2012-05-17",45.01,45.48,44.85,44.87,9659705
"2012-05-24",44.93,45.54,44.83,45.17,8066467
"2012-05-31",45.42,45.49,44.75,44.94,10342023
"2012-06-07",45.18,45.19,44.43,44.45,5993426
"2012-06-14",45.38,46.07,45.38,45.81,6261333
"2012-06-21",46.06,46.25,45.38,45.39,8466386
"2012-06-28",45.68,46,45.51,45.99,5895736
"2012-07-05",47.77,48.32,47.64,48.11,6227011
"2012-07-12",46.62,47.85,46.62,47.52,9788624
"2012-07-19",45.98,47.13,45.18,45.43,35934502
"2012-07-26",45.26,45.37,44.47,44.56,7786448
"2012-08-02",44.52,44.93,44.32,44.91,7236082
"2012-08-09",45.45,45.56,44.97,45.02,6960533
"2012-08-16",44.24,44.85,44.1,44.75,7247447
"2012-08-23",45.67,45.7,45.32,45.35,5159188
"2012-08-30",45.38,45.65,45.18,45.2,3204660
"2012-09-06",46.03,46.82,46.03,46.5,6969025
"2012-09-13",46.41,47.51,46.36,47.45,5991430
"2012-09-20",47.5,47.98,47.49,47.81,5739047
"2012-09-27",47.89,48.45,47.85,48.24,4169068
"2012-10-04",49.02,49.16,48.73,48.88,5251746
"2012-10-11",48.38,48.49,47.55,47.6,6117007
"2012-10-18",46.64,46.8,46.4,46.59,5397053
"2012-10-25",46.3,46.45,45.78,46.11,4665841
"2012-11-01",46.47,46.69,46.32,46.49,6273419
"2012-11-08",46.58,46.87,46.28,46.43,6132897
"2012-11-15",45.26,45.53,44.56,44.7,7838664
"2012-11-29",46,46.39,45.91,46.34,5061359
"2012-12-06",46.28,46.76,46.16,46.71,5960699
"2012-12-13",49.3,49.8,48.17,48.5,16342963
"2012-12-20",48.89,49.21,48.81,49.13,5907881
"2012-12-27",48.32,48.49,47.96,48.4,3984094
"2013-01-03",49.55,49.8,49.43,49.78,6082440
"2013-01-10",50.45,51.24,50.45,51.23,6909566
"2013-01-17",51.86,52.42,51.68,52.17,6379215
"2013-01-24",52.6,52.73,52.04,52.06,6314630
