"","CVX.Open","CVX.High","CVX.Low","CVX.Close","CVX.Volume"
"2014-09-15",122.35,124.78,122.06,124.24,5445646
"2014-09-16",124.06,125.68,123.61,124.96,6592111
"2014-09-17",125.13,125.49,124.45,124.72,4583452
"2014-09-18",124.85,125.04,123.85,124.14,4691243
"2014-09-19",124.94,125.7,124.64,124.8,10089985
"2014-09-22",124.6,124.92,123.47,123.49,5850510
"2014-09-23",123.53,123.98,122.86,123.06,5620724
"2014-09-24",123.07,123.07,120.85,122.4,8009122
"2014-09-25",122.2,122.61,120.68,120.68,6466253
"2014-09-26",120.55,122.04,120.02,121.47,5506425
"2014-09-29",120.72,120.74,119.14,120.55,6794683
"2014-09-30",120.51,120.51,118.66,119.32,8385747
"2014-10-01",118.8,119.35,117.38,117.65,8034916
"2014-10-02",117.39,117.9,116.13,117.11,8171219
"2014-10-03",118.16,118.16,116.4,117.71,6298350
"2014-10-06",117.91,119.05,117.28,118.09,5410741
"2014-10-07",117.47,118.43,116,116.02,7309332
"2014-10-08",115.83,118.25,115.15,117.95,9523621
"2014-10-09",117.02,117.08,114.24,114.51,11489228
"2014-10-10",114.7,115.73,112.88,113.89,9258246
"2014-10-13",113.55,114.59,111.85,112.03,7803960
"2014-10-14",112.6,113.05,109.1,109.78,11541488
"2014-10-15",108.57,109.5,106.65,109.27,15279216
"2014-10-16",107.96,111.32,107.2,111.06,11908643
"2014-10-17",111.78,112.74,110.73,111.8,10897892
"2014-10-20",111.53,112.28,110.97,111.49,8830023
"2014-10-21",113.18,115.17,112.91,115.09,8904866
"2014-10-22",115.2,116.24,113.91,114,7211577
"2014-10-23",116,117.32,114.95,116.19,7195681
"2014-10-24",116.19,116.26,114.53,115.91,5508970
"2014-10-27",114.38,115.37,113.46,115.02,6721122
"2014-10-28",116.17,117.27,115.16,117.13,7274132
"2014-10-29",118,118.93,116.1,117.14,6873675
"2014-10-30",116.18,117.25,115.57,117.2,5174430
"2014-10-31",118.35,120.17,116.39,119.95,10671453
"2014-11-03",119.83,119.97,116.46,116.78,10341474
"2014-11-04",115.99,116.02,114.8,115.37,9585771
"2014-11-05",117.27,117.3,114.86,117.05,6603319
"2014-11-06",116.9,118.55,116.36,118.53,6383773
"2014-11-07",118.75,119.73,118.36,118.8,7366568
"2014-11-10",119.58,119.67,117.31,117.92,6114563
"2014-11-11",117.95,118.67,117.3,118.44,3957455
"2014-11-12",117.86,118.71,117.38,117.65,4923889
"2014-11-13",117.09,117.47,115.64,116.45,11019889
"2014-11-14",115.7,116.35,115.42,116.32,4891687
"2014-11-17",115.96,116.15,115.27,115.75,5713725
"2014-11-18",115.97,116.63,115.25,115.47,5677322
"2014-11-19",115.97,116.68,115.07,116.47,4270319
"2014-11-20",116.16,117.47,116.16,117.31,5272801
"2014-11-21",118.79,118.91,117.73,118.58,7361563
"2014-11-24",118.13,118.58,117.15,117.59,5807601
"2014-11-25",117.8,117.82,115.63,116.15,6671395
"2014-11-26",116.07,116.35,115.02,115.11,6715848
"2014-11-28",111.59,111.69,108.43,108.87,11935566
"2014-12-01",109.38,112.49,108.68,111.73,13400104
"2014-12-02",111.27,114.56,110.89,114.02,8548700
"2014-12-03",114.74,114.82,113.15,113.71,8058904
"2014-12-04",113.08,113.08,111.01,112.28,8242715
"2014-12-05",111.79,112.29,110.71,110.87,7663357
"2014-12-08",109.89,109.94,106.41,106.8,13809036
"2014-12-09",106.17,108.15,106.13,107.01,11059408
"2014-12-10",106.22,106.25,103.07,104.86,15073426
"2014-12-11",104.97,107.27,104.3,104.91,10293571
"2014-12-12",103.76,104.35,102.37,102.38,12013618
"2014-12-15",103.13,103.91,100.42,100.86,13144238
"2014-12-16",100.5,104.47,100.15,101.7,12722183
"2014-12-17",102.18,106.59,102.01,106.02,13360021
"2014-12-18",108.01,109.03,105.49,109.03,13533046
"2014-12-19",109.53,112.96,108.5,112.93,15723273
"2014-12-22",112.36,112.99,111.07,112.03,9433516
"2014-12-23",112.76,114.45,112.32,113.95,8091980
"2014-12-24",113.66,114.14,112.07,113.47,4538653
"2014-12-26",113.93,114.35,112.82,113.25,4380437
"2014-12-29",113.44,114.38,112.78,113.32,6042973
"2014-12-30",112.93,113.65,112.15,113.11,5659510
"2014-12-31",111.65,113.31,111.53,112.18,6411795
"2015-01-02",111.63,113,110.85,112.58,5907276
"2015-01-05",110.96,111.2,107.44,108.08,11758103
"2015-01-06",107.87,109.02,106.48,108.03,11591591
"2015-01-07",109.25,109.72,107.51,107.94,10353817
"2015-01-08",109.19,110.44,108.6,110.41,8650761
"2015-01-09",110.14,110.22,107.67,108.21,9584510
"2015-01-12",107.47,107.47,105.56,105.88,8912332
"2015-01-13",106.92,107.66,103.19,104.2,13277742
"2015-01-14",103.2,104.41,101.83,103.9,14116923
"2015-01-15",104.41,104.94,102.53,102.67,9664562
"2015-01-16",102.47,105.14,102.47,105.12,12604555
"2015-01-20",104.56,106.58,103.81,106.47,10406775
"2015-01-21",106.79,108.27,106.35,108.16,8271024
"2015-01-22",108.76,109.12,106.99,108.92,7471142
"2015-01-23",108.22,108.75,106.73,106.85,7984439
"2015-01-26",107.22,109.35,106.32,108.88,7670519
"2015-01-27",108.11,108.81,107.63,108.26,6388680
"2015-01-28",108.16,108.17,103.42,103.71,10526500
"2015-01-29",104.24,104.63,101.66,103,13994381
"2015-01-30",101.6,103.28,98.88,102.53,20584736
"2015-02-02",103.98,106.13,102.97,106.06,11537611
"2015-02-03",107.7,110.11,107.67,109.53,14266747
"2015-02-04",108.49,109.28,107.39,108.35,10176015
"2015-02-05",109.57,110.11,108.57,109.31,7533342
"2015-02-06",109.66,110.46,109.11,109.61,7655453
"2015-02-09",109.84,111.5,109.65,110.43,6402999
"2015-02-10",110.52,110.62,108.09,110.18,7033704
"2015-02-11",108.98,110.18,108.29,109.98,8662041
"2015-02-12",110.28,111.05,109.82,110.86,6618029
"2015-02-13",111.35,112.84,111.1,112.78,7494358
"2015-02-17",112.31,112.93,111.52,112.4,7097331
"2015-02-18",111.25,111.65,110.37,110.44,6920274
"2015-02-19",108.2,109.58,107.24,108.35,9721100
"2015-02-20",108.43,108.87,107.5,108.6,7610626
"2015-02-23",107.79,108.5,107.35,107.86,6723971
"2015-02-24",107.89,108.24,107.34,107.96,5708397
"2015-02-25",108.12,108.78,107.76,108.58,4806459
"2015-02-26",107.89,107.92,106.6,107.06,5903095
"2015-02-27",107.52,107.73,106.57,106.68,6396479
"2015-03-02",106.32,106.34,104.93,105.9,7343708
"2015-03-03",105.88,106.22,104.81,105.16,6901215
"2015-03-04",105.64,105.64,104.44,105.16,5784901
"2015-03-05",105.01,105.31,104.33,104.73,5156898
"2015-03-06",104.22,104.52,103.16,103.55,7213295
"2015-03-09",103.6,105.63,103.5,103.95,7506197
"2015-03-10",103.79,104.55,102.33,102.91,10679023
"2015-03-11",103.52,103.89,102.45,103.54,8440653
"2015-03-12",104.22,104.51,102.3,102.42,5900575
"2015-03-13",101.84,101.84,100.66,101.62,8345174
"2015-03-16",101.44,103.27,101,103.13,6780238
"2015-03-17",102.3,103.54,102.1,103.17,7097520
"2015-03-18",102.61,106.88,102.37,106.7,11059731
"2015-03-19",105.1,105.4,104.65,104.75,7841872
"2015-03-20",105.29,107.26,105.11,107.03,14064856
"2015-03-23",107.51,107.69,105.92,105.92,6807745
"2015-03-24",105.92,106.19,104.16,104.2,6677767
"2015-03-25",104.66,106.2,104.33,105.67,9169445
"2015-03-26",106.28,106.52,104.16,105.25,7276931
"2015-03-27",104.99,104.99,103.67,104.28,5830340
"2015-03-30",104.97,107.21,104.97,106.9,7172401
"2015-03-31",105.62,106.07,104.88,104.98,7254082
"2015-04-01",105.77,106.22,104.5,104.79,7347231
"2015-04-02",104.45,105.68,104.08,105.28,5123901
"2015-04-06",106.03,107.86,105.22,106.92,6723967
"2015-04-07",106.97,109.09,106.62,108.54,8535966
"2015-04-08",108.86,108.92,106.52,106.66,7894791
"2015-04-09",106.8,107.24,106.18,106.95,5760463
"2015-04-10",107.47,107.66,106.81,106.91,5012178
"2015-04-13",107.35,107.9,106.44,106.5,4307219
"2015-04-14",107.7,109.09,107.26,108.84,7262725
"2015-04-15",109.59,110.69,109.38,110.41,6703965
"2015-04-16",109.9,110.94,109,110.16,5904249
"2015-04-17",109.36,109.69,108.26,109.11,6548736
"2015-04-20",109.57,111.71,109.55,110.29,7148830
"2015-04-21",110.05,110.74,109.31,109.73,5674862
"2015-04-22",110.05,110.44,109.21,109.5,5643072
"2015-04-23",110,110.65,109.6,109.97,6940005
"2015-04-24",109.67,110.04,109.03,109.87,4994970
"2015-04-27",110.34,110.74,109.54,109.7,4858713
"2015-04-28",110.05,111.24,109.65,111.12,5321604
"2015-04-29",110.82,111.99,110.68,111.73,5665849
"2015-04-30",112.04,112.2,110.44,111.06,6666787
"2015-05-01",110.28,110.8,108.34,109.04,10362711
"2015-05-04",109.38,109.41,107.99,108.32,7660071
"2015-05-05",109.24,109.93,108,108,6463346
"2015-05-06",109.24,109.53,107.3,107.95,5820403
"2015-05-07",107.69,108.2,106.69,107.57,5798286
"2015-05-08",108.29,108.8,107.4,108.65,7078850
"2015-05-11",108.65,108.69,107.3,107.36,6003613
"2015-05-12",107.44,108,107.1,107.56,5026480
"2015-05-13",107.98,108.47,107.3,107.7,5517559
"2015-05-14",108.02,109.3,108.02,108.45,9751666
"2015-05-15",107.21,108.33,106.94,108.03,5641588
"2015-05-18",107.5,107.51,106.58,106.65,6390598
"2015-05-19",106.05,106.31,105,105.02,7927644
"2015-05-20",105.42,105.9,104.76,105.25,6521187
"2015-05-21",105.97,106.27,105.3,105.49,6549347
"2015-05-22",105.09,105.55,104.86,104.89,4717179
"2015-05-26",104.22,104.44,102.93,103.29,8010150
"2015-05-27",103.2,103.78,102.73,103.11,5857534
"2015-05-28",102.96,103.42,102.38,103.24,5099925
"2015-05-29",103.14,103.57,102.67,103,6673374
"2015-06-01",103.47,103.75,102.49,102.63,5412416
"2015-06-02",102.65,103.11,102.11,102.58,5040002
"2015-06-03",102.4,103.38,102.12,102.17,5175666
"2015-06-04",101.89,102.37,100.98,101.39,6896416
"2015-06-05",101.18,103.1,100.99,101.59,6080925
"2015-06-08",101.29,101.39,99.95,100.42,8213862
"2015-06-09",100.7,101.25,100.22,100.42,7156959
"2015-06-10",102.52,102.58,101.52,101.83,7588426
"2015-06-11",101.87,102.2,100.94,101.12,5582880
"2015-06-12",100.52,100.69,99.63,99.87,6475549
"2015-06-15",99.45,100.06,99.13,99.29,6178081
"2015-06-16",99.2,100.44,98.81,100.04,8763706
"2015-06-17",100.83,101.17,99.52,99.76,8231073
"2015-06-18",100.26,100.9,100.15,100.25,7167979
"2015-06-19",99.72,100.17,99.46,99.47,10512046
"2015-06-22",99.83,100.37,99.37,100.29,6416085
"2015-06-23",99.96,100.43,99.54,100.09,5697930
"2015-06-24",99.98,100.68,99.27,99.27,7451884
"2015-06-25",99.45,99.66,98.29,98.34,6062807
"2015-06-26",98.24,98.69,97.81,98.6,10015533
"2015-06-29",97.5,97.96,96.6,96.69,8764550
"2015-06-30",97.45,97.66,96.22,96.47,9925372
"2015-07-01",96.3,96.62,95.55,96.09,7295347
"2015-07-02",96.36,96.67,95.72,95.87,6419079
"2015-07-06",95.06,95.56,94.48,94.77,8341632
"2015-07-07",94.41,95.48,93.5,95.27,11774876
"2015-07-08",94.59,95.09,93.26,93.56,7719125
"2015-07-09",94.9,95.21,93.76,93.78,7908996
"2015-07-10",94.53,94.95,94.07,94.41,5631910
"2015-07-13",94.31,94.89,94.15,94.6,5038824
"2015-07-14",94.4,95.79,94.39,95.55,5218610
"2015-07-15",95.04,95.7,93.89,94.24,6490360
"2015-07-16",94.28,94.73,93.9,94.48,6422701
"2015-07-17",94.23,94.39,92.9,93.15,8214191
"2015-07-20",93.3,93.49,92.59,92.94,6018088
"2015-07-21",93,94.14,93,93.9,7043079
"2015-07-22",93.51,94.33,93.29,93.51,9327496
"2015-07-23",93.57,94.07,92.7,92.94,7360651
"2015-07-24",92.78,92.78,90.35,90.6,11158429
"2015-07-27",89.86,90.09,88.74,89.14,10342743
"2015-07-28",89.45,92.69,89.43,92.4,11536851
"2015-07-29",91.98,93.4,91.44,93.25,9821523
"2015-07-30",93.45,93.81,92.75,93.03,6435725
"2015-07-31",91.52,91.75,88.01,88.48,19063381
"2015-08-03",87.28,87.33,85.32,85.6,14142213
"2015-08-04",85.74,86.9,84.68,85.21,8537190
"2015-08-05",85.44,86,83.87,84.03,11254620
"2015-08-06",83.56,85.58,82.89,85.19,9805030
"2015-08-07",84.71,85.26,83.43,83.75,7422037
"2015-08-10",84.2,86.1,83.88,85.89,8342004
"2015-08-11",84.38,85.98,83.6,85.78,9797380
"2015-08-12",85,87.11,84.92,86.79,11380674
"2015-08-13",86.03,86.34,85.45,85.85,9562433
"2015-08-14",85.78,86.42,85.29,85.99,7748930
"2015-08-17",84.46,84.51,83.11,83.23,12602499
"2015-08-18",83.08,83.77,82.82,83.44,9093385
"2015-08-19",82.87,82.91,80.67,80.91,13129019
"2015-08-20",80.66,81.29,79.24,79.24,11834229
"2015-08-21",78.87,79.59,75.71,75.76,18347709
"2015-08-24",70.55,75.38,69.58,72.12,23821044
"2015-08-25",74.93,75.02,69.84,70.02,20873343
"2015-08-26",71.72,73.1,70.94,73.09,17233334
"2015-08-27",75,78.12,74.56,77.64,21230205
"2015-08-28",77.72,81.2,77.58,80.43,23606649
"2015-08-31",80.01,81.08,77.92,80.99,16868509
"2015-09-01",78.76,79.39,77.52,78.19,17923702
"2015-09-02",79.75,79.75,77.23,78.06,14223286
"2015-09-03",78.7,79.42,77.69,78.26,12260540
"2015-09-04",77.3,77.63,76.45,76.67,11198114
"2015-09-08",77.53,77.56,76.24,76.84,9250947
"2015-09-09",77.43,78.2,74.75,74.92,11248832
"2015-09-10",75.73,75.8,74.31,75.66,11473311
"2015-09-11",75.94,76.25,75.09,75.79,11007728
"2015-09-14",75.52,76,74.96,75.77,10231389
"2015-09-15",76.43,77.69,76.21,77.17,11622247
"2015-09-16",77.82,79.21,77.77,79.02,12502147
"2015-09-17",79.12,80.47,78.6,79.41,12236370
"2015-09-18",77.91,78.7,76.97,77.74,18591481
"2015-09-21",78.3,78.73,77.84,78.09,8175830
"2015-09-22",76.84,77.69,76.49,77.25,9664129
"2015-09-23",77.4,77.53,75.76,76.12,9040731
"2015-09-24",75.45,77.31,75.1,76.89,10244395
"2015-09-25",77.87,78.16,76.92,77.7,10857295
"2015-09-28",76.66,76.93,75.75,75.77,10513714
"2015-09-29",76.04,76.66,75.28,76.25,8763819
"2015-09-30",77.15,79.02,77,78.88,13862216
"2015-10-01",79.72,80.89,77.81,78.34,11095593
"2015-10-02",77.74,81.55,77.31,81.55,12874530
"2015-10-05",82.41,84.19,82.35,84.03,14165848
"2015-10-06",84.18,87.63,84.07,86.99,18783057
"2015-10-07",88.25,89.51,86.28,88.12,17672815
"2015-10-08",87.89,90.14,87.8,89.91,11290032
"2015-10-09",90.2,90.4,88.67,89.57,9956638
"2015-10-12",89.86,89.98,87.87,88.74,7900252
"2015-10-13",87.8,88.94,87.29,88.38,7995823
"2015-10-14",88.23,89.97,87.71,89.76,9689800
"2015-10-15",89.65,90.87,88.44,90.72,8945448
"2015-10-16",91.55,91.66,90.02,91.29,7819751
"2015-10-19",90.36,90.54,89.22,90.03,8670704
"2015-10-20",89.5,90.49,89.39,89.99,8125765
"2015-10-21",89.44,90.63,89.14,89.33,7423391
"2015-10-22",89.74,91.81,89.74,91.62,8966299
"2015-10-23",90.75,91.93,90.09,91.24,8123596
"2015-10-26",90.87,90.88,88.58,88.77,8456138
"2015-10-27",87.73,87.96,86.74,87.7,9325198
"2015-10-28",88.21,90.12,87.92,89.79,8213780
"2015-10-29",89.32,90.93,89.14,89.89,6484427
"2015-10-30",91.14,91.98,89.41,90.88,11533951
"2015-11-02",90.61,95.28,90.48,94.96,14264224
"2015-11-03",95.42,98.64,95.42,98.14,17641088
"2015-11-04",98.02,98.1,96.08,96.77,11925367
"2015-11-05",96.05,96.55,94.33,94.55,11170567
"2015-11-06",93.71,94.07,91.76,94.03,9576204
