"","D.Open","D.High","D.Low","D.Close","D.Volume"
"2014-09-15",68.74,69.04,68.34,68.66,1272518
"2014-09-16",68.55,69.64,68.51,69.34,1719427
"2014-09-17",69.73,69.78,68.67,69.05,2307147
"2014-09-18",69.06,69.31,68.19,68.52,1756039
"2014-09-19",68.38,69.07,68.38,68.92,3030419
"2014-09-22",68.92,68.99,68.08,68.3,1709724
"2014-09-23",68.3,68.45,67.92,68.3,3644476
"2014-09-24",68.4,68.43,67.96,68.11,1690312
"2014-09-25",68,68.5,67.61,67.63,1743861
"2014-09-26",67.99,68.33,67.29,68.03,1661060
"2014-09-29",67.8,68.58,67.59,68.48,1660417
"2014-09-30",68.85,70.16,68.84,69.09,2832673
"2014-10-01",69.42,69.93,69.06,69.26,2192320
"2014-10-02",69.25,69.75,69.02,69.32,1679227
"2014-10-03",69.49,70.15,69.02,70.04,2125597
"2014-10-06",70.03,70.44,69.75,70.07,1846831
"2014-10-07",69.72,70.67,69.7,70.19,2797972
"2014-10-08",70.2,72.2,70.04,72.12,4582833
"2014-10-09",72.12,72.24,70.39,70.43,2729084
"2014-10-10",70.78,71.63,70.59,70.62,2966307
"2014-10-13",70.79,71.36,69.97,69.99,3822783
"2014-10-14",70.27,70.34,67.96,68.18,8513330
"2014-10-15",67.73,68.02,65.53,66.33,8471818
"2014-10-16",65.55,68.39,65.55,67.98,4927246
"2014-10-17",68.24,68.91,67.51,68.73,3108008
"2014-10-20",68.82,69.57,68.63,69.47,2032984
"2014-10-21",69.57,70.13,69.15,70.01,1810320
"2014-10-22",69.85,70.77,69.83,70.03,2647643
"2014-10-23",70.56,70.75,69.89,70.1,1818927
"2014-10-24",70.22,70.99,70.02,70.72,1751123
"2014-10-27",70.71,70.94,70.24,70.36,1680610
"2014-10-28",70.52,70.71,69.72,70.71,2520590
"2014-10-29",70.67,71,69.53,70.17,2347416
"2014-10-30",70.45,71.67,69.68,71.58,3766923
"2014-10-31",70.04,71.79,70.04,71.3,4292940
"2014-11-03",71.53,72.94,71.47,72.56,3224192
"2014-11-04",72.61,72.82,71.42,71.82,1964494
"2014-11-05",72.1,74.59,71.91,74.18,4824738
"2014-11-06",74.18,74.24,72.56,73.08,3884740
"2014-11-07",73.42,73.92,73.18,73.89,2038503
"2014-11-10",73.89,74.49,73.41,74.36,2097443
"2014-11-11",74.17,74.39,73.57,73.91,2472180
"2014-11-12",72.35,73.31,72.05,72.71,2838022
"2014-11-13",72.78,73.13,72.06,72.26,2599347
"2014-11-14",72.01,72.1,71.39,71.57,2888361
"2014-11-17",71.43,72.32,71.34,72.16,1652485
"2014-11-18",72.08,72.61,71.81,72.2,1677147
"2014-11-19",72.03,72.66,71.85,72.46,1577964
"2014-11-20",72.02,72.71,71.86,72.67,1786843
"2014-11-21",73.24,73.7,72.63,73.25,2576072
"2014-11-24",73.25,73.73,72.92,73.05,2431030
"2014-11-25",72.45,72.82,71.98,72.63,2652842
"2014-11-26",72.78,72.99,72.14,72.53,1590950
"2014-11-28",72.45,73.3,72.42,72.55,1268461
"2014-12-01",72.16,72.95,71.9,72.28,2643193
"2014-12-02",72.27,73.2,71.9,72.84,2286045
