"","DE.Open","DE.High","DE.Low","DE.Close","DE.Volume"
"2011-09-15",78.45,78.98,77.41,78.64,4724870
"2011-09-22",69.71,70.24,67.1,68.59,8937432
"2011-09-29",68.86,69.07,66.13,68.04,4434129
"2011-10-06",65.78,67.22,64.58,66.57,5691807
"2011-10-13",70.79,71.47,68.41,69.8,8142788
"2011-10-20",69.38,69.64,67.78,69.25,4571900
"2011-10-27",76.85,78.75,76.85,78.15,6255271
"2011-11-03",75.14,76.04,74.06,75.73,4442622
"2011-11-10",73.73,74.2,72.4,73.58,3584263
"2011-11-17",76.76,77.09,74.3,75.02,4210495
"2011-12-01",78.65,79.42,77.92,78.73,3341407
"2011-12-08",78.55,79.47,76.72,76.88,4024206
"2011-12-15",74.95,75.11,73.4,73.72,3765799
"2011-12-22",76.98,78.09,76.98,77.76,3037650
"2011-12-29",76.95,77.84,76.79,77.59,2102669
"2012-01-05",80.45,81.75,80.12,81.64,3498482
"2012-01-12",83.47,84.85,82.66,84.44,4716256
"2012-01-19",86.3,87.13,85.67,86.94,3736866
"2012-01-26",88.21,88.89,87.38,87.66,5099047
"2012-02-02",87.1,87.93,86.76,87.42,2639160
"2012-02-09",88.7,88.95,87.66,87.93,3479015
"2012-02-16",84.26,84.26,82.52,83.11,9177301
"2012-02-23",84.06,84.42,83.45,84.1,2772170
"2012-03-01",83,83.75,82.76,83.08,2905799
"2012-03-08",79.87,80.59,79.09,80.38,4844059
"2012-03-15",81.93,82.09,81.11,81.64,3251204
"2012-03-22",81.17,81.29,79.6,80.43,4120548
"2012-03-29",79.91,80.67,79.49,80.49,3636023
"2012-04-05",81.64,83.25,81.46,81.83,4210422
"2012-04-12",78,79.7,77.81,79.34,3769103
"2012-04-19",80.9,81.5,79.52,80.39,2859357
"2012-04-26",81.5,82.38,81.1,82.3,2848418
"2012-05-03",83.53,83.92,82.17,82.49,2847233
"2012-05-10",79.8,80.34,78.88,78.96,3362133
"2012-05-17",74.67,74.98,71.86,72.97,6059224
"2012-05-24",76.23,76.65,74.6,75.67,2775838
"2012-05-31",74.9,75.21,73.22,73.87,5152280
"2012-06-07",74.55,75.44,73.33,73.51,2951824
"2012-06-14",73.34,75.01,72.83,74.71,3646169
"2012-06-21",76.96,77.66,74.94,75.06,2706459
"2012-06-28",77.48,78.72,76.96,78.24,4127548
"2012-07-05",81.16,82.46,80.81,81.98,2799897
"2012-07-12",78.17,78.85,77,78.26,3486332
"2012-07-19",75.9,76.13,75.1,75.69,3701355
"2012-07-26",74.95,75.38,73.86,75.03,3563135
"2012-08-02",77,78,75.75,76.41,3866121
"2012-08-09",79.1,79.17,78.25,78.68,2746355
"2012-08-16",75.29,75.54,74.31,75.51,9386235
"2012-08-23",76.63,76.76,75.85,76.12,3119073
"2012-08-30",73.9,74.84,73.8,74.53,3185215
"2012-09-06",75.28,77.09,75.23,77.04,4307658
"2012-09-13",79.01,80.66,78.4,80.37,4239916
"2012-09-20",81.33,82.59,80.94,82.29,3378534
"2012-09-27",81.96,82.4,81.4,82.1,2846972
"2012-10-04",82.25,82.93,81.79,82.83,2679070
"2012-10-11",82.13,82.99,81.85,82.37,3380351
"2012-10-18",85.53,87.13,85.45,86.86,4041923
"2012-10-25",84.88,85.2,83.62,84.69,2228024
"2012-11-01",85.63,87.2,84.86,86.87,2812204
"2012-11-08",84.04,84.87,83.48,83.59,2673723
"2012-11-15",85,85.76,84.58,85.39,3134558
"2012-11-29",84.7,84.99,84.21,84.86,2069796
"2012-12-06",84.12,84.87,83.91,84.73,1999166
"2012-12-13",86.05,86.2,85.08,85.55,2511756
"2012-12-20",86.39,86.78,85.69,86.75,2188598
"2012-12-27",86.39,86.8,85,85.94,1766366
"2013-01-03",88.07,88.66,87.52,87.77,2377960
"2013-01-10",89.44,89.93,88.8,89.91,2366572
"2013-01-17",89.98,90.24,89.69,90.1,2029207
"2013-01-24",92.36,93.7,92.36,93.24,2820567
"2013-01-31",94.45,94.89,93.88,94.06,3278768
"2013-02-07",92.83,93.05,91.5,92.17,2365695
"2013-02-14",90.46,91.44,90.14,90.57,3178381
"2013-02-21",87.77,87.78,86.09,87.06,4729246
"2013-02-28",87.96,88.35,87.66,87.83,2894575
"2013-03-07",89.44,90.31,89.44,89.77,2185692
"2013-03-14",91.73,92.4,91.3,92.2,2619424
"2013-03-21",87.17,87.97,86.65,86.89,2853765
"2013-03-28",87.63,87.82,85.15,85.98,5264470
"2013-04-04",84.91,86.05,84.75,85.69,3160395
"2013-04-11",87.17,87.78,86.8,87.58,1777943
"2013-04-18",82.56,83.1,81.99,82.57,2763275
"2013-04-25",85.65,86.83,85.47,86.03,2048249
"2013-05-02",88.01,89.84,87.87,89.54,2311252
"2013-05-09",92.05,92.76,91.75,92.19,1960204
"2013-05-16",89.26,90.33,89.06,89.39,4182792
"2013-05-23",85.75,87.53,85.65,87.18,3691729
"2013-05-30",87.6,88.12,87.25,87.41,2024172
"2013-06-06",85.73,86.1,85.12,86.09,2910373
"2013-06-13",84.34,85.87,84.02,85.6,2161701
"2013-06-20",84.28,84.36,82.63,82.89,4369528
"2013-06-27",82.68,83.15,82.22,82.95,2564430
"2013-07-11",83.94,84.56,83.1,84.25,2945612
"2013-07-18",83.7,84.28,83.47,83.66,1897308
"2013-07-25",82.21,83.04,81.66,82.9,4132842
"2013-08-01",83.74,83.85,82.51,83.05,3493727
"2013-08-08",81.39,82.65,81.31,82.32,3413272
"2013-08-15",81.23,84.65,81,84.36,7706320
