"","DFS.Open","DFS.High","DFS.Low","DFS.Close","DFS.Volume"
"2011-09-15",26.06,26.19,25.62,26.19,7369294
"2011-09-22",26.37,26.5,24.72,25.25,11994023
"2011-09-29",24.12,24.46,22.99,23.6,12944882
"2011-10-06",22.9,24,22.59,23.99,7416146
"2011-10-13",25,25,24.04,24.24,6869508
"2011-10-20",22.2,22.56,22.04,22.47,8662986
"2011-10-27",24.84,24.98,24.09,24.37,10816680
"2011-11-03",23.97,24.63,23.23,24.61,8107881
"2011-11-10",23.98,24.18,23.52,23.74,4553868
"2011-11-17",23.46,23.76,22.53,22.69,9086189
"2011-12-01",23.7,24.22,23.43,24.04,4545250
"2011-12-08",24.29,24.51,23.89,23.97,3730518
"2011-12-15",24.34,24.34,22.84,23.07,10791996
"2011-12-22",24.27,24.49,24.09,24.3,2994634
"2011-12-29",23.97,24.2,23.84,24.14,2871393
"2012-01-05",24.01,24.67,23.75,24.52,4571661
"2012-01-12",25.89,26.39,25.87,26.33,5741414
"2012-01-19",26.94,27.25,26.86,27.13,6140248
"2012-01-26",27.55,28.09,27.42,27.96,7728547
"2012-02-02",27.83,27.95,27.61,27.75,2700054
"2012-02-09",28.8,28.98,28.49,28.89,4200166
"2012-02-16",29.03,29.61,28.95,29.58,4484274
"2012-02-23",29.72,30.06,29.61,30.04,3937076
"2012-03-01",30.09,30.85,30.01,30.67,3792684
"2012-03-08",30.58,30.6,30.16,30.38,3096336
"2012-03-15",32.3,32.3,31.58,32.02,7490511
"2012-03-22",31.38,33.11,31.1,32.49,12874176
"2012-03-29",32.99,33.44,32.83,32.95,6131959
"2012-04-05",32.79,33.18,32.78,33.08,3778437
"2012-04-12",32.73,33.34,32.51,33.27,4380587
"2012-04-19",32.99,33.05,32.5,32.77,4369075
"2012-04-26",33.5,33.94,33.34,33.88,2887640
"2012-05-03",34.42,34.53,33.7,33.76,4628214
"2012-05-10",33.59,33.77,33.36,33.5,2700161
"2012-05-17",33.04,33.18,31.48,31.49,9049675
"2012-05-24",32.57,32.78,32.17,32.62,3603955
"2012-05-31",33.19,33.41,32.59,33.11,4614537
"2012-06-07",32.04,32.63,31.9,32.26,5414390
"2012-06-14",32.34,32.57,32.01,32.37,6693607
"2012-06-21",34.41,34.55,33.41,33.45,7632704
"2012-06-28",33.2,33.61,32.74,33.36,3668589
"2012-07-05",35.28,35.72,35.15,35.36,3745548
"2012-07-12",34.25,34.81,33.88,34.54,4682628
"2012-07-19",35.2,35.41,34.78,34.93,4822809
"2012-07-26",34.8,35.62,34.59,35.53,4350527
"2012-08-02",35.02,35.67,34.76,35.27,3589432
"2012-08-09",36.85,37.1,36.5,36.53,3511825
"2012-08-16",36.85,38.02,36.77,37.81,4568255
"2012-08-23",38.28,38.7,38.09,38.1,3704199
"2012-08-30",38.34,38.57,38.12,38.37,2417461
"2012-09-06",38.14,38.37,37.84,38.23,4712266
"2012-09-13",38.28,39.36,38.04,39.26,4231555
"2012-09-20",38.38,38.61,38.04,38.16,3976999
"2012-09-27",38.25,39.88,37.56,39.71,8817270
"2012-10-04",39.97,40.6,39.91,40.41,3378925
"2012-10-11",39.81,40.07,39.59,39.59,2605464
"2012-10-18",40.72,40.83,40,40.43,3386772
"2012-10-25",40.18,40.32,39.69,39.85,2744471
"2012-11-01",41.07,41.39,40.82,41.32,4306789
"2012-11-08",40.71,41.23,40.56,40.76,5004415
"2012-11-15",39.95,40.07,37.9,38.34,12988807
"2012-11-29",41.39,41.87,41.19,41.54,2829160
"2012-12-06",40.87,40.91,40.11,40.56,4292162
"2012-12-13",41,41,40.09,40.38,3242690
"2012-12-20",38.55,38.98,37.57,38.41,16834288
"2012-12-27",38.33,38.39,37.36,37.96,4643496
"2013-01-03",39.6,39.96,39.4,39.4,5514560
"2013-01-10",40.15,40.6,40.05,40.48,5821232
"2013-01-17",39.35,39.54,39,39.29,3089465
"2013-01-24",38.85,39.25,38.73,39.14,4325902
"2013-01-31",38.13,38.84,37.48,38.39,12111149
"2013-02-07",39.48,39.73,38.72,39.35,3531117
"2013-02-14",39.05,39.57,38.9,39.52,3935053
"2013-02-21",38.78,38.79,38.04,38.33,6533864
"2013-02-28",38.34,38.82,38.23,38.53,6007320
"2013-03-07",41.43,41.64,41.25,41.57,4351781
"2013-03-14",43.31,43.33,42.75,42.85,6032494
"2013-03-21",44.66,44.98,44.35,44.46,5723081
"2013-03-28",45.1,45.15,44.59,44.84,3110897
"2013-04-04",43.46,43.76,42.83,43.24,4400155
"2013-04-11",42.94,43.25,42.31,42.96,8510269
"2013-04-18",42.57,43.03,42.16,42.55,4366840
"2013-04-25",44.23,44.67,43.95,44.28,6606094
"2013-05-02",43.97,44.97,43.73,44.92,4193644
"2013-05-09",46.06,46.08,45.39,45.54,4157126
"2013-05-16",47.13,47.24,46.41,46.48,3889989
"2013-05-23",47.21,48.25,46.92,47.64,4733024
"2013-05-30",47.51,48.53,47.5,48.14,2552268
"2013-06-06",47.5,48.7,47.35,48.67,4216646
"2013-06-13",47.69,48.2,47.25,48.1,2267613
"2013-06-20",47.43,47.67,46.68,46.76,4058205
"2013-06-27",47.24,47.58,46.9,47.46,3228854
"2013-07-11",50.4,50.5,50.1,50.35,2616515
"2013-07-18",50.36,50.88,50.14,50.58,3094082
"2013-07-25",50.27,50.44,50.07,50.36,2404836
"2013-08-01",49.96,51.14,49.96,51.03,3104154
"2013-08-08",50.74,51,50.39,50.88,1987766
"2013-08-15",49.96,50.12,49.37,49.58,3031072
"2013-08-22",48.72,49.2,48.71,49.01,1938390
"2013-08-29",47.14,48.14,47.11,47.59,2467095
"2013-09-05",48.35,48.92,48.21,48.62,1952690
"2013-09-12",50.58,51.06,50.53,50.85,2905542
"2013-09-19",53.34,53.36,52.61,52.67,2940551
"2013-09-26",50.89,51.8,50.81,51.47,2790513
"2013-10-03",50.5,50.61,49.6,50.26,3108756
"2013-10-10",50.02,51.22,49.98,51.19,3729023
"2013-10-17",52.59,53.77,52.59,53.72,2414051
"2013-10-24",51.54,51.89,51.38,51.44,3500011
"2013-10-31",52.43,52.49,51.76,51.88,2715203
"2013-11-07",52.76,52.92,52.04,52.04,3673159
"2013-11-14",51,51.75,50.96,51.72,2611542
"2013-11-21",51.7,52.23,51.33,52.21,2481967
"2013-12-05",52.05,52.29,51.78,51.92,2709522
"2013-12-12",52.75,53.05,52.25,52.59,2729916
"2013-12-19",54.32,54.45,53.7,53.9,2044516
"2013-12-26",54.63,54.91,54.37,54.6,2038325
"2014-01-02",55.79,56,55.14,55.36,2756625
"2014-01-09",55.03,55.17,54.72,55.12,2280756
"2014-01-16",54.75,54.96,54.11,54.27,1814877
"2014-01-23",53.22,53.42,51.78,52.4,5047314
"2014-01-30",54.44,54.8,53.88,54.78,3250829
"2014-02-06",53.06,53.99,52.77,53.97,3245518
"2014-02-13",55.4,56.2,55.13,56.17,2282605
"2014-02-20",56.82,57.54,56.49,57.07,2620882
"2014-02-27",56.8,57.13,56.32,56.48,3536489
"2014-03-06",58.44,59.06,58.39,58.77,2291938
"2014-03-13",58.78,58.83,57.16,57.28,3430084
"2014-03-20",57.55,58.74,57.25,58.72,2915311
"2014-03-27",56.52,57.2,56.31,57.08,2456392
"2014-04-03",59.25,59.53,58.81,59.45,2655086
"2014-04-10",57.28,57.33,55.65,55.71,2919898
"2014-04-17",56.66,57.12,56.18,56.86,3527110
"2014-04-24",56.62,56.82,55.8,56.25,3520683
"2014-05-01",55.76,56.08,55.32,56.02,3234651
"2014-05-08",56.63,57.76,56.51,57.55,3294037
"2014-05-15",56.69,56.77,55.94,56.58,2125986
"2014-05-22",56.76,57.21,56.61,57.05,1453259
"2014-05-29",59,59,58.35,58.68,1672419
"2014-06-05",59.97,60.28,59.33,59.99,2306715
"2014-06-12",61.39,61.6,61.02,61.27,1528769
"2014-06-19",61.7,62.15,61.63,61.95,1842925
"2014-06-26",61.66,61.86,61.1,61.77,1841825
"2014-07-03",63.12,63.48,63.12,63.25,1120586
"2014-07-10",62.53,63.19,62.25,62.66,2251427
"2014-07-17",63.74,64.44,63.69,63.92,3778529
"2014-07-24",63.09,63.34,62.71,63.26,2957562
"2014-07-31",62.11,62.24,61.04,61.06,2636035
"2014-08-07",59.93,60.02,59,59.15,2852804
"2014-08-14",61.02,61.3,60.62,60.81,1925449
"2014-08-21",62.25,62.6,61.91,62.44,1818178
"2014-08-28",62.31,62.6,62.13,62.41,958782
"2014-09-04",63.72,64.04,63.28,63.41,1675771
"2014-09-11",62.58,63,62.54,62.74,1851362
"2014-09-18",65.15,65.92,65.07,65.59,2719005
"2014-09-25",64.73,64.75,63.65,63.65,1742429
