"","DG.Open","DG.High","DG.Low","DG.Close","DG.Volume"
"2011-09-15",37.25,37.5,37.05,37.39,2013657
"2011-09-22",36.22,37.54,35.76,36.01,3176779
"2011-09-29",38.09,38.22,36.69,37.72,3239216
"2011-10-06",38,38.11,37.41,37.88,2112855
"2011-10-13",38.78,38.92,38.35,38.83,1153833
"2011-10-20",39.84,40.1,39.4,39.75,2109680
"2011-10-27",40.25,40.36,39.13,39.43,2075561
"2011-11-03",39.13,39.41,38.58,38.92,1551469
"2011-11-10",39.12,39.12,38.46,38.96,698115
"2011-11-17",39.47,39.65,38.63,39.06,1193645
"2011-12-01",40.55,41.05,39.99,40.09,1123890
"2011-12-08",39.44,40.44,39.44,39.99,5571229
"2011-12-15",41.1,41.64,40.71,40.91,2118766
"2011-12-22",40.83,41.27,40.5,40.95,2220698
"2011-12-29",41.56,41.75,41.1,41.32,1020833
"2012-01-05",41.26,41.4,41.01,41.36,1265012
"2012-01-12",40.44,40.55,40.02,40.37,995337
"2012-01-19",41.63,41.67,40.99,41.22,1581260
"2012-01-26",42.95,43,42.29,42.42,1701640
"2012-02-02",42.51,43.07,42.3,42.3,1602382
"2012-02-09",42.26,42.67,41.89,42.67,1732318
"2012-02-16",42.17,42.57,41.75,41.94,1722656
"2012-02-23",41.38,42.29,41.38,42.14,1675275
"2012-03-01",42.11,43.12,42.04,43.01,2619507
"2012-03-08",42.6,43.38,42.48,43.38,1240884
"2012-03-15",44.55,45.75,44.28,45.13,2422686
"2012-03-22",45.88,46.95,45.44,46.14,3521172
"2012-03-29",46.21,46.45,45.87,46.27,4193321
"2012-04-05",46.69,47.4,46.6,47.22,2272814
"2012-04-12",45.84,46.66,43.18,46.63,1479535
"2012-04-19",46.92,47.08,46.46,46.64,1291297
"2012-04-26",46.29,47.62,46.23,47.41,4376873
"2012-05-03",48.27,48.76,47.94,48.08,2201338
"2012-05-10",47.16,47.4,46.72,46.95,2337791
"2012-05-17",47,47.11,45.68,45.99,3806493
"2012-05-24",47.07,48.09,46.99,47.65,2806391
"2012-05-31",48.46,49.5,48.46,48.91,4626502
"2012-06-07",49.27,49.49,48.6,48.98,4736792
"2012-06-14",50.5,50.85,50.15,50.55,4621468
"2012-06-21",52.82,53.06,52.14,52.38,3868838
"2012-06-28",52.75,53.75,52.61,53.73,3299061
"2012-07-05",53.75,54.57,53.02,54.29,4047580
"2012-07-12",54.75,54.96,53.95,54,3073172
"2012-07-19",53.87,54.24,52.24,52.29,5059446
"2012-07-26",51.57,51.97,50.58,51.28,4110565
"2012-08-02",50.92,51.57,50.88,51.47,2333844
"2012-08-09",52.15,52.46,51.29,51.35,1426234
"2012-08-16",50.75,51.55,50.3,51.22,3888819
"2012-08-23",49.77,50.03,48.19,49.71,4561076
"2012-08-30",48.33,50.53,48.22,50.07,8407472
