"","DISCA.Open","DISCA.High","DISCA.Low","DISCA.Close","DISCA.Volume"
"2011-09-15",39.65,40.15,39.05,40.13,1658614
"2011-09-22",38.95,39.37,37.96,38.74,3332072
"2011-09-29",40.43,40.53,37.99,38.54,2720052
"2011-10-06",37.98,38.61,37.54,38.6,827237
"2011-10-13",40.29,40.76,40.02,40.6,967298
"2011-10-20",41.14,41.34,40.72,41.06,1542668
"2011-10-27",43.2,43.31,42.72,43.07,1795367
"2011-11-03",44.28,44.56,43.56,44.42,1716292
"2011-11-10",42.71,42.71,41.3,42.07,2521959
"2011-11-17",41.33,41.44,40.54,40.72,1396256
"2011-12-01",41.94,41.98,41.08,41.18,1393295
"2011-12-08",41.45,41.56,40.92,41.05,3144475
"2011-12-15",40.53,40.95,40.13,40.2,1375774
"2011-12-22",40.47,40.6,40.05,40.36,1169156
"2011-12-29",40.74,41.05,40.64,41,1611471
"2012-01-05",40.68,41.07,40.24,41.04,1441955
"2012-01-12",43.06,43.57,42.79,43.53,1358610
"2012-01-19",43.99,44.82,43.79,44.71,1058470
"2012-01-26",44.7,44.78,44.15,44.34,1014825
"2012-02-02",43.36,43.8,42.85,43.7,2387643
"2012-02-09",45.42,45.44,44.86,45.02,1228799
"2012-02-16",46.46,46.6,44.44,44.94,2205821
"2012-02-23",44.15,44.34,43.99,44.16,1437569
"2012-03-01",46.61,46.83,46.03,46.52,1567945
"2012-03-08",46.66,47.3,46.66,47.08,889936
"2012-03-15",47.96,48.14,47.36,47.87,955888
"2012-03-22",48.1,48.33,47.77,48.18,950413
"2012-03-29",49.23,49.45,48.77,49.41,1437369
"2012-04-05",50.95,51.87,50.69,51.74,1483287
"2012-04-12",50.91,51.43,50.69,51.29,1591868
"2012-04-19",52.26,52.47,51.74,51.89,1349963
"2012-04-26",52,53.47,52,53.37,1239889
"2012-05-03",54.24,55.35,54.11,55.13,3027337
"2012-05-10",50.94,51.2,50.3,50.78,1487336
"2012-05-17",51.2,51.31,49.08,49.08,1307677
"2012-05-24",50,50.64,49.83,50.32,1149828
"2012-05-31",50.3,50.5,49.6,50.1,1432993
"2012-06-07",50.87,51,50.37,50.52,1185561
"2012-06-14",50.49,50.75,49.65,50.06,1917920
"2012-06-21",52.63,53.12,52.07,52.48,1845812
"2012-06-28",53.22,53.33,52.16,53.1,1276363
"2012-07-05",54.52,54.68,53.54,53.76,1448197
"2012-07-12",49.77,50.4,48.59,50.24,2566711
"2012-07-19",50.53,51.62,50.53,51.04,1045540
"2012-07-26",50.31,50.72,49.78,50.5,1023873
"2012-08-02",48.94,50.28,48.75,50.25,1813031
"2012-08-09",53.89,54.56,53.6,53.91,1422887
"2012-08-16",53.04,53.31,52.91,53.03,1217939
"2012-08-23",52.75,52.75,52.25,52.53,783337
"2012-08-30",53.45,54.73,53.45,54.18,1981643
"2012-09-06",55.7,56.39,55.55,56.19,1549853
"2012-09-13",56.53,58.44,56.53,58.15,1918336
"2012-09-20",59.31,59.68,58.97,59.58,1018798
