"","DISCK.Open","DISCK.High","DISCK.Low","DISCK.Close","DISCK.Volume"
"2011-09-15",18.92,19.15,18.81,19.1,831178
"2011-09-22",18.54,18.74,18.05,18.46,962410
"2011-09-29",18.35,18.69,17.86,18.05,1165654
"2011-10-06",17.86,18.21,17.55,18.21,715226
"2011-10-13",19.12,19.26,18.95,19.16,352332
"2011-10-20",19.28,19.44,19.18,19.36,578836
"2011-10-27",20,20.16,19.8,19.88,1205724
"2011-11-03",20.04,20.32,19.92,20.22,567642
"2011-11-10",19.64,19.78,19.25,19.38,683110
"2011-11-17",19.14,19.16,18.69,18.76,659450
"2011-12-01",18.85,19.02,18.72,18.73,577420
"2011-12-08",18.85,18.86,18.01,18.69,430168
"2011-12-15",18.58,18.76,18.4,18.4,937654
"2011-12-22",18.52,18.6,18.36,18.45,676582
"2011-12-29",18.78,18.9,18.64,18.74,1216988
"2012-01-05",18.6,18.7,18.44,18.57,1225958
"2012-01-12",19.32,19.72,19.27,19.69,788582
"2012-01-19",19.98,20.48,19.94,20.34,1183184
"2012-01-26",20.17,20.18,19.88,19.94,617188
"2012-02-02",19.68,19.68,19.4,19.48,1752882
"2012-02-09",20.38,20.54,20.18,20.38,1113626
"2012-02-16",20.76,21.03,20.36,20.62,1400646
"2012-02-23",20.34,20.5,20.32,20.42,737892
"2012-03-01",21.68,21.8,21.46,21.7,1314930
"2012-03-08",21.84,22.16,21.78,22.14,1208062
"2012-03-15",22.32,22.64,22.05,22.33,734566
"2012-03-22",22.84,23.03,22.7,22.92,870498
"2012-03-29",22.94,23.1,22.74,22.98,745942
"2012-04-05",23.71,24.15,23.7,23.98,1532640
"2012-04-12",23.74,24.19,23.74,24.1,705462
"2012-04-19",23.99,24.14,23.84,23.9,861468
"2012-04-26",24.18,24.6,24.16,24.52,1212540
"2012-05-03",24.9,25.33,24.9,25.22,971106
"2012-05-10",23.7,23.88,23.47,23.48,1122690
"2012-05-17",23.57,23.62,22.29,22.32,2266698
"2012-05-24",23.26,23.48,23.08,23.19,1371466
"2012-05-31",23.34,23.54,23.06,23.3,2251024
"2012-06-07",23.48,23.77,23.46,23.6,943270
"2012-06-14",23.44,23.69,23.32,23.48,1255542
"2012-06-21",24.88,25.08,24.62,24.76,1614846
"2012-06-28",24.68,24.78,24.28,24.66,611854
"2012-07-05",25.43,25.56,25.06,25.18,797666
"2012-07-12",23.07,23.13,22.34,23.06,2301444
"2012-07-19",23.14,23.76,23.14,23.46,903548
"2012-07-26",23.33,23.68,23.22,23.49,1061032
"2012-08-02",22.86,23.54,22.74,23.52,1058294
"2012-08-09",25.31,25.6,25.3,25.36,1189422
"2012-08-16",25.09,25.16,24.9,25.04,707048
"2012-08-23",24.69,24.69,24.38,24.43,782414
"2012-08-30",25.1,25.8,25.1,25.52,808792
"2012-09-06",25.98,26.36,25.98,26.13,1445622
"2012-09-13",26.28,27.22,26.28,27.01,1046966
"2012-09-20",27.82,27.98,27.66,27.81,666450
"2012-09-27",27.45,27.96,27.34,27.9,733966
"2012-10-04",28.33,28.56,28.28,28.54,748756
"2012-10-11",28.38,28.52,28.2,28.3,514390
"2012-10-18",28.5,28.84,28.34,28.72,234256
"2012-10-25",27.62,27.84,27.26,27.3,518342
"2012-11-01",27.38,28.3,27.38,28.2,1185508
"2012-11-08",26.16,26.34,25.78,25.83,726766
"2012-11-15",25.42,25.95,25.36,25.72,993578
"2012-11-29",27.59,27.98,26.52,27.9,521378
"2012-12-06",28.62,28.77,28.23,28.74,1014028
"2012-12-13",28.5,28.84,28.02,28.04,1341208
"2012-12-20",29.25,29.94,29.04,29.26,1814170
"2012-12-27",28.93,29.32,28.36,28.75,492826
"2013-01-03",30.17,30.28,29.93,30.16,303916
"2013-01-10",31.08,31.12,30.7,30.83,403168
"2013-01-17",30.88,31.08,30.78,31,815396
"2013-01-24",30.88,31.47,30.88,31.1,627896
"2013-01-31",31.46,31.94,31.32,31.86,1225920
"2013-02-07",31.9,32.16,31.54,32.16,578502
"2013-02-14",31.89,32.09,30.75,31.88,996568
"2013-02-21",30.96,31.02,30.47,30.81,461278
"2013-02-28",32.28,32.52,32.2,32.25,1613780
"2013-03-07",33.5,34.85,33.5,34.75,8116040
"2013-03-14",35.02,35.43,35,35.3,944932
"2013-03-21",35.04,35.33,34.72,34.88,1098498
"2013-03-28",34.86,35.03,34.71,34.77,1328470
"2013-04-04",34.76,34.96,34.52,34.86,698042
"2013-04-11",36.42,36.92,36.42,36.54,954374
"2013-04-18",35.68,35.68,34.74,35,1099464
"2013-04-25",35.68,35.77,35.28,35.64,1053408
"2013-05-02",35.26,36.06,35.26,35.93,844218
"2013-05-09",34.82,35.36,34.78,35.2,1178542
"2013-05-16",35.3,35.44,34.98,35.11,2569124
"2013-05-23",34.93,35.32,34.7,35.2,1120136
"2013-05-30",35,35.54,34.91,35.16,733208
"2013-06-06",33.76,33.83,33,33.56,1168506
"2013-06-13",32.54,33.8,32.5,33.66,2050580
"2013-06-20",34,34.02,33.37,33.58,1444116
"2013-06-27",34,34.48,34,34.27,603114
"2013-07-11",37.67,38.12,37.64,37.96,727168
"2013-07-18",38.5,38.78,38.4,38.67,670050
"2013-07-25",38.57,39,38.41,38.8,675644
"2013-08-01",36.38,37.36,36.38,37.16,896340
"2013-08-08",37.83,38.11,37.57,37.57,811852
"2013-08-15",37.26,37.26,36.4,36.42,686236
"2013-08-22",36.3,36.74,36.1,36.48,496734
"2013-08-29",35.75,36.11,35.46,35.76,602518
"2013-09-05",35.36,35.92,35.36,35.51,568424
"2013-09-12",36.04,36.14,35.78,35.92,504520
"2013-09-19",37.14,37.65,36.95,37.4,512566
"2013-09-26",37.01,38.55,36.9,38.52,873692
"2013-10-03",37.93,38.12,37.5,37.62,850014
"2013-10-10",36.27,36.89,35.7,36.7,934924
"2013-10-17",36.82,37.5,36.82,37.4,602862
"2013-10-24",39.28,39.6,39,39.44,719972
"2013-10-31",39.06,41.82,38.66,41.36,1366212
"2013-11-07",39.95,39.95,39.08,39.24,1244602
"2013-11-14",39.72,40.08,39.49,39.72,389804
"2013-11-21",39.73,39.74,39.38,39.52,501380
"2013-12-05",38.82,39.28,38.62,38.8,683288
"2013-12-12",38.9,38.91,38.24,38.26,631636
"2013-12-19",39.36,40.1,39.36,39.86,597502
"2013-12-26",41,41.28,40.62,41.14,365132
"2014-01-02",41.61,41.84,41.06,41.26,369092
"2014-01-09",39.16,39.29,38.71,39.22,960186
"2014-01-16",37.77,38.2,37.52,37.66,443850
