"","DISH.Open","DISH.High","DISH.Low","DISH.Close","DISH.Volume"
"2011-09-15",25.95,26.05,25.53,25.82,2719690
"2011-09-22",25.35,25.68,24.76,25.4,3972249
"2011-09-29",27.62,28,25.78,26.19,3128954
"2011-10-06",24.92,25.29,24.68,25.06,3305089
"2011-10-13",27.4,27.56,27.16,27.31,2097404
"2011-10-20",25.62,25.78,24.73,25.48,1885894
"2011-10-27",26.46,26.86,25.34,25.44,3425377
"2011-11-03",23.95,24.3,23.51,23.68,3098144
"2011-11-10",24.39,25.24,24.07,25.21,5573832
"2011-11-17",23.96,24.82,23.96,24.62,5304324
"2011-12-01",24.4,25.03,24.36,24.58,2720910
"2011-12-08",26.41,26.46,25.32,25.34,3027756
"2011-12-15",26.11,26.87,25.91,26.18,3842125
"2011-12-22",27.83,28.56,27.51,28.33,2205861
"2011-12-29",28.09,28.54,28.09,28.42,1123749
"2012-01-05",29.21,29.61,28.87,29.53,2615674
"2012-01-12",28.81,28.96,28.65,28.68,2164501
"2012-01-19",29.17,30,29.01,29.99,3472453
"2012-01-26",29,29.45,28.49,28.73,2517817
"2012-02-02",28.52,28.75,28.09,28.37,1463453
"2012-02-09",28.07,28.78,27.78,28.62,2403664
"2012-02-16",29.23,29.71,28.91,29.54,2081363
"2012-02-23",30,30.49,29.29,29.62,3556498
"2012-03-01",29.39,30.01,28.2,28.79,7589465
"2012-03-08",31.3,31.54,31.14,31.35,3662887
"2012-03-15",31.37,31.87,30.94,31.83,1824858
"2012-03-22",32.44,35.64,32.2,32.9,8848023
"2012-03-29",32.47,32.59,31.94,32.56,1250741
"2012-04-05",32.48,32.97,32.06,32.91,1928152
"2012-04-12",32.01,32.23,31.69,32,1194545
"2012-04-19",30.56,31.54,30.56,31.44,4116136
"2012-04-26",31.47,32,31.32,31.81,1124425
"2012-05-03",32.22,32.74,31.98,32.61,2471022
"2012-05-10",30.35,31,30.26,30.81,2810484
"2012-05-17",30,30.29,29.12,29.14,1822593
"2012-05-24",28.44,28.55,27.9,28.51,2255554
"2012-05-31",28.44,28.56,27.59,28.04,1392839
