"","DLPH.Open","DLPH.High","DLPH.Low","DLPH.Close","DLPH.Volume"
"2011-11-17",21.25,21.92,21.25,21.33,17557455
"2011-12-01",20.95,21.05,20.35,20.81,479860
"2011-12-08",21.72,21.94,21.62,21.69,377863
"2011-12-15",20.98,21.88,20.79,20.96,712851
"2011-12-22",21.43,21.85,21.43,21.79,374423
"2011-12-29",21.22,21.43,21.02,21.42,289009
"2012-01-05",22.44,22.44,21.76,22.14,672457
"2012-01-12",24.1,25.07,23.85,24.69,1013331
"2012-01-19",24.68,25.17,24.59,25.07,956462
"2012-01-26",25.85,26.64,25.16,25.95,801528
"2012-02-02",28.13,29.04,27.87,28.97,571643
"2012-02-09",29.99,30.02,29.42,29.8,1509744
"2012-02-16",29.5,30.79,26.7,30.32,4869442
"2012-02-23",31.17,31.4,30.56,31,1172020
"2012-03-01",32.13,32.49,31.37,32,2565220
"2012-03-08",30.46,31.91,30.25,31.7,3596233
"2012-03-15",31.9,32.13,31.61,31.72,1337296
"2012-03-22",31.17,31.17,30.78,30.97,384349
"2012-03-29",32.4,32.4,31.4,31.77,1822251
"2012-04-05",31.5,32,31.5,31.76,813000
"2012-04-12",31.85,32.35,31.26,31.77,2220617
"2012-04-19",32.26,32.77,31.5,31.86,1213726
"2012-04-26",30.94,31,30.49,30.62,1832642
"2012-05-03",30.8,30.9,30.34,30.45,2788108
"2012-05-10",28.7,29,28.58,28.79,946686
"2012-05-17",28.12,28.12,27.18,27.49,7157908
"2012-05-24",28.25,28.25,27.4,27.7,2519615
"2012-05-31",29.09,29.31,28.52,29.03,8928060
"2012-06-07",28.62,29.15,28.44,28.53,2945778
"2012-06-14",28.33,28.89,28.17,28.44,2794306
"2012-06-21",28.56,28.59,27.42,27.57,3292022
"2012-06-28",25.53,25.57,24.86,25.43,3287841
"2012-07-05",26.17,27,26.07,26.81,2324745
"2012-07-12",26.04,26.5,25.3,26.26,2239715
"2012-07-19",27.34,27.44,27.12,27.2,2396581
"2012-07-26",27.05,27.05,26.62,26.95,1834161
"2012-08-02",27.68,28,27.44,27.49,1395323
"2012-08-09",28.62,29.05,28.43,28.94,704969
"2012-08-16",28.75,29.51,28.63,29.37,5962068
"2012-08-23",29.13,29.27,28.98,29.13,1427935
"2012-08-30",30.25,30.28,29.55,29.79,1658866
"2012-09-06",30.29,30.87,30.23,30.86,5503979
"2012-09-13",30.9,31.01,30.22,30.76,2517592
"2012-09-20",31.68,32.16,31.5,32.02,2355104
"2012-09-27",31.52,31.58,31.13,31.26,1380250
"2012-10-04",31.8,32.39,31.76,32.2,2042407
"2012-10-11",31.8,32.3,31.67,32.03,1285514
"2012-10-18",32.5,32.8,32.3,32.46,920815
"2012-10-25",31.72,31.79,31.33,31.43,1075432
"2012-11-01",31.76,32.78,30.26,32.56,5248462
"2012-11-08",32.14,32.46,31.5,31.69,1825966
"2012-11-15",31.79,32.5,31.38,31.68,1763262
"2012-11-29",33.82,34.11,33.78,33.97,2977279
