"","DLTR.Open","DLTR.High","DLTR.Low","DLTR.Close","DLTR.Volume"
"2011-09-15",37.5,38.1,37.39,37.64,3582720
"2011-09-22",37,37.98,36.81,37.16,3493138
"2011-09-29",38.6,38.78,36.67,37.64,3683236
"2011-10-06",38.41,38.77,38.16,38.22,2375544
"2011-10-13",39.92,40.38,39.61,39.65,3366430
"2011-10-20",40.54,40.63,39.62,40.13,2811994
"2011-10-27",40.25,40.7,39.32,39.83,3479754
"2011-11-03",39.56,39.74,38.66,39.67,2341330
"2011-11-10",39.5,39.76,38.78,38.94,2858240
"2011-11-17",38.46,38.61,37.4,38.14,4626012
"2011-12-01",40.56,41.57,40.44,41.02,3268218
"2011-12-08",40.82,41.75,40.78,41.25,2657692
"2011-12-15",40.9,41.34,40.74,41.04,3840592
"2011-12-22",41.58,41.58,40.76,40.83,2817552
"2011-12-29",42.1,42.11,41.8,42.03,2001046
"2012-01-05",41.36,41.86,40.83,41.5,2038882
"2012-01-12",41.14,41.62,41,41.49,2369242
"2012-01-19",42.82,43.25,42.49,42.92,2822866
"2012-01-26",42.48,42.61,41.74,41.83,3033434
"2012-02-02",42.94,43.22,42.82,43.02,2028824
"2012-02-09",42.98,43.45,42.72,43.45,2283476
"2012-02-16",43.96,44.24,43.52,43.88,1840258
"2012-02-23",43.78,44.25,43.7,44.03,2856898
"2012-03-01",44.4,45.56,44.15,45.38,2638034
"2012-03-08",46.11,46.38,45.68,46.28,1656260
"2012-03-15",47.07,47.07,46.74,46.76,1877352
"2012-03-22",47.2,47.78,47.17,47.52,1507332
"2012-03-29",47.1,47.27,46.84,47.22,1402086
"2012-04-05",47.06,48.32,47.06,48.08,1679878
"2012-04-12",47.43,48.19,47.28,47.96,1716102
"2012-04-19",49.2,49.47,48.85,49.21,1357188
"2012-04-26",49.44,50.22,49.2,49.96,1195112
"2012-05-03",52,52.04,51.48,51.69,1163808
"2012-05-10",51.21,51.4,50.5,51.12,1485108
"2012-05-17",48.6,49.2,47.5,47.56,7833374
"2012-05-24",49.9,50.86,49.71,50.86,2161966
"2012-05-31",51.26,51.78,50.82,51.59,2614672
"2012-06-07",52.66,52.8,52.29,52.42,1809106
"2012-06-14",53.33,54.1,53.32,53.96,1719936
"2012-06-21",55.81,55.93,53.77,54.13,2817518
"2012-06-28",52.4,52.43,50.69,52.18,4228893
"2012-07-05",52.03,54.14,52.02,54.02,2741551
"2012-07-12",51.55,52.25,51.1,52.03,1458250
"2012-07-19",52.92,53.08,52.03,52.67,2035571
"2012-07-26",50.86,51.18,50.25,51.02,1576360
"2012-08-02",49.82,51,49.66,50.64,1726007
"2012-08-09",52.86,52.96,51.56,51.66,1817107
"2012-08-16",47.73,49.79,38.4,49.11,6924647
"2012-08-23",48.68,48.73,48.25,48.5,1989037
"2012-08-30",48.23,48.45,48.05,48.09,1314474
"2012-09-06",47.44,48.42,47.44,48,2888842
"2012-09-13",45.97,47.18,45.9,46.85,3185592
"2012-09-20",47,49.57,46.97,49.41,5167444
"2012-09-27",48.37,48.98,48,48.57,1664863
"2012-10-04",47.2,47.51,46.84,46.85,2664800
"2012-10-11",47.46,47.46,42.51,43.28,16248326
"2012-10-18",40.35,40.47,39.23,39.36,5659707
"2012-10-25",40.75,40.97,39.78,40.05,4811724
"2012-11-01",39.84,40.65,39.52,40.38,3351640
"2012-11-08",38.71,39.03,38.09,38.13,2814833
"2012-11-15",39,40.01,38.45,39.7,10292946
"2012-11-29",41.65,41.94,41.32,41.73,3841451
"2012-12-06",40.56,40.72,39.9,40.39,3208082
"2012-12-13",38.48,39.48,38.44,38.84,3950373
"2012-12-20",39.5,40.17,39.34,39.99,2511902
"2012-12-27",39.89,39.9,39.18,39.73,1988822
"2013-01-03",38.49,39.99,37.92,39.48,8756370
"2013-01-10",38.42,38.48,38.03,38.14,3486450
"2013-01-17",38.95,39.17,38.74,38.98,1641414
"2013-01-24",40.06,41.34,40.06,41.06,4709286
"2013-01-31",39.93,40.29,39.92,39.99,2671757
"2013-02-07",39.65,39.9,39.01,39.4,3093542
"2013-02-14",39.47,40.12,38.43,39.93,4254197
"2013-02-21",40.25,41.94,40.1,41.46,5620763
"2013-02-28",45.25,45.98,45.01,45.18,6105909
"2013-03-07",45.46,45.58,44.88,45.1,1976282
"2013-03-14",45.01,45.21,44.79,44.96,1606562
"2013-03-21",45.68,46.64,45.51,46.34,2610775
"2013-03-28",47.77,48.47,47.33,48.43,2597665
"2013-04-04",47.25,47.71,47.12,47.67,2116801
"2013-04-11",46.35,47.4,46.35,47.28,2550258
"2013-04-18",47.67,47.67,46.36,47.01,1674061
"2013-04-25",48.48,48.85,48.32,48.6,1760840
"2013-05-02",47.85,48.72,47.72,48.42,1357432
"2013-05-09",49.4,49.8,48.87,49.06,1019971
"2013-05-16",49.99,50.64,49.55,49.75,1268194
"2013-05-23",49.9,51.2,48.63,50.19,4464684
"2013-05-30",49.7,49.99,48.97,49,1596195
"2013-06-06",48.62,49.3,48.11,49.28,1919209
"2013-06-13",48.61,49.59,48.3,49.32,968787
"2013-06-20",49.84,50.07,49.26,49.35,1770222
"2013-06-27",50.22,50.52,49.95,50.33,1025526
"2013-07-11",54.97,55,53.66,54.17,1548902
"2013-07-18",53.27,53.94,53.1,53.69,889764
"2013-07-25",52.9,53.14,52.43,52.75,929957
"2013-08-01",53.81,55.02,53.81,54.43,1264169
"2013-08-08",54.03,54.24,53.11,53.3,1615700
"2013-08-15",52.68,52.68,51.25,51.28,1452201
"2013-08-22",52.2,54.92,51.7,53.13,3218872
"2013-08-29",52.98,53.54,52.91,53.02,1080566
"2013-09-05",54.03,54.71,53.9,53.97,1252057
"2013-09-12",54.72,55.09,54.47,54.61,963632
"2013-09-19",58.14,58.69,57.67,58.49,2270702
"2013-09-26",57.72,58.32,57.51,58.09,1214930
"2013-10-03",58.92,59.06,58.27,58.77,1612419
"2013-10-10",58.17,58.43,57.56,58.23,2072461
"2013-10-17",58.98,59.14,58.52,58.99,1272516
"2013-10-24",59.52,59.67,59.17,59.62,765211
"2013-10-31",58.72,58.82,58.26,58.4,1229678
"2013-11-07",58.84,58.88,57.87,57.91,1517842
"2013-11-14",59.56,60.02,59.2,59.81,1315271
"2013-11-21",55.5,56.9,55.15,56.28,8820892
