"","DOV.Open","DOV.High","DOV.Low","DOV.Close","DOV.Volume"
"2011-09-15",52.85,52.99,52.02,52.91,1600937
"2011-09-22",47.66,47.84,45.42,46.07,3438022
"2011-09-29",47.84,48.32,46.4,47.75,2335950
"2011-10-06",48.87,50.71,48.76,50.64,1537436
"2011-10-13",53.46,53.5,52.09,53,1568548
"2011-10-20",52.96,53.8,51.89,53.55,2453469
"2011-10-27",57.84,58.67,57.05,57.65,2288538
"2011-11-03",55.54,57.24,54.94,57.12,1605580
"2011-11-10",54.46,54.65,53.48,53.85,1671156
"2011-11-17",55,55.28,52.99,53.43,2166416
"2011-12-01",54.7,55.58,54.62,54.76,1860580
"2011-12-08",57.58,57.9,55.57,55.73,1659543
"2011-12-15",55.88,56.08,55.19,55.96,1746818
"2011-12-22",57.84,58.03,57.38,57.59,1240687
"2011-12-29",57.91,58.59,57.79,58.42,1019832
"2012-01-05",57.43,58.75,56.81,58.68,1421124
"2012-01-12",59.23,60.1,58.92,59.92,1521784
"2012-01-19",60.88,61.04,60.38,60.85,1204383
"2012-01-26",62.39,63.21,62.19,62.93,2244296
"2012-02-02",64.58,64.75,64.28,64.52,844969
"2012-02-09",65.39,65.49,64.93,65.38,725893
"2012-02-16",65.8,66.81,65.49,66.61,982679
"2012-02-23",65.59,65.66,64.94,65.58,771834
"2012-03-01",64.17,64.9,63.68,64.05,1073196
"2012-03-08",61.8,62.57,61.6,62.34,1129661
"2012-03-15",64.06,64.27,63.48,64.17,940752
"2012-03-22",61.98,62.08,60.78,61.63,1229929
"2012-03-29",61.18,62.31,61.01,62.22,2048634
"2012-04-05",62.69,62.69,61.29,61.39,3667631
"2012-04-12",60.24,61,60.24,60.86,2010710
"2012-04-19",61.08,61.15,59.43,59.88,1800729
"2012-04-26",61.41,62.55,60.88,62.31,1217221
"2012-05-03",62.13,62.3,60.89,61.28,1178958
"2012-05-10",58.87,59.91,58.81,58.91,1660807
"2012-05-17",56.89,56.95,55.08,55.08,1664134
"2012-05-24",58.17,58.25,57.27,58.25,1209795
"2012-05-31",57.49,57.56,55.23,56.56,2570954
"2012-06-07",56.59,57.4,56.14,56.43,2336036
"2012-06-14",55.27,55.39,54.44,55,1745709
"2012-06-21",55.98,56.36,54.29,54.42,1248671
"2012-06-28",51.35,51.9,50.88,51.57,1966824
"2012-07-05",54.07,54.49,53.71,54.03,802383
"2012-07-12",50.75,51.49,50.38,51.25,1871118
"2012-07-19",53.01,54.31,52.81,53.97,3215194
"2012-07-26",51.78,52.69,51.5,52.07,1586679
"2012-08-02",53.59,54.12,52.59,53.57,1244329
"2012-08-09",56.55,56.93,56.4,56.73,1428492
"2012-08-16",57.09,58.38,56.79,58.19,1004333
"2012-08-23",57.32,58.01,57.07,57.77,1249799
"2012-08-30",57.02,57.51,57,57.35,1204334
"2012-09-06",57.43,57.8,56.96,57.7,2124761
"2012-09-13",59,60.09,58.3,59.79,1309934
"2012-09-20",60.29,61.08,59.77,61.03,1504407
"2012-09-27",59.21,59.97,58.85,59.7,1279413
"2012-10-04",58.84,59.38,58.45,59.21,1678266
"2012-10-11",55.8,56.15,55.23,55.25,1432754
"2012-10-18",56.98,58.08,55.7,57.94,2766371
"2012-10-25",57.84,58.23,57.5,58.19,1394508
"2012-11-01",58.31,59.55,58.24,59.55,1052570
"2012-11-08",60.07,60.24,59.45,59.61,1155573
"2012-11-15",60.5,61.15,60.15,60.7,1744893
"2012-11-29",63.5,64.13,62.95,64.01,1165456
"2012-12-06",63.23,63.6,63,63.43,744372
"2012-12-13",64.07,64.58,63.93,64.09,1320429
"2012-12-20",65,65.09,64.42,64.7,1290606
