"","DPS.Open","DPS.High","DPS.Low","DPS.Close","DPS.Volume"
"2011-09-15",37.82,38.06,37.42,37.94,1583026
"2011-09-22",36.58,37.81,36.37,37.56,2328619
"2011-09-29",36.95,38.16,36.9,38.16,2393645
"2011-10-06",36.92,37.83,36.59,37.81,1766621
"2011-10-13",39.48,39.93,39.26,39.7,1183990
"2011-10-20",39.31,39.54,39.13,39.44,1073803
"2011-10-27",38.66,38.66,36.59,37.3,4777347
"2011-11-03",37.31,37.8,37.08,37.72,1436683
"2011-11-10",36.89,37.42,36.57,37.4,2266641
"2011-11-17",36,36.48,35.55,35.79,1644625
"2011-12-01",36.61,37.06,36.54,36.64,1155413
"2011-12-08",37.6,38.13,37.6,37.92,1576585
"2011-12-15",37.69,38.36,37.47,38.2,2092885
"2011-12-22",39.36,39.52,39.09,39.28,1124200
"2011-12-29",39.54,40.06,39.52,39.91,907077
"2012-01-05",38.53,38.87,38.3,38.79,2057680
"2012-01-12",38.16,38.34,37.77,37.96,1618497
"2012-01-19",37.59,37.73,37.23,37.33,1927974
"2012-01-26",39.03,39.67,38.86,39.08,2485209
"2012-02-02",38.9,39.29,38.89,39.08,1329972
"2012-02-09",38.04,38.16,37.75,38.13,1794335
"2012-02-16",39.81,40.34,39.58,40,2675676
"2012-02-23",38.85,38.98,38.67,38.87,1204899
"2012-03-01",38.17,38.74,37.94,38.14,2437655
"2012-03-08",37.9,38,37.6,37.7,4386430
"2012-03-15",38.34,38.56,37.95,38.45,1730968
"2012-03-22",38.33,38.96,38.2,38.95,1842641
"2012-03-29",38.59,39.75,38.52,39.75,2388185
"2012-04-05",40.15,40.55,39.85,40.54,2216836
"2012-04-12",39.4,39.41,38.76,39.14,1519711
"2012-04-19",40.44,40.7,40.38,40.5,1743280
"2012-04-26",39.78,39.98,39.47,39.71,2731135
"2012-05-03",41.17,41.4,40.01,40.11,4329708
"2012-05-10",41.06,41.35,40.76,41.18,1915366
"2012-05-17",41.15,41.2,40.82,40.83,2164994
"2012-05-24",41.14,41.31,40.57,40.76,2326501
"2012-05-31",41.57,41.57,41.11,41.26,2575092
"2012-06-07",41.61,42.14,41.43,41.86,1916525
"2012-06-14",42.88,43.13,41.87,42.87,3511073
"2012-06-21",42.71,43.09,42.21,42.22,1716458
"2012-06-28",42.61,43.49,42.24,43.47,2103080
"2012-07-05",43.8,44,43.68,43.92,1309783
"2012-07-12",43.5,43.82,43.24,43.7,1286386
"2012-07-19",44.07,44.4,43.87,43.95,1117591
"2012-07-26",44.43,44.85,42.34,44.66,3044137
"2012-08-02",45.33,45.66,44.86,45.1,862873
"2012-08-09",45.29,45.47,44.93,45.01,868602
"2012-08-16",44.9,45.13,44.79,44.91,1290944
"2012-08-23",45.21,45.23,44.59,44.67,1547272
"2012-08-30",44.81,44.87,44.46,44.6,818860
"2012-09-06",45,45.52,44.9,45.44,1444610
"2012-09-13",44.67,45.51,44.55,45.4,1290045
"2012-09-20",44.64,44.86,44.24,44.46,1742772
"2012-09-27",43.98,44.44,43.62,44.4,1162214
"2012-10-04",44.36,44.42,43.65,43.75,1714314
"2012-10-11",43.32,43.67,43.29,43.41,1013862
"2012-10-18",44.63,45.3,44.62,45.27,1093498
"2012-10-25",42.91,43,42.54,42.92,1531761
"2012-11-01",42.88,43.42,42.79,43.28,1373532
"2012-11-08",43.4,43.62,43,43.24,1627724
"2012-11-15",42.95,43.32,42.53,42.6,2350404
"2012-11-29",44.69,44.88,44.42,44.85,1170275
"2012-12-06",45.44,45.72,45.36,45.5,1083986
"2012-12-13",45.06,45.06,44.23,44.43,1234805
"2012-12-20",44.52,44.91,44.52,44.82,863696
"2012-12-27",44.26,44.51,43.93,44.21,551736
"2013-01-03",45.56,45.63,45.29,45.42,983426
"2013-01-10",45.9,45.99,45.65,45.76,808788
"2013-01-17",45.1,45.23,44.87,45.07,1344251
"2013-01-24",44.42,44.74,44.34,44.54,1011184
"2013-01-31",45.25,45.39,45,45.07,990084
"2013-02-07",46.04,46.26,45.86,45.98,580356
"2013-02-14",42.71,43.04,42.61,42.8,4137223
"2013-02-21",42.58,42.71,42.27,42.57,2204846
"2013-02-28",43.26,43.74,43.13,43.62,2217061
"2013-03-07",44.11,44.38,43.65,43.85,1527713
"2013-03-14",43.81,43.91,43.56,43.78,1011617
"2013-03-21",45.74,46,45.56,45.6,1104629
"2013-03-28",46.77,47.03,46.6,46.95,1130247
"2013-04-04",46.37,46.61,46.06,46.5,995403
"2013-04-11",47.08,47.74,47.04,47.61,1852019
"2013-04-18",47.03,47.54,47.03,47.11,1696775
"2013-04-25",48.28,48.44,47.88,48.12,1959925
"2013-05-02",48.09,48.68,48.09,48.68,1336836
"2013-05-09",49.24,49.44,48.5,48.62,1265884
"2013-05-16",50.19,50.19,49.28,49.59,1979499
"2013-05-23",47.95,48,47.52,47.63,1618356
"2013-05-30",47.6,47.74,46.92,46.96,992268
"2013-06-06",46.4,46.5,45.56,46.08,1252741
"2013-06-13",46.78,46.92,46.14,46.81,1239291
"2013-06-20",46.34,46.62,45.36,45.38,1485104
"2013-06-27",45.9,46.38,45.73,46,1040009
"2013-07-11",47.44,47.73,47.36,47.57,918478
"2013-07-18",47.77,47.98,47.62,47.91,602524
"2013-07-25",46.33,46.39,45.85,46.11,1541126
"2013-08-01",47.05,47.47,47,47.26,1443181
"2013-08-08",47.25,47.35,46.97,47.04,921231
"2013-08-15",45.78,45.94,45.13,45.28,1124788
"2013-08-22",45.21,45.4,44.93,45.24,583476
"2013-08-29",44.72,44.8,44.48,44.59,1570068
"2013-09-05",45.22,45.26,44.49,44.61,1039749
"2013-09-12",44.03,44.56,43.9,44.56,1742076
"2013-09-19",45.53,45.94,45.17,45.79,2026442
"2013-09-26",45.06,45.2,44.84,45.07,1113199
"2013-10-03",44,44.09,43.36,43.41,2088438
"2013-10-10",43.98,44.11,43.84,44.05,1369067
"2013-10-17",44.89,45.16,44.73,45.03,1332758
"2013-10-24",46.74,46.99,46.42,46.49,1788119
"2013-10-31",47.45,47.54,47.24,47.35,1434716
"2013-11-07",47.86,47.94,47.3,47.33,964297
"2013-11-14",48.23,48.92,48.13,48.75,836489
"2013-11-21",48.58,49.22,48.55,49.17,787352
"2013-12-05",48.5,48.56,48.16,48.21,1306289
"2013-12-12",47.93,48,47.17,47.3,1656677
"2013-12-19",48.19,48.26,47.57,47.8,938980
"2013-12-26",48.49,48.65,48.33,48.59,308079
"2014-01-02",48.86,48.93,47.48,47.67,1182288
"2014-01-09",47.76,48.1,47.66,47.97,929569
"2014-01-16",47.99,48.59,47.97,48.35,876405
"2014-01-23",49.2,49.51,48.77,49.09,3263121
"2014-01-30",48.07,48.43,48.01,48.29,1312187
"2014-02-06",47.83,48.14,47.53,47.86,1119132
"2014-02-13",49.95,50.24,49.84,50.07,3236258
"2014-02-20",51.15,51.66,50.94,51.47,2128212
"2014-02-27",51.55,51.79,51.26,51.65,2295866
"2014-03-06",52.15,52.29,51.93,52,2449863
"2014-03-13",52.61,52.65,51.84,51.86,2523171
"2014-03-20",52.17,52.54,51.93,52.54,1396474
"2014-03-27",53.66,54.07,53.43,53.72,2012693
"2014-04-03",53.86,54.26,53.48,53.77,1860771
"2014-04-10",52.72,52.99,52.01,52.07,2318563
"2014-04-17",52.48,52.8,52.25,52.54,1124344
"2014-04-24",54.48,54.76,53.75,53.82,2756849
"2014-05-01",55.5,55.68,55.07,55.59,1609487
"2014-05-08",56.61,56.97,56.41,56.56,1069450
"2014-05-15",56.98,57.11,56.67,56.83,849963
"2014-05-22",57.23,57.29,56.92,57.2,898096
"2014-05-29",57.18,57.88,57.14,57.85,824259
"2014-06-05",57.91,58.59,57.62,58.49,1789594
"2014-06-12",57.93,58.05,57.44,57.85,1403326
"2014-06-19",59.65,60.23,59.5,60.17,2061388
"2014-06-26",58.47,58.92,58.33,58.6,1260692
"2014-07-03",58.99,59.23,58.9,59.07,827593
"2014-07-10",58.12,59.06,58.07,58.93,1146185
"2014-07-17",59.09,59.58,58.87,58.9,1169959
"2014-07-24",59.29,61.52,59.29,60.98,3696895
"2014-07-31",59.44,59.44,58.65,58.76,1554493
"2014-08-07",60.46,60.66,59.83,59.94,932359
"2014-08-14",60.56,60.8,60.33,60.52,1703185
"2014-08-21",61.08,61.67,60.94,61.14,1069726
"2014-08-28",61.65,62.64,61.6,62.49,1558350
"2014-09-04",63.41,63.7,62.53,62.59,1780999
"2014-09-11",62.21,62.84,62.16,62.8,1118861
"2014-09-18",63.09,63.54,62.98,63.36,864548
"2014-09-25",64.62,64.62,63.75,63.95,1055066
"2014-10-02",63.47,63.91,63.35,63.6,2068450
"2014-10-09",65.32,65.77,64.1,64.26,1879657
"2014-10-16",61.3,62.14,60.65,61.85,2229483
"2014-10-23",67.13,69.35,66.75,66.95,2675344
"2014-10-30",67.87,69.26,67.52,68.94,1683409
"2014-11-06",69.25,70.03,69.13,69.94,1792312
"2014-11-13",70.83,71.5,70.19,70.71,1407964
"2014-11-20",70.87,72.12,70.87,71.76,1494284
"2014-12-04",72.46,72.8,71.97,72.12,1792958
"2014-12-11",70.88,71.68,70.71,71.03,1283188
"2014-12-18",71.29,72.31,70.73,72.31,2347624
"2015-01-08",73.23,74.25,73.15,74.2,1803012
"2015-01-15",76.09,76.09,75.03,75.51,1570152
"2015-01-22",79.14,79.41,78.26,79.34,3006847
"2015-01-29",78.64,79.2,77.91,79.08,1871323
"2015-02-05",78.66,78.89,77.24,77.36,1922945
"2015-02-12",80.5,81.45,77.77,78.3,2782828
"2015-02-19",78.05,78.8,77.95,78.22,1626774
"2015-02-26",79.07,79.07,77.9,78.19,3503128
"2015-03-05",78.33,79.05,78.07,78.9,1376737
"2015-03-12",76.75,77.61,76.75,77.56,864345
"2015-03-19",76.37,76.84,75.72,76.11,1006930
"2015-03-26",77.95,79.44,77.9,79.1,2312986
"2015-04-02",78.55,78.55,77.94,78.12,1880541
"2015-04-09",78.88,79.28,78.64,79.02,1348705
"2015-04-16",78.15,78.59,77.9,78.36,976909
"2015-04-23",79.6,79.98,78.27,78.95,1884365
"2015-04-30",75.18,75.56,74.23,74.58,1467659
"2015-05-07",75.8,76.26,75.6,75.75,1195487
"2015-05-14",77.35,77.91,77.18,77.66,993916
"2015-05-21",77.46,77.84,77.07,77.69,844235
"2015-05-28",77.14,77.51,76.64,76.99,900897
"2015-06-04",75.81,76.09,75.14,75.26,1082922
"2015-06-11",73.69,74.36,73.69,74.17,1064619
"2015-06-18",74.25,75.06,74.15,74.77,718008
"2015-06-25",74.52,75.03,74.46,74.69,1243350
"2015-07-02",74.53,74.85,73.76,74.18,925580
"2015-07-09",77.07,77.78,76.22,76.34,1005674
"2015-07-16",78.83,78.99,78.57,78.76,726139
"2015-07-23",78.93,79.37,76.43,77.26,1261290
"2015-07-30",79.08,80.1,79,79.82,1000624
"2015-08-06",83.37,83.57,82.1,82.29,1632500
"2015-08-13",81.51,82.5,81.5,82.12,609572
"2015-08-20",81.9,82.18,81.35,81.42,725940
"2015-08-27",77.21,77.65,75.69,77.06,2225099
"2015-09-03",76.74,77.5,76.71,76.95,1115067
"2015-09-10",75.76,76.37,75.35,75.95,982135
"2015-09-17",77.28,78.72,77.11,77.81,779316
"2015-09-24",77.3,77.97,77.08,77.82,776244
"2015-10-01",78.95,79.32,78.39,79.22,1145005
"2015-10-08",82.94,83.79,82.49,83.6,1056649
"2015-10-15",83.42,83.53,82.45,82.98,867618
"2015-10-22",85.64,90.12,85.64,89.6,2486819
"2015-10-29",90.57,90.71,89.94,90.08,952928
"2015-11-05",88.38,88.39,87.49,87.7,1449909
"2015-11-12",88.17,88.43,86.79,86.82,1058409
"2015-11-19",89.04,89.91,89.02,89.32,959280
"2015-12-03",90.79,91.06,89.41,89.79,1309707
"2015-12-10",90.8,91.67,90.26,91.08,1104631
"2015-12-17",93.91,93.92,92.75,93.03,1986225
"2015-12-24",93.61,94.31,93.5,93.92,346985
"2015-12-31",94.41,94.55,93.18,93.2,775678
"2016-01-07",93.27,94.51,93.01,93.29,2203198
"2016-01-14",90.09,90.85,89.42,90.22,1596745
"2016-01-21",90.45,90.94,89.22,89.97,1644695
"2016-01-28",90.71,92.23,90.51,92.07,2093287
"2016-02-04",92.89,93.18,89.79,90.23,2139838
"2016-02-11",89.34,90.08,88.31,89.59,1393371
"2016-02-18",89.6,90.18,89.06,89.94,2885180
"2016-02-25",92.97,93.34,92.39,93.21,1707626
"2016-03-03",91.9,92.04,91.03,91.95,1318492
"2016-03-10",92.03,92.88,91.33,92.12,1016900
"2016-03-17",90.2,92,90.15,91.79,1604334
"2016-03-24",89.54,90.1,88,88.23,1488329
"2016-03-31",90.06,90.44,89.33,89.42,1145543
"2016-04-07",90.74,90.94,89.71,89.97,1619248
"2016-04-14",89.25,89.51,88.18,88.25,1871329
"2016-04-21",87.7,87.97,86.03,86.42,1950098
"2016-04-28",89.97,91.12,89.53,90.61,1554597
"2016-05-05",92.64,93.57,92.63,92.98,979991
"2016-05-12",94.92,95.56,94.39,95.56,1124562
"2016-05-19",91.77,92.31,91.54,92.2,665272
"2016-05-26",91.94,92.39,91.74,92.18,941006
"2016-06-02",92.12,92.37,91.8,92.04,669584
"2016-06-09",91.83,92.49,91.46,92.37,1079135
"2016-06-16",91.02,92.47,90.9,92.41,1201504
