"","DRE.Open","DRE.High","DRE.Low","DRE.Close","DRE.Volume"
"2011-09-15",11.4,11.53,11.27,11.51,2434206
"2011-09-22",10.45,10.52,10.16,10.38,4284644
"2011-09-29",10.79,10.87,10.52,10.86,3413707
"2011-10-06",9.87,10.27,9.71,10.26,2638756
"2011-10-13",9.99,10.2,9.87,10.08,4229144
"2011-10-20",10.65,10.7,10.28,10.68,2351563
"2011-10-27",12.06,12.65,11.83,12.37,5140165
"2011-11-03",12.14,12.35,11.87,12.21,3843108
"2011-11-10",11.66,11.68,11.35,11.42,3853059
"2011-11-17",11.35,11.38,11.11,11.19,2915385
"2011-12-01",11.54,11.54,11.35,11.47,2372761
"2011-12-08",11.68,11.75,11.33,11.36,2437077
"2011-12-15",11.35,11.43,11.26,11.37,2440061
"2011-12-22",12,12.29,11.96,12.14,1546557
"2011-12-29",11.95,12.26,11.94,12.14,1627905
"2012-01-05",12.01,12.25,11.9,12.25,3046791
"2012-01-12",12.55,12.69,12.35,12.68,2300734
"2012-01-19",13.14,13.33,13.03,13.28,2755772
"2012-01-26",13.19,13.6,13.04,13.34,5889264
"2012-02-02",13.61,13.81,13.55,13.77,8381922
"2012-02-09",13.9,13.94,13.75,13.82,1906865
"2012-02-16",13.65,13.94,13.59,13.91,2698515
"2012-02-23",13.59,13.93,13.58,13.92,3404353
"2012-03-01",13.95,14.03,13.74,13.89,3675131
"2012-03-08",13.98,14.03,13.81,13.88,1882141
"2012-03-15",14.3,14.5,14.15,14.4,2875407
"2012-03-22",14.39,14.41,14.06,14.2,2081737
"2012-03-29",14.22,14.32,14.09,14.31,2139269
"2012-04-05",14.24,14.31,14.17,14.24,2580144
"2012-04-12",13.85,14.18,13.77,14.18,1579091
"2012-04-19",14.41,14.49,14.3,14.36,2375032
"2012-04-26",14.46,14.98,14.43,14.79,3364785
"2012-05-03",14.94,15.17,14.91,15.04,2280523
"2012-05-10",14.97,14.99,14.68,14.76,3519214
"2012-05-17",14.02,14.06,13.51,13.55,2850755
"2012-05-24",13.92,13.92,13.58,13.79,1499500
"2012-05-31",13.63,13.92,13.45,13.84,3622173
"2012-06-07",14.04,14.11,13.67,13.7,2436924
"2012-06-14",13.75,14.04,13.72,13.98,2116291
"2012-06-21",14.46,14.47,14.1,14.11,1963094
"2012-06-28",13.96,14.26,13.81,14.26,3949414
"2012-07-05",14.82,14.9,14.72,14.74,2117852
"2012-07-12",14.27,14.49,14.2,14.36,2729327
"2012-07-19",14.79,14.79,14.38,14.52,3042597
"2012-07-26",14.2,14.34,14.07,14.3,3961152
"2012-08-02",14.43,14.5,14.29,14.5,2308672
"2012-08-09",14.27,14.38,14.21,14.22,1664089
"2012-08-16",14.01,14.04,13.85,14,2426922
"2012-08-23",14.27,14.31,14.14,14.17,1019553
"2012-08-30",14.3,14.39,14.27,14.39,1435915
"2012-09-06",14.76,15.03,14.71,14.95,5205928
"2012-09-13",15.4,15.69,15.33,15.63,3320746
"2012-09-20",15.26,15.34,15.03,15.13,2903890
"2012-09-27",14.75,14.87,14.68,14.73,2058156
"2012-10-04",14.8,14.87,14.5,14.54,3573165
"2012-10-11",14.68,14.78,14.59,14.72,1763186
"2012-10-18",14.91,15.16,14.91,15.15,1695752
"2012-10-25",14.69,14.82,14.32,14.38,2937108
"2012-11-01",14.08,15.92,13.67,14.25,4327747
"2012-11-08",14.03,14.03,13.74,13.76,2299542
"2012-11-15",12.89,13.04,12.71,12.77,3036942
"2012-11-29",13.5,13.56,13.4,13.41,2288574
"2012-12-06",13.36,13.42,13.31,13.36,1657930
"2012-12-13",13.56,13.56,13.39,13.48,1295945
"2012-12-20",13.85,13.97,13.72,13.96,1440648
"2012-12-27",13.82,13.87,13.68,13.81,1463607
"2013-01-03",14.06,14.23,14.03,14.13,1984860
"2013-01-10",14.43,14.81,14.32,14.75,32370651
"2013-01-17",14.87,15.08,14.83,15.04,8378249
"2013-01-24",15.24,15.3,15.17,15.22,2686598
"2013-01-31",15.1,15.41,15.05,15.41,9516956
"2013-02-07",15.83,15.94,15.77,15.91,4507710
"2013-02-14",15.96,16.08,15.89,15.91,5867845
"2013-02-21",15.59,15.64,15.38,15.48,3321419
"2013-02-28",15.99,16.22,15.98,16.16,5754228
"2013-03-07",16.48,16.5,16.29,16.37,2550261
"2013-03-14",16.55,16.83,16.55,16.81,3043389
"2013-03-21",16.81,16.95,16.74,16.78,3510815
"2013-03-28",17.09,17.16,16.97,16.98,6006437
"2013-04-04",17.2,17.6,17.18,17.59,2182477
"2013-04-11",17.4,17.82,17.4,17.6,3624152
"2013-04-18",17.29,17.34,17.08,17.2,1666914
"2013-04-25",17.34,17.5,16.94,17.09,3774378
"2013-05-02",17.62,17.8,17.58,17.76,3150033
"2013-05-09",18.35,18.4,18.27,18.3,2497408
"2013-05-16",18.63,18.79,18.54,18.64,2341588
"2013-05-23",17.8,17.82,17.38,17.7,1920498
"2013-05-30",16.85,16.98,16.59,16.69,2896676
"2013-06-06",15.87,16.27,15.71,16.27,3433346
"2013-06-13",15.27,15.67,15.26,15.58,4156216
"2013-06-20",15.39,15.43,14.62,14.7,3240566
"2013-06-27",15.48,15.81,15.47,15.78,1551632
"2013-07-11",16.27,16.56,16.27,16.55,1893512
"2013-07-18",16.96,17.25,16.88,17.24,1472313
"2013-07-25",16.96,17.08,16.86,16.94,1948916
"2013-08-01",16.67,16.89,16.06,16.16,5414810
"2013-08-08",15.97,15.98,15.72,15.81,2451454
"2013-08-15",15.27,15.35,14.96,15.12,1947550
"2013-08-22",14.64,14.76,14.51,14.65,2018573
"2013-08-29",14.8,14.83,14.67,14.76,1866693
"2013-09-05",14.62,14.62,14.31,14.38,1854829
"2013-09-12",15.19,15.25,15.02,15.07,1871950
"2013-09-19",16.23,16.42,16.15,16.24,2183286
"2013-09-26",15.66,15.86,15.65,15.84,1296908
"2013-10-03",15.63,15.68,15.24,15.35,2232056
"2013-10-10",15.43,15.73,15.36,15.63,7215013
"2013-10-17",16.28,16.76,16.23,16.7,2390258
"2013-10-24",16.81,17.01,16.74,17.01,1824188
"2013-10-31",16.73,16.93,16.48,16.57,3840217
"2013-11-07",16.25,16.3,15.82,15.85,2338341
"2013-11-14",15.85,16.13,15.85,16,1988041
"2013-11-21",15.41,15.54,15.3,15.46,1607581
"2013-12-05",14.98,15.06,14.82,14.93,3515231
"2013-12-12",14.4,14.42,14.18,14.18,3108972
"2013-12-19",14.71,14.73,14.5,14.68,4382134
"2013-12-26",14.95,15.09,14.77,14.85,1525553
"2014-01-02",15.25,15.25,14.97,15.05,2550464
"2014-01-09",15.08,15.08,14.79,14.97,1662047
"2014-01-16",15.14,15.19,15.07,15.1,1396448
"2014-01-23",15.05,15.09,14.96,15.01,2778574
"2014-01-30",15.11,15.53,15.05,15.4,3983601
"2014-02-06",15.66,15.98,15.58,15.93,1895554
"2014-02-13",16,16.28,15.99,16.14,1779013
"2014-02-20",16.49,16.66,16.38,16.49,1327680
"2014-02-27",16.4,16.62,16.35,16.47,3369837
"2014-03-06",16.9,16.92,16.68,16.79,1375497
"2014-03-13",16.71,16.71,16.53,16.58,1721257
"2014-03-20",16.27,16.33,16.13,16.3,1649359
"2014-03-27",16.3,16.51,16.19,16.51,1419846
"2014-04-03",16.99,16.99,16.7,16.83,2246028
"2014-04-10",17.1,17.37,16.92,17,3065243
"2014-04-17",17.32,17.34,17.15,17.26,1652653
"2014-04-24",17.37,17.42,17.27,17.37,2336965
"2014-05-01",17.45,17.6,17.16,17.55,1702647
"2014-05-08",17.53,17.64,17.46,17.62,2511636
"2014-05-15",17.43,17.43,17.17,17.26,1837174
"2014-05-22",17.29,17.41,17.15,17.32,1505737
"2014-05-29",17.62,17.67,17.51,17.65,1896409
"2014-06-05",17.78,18.13,17.7,18.11,1820217
"2014-06-12",17.79,17.8,17.57,17.62,2691540
"2014-06-19",17.82,18.05,17.8,18.01,2401071
"2014-06-26",17.87,17.96,17.78,17.95,1909551
"2014-07-03",18.11,18.11,17.89,17.98,1011779
"2014-07-10",17.84,18.12,17.72,18.02,1521071
"2014-07-17",18.17,18.27,18.11,18.13,1092180
"2014-07-24",18.32,18.38,18.19,18.21,1330866
"2014-07-31",18.12,18.41,17.97,17.99,3673113
"2014-08-07",17.95,18.07,17.81,17.85,1305796
"2014-08-14",18.34,18.4,18.24,18.28,2060097
"2014-08-21",18.7,18.8,18.59,18.63,1437097
"2014-08-28",18.32,18.39,18.28,18.35,942886
"2014-09-04",18.47,18.59,18.22,18.27,2238318
"2014-09-11",18.14,18.27,18.07,18.19,1022282
"2014-09-18",17.87,17.98,17.53,17.58,1917647
"2014-09-25",17.09,17.14,16.94,17.05,2190069
"2014-10-02",17.17,17.38,17.06,17.26,3369532
"2014-10-09",17.64,17.92,17.49,17.53,3042275
"2014-10-16",17.5,17.89,17.41,17.82,2960286
"2014-10-23",18.26,18.46,18.13,18.3,6804463
"2014-10-30",18.44,18.79,18.31,18.76,2358595
"2014-11-06",19.55,19.61,19.32,19.36,2199668
"2014-11-13",19.1,19.27,19.07,19.16,1811728
"2014-11-20",18.86,18.96,18.8,18.93,1881748
"2014-12-04",19.39,19.43,19.23,19.4,2822918
"2014-12-11",19.56,19.67,19.52,19.57,2386857
"2014-12-18",20.05,20.17,19.89,20.17,3565109
"2015-01-08",21.21,21.46,21.07,21.46,3429534
"2015-01-15",21.69,21.73,21.49,21.63,2178953
"2015-01-22",21.96,22.24,21.78,22.24,1782814
"2015-01-29",22.51,22.63,22.2,22.41,2183983
"2015-02-05",21.89,22.17,21.73,22.15,1538519
"2015-02-12",21.05,21.61,20.97,21.59,2251958
"2015-02-19",21.45,21.49,21.1,21.24,2109963
"2015-02-26",21.34,21.35,21,21.19,2337425
"2015-03-05",21.15,21.37,21.12,21.21,1523019
"2015-03-12",20.51,20.72,20.46,20.66,2216723
"2015-03-19",21.67,21.82,21.49,21.72,2163028
"2015-03-26",21.63,21.75,21.44,21.6,2317269
"2015-04-02",21.81,22.13,21.72,22.04,2478214
"2015-04-09",21.14,21.19,20.63,20.65,3662762
"2015-04-16",20.51,20.78,20.41,20.71,2424487
"2015-04-23",20.34,20.47,20.31,20.38,1280740
"2015-04-30",19.7,20.02,19.62,19.81,3631889
"2015-05-07",19.55,19.74,19.49,19.68,2640170
"2015-05-14",19.48,19.8,19.44,19.75,2182826
"2015-05-21",20.11,20.13,19.88,20.03,1550783
"2015-05-28",19.87,19.94,19.67,19.76,1774935
"2015-06-04",19.11,19.3,19.11,19.19,1800740
"2015-06-11",19.11,19.25,19.09,19.18,2916658
"2015-06-18",19.04,19.4,18.99,19.29,2133880
"2015-06-25",19.04,19.05,18.64,18.68,3665691
"2015-07-02",18.99,19.17,18.84,18.89,2198382
"2015-07-09",19.21,19.48,19.03,19.07,1996194
"2015-07-16",19.38,19.67,19.38,19.65,1541529
"2015-07-23",19.71,19.75,19.4,19.57,2579533
"2015-07-30",19.85,20.06,19.74,20.02,2517931
"2015-08-06",19.81,19.84,19.41,19.82,1735374
"2015-08-13",19.64,20.05,19.43,19.71,2396601
"2015-08-20",19.96,20.11,19.86,19.92,2091574
"2015-08-27",18.37,18.68,18.15,18.55,2539144
"2015-09-03",18.22,18.4,17.81,18.3,1962285
"2015-09-10",17.76,18.24,17.76,18.01,1976208
"2015-09-17",18.8,19.38,18.68,19,2713343
"2015-09-24",18.94,19.06,18.44,18.97,2515704
"2015-10-01",19.07,19.3,18.97,19.2,1643540
"2015-10-08",20.35,20.6,20.24,20.55,1892687
"2015-10-15",20.44,20.68,20.32,20.57,2838094
"2015-10-22",20.95,21.24,20.86,21.05,3408782
"2015-10-29",20.96,21.07,20.56,20.94,1637870
"2015-11-05",20.88,21.05,20.79,21.03,1230434
"2015-11-12",19.43,19.54,19.25,19.28,3049167
"2015-11-19",19.69,19.86,19.62,19.71,2333646
"2015-12-03",20.48,20.68,20.14,20.23,5634186
"2015-12-10",20.38,20.67,20.33,20.51,3669023
"2015-12-17",21.11,21.23,21,21.12,2500286
"2015-12-24",20.97,21.01,20.83,20.94,468641
"2015-12-31",21.3,21.39,21.02,21.02,2444230
"2016-01-07",20.55,20.65,20.18,20.3,2799604
"2016-01-14",19.57,19.67,19.38,19.47,2424034
"2016-01-21",18.99,19.22,18.76,18.95,2619601
"2016-01-28",19.54,19.95,19.46,19.65,2541504
"2016-02-04",19.94,20.18,19.88,19.98,1566680
"2016-02-11",18.91,19.03,18.57,18.76,2924310
"2016-02-18",20.02,20.34,19.87,20.22,2483108
"2016-02-25",20.44,20.86,20.44,20.86,2454119
"2016-03-03",21.41,21.57,21.3,21.51,2026709
"2016-03-10",21.28,21.48,20.78,21.07,2059424
"2016-03-17",21.82,22.29,21.8,22.19,1790909
"2016-03-24",21.74,21.9,21.56,21.74,1079007
"2016-03-31",22.37,22.57,22.27,22.54,2754439
"2016-04-07",22.31,22.41,22.17,22.36,1726842
"2016-04-14",22.27,22.39,22.12,22.21,2397099
"2016-04-21",21.91,22.11,21.61,21.7,2978604
"2016-04-28",22.25,22.65,22.15,22.21,2790678
"2016-05-05",22.5,22.72,22.37,22.7,1702823
