"","DRI.Open","DRI.High","DRI.Low","DRI.Close","DRI.Volume"
"2011-09-15",45.36,45.48,44.71,45.2,1469402
"2011-09-22",42.91,44.88,42.65,44.56,3448464
"2011-09-29",44.72,45.19,42.55,43.49,5472273
"2011-10-06",42.37,43.92,42.37,43.31,2290064
"2011-10-13",46.14,47.31,46.14,46.68,2291247
"2011-10-20",46.13,46.38,45.6,46.05,1458658
"2011-10-27",48,49.16,47.33,48.53,2360229
"2011-11-03",46.77,47.63,46.33,47.53,1844159
"2011-11-10",46.85,47.01,46.18,46.53,1218267
"2011-11-17",46.95,47.44,46.38,46.89,2432675
"2011-12-01",47.6,47.85,47.05,47.45,1477111
"2011-12-08",43.19,43.75,42.87,43.08,3011538
"2011-12-15",43.45,43.99,43.08,43.74,3033163
"2011-12-22",44.65,45.11,44.42,44.97,1812520
"2011-12-29",45.46,45.84,45.34,45.73,828077
"2012-01-05",44.75,45.59,44.4,45.44,1861328
"2012-01-12",44.52,44.88,44.32,44.65,1690736
"2012-01-19",46.16,46.48,45.47,46.11,1556756
"2012-01-26",47,47,46.13,46.66,1259664
"2012-02-02",47.2,47.29,46.5,46.94,944562
"2012-02-09",49.49,49.5,48.94,49.42,1593519
"2012-02-16",49.39,51.31,49.39,50.54,3239557
"2012-02-23",50.62,50.62,49.59,49.8,3003385
"2012-03-01",51.19,51.2,50.12,50.14,1881336
"2012-03-08",50.61,51.48,50.48,51.39,1385916
"2012-03-15",52.47,53.07,52.19,53.03,1398934
"2012-03-22",52.05,52.29,51.34,51.83,2579683
"2012-03-29",50.16,50.84,49.67,50.7,2456237
"2012-04-05",49.69,50.06,49.3,50,2101788
"2012-04-12",49.89,50.01,49.46,49.79,1894987
"2012-04-19",50.27,50.54,49.43,49.71,1711405
"2012-04-26",50.74,51.18,50.5,50.86,1382508
"2012-05-03",51.07,51.07,50.4,50.5,1356109
"2012-05-10",50.6,51.08,50.34,50.89,1573940
"2012-05-17",53.22,53.22,51.7,51.73,2957237
"2012-05-24",53.4,54.19,52.89,53.24,2010359
"2012-05-31",51.75,52.05,51.37,51.73,1952583
"2012-06-07",50.62,50.7,49.06,49.21,2392652
"2012-06-14",48.9,50.69,48.9,50.13,2141458
"2012-06-21",51.5,51.98,50.14,50.39,2922535
"2012-06-28",49.75,49.75,48.78,49.2,2392290
"2012-07-05",51.09,52.41,51.09,51.88,1924484
"2012-07-12",50.15,50.61,49.61,50.2,2040785
"2012-07-19",51.35,52.51,51.31,52.09,1258225
"2012-07-26",49.86,51.13,49.86,50.99,2150164
"2012-08-02",51,51.43,50.68,51.2,1252619
"2012-08-09",53.61,53.78,53.07,53.11,1072818
"2012-08-16",53.39,53.95,53.37,53.84,1207694
"2012-08-23",52.31,52.31,51.42,51.45,1978367
"2012-08-30",52.45,52.75,52.11,52.2,1134346
"2012-09-06",52.51,53.62,52.33,53.52,1126859
"2012-09-13",54.1,55,53.68,54.83,1913033
"2012-09-20",55,55.04,54.38,54.72,2268634
"2012-09-27",55.99,56.34,55.76,55.89,1126948
"2012-10-04",56,56.14,55.52,56.04,1132921
"2012-10-11",54.8,54.8,54.28,54.44,1002426
"2012-10-18",54.9,55.3,54.73,55.21,820929
"2012-10-25",52.56,52.96,51.94,52.66,1074177
"2012-11-01",52.93,53.45,52.68,53.2,953956
"2012-11-08",52.61,52.75,51.15,51.35,1399000
"2012-11-15",50.25,51.04,50.2,50.48,1262443
"2012-11-29",53.95,54.19,53.52,53.65,892334
"2012-12-06",47,47.35,46.74,47.04,1949702
"2012-12-13",45.48,46.11,45.26,45.92,2682265
"2012-12-20",46.71,46.9,45.25,45.47,3044408
"2012-12-27",44.57,44.76,44.12,44.65,1492220
"2013-01-03",45.09,45.26,44.69,44.84,1810879
"2013-01-10",46,46,44.95,45.24,1614835
"2013-01-17",45.57,45.78,45.11,45.39,1363646
"2013-01-24",45.61,46.14,45.54,45.81,2144922
"2013-01-31",46.5,46.61,46.11,46.5,1801117
"2013-02-07",47.36,47.82,47.08,47.31,2137643
"2013-02-14",45.78,45.91,45.37,45.52,1562751
"2013-02-21",44.83,45.3,44.11,44.74,3913555
"2013-02-28",46.83,46.84,46.17,46.27,2118331
"2013-03-07",47.26,47.54,46.86,47.48,1713083
"2013-03-14",49.02,49.13,48.64,48.88,1117736
"2013-03-21",48.56,49.04,48.32,48.96,2046403
"2013-03-28",50.59,51.86,50.55,51.68,2047675
"2013-04-04",50.82,51.36,50.8,51.08,3553922
"2013-04-11",50.09,50.55,49.63,49.83,2192406
"2013-04-18",48.86,49.03,48.25,48.83,1300469
"2013-04-25",50.78,51.4,50.65,50.97,1741584
"2013-05-02",51.69,52.49,51.47,52.33,1752156
"2013-05-09",53.41,53.43,52.68,52.99,709264
"2013-05-16",53.75,53.75,52.76,52.78,1470651
"2013-05-23",52.25,53.24,52.07,53.22,709990
"2013-05-30",53.07,53.22,52.4,52.48,754907
"2013-06-06",52.72,53.35,52.58,53.31,928873
"2013-06-13",52.71,53.5,52.44,53.28,1285803
"2013-06-20",52.41,52.64,50.98,51.23,2442445
"2013-06-27",49.93,50.29,49.32,49.41,1579862
"2013-07-11",51.37,51.5,50.3,50.55,1553259
"2013-07-18",49.8,50.11,49.8,50.07,1349840
"2013-07-25",48.15,48.41,47.76,48.39,1393390
"2013-08-01",49.38,49.94,49.32,49.56,1380084
"2013-08-08",49.86,49.98,49.47,49.54,733123
"2013-08-15",48.4,48.48,47.67,47.84,1531181
"2013-08-22",47.16,47.63,47.05,47.27,1272900
"2013-08-29",46.39,46.77,46.33,46.55,790030
"2013-09-05",46.72,47.19,46.71,46.86,1063542
"2013-09-12",48.39,48.79,48.05,48.21,964407
"2013-09-19",49.78,49.8,48.92,49.3,1852209
"2013-09-26",46.1,46.44,45.76,46.44,1680798
"2013-10-03",46.39,46.45,45.43,45.95,2134516
"2013-10-10",49.48,49.89,48.78,49.78,3434264
"2013-10-17",50.55,52.74,49.68,51.8,5511588
"2013-10-24",51.01,51.55,50.85,51.49,1169444
"2013-10-31",52.12,52.15,51.39,51.53,984865
"2013-11-07",53.01,53.13,52,52.14,1184958
