"","DTE.Open","DTE.High","DTE.Low","DTE.Close","DTE.Volume"
"2011-09-15",49.36,50.09,48.94,50.09,2211699
"2011-09-22",48.24,48.86,47.82,48.13,1753212
"2011-09-29",49.21,49.64,48.81,49.45,989638
"2011-10-06",48.8,49.88,48.63,49.84,1040418
"2011-10-13",49.94,50.37,49.55,50.32,1145981
"2011-10-20",51.05,51.53,50.96,51.32,1463396
"2011-10-27",52.61,52.62,51.72,52.06,1146265
"2011-11-03",52.07,52.55,51.69,52.19,2052149
"2011-11-10",51.3,51.49,50.75,51.18,1043166
"2011-11-17",51.28,51.52,50.44,50.92,952910
"2011-12-01",52.64,53,52.33,52.63,693497
"2011-12-08",52.2,52.2,51.35,51.46,1124655
"2011-12-15",51.66,51.77,51.33,51.51,1374976
"2011-12-22",54.31,54.37,53.97,54.21,778270
"2011-12-29",54.81,55.1,54.71,55.02,629376
"2012-01-05",53.57,54.17,53.26,53.99,940713
"2012-01-12",53.61,53.85,53.46,53.58,563846
"2012-01-19",53.49,53.55,52.78,52.99,756244
"2012-01-26",54.1,54.49,53.88,54.34,869513
"2012-02-02",53.51,53.72,53.29,53.55,432917
"2012-02-09",54.5,54.53,53.99,54.26,537507
"2012-02-16",53.49,54.28,53.49,54,1375819
"2012-02-23",54.45,54.95,54.24,54.81,1008837
"2012-03-01",54.1,54.58,53.92,54.41,914156
"2012-03-08",54.5,55.05,54.37,55.03,2953836
"2012-03-15",54.92,54.92,54.19,54.72,1019617
"2012-03-22",54.06,54.25,53.87,54.18,1274157
"2012-03-29",54.62,54.95,54.32,54.86,1442984
"2012-04-05",55,55.03,54.61,54.78,627743
"2012-04-12",54.1,54.58,53.7,54.52,755434
"2012-04-19",55.14,55.14,54.53,54.72,1004561
"2012-04-26",56.2,56.6,55.86,56.53,900076
"2012-05-03",56.15,56.73,56.05,56.15,664931
"2012-05-10",55.88,56.48,55.79,56.34,807838
"2012-05-17",56,56,55.04,55.07,961185
