"","EA.Open","EA.High","EA.Low","EA.Close","EA.Volume"
"2011-09-15",23,23.06,22.54,22.97,8230992
"2011-09-22",21.29,21.39,20.46,20.76,9932016
"2011-09-29",21.39,21.65,20.07,20.62,8118349
"2011-10-06",21,22.56,20.85,22.56,12454131
"2011-10-13",23.64,23.88,23.34,23.83,5663093
"2011-10-20",23.5,23.79,22.8,23.41,7175557
"2011-10-27",25,25.28,23.82,24.5,18728712
"2011-11-03",23.76,24.51,23.33,24.38,12895671
"2011-11-10",23.33,23.95,23.33,23.57,7451615
"2011-11-17",22.96,22.99,22.18,22.32,6129384
"2011-12-01",23.1,23.8,23.1,23.32,7345448
"2011-12-08",22.52,22.54,21.46,21.49,7848422
"2011-12-15",20.64,21.07,20.61,20.92,6386107
"2011-12-22",20.3,20.49,20.01,20.3,3468649
"2011-12-29",20.59,20.91,20.37,20.86,2296642
"2012-01-05",20.4,20.81,20.16,20.53,5057777
"2012-01-12",19.56,19.83,19.33,19.51,5889681
"2012-01-19",18.23,18.4,16.85,17.54,19893972
"2012-01-26",18.05,18.43,17.59,17.66,6248106
"2012-02-02",19.76,20.64,19.4,19.56,25830149
"2012-02-09",17.94,18.19,17.52,17.87,16376165
"2012-02-16",17.82,17.96,17.5,17.77,5611966
"2012-02-23",17.16,17.31,17.07,17.19,3253946
"2012-03-01",16.33,16.71,16.05,16.69,12828208
"2012-03-08",16.57,17.7,16.36,17.4,19120992
"2012-03-15",16.51,16.87,16.46,16.71,6072434
"2012-03-22",16.8,17.12,16.74,16.96,4744565
"2012-03-29",16.67,16.88,16.29,16.49,6694469
"2012-04-05",16.21,16.43,16.15,16.27,3734548
"2012-04-12",15.88,16.54,15.8,16.52,5970913
"2012-04-19",15.02,15.31,14.7,14.76,5767127
"2012-04-26",15.76,16.1,15.34,15.93,12914486
"2012-05-03",15.83,16.06,15.6,15.67,8903076
"2012-05-10",14.29,14.78,14.23,14.71,10803852
"2012-05-17",14.39,14.59,14.22,14.24,6093300
"2012-05-24",14.65,14.67,14.11,14.22,4256378
"2012-05-31",14.14,14.15,13.61,13.62,7312827
"2012-06-07",13.83,13.89,13.31,13.42,5191638
"2012-06-14",12.34,12.46,12.24,12.32,5411122
"2012-06-21",12.66,12.68,11.98,12,4727796
"2012-06-28",12.01,12.1,11.74,11.89,2644012
"2012-07-05",12.54,12.6,12.37,12.39,2069418
"2012-07-12",11.72,11.9,11.36,11.59,4703100
"2012-07-19",11.55,12.38,11.53,12.27,6431076
"2012-07-26",11.6,11.76,10.86,10.94,10637812
"2012-08-02",11.4,11.75,11.26,11.37,7875590
"2012-08-09",12.91,13.16,12.86,13.12,7442881
"2012-08-16",14.31,14.39,13.62,13.81,19950196
"2012-08-23",13.37,13.39,13.08,13.25,4641976
"2012-08-30",12.8,13.12,12.7,13,4421538
"2012-09-06",13.33,13.94,13.23,13.63,8820865
"2012-09-13",13.99,14.33,13.87,14.24,5249161
"2012-09-20",13.89,13.96,13.35,13.48,7351419
"2012-09-27",12.67,12.93,12.67,12.78,6531857
"2012-10-04",12.81,13.05,12.66,13.03,5454537
"2012-10-11",12.92,13.11,12.85,13.05,4548452
