"","ECL.Open","ECL.High","ECL.Low","ECL.Close","ECL.Volume"
"2011-09-15",51.71,51.86,50.99,51.57,2092322
"2011-09-22",49.46,49.63,48.49,49.19,6057911
"2011-09-29",50.14,50.39,48.67,49.33,2528041
"2011-10-06",50.71,51.38,49.6,50.09,3653020
"2011-10-13",52.48,52.91,51.41,52.64,2576272
"2011-10-20",53.04,53.47,52.38,53.2,1974136
"2011-10-27",54.47,55.57,53.97,54.88,3542287
"2011-11-03",54.61,55.69,54.31,55.61,2723890
"2011-11-10",54.31,54.91,53.85,54.72,2471350
"2011-11-17",54.56,55.05,53.83,54.17,1767485
"2011-12-01",55.94,56.51,54.68,55.62,10766515
"2011-12-08",55.4,55.9,55.35,55.42,8047089
"2011-12-15",54.61,54.65,54.06,54.35,1997176
"2011-12-22",56.23,56.47,55.78,56.33,1969012
"2011-12-29",56.62,57.7,56.58,57.63,2221419
"2012-01-05",57.91,58.3,57.44,58.21,1698927
"2012-01-12",59.47,59.88,59.23,59.81,1555991
"2012-01-19",60.49,60.6,60.06,60.15,2798528
"2012-01-26",61.25,61.42,60.53,60.76,2040711
"2012-02-02",60.75,60.88,60.49,60.5,1575048
"2012-02-09",61.91,61.91,61.18,61.65,1178484
"2012-02-16",61.62,62.16,61.47,61.98,1266641
"2012-02-23",61.97,62.24,61.79,62.17,1508893
"2012-03-01",59.71,60.37,59.71,60.11,2729909
"2012-03-08",60.13,60.22,59.22,59.33,1734194
"2012-03-15",59.76,59.89,59.45,59.82,1343898
"2012-03-22",59.73,60.16,59.23,60.02,1843994
"2012-03-29",61.15,61.79,60.97,61.71,1119367
"2012-04-05",61.34,61.74,61.25,61.5,1104144
"2012-04-12",60.4,61.92,60.39,61.82,1422295
"2012-04-19",62.5,62.74,61.98,62.26,1423471
"2012-04-26",62.52,63.2,62.38,62.97,984322
"2012-05-03",64,64.3,63.69,64.11,1597279
"2012-05-10",65.08,65.21,64.63,64.81,935227
"2012-05-17",64.74,64.96,62.73,62.73,1698115
"2012-05-24",65.03,65.6,64.78,65.09,2052736
"2012-05-31",63.74,63.85,63.01,63.21,1982865
"2012-06-07",65.29,66.1,65.16,65.67,2349074
"2012-06-14",66.26,67.1,66.06,66.86,1471833
"2012-06-21",66.45,66.65,64.97,65.02,1397769
"2012-06-28",66.52,66.78,65.94,66.64,983587
"2012-07-05",68.77,68.83,68.25,68.62,883223
"2012-07-12",66.75,67.63,66.21,67.33,1218280
"2012-07-19",67.88,68.1,67.36,67.93,1191009
"2012-07-26",66.25,66.83,65.67,66,1097623
"2012-08-02",65.28,65.28,63.33,63.48,3278211
"2012-08-09",64.18,64.68,64.06,64.53,1078541
"2012-08-16",65.22,66.85,65.08,66.77,1087491
"2012-08-23",66.64,67.41,66.6,66.79,1527760
"2012-08-30",64.78,64.88,63.94,64.01,1233025
"2012-09-06",64.31,65.04,64.24,64.94,1335533
"2012-09-13",64.34,65.49,63.92,64.9,1390067
"2012-09-20",63.3,63.74,63.13,63.57,1325519
"2012-09-27",64.44,65.18,63.98,65.11,1573908
"2012-10-04",64.76,65.2,64.69,64.9,655462
"2012-10-11",64.33,64.65,63.67,63.67,868678
"2012-10-18",69.17,69.97,69.17,69.88,1256763
"2012-10-25",69.25,69.75,68.82,69.2,754018
"2012-11-01",69.55,70.95,68.92,70.82,1986950
"2012-11-08",70.38,70.97,70.01,70.04,883341
"2012-11-15",68.27,68.94,68.16,68.7,972760
"2012-11-29",71.1,72,71.08,71.81,1340883
"2012-12-06",71.17,72.42,71.13,72.39,1079998
"2012-12-13",70.62,70.88,70.36,70.68,1413193
"2012-12-20",72.11,72.24,71.66,72.23,1026426
"2012-12-27",71.92,72.27,70.84,71.8,696201
"2013-01-03",74.27,74.74,73.85,74.1,1060145
"2013-01-10",73.53,73.61,72.82,73.15,1029768
"2013-01-17",73.16,73.76,72.92,73.32,658865
"2013-01-24",73.47,73.72,73.02,73.17,898315
"2013-01-31",72.04,72.97,71.99,72.4,1198624
"2013-02-07",73.82,73.95,72.78,73.44,845324
"2013-02-14",74.46,75.14,74.26,74.82,1055159
"2013-02-21",74.51,74.51,73.61,73.98,1241881
"2013-02-28",77.3,77.68,76.51,76.55,2251719
"2013-03-07",77.86,78.21,77.48,77.93,1105358
"2013-03-14",80.29,80.32,79.5,79.96,1089332
"2013-03-21",78.76,79.31,78.32,78.85,656275
"2013-03-28",78.67,80.35,78.67,80.18,1304428
"2013-04-04",79.78,80.11,79.28,79.85,1130995
"2013-04-11",82.31,83.24,82.14,82.97,1677575
"2013-04-18",81.67,81.88,80.84,81.33,998936
"2013-04-25",83.53,84.28,83.35,83.73,743661
"2013-05-02",84.17,84.56,83.97,84.27,1277511
"2013-05-09",86.78,87.18,86.56,86.78,741727
"2013-05-16",88.8,88.95,88.08,88.16,835521
"2013-05-23",86.74,87.62,86.69,87.19,1209118
"2013-05-30",86.14,86.45,85.45,85.46,1301645
"2013-06-06",83.51,84.09,83.15,84.09,1358869
"2013-06-13",84.04,84.88,83.4,84.76,1293137
"2013-06-20",85.21,85.31,83.83,83.99,1205512
"2013-06-27",86.49,86.62,85.16,85.7,1076145
"2013-07-11",89.31,89.94,89.31,89.9,1119961
"2013-07-18",91.75,92.51,91.58,92.48,794267
"2013-07-25",93.5,93.79,93.1,93.54,1274606
"2013-08-01",92.87,94.16,92.83,94.04,1259304
"2013-08-08",93.6,93.92,93.02,93.05,642857
"2013-08-15",92.36,92.56,91.25,92.2,1252564
"2013-08-22",90.63,91.71,90.18,91.54,553686
"2013-08-29",90.82,92.13,90.49,91.64,814505
"2013-09-05",93.42,93.87,93,93.12,751418
"2013-09-12",96.07,96.17,95.1,96,794850
"2013-09-19",99.04,99.45,98.33,98.8,749728
"2013-09-26",98.91,99.31,98.22,99.12,543740
"2013-10-03",99.14,99.22,97.05,97.76,1111861
"2013-10-10",98.69,99.39,98.27,98.83,974598
"2013-10-17",101.5,102.44,100.73,102.3,945566
"2013-10-24",103.36,105,103.36,104.92,801698
"2013-10-31",106.37,107.21,105.82,106,1100089
"2013-11-07",106.39,106.73,104.53,104.62,642628
"2013-11-14",106.72,107.24,106.15,107.03,707758
"2013-11-21",107.12,107.76,106.56,107.42,673727
"2013-12-05",103.23,103.68,102.63,103.05,1213446
"2013-12-12",103.22,103.56,102.75,102.84,1143910
"2013-12-19",103.73,104,102.81,102.95,922917
"2013-12-26",105.03,105.07,104.35,104.7,687013
"2014-01-02",103.58,104.42,103.41,103.79,814936
"2014-01-09",105,105.08,103.89,105,1092643
"2014-01-16",103.65,104.65,103.62,104.45,793868
"2014-01-23",102.78,103,101.46,101.94,1180640
"2014-01-30",100.71,101.6,100.1,100.83,1238663
"2014-02-06",99.09,99.94,98.51,99.89,1117212
"2014-02-13",100.68,102.77,100.55,102.3,743717
"2014-02-20",102.06,102.18,101.01,101.87,1523715
"2014-02-27",105,106.78,104.87,106.65,953571
"2014-03-06",109.44,110.35,109.28,109.86,729990
"2014-03-13",110.7,111.31,109.21,109.25,1438665
"2014-03-20",109.3,110.24,109.11,110.04,769619
"2014-03-27",107.03,107.22,105.73,106.2,1058750
"2014-04-03",109.02,109.83,108.61,109.05,712827
"2014-04-10",107.36,107.66,104.78,105.02,902701
"2014-04-17",106.79,108.13,106.79,107.79,880256
"2014-04-24",107.1,107.34,105.94,106.09,758108
"2014-05-01",104.62,105.1,104.25,104.61,750026
"2014-05-08",104.94,105.7,104,104.5,691608
"2014-05-15",106.36,106.53,105.02,105.81,1255549
"2014-05-22",107.9,108.02,107.38,107.4,661888
"2014-05-29",108.35,108.8,107.52,108.68,670306
"2014-06-05",109.97,110.21,108.66,109.8,649788
"2014-06-12",108.89,109.55,108,108.34,625050
"2014-06-19",108.43,108.7,108.1,108.38,665334
"2014-06-26",107.5,107.5,106.31,107.26,1175773
"2014-07-03",111.09,111.11,110.41,110.61,589331
"2014-07-10",109.57,110.23,109.21,110.01,642029
"2014-07-17",109.97,110.63,109.64,109.98,852719
"2014-07-24",110,110.61,109.82,110.39,628201
"2014-07-31",109.67,110.07,108.51,108.53,1249355
"2014-08-07",109.2,109.5,107.76,108.05,587153
"2014-08-14",111.52,112,111.47,111.97,709983
