"","ED.Open","ED.High","ED.Low","ED.Close","ED.Volume"
"2011-09-15",57.11,57.21,56.79,57.08,3039962
"2011-09-22",56.19,57.14,56.03,56.9,3618011
"2011-09-29",56.75,57.34,56.58,57.31,2581225
"2011-10-06",55.14,56.16,55.08,56.16,2068854
"2011-10-13",56.5,56.85,56.13,56.66,1187571
"2011-10-20",58.12,58.58,57.9,58.49,2329448
"2011-10-27",59.61,59.89,59.15,59.64,2370878
"2011-11-03",58.38,58.9,58.13,58.75,1840734
"2011-11-10",58.64,58.99,58.26,58.88,1659991
"2011-11-17",57.94,58.33,57.34,57.8,1697118
"2011-12-01",59.31,59.8,59.12,59.51,1432877
"2011-12-08",58.74,58.96,58.26,58.37,1798668
"2011-12-15",59.28,59.93,59.19,59.77,2349462
"2011-12-22",61.65,61.76,61.28,61.62,1427163
"2011-12-29",62.19,62.67,62.19,62.59,935808
"2012-01-05",59.34,60.19,59.02,59.74,3182668
"2012-01-12",59.37,59.37,58.9,58.98,1687767
"2012-01-19",59.24,59.34,58.58,58.74,2217718
"2012-01-26",59.34,59.8,59.34,59.77,2422483
"2012-02-02",59.07,59.16,58.67,58.87,1326347
"2012-02-09",59.3,59.51,59.16,59.47,5823280
"2012-02-16",57.69,58.3,57.69,57.9,1578072
"2012-02-23",57.85,58.09,57.7,57.96,1891663
"2012-03-01",58.05,58.5,57.97,58.29,1381732
"2012-03-08",58.21,58.42,58.08,58.32,983837
"2012-03-15",58.78,58.85,57.93,58.08,2303729
"2012-03-22",57.17,57.43,56.99,57.26,1486154
"2012-03-29",57.41,58.12,57.32,58,2005250
"2012-04-05",58.45,58.47,57.83,58.18,1310935
"2012-04-12",57.59,57.99,57.31,57.87,1968540
"2012-04-19",58.07,58.07,57.65,57.9,1672767
"2012-04-26",59.01,59.34,58.76,59.29,1107370
"2012-05-03",59.41,59.73,59.16,59.16,1195425
"2012-05-10",59.75,60.19,59.61,60.02,1288939
"2012-05-17",58.8,58.96,58.39,58.56,1019137
"2012-05-24",59.38,59.82,59.24,59.59,1059442
"2012-05-31",60.15,60.63,60.05,60.36,1723409
"2012-06-07",61.58,61.84,61.43,61.67,2940177
"2012-06-14",62.3,62.63,62.19,62.58,1238876
