"","EFX.Open","EFX.High","EFX.Low","EFX.Close","EFX.Volume"
"2011-09-15",31.81,32.16,31.49,32.16,601874
"2011-09-22",29.85,30.12,29.47,29.92,1154995
"2011-09-29",31.71,31.82,30.67,31.36,745623
"2011-10-06",31.67,32.16,31.46,32.15,685218
"2011-10-13",33.39,33.57,33.01,33.51,744139
"2011-10-20",31.63,33.49,31.63,33.31,1111616
"2011-10-27",34.71,35.87,34.56,35.36,824005
"2011-11-03",35.3,35.82,34.9,35.71,833175
"2011-11-10",35.56,35.7,35.08,35.36,764841
"2011-11-17",35.77,35.81,34.95,35.13,945570
"2011-12-01",37.01,37.24,36.75,37.02,890052
"2011-12-08",37.21,37.69,36.99,37.05,1167845
"2011-12-15",37.81,37.94,37.51,37.73,1017273
"2011-12-22",38.24,38.88,38.16,38.79,663813
"2011-12-29",38.56,38.84,38.54,38.79,426221
"2012-01-05",38.17,38.49,37.89,38.42,900007
"2012-01-12",39.4,39.45,38.88,39.09,675464
"2012-01-19",39.15,39.93,39.15,39.83,652696
"2012-01-26",39.88,40.1,39.25,39.26,486210
"2012-02-02",39.65,39.68,39.07,39.1,628508
"2012-02-09",39.7,42.57,39.7,42.41,2044885
"2012-02-16",42.16,42.62,42.14,42.56,449513
"2012-02-23",42.31,42.5,42.31,42.4,375150
"2012-03-01",42.14,42.7,42.12,42.57,629068
"2012-03-08",42.05,42.59,42.05,42.53,866363
"2012-03-15",43.83,44.21,43.55,44.2,827382
"2012-03-22",43.21,43.7,43.12,43.62,815087
"2012-03-29",43.29,43.64,43.13,43.52,889102
"2012-04-05",43.7,43.88,43.5,43.82,392058
"2012-04-12",43.48,44.17,43.46,44.05,550073
"2012-04-19",44.35,44.57,43.74,43.91,438420
"2012-04-26",44.51,47.24,44.51,46.33,1758539
"2012-05-03",45.74,46.5,45.62,46.4,1723292
"2012-05-10",45.65,46.23,45.65,46.08,793162
"2012-05-17",46.27,46.33,45.36,45.37,925812
"2012-05-24",45.29,45.65,44.94,45.47,830317
"2012-05-31",45.16,45.43,44.8,45.17,1128739
"2012-06-07",45.75,46.4,45.62,45.72,1282057
"2012-06-14",46.66,48.03,46.42,47.78,1399431
"2012-06-21",46.94,47.03,45.93,46.1,958681
"2012-06-28",45.23,45.57,44.96,45.35,772382
"2012-07-05",47.6,47.81,47.28,47.55,880847
"2012-07-12",47.11,48.08,47.02,47.58,817801
"2012-07-19",49,49.26,48.82,49.05,548199
"2012-07-26",48.8,49.49,45.48,46.97,2946461
"2012-08-02",45.7,45.94,45.15,45.58,904654
"2012-08-09",46.47,46.95,45.65,45.72,1495724
"2012-08-16",45.98,46.64,45.8,46.5,686030
"2012-08-23",46.42,46.79,46.08,46.67,873173
"2012-08-30",45.84,46.03,45.47,45.52,573856
"2012-09-06",46.4,47.19,46.3,47.17,778989
"2012-09-13",46.26,46.89,45.89,46.83,986123
"2012-09-20",47.56,47.58,47.18,47.32,413177
"2012-09-27",45.84,46.67,45.8,46.45,639310
"2012-10-04",48.25,48.98,48.23,48.76,986177
"2012-10-11",49.07,49.32,48.86,49.01,681016
"2012-10-18",50.48,51.21,50.42,51.06,483226
"2012-10-25",49.97,50.65,48.81,49.42,2310071
"2012-11-01",50,50.53,49.79,50.36,840073
"2012-11-08",50,50.51,49.78,49.97,1244579
"2012-11-15",50.17,50.19,49.62,49.79,1020003
"2012-11-29",51.52,51.69,50.91,51.04,936256
"2012-12-06",54.15,54.46,53.76,54.2,1164191
"2012-12-13",53.94,54.07,53.22,53.28,552353
"2012-12-20",54.39,54.56,54.2,54.5,671782
"2012-12-27",53.23,53.82,53.04,53.75,536847
"2013-01-03",54.74,54.95,54.07,54.5,1064683
"2013-01-10",56.14,56.45,55.86,56.11,1324672
"2013-01-17",56.85,57.24,56.69,56.94,386770
"2013-01-24",57.98,59.3,57.98,59.05,659505
"2013-01-31",58.77,59.07,58.41,58.7,388831
"2013-02-07",59.53,59.74,55.4,55.83,3534584
"2013-02-14",53.93,54.52,53.64,54.25,716891
"2013-02-21",54.01,54.31,53.65,53.98,1451823
"2013-02-28",54.4,55.13,54.19,55.12,1303900
"2013-03-07",56.84,56.86,56.34,56.5,679174
"2013-03-14",56.72,56.84,56.38,56.49,913967
"2013-03-21",56.56,56.83,56.42,56.61,456703
"2013-03-28",56.59,57.68,56.44,57.59,792142
"2013-04-04",56.35,56.71,56,56.69,597865
"2013-04-11",58.81,59.37,58.59,59.12,808766
"2013-04-18",58.69,58.9,58.24,58.76,762275
"2013-04-25",60.34,62,60.34,61.63,949930
"2013-05-02",61.37,61.72,61.02,61.43,911323
"2013-05-09",62.92,63.52,62.78,63.38,651436
"2013-05-16",63.57,63.73,63.08,63.15,566005
"2013-05-23",61.03,61.62,60.63,61.19,594204
"2013-05-30",61.5,62.06,61.36,61.66,439851
"2013-06-06",59.68,59.99,59.04,59.8,480313
"2013-06-13",59.7,60.81,59.39,60.74,604141
"2013-06-20",59.95,60.22,59.27,59.4,686337
"2013-06-27",59.01,59.31,58.92,59.2,478452
"2013-07-11",60.88,61.2,60.82,61.05,481052
"2013-07-18",61.09,61.72,60.93,61.6,282925
"2013-07-25",60.34,62.04,60.01,61.87,950248
"2013-08-01",63.68,64.98,63.52,64.5,822332
"2013-08-08",65.13,65.65,64.72,65.43,682104
"2013-08-15",63.9,63.94,62.66,62.69,615656
"2013-08-22",62.03,62.73,61.92,62.55,305253
"2013-08-29",60.2,60.74,60.14,60.38,584678
"2013-09-05",59.36,59.74,59.14,59.58,512786
"2013-09-12",59.62,59.75,59.32,59.4,1074034
"2013-09-19",61.65,62.41,61.65,62.36,628650
"2013-09-26",59.86,60.12,59.48,59.74,501658
"2013-10-03",59.15,59.27,58.86,58.98,1494119
"2013-10-10",59.81,60.83,59.59,60.82,550530
"2013-10-17",60.44,61.7,60.4,61.62,609898
"2013-10-24",61.83,64.2,61.54,63.73,1169388
"2013-10-31",64.61,65.1,64.25,64.67,550882
"2013-11-07",64.57,64.9,63.51,63.57,341128
"2013-11-14",65.91,66.3,65.62,66.21,439344
"2013-11-21",66.76,67.49,66.57,67.45,502372
"2013-12-05",66.84,67.08,66.48,66.66,317512
"2013-12-12",66.52,66.98,66.31,66.8,388753
"2013-12-19",67.18,67.59,67.02,67.07,503582
"2013-12-26",69.01,69.25,68.72,69.17,252868
"2014-01-02",68.95,69.25,68.2,68.45,336346
"2014-01-09",68.85,69.05,68.18,68.76,313662
"2014-01-16",67.95,69.18,67.89,69.12,785187
"2014-01-23",70.63,70.74,69.79,70.28,430785
"2014-01-30",68.82,70.83,68.56,70.74,742738
"2014-02-06",68.24,70.32,68.04,70.24,611463
"2014-02-13",70.93,71.93,70.58,71.83,652604
"2014-02-20",68.47,70.11,68.47,69.74,834971
"2014-02-27",69.81,70.3,69.75,70.02,529702
"2014-03-06",70.19,70.43,69.76,70.39,354128
"2014-03-13",72,72.65,71.59,71.67,940191
"2014-03-20",71.5,72,71.18,72,379147
"2014-03-27",69.29,69.29,68.48,68.67,547058
"2014-04-03",69.64,69.64,68.81,69.13,560982
"2014-04-10",67.89,68.13,66.01,66.01,755186
"2014-04-17",68.34,69.08,67.93,68.61,784712
"2014-04-24",68.11,69.59,67.2,69.08,1656406
"2014-05-01",70.81,70.81,70.12,70.61,426643
"2014-05-08",70.98,71.49,70.53,70.87,386040
"2014-05-15",71,71,69.97,70.39,394909
"2014-05-22",69.47,69.85,69.16,69.45,889682
"2014-05-29",70.37,70.68,69.96,70.37,579732
"2014-06-05",70.96,71.2,70.46,71.12,190327
"2014-06-12",71.64,71.66,71.02,71.25,268371
"2014-06-19",71.56,72.76,71.42,72.75,474398
"2014-06-26",72.07,72.39,71.47,72.36,179757
"2014-07-03",72.45,72.95,72.39,72.7,406824
"2014-07-10",72.41,73.66,72,73.39,530877
"2014-07-17",73.58,74.04,73.5,73.65,603955
"2014-07-24",74.1,76.69,73.83,76.61,648261
"2014-07-31",76.82,76.97,76.03,76.09,753139
"2014-08-07",74.45,74.83,74.11,74.41,535113
"2014-08-14",76.95,77.31,76.81,77.3,286316
"2014-08-21",78.4,78.66,77.92,78.47,265903
"2014-08-28",77.9,78.6,77.64,78.45,238246
"2014-09-04",78.87,79.32,78.64,78.93,221081
"2014-09-11",78.37,78.71,78.26,78.42,316565
"2014-09-18",78.04,78.19,77.65,77.78,343360
"2014-09-25",75.3,75.47,73.92,74.25,738220
"2014-10-02",73.31,73.69,72.96,73.36,465706
"2014-10-09",73.83,73.95,72.22,72.3,387650
"2014-10-16",69.38,71.95,69.18,71.75,1088191
"2014-10-23",74.06,74.55,72.62,72.78,1052471
"2014-10-30",74.5,75.89,74.34,75.56,619675
"2014-11-06",76.69,77.55,76.45,77.54,478297
"2014-11-13",78.65,78.96,78.01,78.33,405171
"2014-11-20",77.9,78.19,77.43,78.19,407358
"2014-12-04",81.48,82,80.77,80.91,516898
"2014-12-11",80.86,81.89,80.68,81.05,535422
"2014-12-18",79.95,81.08,79.68,81.04,725408
"2015-01-08",81.8,83.32,81.54,83.09,656501
"2015-01-15",83.14,83.52,82.37,82.69,465675
"2015-01-22",84.67,85.66,84.37,85.66,456495
"2015-01-29",85.23,85.38,84.15,85.21,539567
"2015-02-05",85.03,85.5,84.75,85.44,625137
"2015-02-12",87.33,92.88,87.21,92.74,1270615
"2015-02-19",92.7,93.52,92.7,92.98,802140
"2015-02-26",93.08,93.5,92.89,93.21,742841
"2015-03-05",93.91,94.4,93.79,94.21,538705
"2015-03-12",91.94,92.42,91.8,92,748050
"2015-03-19",92.55,93.09,92.37,92.79,475208
"2015-03-26",91.13,92.22,90.71,91.83,480271
"2015-04-02",93,94.01,92.89,93.47,400260
"2015-04-09",92.86,93.05,92.02,92.94,312592
"2015-04-16",93.58,93.82,92.81,93.33,254615
"2015-04-23",98.09,99.29,97.21,98.4,1147066
