"","EIX.Open","EIX.High","EIX.Low","EIX.Close","EIX.Volume"
"2011-09-15",36.84,37.28,36.71,37.26,2532986
"2011-09-22",36.45,36.76,36.23,36.6,3214285
"2011-09-29",37.96,38.28,37.8,38.26,2653749
"2011-10-06",36.82,37.52,36.63,37.46,2688274
"2011-10-13",37.69,38.03,37.48,37.93,1353566
"2011-10-20",38.51,38.89,38.36,38.7,1061069
"2011-10-27",40.8,41.57,40.6,41.3,4126444
"2011-11-03",40.38,41.24,40.36,41.13,2826676
"2011-11-10",40.27,40.68,39.93,40.47,2348229
"2011-11-17",39.72,40.07,39.25,39.52,1607928
"2011-12-01",39.18,39.47,38.99,39.13,1313078
"2011-12-08",39.23,39.23,38.42,38.5,1608569
"2011-12-15",38.84,39.34,38.71,39.2,1626131
"2011-12-22",40.68,40.86,40.53,40.7,1920300
"2011-12-29",41.28,41.55,41.2,41.52,1104108
"2012-01-05",40.8,40.83,40.32,40.53,3742638
"2012-01-12",40.79,40.85,40.43,40.54,1798124
"2012-01-19",40.52,40.52,39.6,39.98,2669013
"2012-01-26",40.9,41.71,40.89,41.38,2135949
"2012-02-02",40.92,41.07,40.65,40.68,1728604
"2012-02-09",40.92,41.23,40.76,41.09,1503409
"2012-02-16",40.64,41.52,40.64,41.32,1684244
"2012-02-23",41.76,42.09,41.75,41.9,1693570
"2012-03-01",42.27,44.5,42.27,42.78,4541559
"2012-03-08",43.05,43.3,42.67,42.69,1865068
"2012-03-15",43.09,43.31,42.85,43,1325816
"2012-03-22",42.3,42.76,42.19,42.69,1875743
"2012-03-29",42.15,42.56,41.83,42.5,2589430
"2012-04-05",42.64,42.92,42.5,42.79,1983261
"2012-04-12",41.64,41.73,41.42,41.71,1557856
"2012-04-19",42.79,42.81,42.35,42.52,1757172
"2012-04-26",43.58,43.71,43.18,43.65,1497770
"2012-05-03",43.62,44.13,43.35,43.72,2515482
"2012-05-10",44.03,44.27,43.94,44.11,2519382
"2012-05-17",44.26,44.27,43.78,43.9,1860032
"2012-05-24",44.66,45.03,44.57,44.85,1525062
"2012-05-31",44.73,45.17,44.68,44.96,1428040
"2012-06-07",45.73,45.97,45.47,45.64,4296791
"2012-06-14",45.98,46.16,45.77,46.06,2058474
"2012-06-21",45.7,45.78,44.78,44.85,2008210
"2012-06-28",45.71,46.04,45.46,46.02,1506096
"2012-07-05",46.17,46.2,45.7,45.7,1346089
"2012-07-12",46.34,46.51,46.24,46.27,1362996
"2012-07-19",45.59,45.88,45.4,45.8,2098971
"2012-07-26",45.63,45.86,45.53,45.67,1803676
"2012-08-02",44.67,45.03,44.33,45.01,2105906
"2012-08-09",44.67,44.95,44.49,44.85,1305101
"2012-08-16",45.29,45.3,44.94,45.07,1221999
"2012-08-23",44.08,44.11,43.45,43.6,1601021
"2012-08-30",43.56,44.04,43.44,43.81,1540032
"2012-09-06",44.09,44.49,44.01,44.38,1423406
"2012-09-13",44.39,45.15,44.39,45.1,1563020
"2012-09-20",45.09,45.27,45.04,45.21,1338955
"2012-09-27",45.54,45.93,45.43,45.46,1359939
"2012-10-04",46.85,47.49,46.82,47.1,2369696
"2012-10-11",46.91,47.1,46.72,46.74,1068692
"2012-10-18",47.44,47.96,47.37,47.96,1141042
"2012-10-25",46.76,46.96,46.43,46.74,1036559
"2012-11-01",47.06,47.06,46.58,46.71,1270153
"2012-11-08",45.02,45.2,44.37,44.39,2795858
"2012-11-15",44.17,44.29,43.55,43.79,998543
"2012-11-29",44.57,45.1,44.4,45.05,1632522
"2012-12-06",45.03,45.21,44.81,44.95,1386552
"2012-12-13",44.68,44.83,44.27,44.49,1543050
"2012-12-20",45.64,46.05,45.44,46.05,2074234
"2012-12-27",44.79,45.09,44.48,44.98,2546971
"2013-01-03",45.96,46.56,45.88,46.34,2076720
"2013-01-10",45.88,45.98,45.63,45.78,2191188
"2013-01-17",46.26,46.54,46.21,46.3,1019675
"2013-01-24",46.64,47.08,46.64,46.69,981514
"2013-01-31",47.73,48.24,47.48,48.19,2790377
"2013-02-07",48.03,48.22,47.54,47.71,3734475
"2013-02-14",46.85,47.04,45.17,46.18,10222872
"2013-02-21",46.63,46.79,46.08,46.41,3033566
"2013-02-28",47.68,48.14,47.34,48.03,3891528
"2013-03-07",50.06,50.32,49.93,50.17,2050087
"2013-03-14",50.95,51.24,50.67,51.2,2754081
"2013-03-21",50.64,50.91,50.38,50.38,2115277
"2013-03-28",50.17,50.57,50.14,50.32,2350650
"2013-04-04",50.13,50.59,49.64,50.01,4135231
"2013-04-11",50.9,51.48,50.89,51.37,1981906
"2013-04-18",51.65,51.77,51.24,51.64,1794804
"2013-04-25",53.25,53.52,52.95,53.17,1260194
"2013-05-02",52.43,52.63,52.07,52.53,2025332
"2013-05-09",51.21,51.32,49.7,49.79,4043770
"2013-05-16",49.43,49.43,48.59,48.7,3779902
"2013-05-23",48.31,48.44,47.61,48.26,2275082
"2013-05-30",46.33,47.06,46.26,46.27,2074929
"2013-06-06",45.75,46.36,45.74,46.36,3514212
"2013-06-13",46.31,46.83,46.19,46.75,2867884
"2013-06-20",46.11,46.17,44.9,45,3022727
"2013-06-27",47.35,48.04,47.31,47.52,2654716
"2013-07-11",48.19,48.52,47.89,48.5,2405104
"2013-07-18",49.16,49.74,49.13,49.5,1816164
"2013-07-25",49.13,49.6,48.17,48.7,3474590
"2013-08-01",50,50.17,49.51,49.9,1929945
"2013-08-08",49.17,49.48,48.84,49.37,1714054
"2013-08-15",47.87,48.06,47.21,47.22,1446223
"2013-08-22",46.28,46.44,46.07,46.19,882557
"2013-08-29",46.15,46.43,45.83,45.91,1417522
"2013-09-05",44.99,44.99,44.26,44.36,1958857
"2013-09-12",44.81,45.11,44.5,44.79,2012128
"2013-09-19",46.76,46.89,45.93,46.17,1674352
"2013-09-26",46.41,46.41,45.51,45.9,2217704
"2013-10-03",45.73,46,45.49,45.82,2395715
"2013-10-10",47.43,47.81,46.59,47.71,1759843
"2013-10-17",47.14,48.09,46.83,48.01,1527150
"2013-10-24",48.71,48.78,48.12,48.76,3067442
"2013-10-31",48.97,49.51,48.41,49.03,1910303
"2013-11-07",49.65,49.85,49.29,49.47,1565564
"2013-11-14",48.16,48.67,47.84,48.59,1841240
"2013-11-21",47.59,47.72,47.18,47.31,2669259
"2013-12-05",45.84,45.86,45.21,45.4,2160327
"2013-12-12",45.31,45.78,45.09,45.45,2391220
"2013-12-19",46.01,46.19,45.41,46.12,2140032
"2013-12-26",46.54,46.65,46.01,46.16,915311
"2014-01-02",46.06,46.49,45.41,45.43,2414961
"2014-01-09",45.16,45.29,44.74,45.14,2518890
"2014-01-16",46.4,46.93,46.15,46.93,2628288
"2014-01-23",47.69,48.14,47.57,47.65,2740767
"2014-01-30",47.15,48.08,47.15,47.95,1320206
"2014-02-06",47.98,48.74,47.79,48.67,1624245
"2014-02-13",49.25,50.22,49.22,50.19,1736210
"2014-02-20",50.8,51.36,50.57,51.22,1135502
"2014-02-27",52,52.14,51.42,52.07,3182982
"2014-03-06",51.66,51.85,50.9,51.17,2036161
"2014-03-13",51.38,51.97,51.38,51.77,3429295
"2014-03-20",51.68,52.04,51.14,52.02,1866042
"2014-03-27",53.46,54.13,53.02,53.89,2365183
"2014-04-03",56.14,56.72,55.97,56.47,2342678
"2014-04-10",56.63,56.93,56.33,56.56,2570693
"2014-04-17",57.09,57.62,56.31,56.38,3057706
"2014-04-24",56.41,57,56.23,56.74,2148300
"2014-05-01",56.77,56.86,55.98,56.7,1557323
"2014-05-08",57.06,57.22,56.04,56.09,1831202
"2014-05-15",55.2,55.67,55.03,55.24,1563623
"2014-05-22",53.8,54.62,53.73,54.36,1145106
"2014-05-29",54.71,54.71,54.15,54.59,1055905
"2014-06-05",56.08,56.95,55.86,56.52,1242930
"2014-06-12",54.7,54.95,53.78,54.77,2364642
"2014-06-19",57.12,57.85,56.95,57.84,2753109
"2014-06-26",57.32,57.74,57.1,57.6,1456818
"2014-07-03",56.17,56.2,55.33,55.82,1127541
"2014-07-10",56.29,57.16,56.29,56.99,1344696
"2014-07-17",56.88,57.12,56.51,56.55,1834363
"2014-07-24",56.76,57.19,56.58,56.96,977130
"2014-07-31",55.38,55.87,54.72,54.8,1855357
"2014-08-07",55.01,55.7,54.99,55.55,2452567
"2014-08-14",56.69,57.14,56.49,57.06,1843256
"2014-08-21",58.76,59.18,58.23,58.32,1728749
"2014-08-28",58.16,58.63,57.96,58.47,1733939
"2014-09-04",59.17,59.3,58.58,58.99,1975831
"2014-09-11",57.72,58,57.28,58,1628102
"2014-09-18",58.08,58.25,57.62,57.71,2503090
"2014-09-25",56.5,56.83,56.01,56.02,1726818
"2014-10-02",56.64,57.11,56.18,56.3,2202182
"2014-10-09",58.06,58.19,57.05,57.1,3093212
"2014-10-16",58.35,58.59,57.14,58.39,3285097
"2014-10-23",60.56,60.77,59.67,59.85,2783146
"2014-10-30",61.1,62.85,60.98,62.56,3951133
"2014-11-06",62.51,63.05,61.57,61.99,2428664
"2014-11-13",62.35,62.61,61.6,61.68,1691028
"2014-11-20",62.37,63,62.14,62.25,1797019
"2014-12-04",64.28,64.65,63.9,64.41,1108932
"2014-12-11",64.58,64.99,64.26,64.43,1959632
"2014-12-18",64.05,64.84,63.81,64.78,2694136
"2015-01-08",66.98,67.38,66.48,67.07,2765953
"2015-01-15",67.58,68.23,67.21,67.85,2449320
"2015-01-22",68.78,68.79,67.85,68.18,1892297
"2015-01-29",67.64,69.1,67.48,69.05,2957655
"2015-02-05",67.74,67.97,67.3,67.73,947485
"2015-02-12",64.58,64.93,64.06,64.8,2156353
"2015-02-19",65.44,65.44,64.05,64.39,1523585
"2015-02-26",65.1,65.14,63.83,64.1,2554191
"2015-03-05",63.72,64.34,63.58,63.82,1761979
"2015-03-12",62.47,63.48,62.35,63.05,2189541
"2015-03-19",65.3,65.84,64.64,64.81,2278563
"2015-03-26",62.49,62.94,61.65,62.23,2117222
"2015-04-02",62.96,63.18,62.7,63.04,1250872
"2015-04-09",63.62,63.66,63.09,63.37,1536678
"2015-04-16",62.39,62.51,61.09,61.68,3399498
"2015-04-23",60.01,60.73,59.89,60.44,3384604
"2015-04-30",61.87,61.93,60.42,60.94,3235869
"2015-05-07",59.87,60.5,59.73,60.14,2258139
"2015-05-14",59.09,59.76,59.05,59.75,2047277
"2015-05-21",60.83,61.11,60.51,60.83,1171740
"2015-05-28",60.83,61.25,60.58,61.05,1766389
"2015-06-04",58.17,59.09,58.17,58.84,1811875
"2015-06-11",57.99,58.22,57.61,57.87,1183559
"2015-06-18",58.05,59.2,58.03,58.86,1966360
"2015-06-25",56.34,56.41,55.71,56,4512782
"2015-07-02",56.67,57.75,56.67,57.55,3146197
"2015-07-09",58.25,58.51,57.38,57.58,1935242
"2015-07-16",58.21,59.19,58.15,59.14,2322145
"2015-07-23",58.22,58.51,57.18,57.75,1723775
"2015-07-30",58.84,59.76,58.64,59.53,1162175
"2015-08-06",60.1,60.63,59.49,60.6,2441760
"2015-08-13",60.46,60.78,59.97,60.59,2139955
"2015-08-20",61.51,62.64,61.3,61.74,2576347
"2015-08-27",59.56,60.19,59.1,59.87,2818303
"2015-09-03",57.58,58.09,57.35,57.61,1906892
"2015-09-10",57.3,57.93,57.03,57.24,2153661
"2015-09-17",59.78,61.84,59.55,61.1,4274961
"2015-09-24",60.81,61.94,60.76,61.81,2026181
"2015-10-01",63.08,63.26,61.37,62.18,2588079
"2015-10-08",62.74,63.91,62.74,63.72,1572426
"2015-10-15",64.1,64.57,63.68,64.43,1106005
"2015-10-22",65,66.29,64.96,66.09,1579813
"2015-10-29",60.79,61.23,59.84,60.64,3510897
"2015-11-05",60.77,61.05,60.05,60.18,2263298
"2015-11-12",60.39,60.94,59.77,60.05,2515303
