"","EL.Open","EL.High","EL.Low","EL.Close","EL.Volume"
"2011-09-15",50.56,50.56,48.98,49.5,4474548
"2011-09-22",48.35,48.66,46.63,46.98,4208410
"2011-09-29",46.12,46.4,43.1,44.47,6363718
"2011-10-06",43.82,45.22,43.78,44.9,3154894
"2011-10-13",48.07,49.36,47.74,48.37,1590304
"2011-10-20",47.57,48.28,47.24,47.7,2024482
"2011-10-27",49.89,51.43,49.74,50.74,2696560
"2011-11-03",56.98,60.36,55.78,59.46,9354904
"2011-11-10",58.05,58.53,56.98,57.99,2611016
"2011-11-17",56.98,57.52,55.8,56.5,2087628
"2011-12-01",58.5,59.12,57.7,57.8,1428310
"2011-12-08",56.44,56.48,55.5,55.69,1381024
"2011-12-15",53.34,53.43,52.88,53.18,1976344
"2011-12-22",55.28,55.74,55.02,55.28,1481992
"2011-12-29",56.41,57.08,56.35,56.91,787738
"2012-01-05",56.2,57.06,55.99,56.34,3424314
"2012-01-12",55.68,56.24,55.6,56.04,1224726
"2012-01-19",57.74,58.24,57.23,58.09,1315742
"2012-01-26",59.38,59.55,57.94,57.99,1866372
"2012-02-02",59.13,59.5,58.15,58.85,2301616
"2012-02-09",57,57.68,56.48,57.65,1818958
"2012-02-16",55.28,56.41,55.13,56.08,1446347
"2012-02-23",56.4,57.52,56.13,57.34,1770272
"2012-03-01",58.38,58.91,58.23,58.65,2673349
"2012-03-08",58.73,59.1,58.52,58.91,2088363
"2012-03-15",62.41,63.91,62.19,63.38,3338063
"2012-03-22",62.31,62.72,62.21,62.38,1470537
"2012-03-29",61.94,62.29,61.53,62.23,1043147
"2012-04-05",62.17,63.28,61.78,63.15,1390557
"2012-04-12",61.08,62.53,60.85,62.41,1661706
"2012-04-19",63.11,63.44,62.39,62.78,1079652
"2012-04-26",64.63,65.28,64.36,65.02,1322420
"2012-05-03",64.75,64.75,63.78,64.15,1936696
"2012-05-10",59.81,59.9,58.76,59.17,2673331
"2012-05-17",57.17,57.17,55.02,55.08,2281888
"2012-05-24",54.79,55.32,54.56,55.09,2127331
"2012-05-31",55.65,55.82,53.88,54.15,3335593
"2012-06-07",55.32,55.62,54.73,54.87,1415747
"2012-06-14",54.5,54.68,53.89,54.3,1799160
"2012-06-21",56.32,56.46,54.46,54.49,1796649
"2012-06-28",53.66,53.97,52.43,52.92,2039178
"2012-07-05",55.03,56.2,54.58,55.5,1559886
"2012-07-12",50.5,50.72,49.93,50.56,5180371
"2012-07-19",52.7,55.27,52.7,54.68,3882670
"2012-07-26",52.93,53.94,52.93,53.7,2451657
"2012-08-02",50.25,51.22,50,50.88,2771823
"2012-08-09",54.42,55.63,54.22,55.26,2513952
"2012-08-16",60.72,61.51,60.18,61.29,1962690
"2012-08-23",59.8,60.16,59.38,59.53,1268153
"2012-08-30",59.61,60.07,59.35,59.81,2190498
"2012-09-06",60.04,61.09,59.95,60.95,2369715
"2012-09-13",59.7,60.83,59.58,60.6,2156843
"2012-09-20",61.27,61.64,60.48,61.62,1942818
"2012-09-27",61,61.86,60.85,61.67,2236244
"2012-10-04",63.4,64.03,63.03,63.3,1495349
"2012-10-11",62.93,63.46,62.84,63.16,1270956
"2012-10-18",64.42,64.85,64.02,64.29,1723854
"2012-10-25",62.14,62.51,60.93,61.3,1359486
"2012-11-01",59.47,61.81,58.4,61.17,3455218
"2012-11-08",58.57,58.58,57.29,57.31,2039356
"2012-11-15",56.35,56.86,56.04,56.41,1781010
"2012-11-29",58.29,58.66,57.97,58.01,1733789
"2012-12-06",59.11,59.79,58.47,59.77,1501298
"2012-12-13",60.55,60.88,59.79,59.91,768920
"2012-12-20",60.5,60.5,59.37,59.99,1867344
"2012-12-27",57.95,58.66,57.76,58.45,1715409
"2013-01-03",61.35,62.98,61.35,62.23,2956645
"2013-01-10",62.87,63.82,62.5,63.8,2716756
"2013-01-17",64.44,64.61,63.99,64.23,1497488
"2013-01-24",62.6,63,62.31,62.54,1815381
"2013-01-31",62.11,62.25,60.76,60.93,3921414
"2013-02-07",63.22,63.37,62.09,63.14,2244964
"2013-02-14",63.25,63.78,62.84,63.54,1208225
"2013-02-21",63.31,63.86,62.57,63.03,1660119
"2013-02-28",63.66,64.6,63.61,64.1,1850973
