"","EMN.Open","EMN.High","EMN.Low","EMN.Close","EMN.Volume"
"2011-09-15",37.56,38.12,37.15,38.11,2068176
"2011-09-22",34.44,34.44,32.44,33.3,3267106
"2011-09-29",35.68,36.44,34.56,35.37,2680696
"2011-10-06",35.49,36.28,34.83,35.91,3360188
"2011-10-13",37.08,37.35,36.64,37.15,1566446
"2011-10-20",35.54,36.47,35.08,36.19,2456660
"2011-10-27",39.63,40.91,38.82,40.16,2811254
"2011-11-03",39.7,40.38,38.75,40.25,1463582
"2011-11-10",39.8,40.25,39.4,39.88,1613622
"2011-11-17",39.63,39.66,37.66,38,1547842
"2011-12-01",39.6,39.91,38.73,38.91,1508361
"2011-12-08",38.66,39.32,38,38.08,1731542
"2011-12-15",36.85,36.95,35.89,36.21,1418841
"2011-12-22",38.68,39.49,38.6,39.12,1217629
"2011-12-29",38.66,39.41,38.55,39.34,929095
"2012-01-05",39.79,40.23,39.16,40.1,1846788
"2012-01-12",45.02,46.18,44.17,46.09,3375162
"2012-01-19",46.08,46.59,45.9,46.5,1008231
"2012-01-26",47.24,47.64,46.53,47.12,1949297
"2012-02-02",52.42,52.57,51.79,52.2,1952649
"2012-02-09",54.46,54.83,54.01,54.53,1997524
"2012-02-16",53.68,54.6,53.44,54.49,2072839
"2012-02-23",53.86,54.19,53.5,54.05,1596771
"2012-03-01",54.34,54.62,53.44,53.79,1854496
"2012-03-08",51.75,52.57,51.64,52.47,1554622
"2012-03-15",51.75,52,51.2,51.95,1873482
"2012-03-22",51.09,51.42,50.48,50.82,1086591
"2012-03-29",50.56,51.3,50.2,51.22,1781748
"2012-04-05",52.53,53.79,52,52.08,2350841
"2012-04-12",50.94,53.09,50.94,52.77,1998500
"2012-04-19",52.98,53.38,52.3,52.75,1087289
"2012-04-26",53.33,54.38,52.77,54.21,1854654
"2012-05-03",54.08,54.35,52.66,52.9,2117089
"2012-05-10",50.87,51.04,49.87,50,1376578
"2012-05-17",46.41,46.44,44.42,44.43,2296387
"2012-05-24",46.09,47.01,45.89,47,3226574
"2012-05-31",47.54,47.54,45.46,46.56,3435534
"2012-06-07",47.03,47.92,47,47.31,3323627
"2012-06-14",45.94,47.01,45.92,46.74,1758000
"2012-06-21",48.99,49.31,46.43,46.6,1590073
"2012-06-28",47.56,48.27,47.16,48.13,3033116
"2012-07-05",50.84,50.99,50.1,50.26,1836907
"2012-07-12",46.85,47.86,46.18,47.51,2435231
"2012-07-19",50.17,50.5,49.66,49.84,1370581
"2012-07-26",49.73,50.13,49,49.59,1866157
"2012-08-02",51.29,53,51.22,52.72,2920988
"2012-08-09",54.22,54.76,53.89,54.68,1064038
"2012-08-16",53.94,54.9,53.66,54.81,980877
"2012-08-23",55.83,56.19,55.53,55.58,1527334
"2012-08-30",54.75,55.17,54.54,54.55,1813940
"2012-09-06",55.54,56.7,55.45,56.68,1286787
"2012-09-13",56.37,58.67,56.02,58.17,1375548
"2012-09-20",57.59,57.59,56.44,57.36,1431774
"2012-09-27",55.75,56.52,55.3,56.37,995382
"2012-10-04",57,57.55,56.63,57.5,1037057
"2012-10-11",56.02,56.36,54.64,54.72,1638132
"2012-10-18",57.58,58.21,57.04,58.05,1126730
"2012-10-25",54.96,55.09,52.93,53.65,2685770
"2012-11-01",59.02,60.67,58.5,60.64,1432182
"2012-11-08",59.84,60.07,58.04,58.05,1127123
"2012-11-15",55.57,56.02,54.65,55.05,1437393
"2012-11-29",60.43,60.88,59.96,60.62,1786891
"2012-12-06",60,60.88,59.62,60.85,1282468
"2012-12-13",63.91,64.64,62.86,63.76,3187409
"2012-12-20",65.69,67.17,65.12,66.65,2389663
"2012-12-27",66.89,67.3,65.66,66.72,1072494
"2013-01-03",69.91,69.97,68.7,68.88,1308133
"2013-01-10",71.12,71.2,69.94,71.17,1547192
"2013-01-17",70.49,72.01,70.45,71.52,1501503
"2013-01-24",71.17,72.02,70.89,71.24,920290
"2013-01-31",71.1,72.43,70.79,71.15,2130714
"2013-02-07",72.93,73.03,71.57,72.47,965790
"2013-02-14",74.43,74.55,73.76,74.08,1904063
"2013-02-21",70.14,70.21,67.27,68.72,3845710
"2013-02-28",70.78,71.22,69.72,69.73,1730835
"2013-03-07",71.87,72.26,71.3,72.02,1200585
"2013-03-14",73.22,73.58,72.92,73.25,739193
"2013-03-21",72.09,72.24,70.46,70.48,2770958
"2013-03-28",69.23,70.48,69.12,69.87,1325092
"2013-04-04",66.64,67.85,66.56,67.52,1688987
"2013-04-11",68.1,69.24,67.64,68.29,1031404
"2013-04-18",67.14,67.52,65.56,66.35,1925981
"2013-04-25",72.6,73.65,72.25,72.65,2635010
"2013-05-02",64.12,66.29,64.12,66.03,2723604
"2013-05-09",68.65,68.69,66.76,66.84,2168333
"2013-05-16",70.57,72.15,70.57,71.4,3176435
"2013-05-23",71.56,72.81,70.7,72.11,1045030
"2013-05-30",72,72.44,71.44,71.92,918948
"2013-06-06",68.63,69.64,68.11,69.63,1546499
"2013-06-13",68.47,71.56,68.32,71.36,1234916
"2013-06-20",71.41,71.97,70.1,70.46,1541814
"2013-06-27",72.58,72.83,71.92,72.02,853572
"2013-07-11",74.32,74.55,73.52,73.97,1076841
"2013-07-18",75.34,76.2,74.73,74.87,1234736
"2013-07-25",74.74,75.95,74.71,75.47,1063071
"2013-08-01",80.77,82.75,80.77,82.3,1544282
"2013-08-08",81.34,82,80.42,80.47,1379256
"2013-08-15",79.53,79.54,77.13,78.31,1542456
"2013-08-22",78.5,79.72,78.34,79.45,500215
"2013-08-29",75.18,77.05,74.75,76.45,1309168
"2013-09-05",77,77.13,76.65,76.79,623328
"2013-09-12",78.53,78.63,77.12,77.66,1030353
"2013-09-19",79.21,80.08,78.93,79.2,1342753
"2013-09-26",76.75,78.42,76.68,78.22,1286565
"2013-10-03",78.46,78.67,76.54,78.04,1323623
"2013-10-10",77.35,78.25,76.73,77.88,1048574
"2013-10-17",80.2,81.55,80.16,81.46,828826
"2013-10-24",82.5,82.6,81.57,82.18,1644280
"2013-10-31",78.28,79.4,78.11,78.79,1609909
"2013-11-07",78.29,78.69,76.71,76.81,1936806
"2013-11-14",79.86,80.1,78.88,79.24,1590907
"2013-11-21",76.19,76.7,75.7,76.45,908957
"2013-12-05",74.3,75.18,74.13,74.31,1351016
"2013-12-12",74.1,74.54,73.8,73.86,1930851
"2013-12-19",74.57,75.43,74.37,75.01,2837395
"2013-12-26",78.3,79.03,78.3,78.97,1650052
"2014-01-02",80.31,80.53,79.88,80.28,1612922
"2014-01-09",79.49,79.99,78.95,79.3,1054621
"2014-01-16",79.73,80.29,79.46,79.83,813842
"2014-01-23",77.02,77.02,74.83,76.2,3160109
"2014-01-30",75.07,76.22,74.62,75.97,2259856
