"","EMR.Open","EMR.High","EMR.Low","EMR.Close","EMR.Volume"
"2011-09-15",45.5,45.91,45.06,45.91,6016859
"2011-09-22",42.35,42.35,41.36,41.98,10244604
"2011-09-29",44.16,44.76,42.76,43.79,5710140
"2011-10-06",43.15,44.52,42.71,44.5,4413611
"2011-10-13",46.24,46.54,45.85,46.38,3852882
"2011-10-20",46.53,46.93,45.66,46.48,5590743
"2011-10-27",48.89,50.7,48.38,49.83,6755883
"2011-11-03",50.49,51.96,49.78,51.82,7974894
"2011-11-10",50.92,51.06,50.31,50.56,3849054
"2011-11-17",50.27,50.58,49.13,49.56,5094194
"2011-12-01",51.99,52.31,51.41,51.84,3554469
"2011-12-08",51.59,51.74,50.06,50.52,4472468
"2011-12-15",49.71,49.86,48.75,48.87,3926436
"2011-12-22",46.81,46.99,45,45.18,11319227
"2011-12-29",45.83,46.66,45.72,46.63,3589563
"2012-01-05",47.58,47.98,47,47.72,6010099
"2012-01-12",48.13,49.53,47.71,49.25,5582395
"2012-01-19",50,50,49.4,49.8,4647439
"2012-01-26",52.23,52.76,51.77,52.07,5250757
"2012-02-02",52.11,52.2,51.44,51.45,5321233
"2012-02-09",52.34,52.96,51.83,52.74,4122801
"2012-02-16",50.88,51.54,50.82,51.38,3554962
"2012-02-23",51.84,51.84,50.95,51.07,4639428
"2012-03-01",50.31,50.56,50,50.18,3731482
"2012-03-08",49.37,49.79,48.96,49.67,3473790
"2012-03-15",51.75,52.05,51.4,52,2895400
"2012-03-22",52.52,52.69,51.51,52,4287070
"2012-03-29",51.27,51.96,51.03,51.87,2613079
"2012-04-05",51.14,51.42,50.76,50.96,3287302
"2012-04-12",49.79,51.07,49.73,51.02,3511158
"2012-04-19",50.65,50.69,49.72,50.08,2878354
"2012-04-26",51.68,52.01,51.23,51.88,3014561
"2012-05-03",49.77,49.83,49.16,49.36,4955490
"2012-05-10",48.63,48.64,48.21,48.5,4865785
"2012-05-17",47.16,47.23,46.1,46.19,4785886
"2012-05-24",47.87,47.99,47.27,47.7,3860457
"2012-05-31",47.07,47.1,46.41,46.77,5671640
"2012-06-07",46.55,47.35,46.19,46.41,6941192
"2012-06-14",46.69,46.7,46.2,46.49,4023140
"2012-06-21",46.46,47.13,45.41,45.56,5660252
"2012-06-28",44.09,44.5,43.75,44.29,3338444
"2012-07-05",45.02,45.98,45.02,45.81,3846684
"2012-07-12",44.09,44.26,43.58,44.03,3664726
"2012-07-19",47.25,47.38,46.68,47.03,3799097
"2012-07-26",46.29,46.9,46.16,46.69,2711412
"2012-08-02",47.24,47.61,46.76,47.41,2368168
"2012-08-09",50.05,50.39,50,50.3,3217321
"2012-08-16",51.49,52.24,51.45,52.09,3174426
"2012-08-23",51.68,51.79,51.35,51.47,2890615
"2012-08-30",51.11,51.34,50.56,50.74,3389706
"2012-09-06",49.38,50.12,49.38,49.98,4265989
"2012-09-13",49.35,50.24,48.61,49.97,5111550
"2012-09-20",50.31,50.7,49.84,50.42,3432666
"2012-09-27",48.25,48.63,48.02,48.35,4644384
"2012-10-04",48.8,49.46,48.68,49.05,4333764
"2012-10-11",48.85,49,48.32,48.32,2264499
"2012-10-18",49.18,49.74,49.09,49.6,2944636
"2012-10-25",47.83,48.1,47.66,47.96,3806742
"2012-11-01",48.84,50.69,48.58,50.38,5361910
"2012-11-08",50.21,50.46,49.65,49.78,3496966
"2012-11-15",48.31,48.74,47.92,48.14,3398517
"2012-11-29",50.15,50.84,49.98,50.58,4732113
"2012-12-06",50.64,50.8,50.28,50.8,4261327
"2012-12-13",51.53,52.02,51.42,51.66,2970290
"2012-12-20",53.08,53.26,52.72,53.25,3550715
"2012-12-27",52.75,52.84,52.1,52.67,2388568
"2013-01-03",54.87,55.6,54.49,54.86,5705728
"2013-01-10",55.03,55.14,54.55,55.14,3451254
"2013-01-17",54.82,55.68,54.63,55.35,3039675
"2013-01-24",57.09,57.9,57.07,57.27,4639522
"2013-01-31",57.14,57.66,56.78,57.25,4899365
"2013-02-07",57.33,57.51,56.84,57.47,2912675
"2013-02-14",57.9,58.49,57.69,58.41,3649002
"2013-02-21",57.41,57.62,56.8,56.99,3809725
"2013-02-28",57.26,57.48,56.68,56.7,3642808
"2013-03-07",56.37,56.79,56.35,56.48,2875483
"2013-03-14",56.31,57.6,56.25,57.52,4242326
"2013-03-21",56.77,56.94,56.14,56.47,3095479
"2013-03-28",55.37,55.96,55.29,55.87,3070239
"2013-04-04",55.14,56.12,54.99,56.08,4022808
"2013-04-11",57.15,57.37,56.37,56.65,3962929
"2013-04-18",53.76,53.99,53.08,53.32,2927259
"2013-04-25",55.45,55.79,55.09,55.39,3173801
"2013-05-02",54.75,55.94,54.51,55.8,4243379
"2013-05-09",57.13,58.45,57.05,57.71,5035397
"2013-05-16",58.31,58.84,57.8,58.03,4831696
"2013-05-23",57.18,57.52,56.95,57.14,4349740
"2013-05-30",57.34,58.2,57.34,57.81,2223610
"2013-06-06",56.03,56.39,55.74,56.32,3386710
"2013-06-13",55.88,56.92,55.5,56.75,2381203
"2013-06-20",55.8,55.87,54.27,54.38,5847612
"2013-06-27",55.77,55.95,55.27,55.39,2730877
"2013-07-11",57.95,58.01,57.62,57.87,2758505
"2013-07-18",57.34,57.97,57.14,57.74,2591908
"2013-07-25",59.75,59.77,59.25,59.75,3527723
"2013-08-01",61.98,62.7,61.78,62.55,4020884
"2013-08-08",61.99,62.56,61.94,62.31,3409886
"2013-08-15",61.46,61.61,60.59,60.88,3309354
"2013-08-22",61.18,62.32,61.04,62.03,2729770
"2013-08-29",60.33,61.08,60.17,60.61,1636374
"2013-09-05",61.29,62.05,61.07,61.67,2775940
"2013-09-12",63.49,64.13,63.4,63.61,2354167
"2013-09-19",65.88,66.79,65.88,66.5,3184357
"2013-09-26",64.94,65.46,64.92,65.42,2511751
"2013-10-03",64.27,64.46,63.15,63.73,3682318
"2013-10-10",63.8,65.03,63.73,64.98,3553107
"2013-10-17",64.53,65.3,64.53,65.21,3031713
"2013-10-24",66.44,66.8,66.38,66.53,2036530
"2013-10-31",66.9,67.49,66.61,66.97,2450534
"2013-11-07",67.21,67.45,65.84,66.05,5119629
"2013-11-14",66.89,67.49,66.83,67.21,3323174
"2013-11-21",67.26,67.78,67.19,67.72,2121184
"2013-12-05",66.33,66.66,66.01,66.45,2167445
"2013-12-12",66.27,66.86,66.17,66.61,2445501
"2013-12-19",67.97,68.8,67.66,68.66,3430782
"2013-12-26",69.92,70.27,69.72,70.1,1276261
"2014-01-02",69.83,70.03,69.1,69.3,1803110
"2014-01-09",68.89,69.74,68.02,68.27,3431591
"2014-01-16",69.7,70.29,69.54,69.95,2068720
"2014-01-23",68.44,68.49,67.11,67.35,4377122
"2014-01-30",66.12,66.73,65.73,66.58,2806084
"2014-02-06",63.78,64.41,63.73,63.94,3110882
"2014-02-13",64.56,64.71,63.95,64.54,4202715
"2014-02-20",63.39,64.1,63.04,63.56,3369647
"2014-02-27",65.22,65.74,64.96,65.25,3091874
"2014-03-06",65.11,65.46,65,65.05,2462504
"2014-03-13",64.45,64.63,62.77,63.02,4547294
"2014-03-20",63.52,63.76,63.18,63.59,2806917
"2014-03-27",65.56,66.29,65.02,66.2,4387989
"2014-04-03",68.05,68.29,67.62,67.94,2282062
