"","EQIX.Open","EQIX.High","EQIX.Low","EQIX.Close","EQIX.Volume"
"2015-01-29",216.83,222.54,216.61,221.92,432096
"2015-02-05",223.51,226.24,220.12,225.8,486450
"2015-02-12",223.69,228.95,222.7,227.74,539579
"2015-02-19",227.9,230.71,224.54,229.41,639119
"2015-02-26",228.38,228.9,225.55,226.4,329526
"2015-03-05",223.8,235.27,223.37,234.3,1314099
"2015-03-12",227.81,232.9,226.33,231.49,640200
"2015-03-19",234.62,236.98,234.16,235.9,699917
"2015-03-26",226.31,228.92,225.02,227.86,555634
"2015-04-02",233.29,236.71,230.96,235.6,470712
"2015-04-09",238.96,240.3,238.66,240.06,440093
"2015-04-16",240.11,242.96,240.11,241.56,569440
"2015-04-23",244.01,248.3,242.49,246.92,587708
"2015-04-30",255.25,262,249.7,255.93,1743423
"2015-05-07",265.25,270.46,261.21,262,1534227
"2015-05-14",260.67,262.06,258.13,261.41,409018
"2015-05-21",266.88,268.75,263.21,268.22,2051936
"2015-05-28",269.69,270.52,267.71,269.19,590692
"2015-06-04",264.57,266.49,262.3,263.06,917185
"2015-06-11",261.01,262.51,260.68,260.93,314006
"2015-06-18",257.73,261.86,256.09,261.35,1183564
"2015-06-25",255.9,257.48,255.26,256.59,517368
"2015-07-02",256.14,257.21,253.81,255.34,349549
"2015-07-09",258.64,260.2,255.95,256.68,518358
"2015-07-16",261.46,263.67,260.02,262.12,484203
"2015-07-23",269.32,273.05,267.72,269.39,539076
"2015-07-30",281.4,288.12,280.06,282.58,821594
"2015-08-06",281.04,281.05,274.66,280,520781
"2015-08-13",283.97,284.26,278.84,282.23,539318
"2015-08-20",284.22,284.65,279.92,279.96,566124
"2015-08-27",262.09,268.18,261.52,266.14,701225
"2015-09-03",269.51,275.18,269.41,274.44,1003611
"2015-09-10",279.72,287.91,279.12,285.14,1219091
"2015-09-17",290.64,294.49,288.48,290.07,896596
"2015-09-24",287.71,289.83,279.06,279.67,834939
"2015-10-01",274.86,276.74,271.7,276.46,826493
"2015-10-08",265.13,267.68,262.6,267.34,766284
"2015-10-15",275.45,280.4,270,280.1,755200
"2015-10-22",292.59,296.39,292.33,294.62,1295527
"2015-10-29",291.31,301.68,285.74,292.91,1197506
"2015-11-05",295.61,297.09,291.25,295.8,485101
"2015-11-12",296.22,298.16,294.62,294.74,425057
"2015-11-19",287.75,288.5,282.8,286.11,2295184
"2015-12-03",298.37,300,293.9,295.22,683768
"2015-12-10",297.84,299.34,293.94,295.65,700104
"2015-12-17",296.21,297.34,292.44,293.41,682001
"2015-12-24",296.99,298.45,295.91,297.19,206660
"2015-12-31",302.49,304.37,299.6,302.4,404825
"2016-01-07",304.73,306.7,302.25,303.29,1151912
"2016-01-14",306.07,315.5,297.29,310.99,3696354
"2016-01-21",294.29,295.35,287.31,289.78,860422
"2016-01-28",301.25,309.96,295.51,300.22,1029630
"2016-02-04",312.17,314.08,305.36,308.45,1021716
"2016-02-11",265.4,279.29,265.4,275.05,973856
"2016-02-18",288.02,293.67,286.95,290.31,1122268
"2016-02-25",296.23,307.62,296.23,307.49,998996
"2016-03-03",302.78,310.81,301.7,310.59,1112098
"2016-03-10",303.46,307.6,301.3,306.71,801067
"2016-03-17",316.59,321.45,315.07,316.98,1006949
"2016-03-24",317.96,323,317.8,320.75,547801
"2016-03-31",327.54,331.8,326.96,330.71,817822
"2016-04-07",325.6,326.95,323.12,325.81,571568
"2016-04-14",320.78,322.19,318.6,320.75,353141
"2016-04-21",324.23,329.32,318.07,319.89,694207
"2016-04-28",330.77,334.62,327.19,328.24,471467
"2016-05-05",334.26,336.91,326.95,330.89,1010848
"2016-05-12",342.6,346.98,338.83,346.21,491372
"2016-05-19",338.98,345.48,338.98,343.05,609384
"2016-05-26",358.38,363.22,356.8,363.09,755078
"2016-06-02",364.94,367.82,362.94,367.53,587105
"2016-06-09",371.73,373.88,371.51,373.21,396378
"2016-06-16",369.25,378.26,369.25,377.46,830838
"2016-06-23",381.72,387.45,375.88,385.43,898594
"2016-06-30",387.02,387.93,383.15,387.73,525849
"2016-07-07",387.34,387.83,381.88,382.68,386179
"2016-07-14",388.29,390,381.38,383.81,392801
"2016-07-21",378.33,378.73,370.35,372.56,571948
"2016-07-28",374,380.79,373.27,380.17,435928
"2016-08-04",372.86,374.18,366.01,371.4,893535
"2016-08-11",367.51,369.28,362.75,367.75,524178
"2016-08-18",366.59,369.65,363.73,363.97,488895
"2016-08-25",364.6,366.78,362.53,363.98,342301
"2016-09-01",368.41,369.66,365.01,366.76,452277
"2016-09-08",377.19,379.23,372.86,373.03,780928
"2016-09-15",353.96,362.53,352.51,361.79,501543
