"","EQT.Open","EQT.High","EQT.Low","EQT.Close","EQT.Volume"
"2011-09-15",60.68,61.57,60.05,60.72,1791242
"2011-09-22",58.29,59.08,56.15,57.26,2271851
"2011-09-29",57.41,57.76,53.95,55.49,1996240
"2011-10-06",55.34,56.92,54.24,56.62,1626783
"2011-10-13",58.59,61.28,57.23,60.58,1993620
"2011-10-20",64.92,66.44,64.2,66.08,1850807
"2011-10-27",71.01,73.1,61.44,64.61,7337054
"2011-11-03",62.99,64.11,62.5,63.84,1485774
"2011-11-10",63.29,64.02,61.83,62.88,1449287
"2011-11-17",60.27,61.3,58.75,59.22,2788693
"2011-12-01",61.61,62.89,61.34,61.37,1665926
"2011-12-08",60.79,60.79,56.43,56.74,3753444
"2011-12-15",54.33,54.43,53.25,53.57,2051943
"2011-12-22",55.81,56.11,55.15,55.47,1156600
"2011-12-29",54.98,55.48,54.71,55.17,518281
"2012-01-05",55.49,56.45,54.9,56.11,1743160
"2012-01-12",50.8,51.47,48.96,49.16,3643625
"2012-01-19",48.8,48.8,47.47,47.64,2745928
"2012-01-26",51.91,51.94,47.8,48.34,2933831
"2012-02-02",49.94,50.38,49.32,50.07,1564185
"2012-02-09",49.99,50.73,49.5,50.35,2077888
"2012-02-16",50.37,51.42,50,51.29,1937390
"2012-02-23",52.62,55.89,52.06,54.2,3453310
"2012-03-01",53.18,54.12,53.12,53.9,1050036
"2012-03-08",52,53.07,51.94,52.79,1021508
"2012-03-15",49.82,50.35,49.35,50.13,1794955
"2012-03-22",49.95,50.02,48.41,48.8,1161482
"2012-03-29",47.98,48.26,47.01,47.53,1700071
"2012-04-05",49.21,49.8,48.77,49.11,1341629
"2012-04-12",46.07,46.99,46.04,46.6,1482630
"2012-04-19",46.02,47.08,45.91,46.99,1517096
"2012-04-26",46.32,48.61,45.73,47.53,2606407
"2012-05-03",49.62,50.2,49.25,49.41,1783978
"2012-05-10",50.23,50.57,49.56,49.84,1776042
"2012-05-17",46.79,46.87,45.94,46,2299237
