"","ESRX.Open","ESRX.High","ESRX.Low","ESRX.Close","ESRX.Volume"
"2011-09-15",43.27,43.46,39.88,41.5,26921758
"2011-09-22",39.13,40.02,38.6,39.49,11085884
"2011-09-29",38.74,39.08,37.8,38.29,7252713
"2011-10-06",38.03,40.2,37.71,40.02,25420911
"2011-10-13",40.35,40.47,39.77,40.21,4419527
"2011-10-20",39.64,39.73,38.1,38.42,9026670
"2011-10-27",44.44,45.91,44.31,45.76,12901022
"2011-11-03",44.38,44.61,43.54,44.01,5150876
"2011-11-10",47.01,47.33,46.26,47.02,5394972
"2011-11-17",45.08,45.25,43.36,43.77,8427711
"2011-12-01",45.33,47.02,45.32,46.5,7851556
"2011-12-08",45.81,46.1,45.02,45.19,5994271
"2011-12-15",43.96,44.2,43.3,43.38,4474352
"2011-12-22",44.45,45.75,44.26,45.67,3868840
"2011-12-29",43.84,44.39,43.84,44.34,2235262
"2012-01-05",47.63,48.5,47.05,48.47,7244890
"2012-01-12",49.11,49.28,47.96,48.87,7868184
"2012-01-19",51.68,51.79,50.66,50.96,8394027
"2012-01-26",52.67,52.8,51.73,52.36,6053698
"2012-02-02",51.79,51.97,50.94,51.75,6673369
"2012-02-09",50.88,51.07,50,50.28,3691117
"2012-02-16",52.15,52.75,51.19,52.59,6499350
"2012-02-23",52.59,53.82,51.96,52.61,13850827
"2012-03-01",53.32,53.75,52.8,52.97,7702998
"2012-03-08",53.14,53.62,52.93,53.28,5279174
"2012-03-15",54.91,54.91,54.17,54.3,6548210
"2012-03-22",53.37,53.62,52.8,53.03,5168872
"2012-03-29",53.26,54.1,52.93,53.16,19998122
"2012-04-05",56.64,57.24,56.6,56.94,9587661
"2012-04-12",56.35,57.58,56.33,57.5,6971333
"2012-04-19",58.34,58.98,58.17,58.57,6744594
"2012-04-26",56.41,56.81,56,56.4,5658783
"2012-05-03",56.8,56.81,56,56.31,4767233
"2012-05-10",54.15,54.53,53.68,54.34,9392037
"2012-05-17",52.88,53.18,51.35,51.35,8553414
"2012-05-24",51.58,51.91,51.07,51.67,4200339
"2012-05-31",52.39,52.67,51.58,52.19,4371572
"2012-06-07",53,53.33,52.52,52.92,3677472
"2012-06-14",53.23,54.43,53.04,54.23,4666562
"2012-06-21",53.89,54.3,52.31,52.4,3744120
"2012-06-28",53.28,54.95,52.33,54.79,6772203
"2012-07-05",54.91,55.25,54.24,54.48,2733303
"2012-07-12",55.7,56.01,55.19,55.79,4396541
"2012-07-19",59.33,59.5,58.27,58.76,10549643
"2012-07-26",57.46,57.69,56.58,56.84,4056977
"2012-08-02",56.54,56.85,55.36,56.17,4276149
"2012-08-09",60.63,62.8,60.41,62.51,10403217
"2012-08-16",60.91,61.15,60.59,60.89,4686033
"2012-08-23",60.92,61.7,60.68,61.58,4387116
"2012-08-30",61.4,61.99,61.15,61.73,2543349
"2012-09-06",63.45,64.33,63.28,63.75,5531632
"2012-09-13",62.11,63.18,61.91,62.93,4248712
"2012-09-20",62.66,62.8,62.02,62.4,3558934
"2012-09-27",63.26,64.46,62.77,64.25,4805807
"2012-10-04",65.35,65.8,64.62,65.45,4980566
"2012-10-11",63.43,63.84,63.04,63.1,2453504
"2012-10-18",64.21,64.39,63.5,63.79,2745650
"2012-10-25",62.5,63.26,62.41,63.23,3647969
"2012-11-01",62.09,62.76,61.65,62.5,4511362
"2012-11-08",54.72,55.38,54.53,54.81,9672757
"2012-11-15",50.5,51.25,49.98,50.76,12211957
"2012-11-29",53,54.16,52.74,53.64,8710918
"2012-12-06",54.15,54.47,53.67,53.85,4411329
"2012-12-13",54.38,55.27,53.76,54.12,4564840
"2012-12-20",54.33,54.96,54.03,54.64,5121537
"2012-12-27",53.48,53.57,52.74,53.36,3654081
"2013-01-03",55.49,55.62,54.48,54.7,5126672
"2013-01-10",55.31,55.9,55.18,55.84,4447348
"2013-01-17",54.68,55.48,54.53,55.34,5292891
"2013-01-24",54.09,54.35,53.05,53.36,8640654
"2013-01-31",53.55,54,53.36,53.42,4636921
"2013-02-07",54.83,55.34,54.72,55.01,4398139
"2013-02-14",55.26,55.88,55.1,55.1,7917022
"2013-02-21",57.21,57.64,56.21,56.27,7981511
"2013-02-28",55.32,57.24,55.32,56.93,8627613
"2013-03-07",58.5,59.36,58.18,58.69,6218792
"2013-03-14",59.68,59.84,58.09,58.59,10315978
"2013-03-21",58.79,59.35,58.25,58.34,4083740
"2013-03-28",58,58.15,57.55,57.62,4779544
"2013-04-04",57.64,58.27,56.72,57.44,4028455
"2013-04-11",58.07,58.39,57.56,57.6,3637573
"2013-04-18",55.63,55.75,54.9,55.63,4396022
"2013-04-25",56.78,58.11,56.68,58,5603025
"2013-05-02",59.98,61.1,59.54,61,7767213
"2013-05-09",61.34,62.04,61.07,61.58,5359904
"2013-05-16",61.14,61.33,60.28,60.7,5949034
"2013-05-23",61.94,63.18,61.71,62.88,5955799
"2013-05-30",62.87,63.75,62.84,63.6,3499564
"2013-06-06",61.6,61.89,60.94,61.61,3715032
