"","ETFC.Open","ETFC.High","ETFC.Low","ETFC.Close","ETFC.Volume"
"2011-09-15",11.37,11.46,11.12,11.44,4303316
"2011-09-22",10,10.15,9.4,9.61,8628267
"2011-09-29",9.6,9.74,9.21,9.56,4953939
"2011-10-06",8.46,8.88,8.27,8.86,10350257
"2011-10-13",9.69,9.79,9.26,9.71,6240591
"2011-10-20",9.46,9.62,9.1,9.58,7346801
"2011-10-27",11.18,11.5,10.95,11.41,8535196
"2011-11-03",10.52,10.71,10.03,10.65,4813050
"2011-11-10",10.09,10.19,9.37,9.48,12934211
"2011-11-17",8.36,8.43,8.09,8.18,10586061
"2011-12-01",9.1,9.14,8.77,8.9,7362698
"2011-12-08",9.05,9.11,8.63,8.69,6354592
"2011-12-15",8.16,8.19,7.85,7.9,10314003
"2011-12-22",7.91,8.12,7.88,7.92,7381203
"2011-12-29",7.78,7.99,7.73,7.97,6156010
"2012-01-05",8.34,8.64,8.23,8.58,5293053
"2012-01-12",9.06,9.34,8.92,9.25,5722926
"2012-01-19",9.45,9.7,9.4,9.62,6127199
"2012-01-26",8.54,8.7,7.86,7.99,34114471
"2012-02-02",8.57,8.86,8.53,8.84,11471082
"2012-02-09",9.17,9.24,9.02,9.19,4931013
"2012-02-16",9.17,9.28,9.05,9.26,4302582
"2012-02-23",9.3,9.51,9.15,9.49,3191765
"2012-03-01",9.7,10,9.7,9.84,6946763
"2012-03-08",9.51,9.76,9.48,9.68,7063523
"2012-03-15",10.49,11.09,10.43,10.95,10282947
"2012-03-22",11.15,11.26,10.92,11.03,3142425
"2012-03-29",10.89,10.95,10.72,10.9,3772383
"2012-04-05",10.63,10.75,10.58,10.66,1957214
"2012-04-12",10.36,10.69,10.31,10.66,2906805
"2012-04-19",10.02,10.14,9.76,9.88,6689537
"2012-04-26",10.66,11,10.6,10.67,5889354
"2012-05-03",10.4,10.43,10.13,10.19,3482079
"2012-05-10",9.7,9.84,9.56,9.64,2590700
"2012-05-17",8.84,8.91,8.59,8.6,4839212
"2012-05-24",8.92,9,8.61,8.76,2561581
"2012-05-31",8.53,8.56,8.31,8.49,5520594
"2012-06-07",8.46,8.53,8.15,8.19,4414701
"2012-06-14",7.88,8.02,7.83,7.99,3752525
"2012-06-21",8.17,8.22,7.79,7.82,4206071
"2012-06-28",7.48,7.64,7.39,7.61,6039034
"2012-07-05",8.07,8.15,7.95,8.07,3909714
"2012-07-12",7.57,7.58,7.39,7.48,5385345
"2012-07-19",7.88,7.99,7.72,7.82,5170422
"2012-07-26",7.3,7.3,7.15,7.26,3667177
"2012-08-02",7.6,7.6,7.25,7.33,11381180
"2012-08-09",8.35,8.62,8.3,8.57,18578220
"2012-08-16",8.55,8.6,8.47,8.55,11232446
"2012-08-23",8.74,8.75,8.37,8.4,4307819
"2012-08-30",8.55,8.55,8.4,8.5,2056313
"2012-09-06",8.6,8.87,8.56,8.85,3700434
"2012-09-13",9.3,9.64,9.22,9.56,4354645
"2012-09-20",9.15,9.27,8.96,9.22,4796195
"2012-09-27",8.79,8.92,8.7,8.85,2931142
"2012-10-04",9.07,9.13,9,9.12,2466527
"2012-10-11",9.1,9.37,9.07,9.32,3436496
"2012-10-18",9.51,9.54,9.34,9.42,3997072
"2012-10-25",8.28,8.42,8.19,8.39,2891590
"2012-11-01",8.27,8.62,8.27,8.49,3907666
"2012-11-08",8.29,8.4,8.14,8.14,2900664
"2012-11-15",7.76,7.89,7.7,7.86,6124472
"2012-11-29",8.56,8.6,8.38,8.53,2466285
"2012-12-06",8.52,8.55,8.34,8.37,3031228
"2012-12-13",8.25,8.41,8.25,8.27,3882233
"2012-12-20",8.8,8.9,8.72,8.89,2996664
"2012-12-27",8.66,8.76,8.56,8.73,2470598
"2013-01-03",9.18,9.27,9.12,9.19,2659011
"2013-01-10",9.43,9.71,9.37,9.55,7083535
"2013-01-17",9.86,10.02,9.81,9.87,5224196
"2013-01-24",10.28,10.46,10.14,10.27,9037197
"2013-01-31",10.48,10.62,10.3,10.6,4770422
"2013-02-07",10.89,11,10.68,10.99,6320916
"2013-02-14",11.21,11.43,11.18,11.42,5335275
"2013-02-21",11.06,11.08,10.74,10.78,3957559
"2013-02-28",10.72,10.82,10.54,10.71,4614608
"2013-03-07",11.04,11.32,10.94,11.31,4275238
"2013-03-14",10.99,11.22,10.75,10.85,52022765
"2013-03-21",10.76,10.85,10.6,10.64,8073287
"2013-03-28",10.62,10.72,10.57,10.71,2778798
