"","ETR.Open","ETR.High","ETR.Low","ETR.Close","ETR.Volume"
"2011-09-15",63.86,64.92,63.62,64.58,1315355
"2011-09-22",63.99,64.49,63.32,64.23,1839389
"2011-09-29",67.04,67.28,66.25,67.02,3001859
"2011-10-06",64.38,64.72,63.95,64.69,1185659
"2011-10-13",65.65,66.31,65.5,66.23,1346838
"2011-10-20",67.1,67.75,66.86,67.52,1244670
"2011-10-27",69.93,70.16,69.41,69.8,1883890
"2011-11-03",69.13,69.66,68.63,69.56,4634570
"2011-11-10",68.64,69.34,68.17,69.02,1955562
"2011-11-17",69.42,69.42,67.81,68.37,1647924
"2011-12-01",70.32,70.91,70,70.53,1429893
"2011-12-08",71.98,71.99,70.46,70.61,1392861
"2011-12-15",71.09,71.86,70.95,71.58,1208559
"2011-12-22",72.88,73.12,72.64,72.88,938367
"2011-12-29",73.4,73.8,73.17,73.65,482638
"2012-01-05",71.92,72.15,71.27,71.9,999908
"2012-01-12",71.75,71.84,71.22,71.43,862927
"2012-01-19",71.13,71.33,70.35,70.66,1361310
"2012-01-26",71.07,72.08,70.89,71.3,1299009
"2012-02-02",69.38,69.76,69.14,69.36,1086636
"2012-02-09",68.01,68.3,67.64,68.22,1447696
"2012-02-16",67.52,68.85,67.48,68.29,1281057
"2012-02-23",67.58,67.72,67.04,67.15,926070
"2012-03-01",67.17,67.58,66.66,67.28,1315058
"2012-03-08",67.15,67.49,66.97,67.31,686435
"2012-03-15",67.72,68.02,67.27,67.95,763776
"2012-03-22",66.66,67.03,66.46,66.73,1141141
"2012-03-29",66.48,67.06,66.34,66.93,1005651
"2012-04-05",67.02,67.02,66.15,66.38,859715
"2012-04-12",65.61,66.21,65.31,66.16,1361512
"2012-04-19",65.99,66.09,64.99,65.37,2149317
"2012-04-26",65.65,66.2,65.16,66.19,4336248
"2012-05-03",65.85,66.17,65.08,65.16,1483777
"2012-05-10",64.58,64.98,64.5,64.62,810159
"2012-05-17",63.64,63.77,63.09,63.1,1062214
"2012-05-24",63.77,64.71,63.63,64.35,976735
"2012-05-31",64.44,64.97,64.22,64.53,1058338
"2012-06-07",65.64,66.3,65.49,66.06,1272721
"2012-06-14",66.11,66.37,65.88,66.1,1089460
"2012-06-21",66.83,67.12,66.4,66.55,1553367
"2012-06-28",66.98,67.64,66.96,67.58,738178
"2012-07-05",68.3,68.46,67.94,67.94,870964
"2012-07-12",68.97,69.77,68.81,69.46,1053129
"2012-07-19",71.38,71.62,70.7,71.47,852548
"2012-07-26",71.45,71.81,71.04,71.49,777320
"2012-08-02",72.29,72.55,71.33,71.83,2971769
"2012-08-09",71.91,72.07,71.22,71.28,1294394
"2012-08-16",69.79,70.08,69.44,69.63,1006523
"2012-08-23",68.84,68.84,68.03,68.35,756785
"2012-08-30",68.15,68.43,67.9,68.02,611966
"2012-09-06",68.97,69.42,68.74,69.25,785566
"2012-09-13",67.07,68.85,67.07,68.78,824337
"2012-09-20",68.29,68.92,68.29,68.81,598323
"2012-09-27",69.45,69.6,68.96,69.15,662552
"2012-10-04",69.99,70.95,69.93,70.71,829693
"2012-10-11",70.67,71.44,70.18,70.63,878945
"2012-10-18",71.16,71.81,70.94,71.76,570176
"2012-10-25",70.38,70.55,69.8,70.42,637973
"2012-11-01",72.79,72.85,72.15,72.35,1053061
"2012-11-08",65.3,65.99,64.92,65,1487539
"2012-11-15",63.35,63.71,62.53,63,1014114
"2012-11-29",63.61,63.62,62.94,63.52,1009952
"2012-12-06",63.79,64.08,63.63,63.73,835043
"2012-12-13",63.78,63.95,63.36,63.57,535383
"2012-12-20",64.49,64.63,63.82,64.41,735214
"2012-12-27",63.4,63.79,62.74,63.45,814807
"2013-01-03",64.84,64.86,64.24,64.44,1070572
"2013-01-10",62.9,63.4,62.73,63.37,837908
"2013-01-17",63.25,63.55,63.04,63.27,774326
"2013-01-24",63.76,64.2,63.52,63.84,1460059
"2013-01-31",64.46,64.66,64.3,64.6,1156186
"2013-02-07",64.88,65.29,64.51,64.96,677115
"2013-02-14",63.1,63.1,61.5,61.8,2615656
"2013-02-21",61.53,61.72,61.24,61.52,946348
"2013-02-28",62.14,62.52,61.98,62.26,1347884
"2013-03-07",63.72,64.06,63.42,63.52,615284
"2013-03-14",63.71,63.92,63.59,63.64,1105601
"2013-03-21",63.7,63.93,62.75,62.92,1101302
"2013-03-28",63,63.41,62.73,63.24,881268
"2013-04-04",65.01,66.56,65,66.52,1672794
"2013-04-11",68.26,69.14,67.81,69.05,1285181
"2013-04-18",69.53,70.38,69.53,70.29,1621635
"2013-04-25",70.14,70.19,68.24,68.62,4424962
"2013-05-02",71.36,71.83,70.96,71.57,1087568
"2013-05-09",68.11,68.17,66.84,67,1151918
"2013-05-16",69.42,70.18,68.9,69.67,1773445
"2013-05-23",68.11,69.12,67.59,68.92,1123305
"2013-05-30",68.81,70.21,68.81,69.1,1122080
"2013-06-06",67.48,68.11,67.09,68.01,891800
"2013-06-13",67.68,68.93,67.18,68.88,950071
"2013-06-20",67.84,68.1,66.25,66.37,1328446
"2013-06-27",70.39,71.59,69.91,70.05,1335822
"2013-07-11",70.32,71.32,70.3,71.31,987652
"2013-07-18",70.87,71.8,70.87,71.77,993079
"2013-07-25",70.16,70.59,69.49,70.09,5863184
"2013-08-01",67.76,68.2,67.38,67.89,1326191
"2013-08-08",68.77,69.69,68.52,69.16,1402342
"2013-08-15",65.43,66.15,65.43,65.76,1667319
"2013-08-22",62.99,63.81,62.75,63.34,941265
"2013-08-29",62.71,63.21,62.31,63.02,1626290
"2013-09-05",62.03,62.59,61.95,62.04,1152513
"2013-09-12",62.94,63.03,62.19,62.29,837078
"2013-09-19",65.64,65.8,64.69,65.02,741829
"2013-09-26",63.73,64.18,63.44,63.62,888962
"2013-10-03",63.72,63.82,63.1,63.51,1145429
"2013-10-10",64.5,65.3,63.69,65.11,1124181
"2013-10-17",64.95,66.74,64.47,66.59,1163704
"2013-10-24",68.09,68.28,67.49,68.1,1036084
"2013-10-31",65.31,65.38,64.38,64.72,1519573
"2013-11-07",65.16,65.42,64.36,64.4,1367500
"2013-11-14",63,63.55,62.81,63.43,893036
"2013-11-21",63.16,63.2,62.81,62.88,1011558
"2013-12-05",62.03,62.29,61.75,62.24,1215158
"2013-12-12",60.85,61.67,60.84,61.22,1550898
"2013-12-19",62,62.12,61.13,61.56,986255
"2013-12-26",62.63,62.97,62.27,62.37,583208
"2014-01-02",63.35,63.39,61.71,61.84,1206645
"2014-01-09",61.03,61.09,60.52,60.52,1628563
"2014-01-16",61.23,61.57,61.09,61.38,1100276
"2014-01-23",61.27,61.79,60.99,61.71,1524024
"2014-01-30",61.76,63.38,61.55,63.17,2622946
"2014-02-06",62.61,63.84,62.55,63.75,3359854
"2014-02-13",63.22,64.58,63.22,64.43,2326050
"2014-02-20",64.45,65.3,64.45,65.05,1378756
"2014-02-27",63.86,64.2,63.53,63.76,983096
"2014-03-06",63.1,63.36,62.13,62.38,1406357
"2014-03-13",63.12,64.48,63.08,64.42,1963037
"2014-03-20",64.4,64.75,63.87,64.75,1166377
"2014-03-27",66.04,66.64,65.56,66.6,1172977
"2014-04-03",67.17,68.14,66.82,68.1,1749061
"2014-04-10",70.42,70.89,70,70.1,1674077
"2014-04-17",72.09,72.43,71.07,71.26,1861082
"2014-04-24",71.4,71.58,70.35,71.42,2013280
"2014-05-01",72.69,73.25,72.08,72.96,1677118
"2014-05-08",74.98,75.07,74.33,74.79,2723074
"2014-05-15",74.3,74.42,73.62,74.29,2603720
"2014-05-22",73.46,74.35,73.42,74.04,1605803
"2014-05-29",74.51,75.55,74.38,75.53,1868338
"2014-06-05",78.42,78.8,77.76,78.61,2560702
"2014-06-12",77.38,77.96,76.6,77.85,1607380
"2014-06-19",80.2,80.94,80.11,80.79,1650330
"2014-06-26",81.15,81.33,80.66,80.86,1136167
"2014-07-03",78.21,78.4,76.97,76.97,2087367
"2014-07-10",77.5,78.83,77.43,78.7,1617826
"2014-07-17",77.15,77.61,76.19,76.27,1758961
"2014-07-24",75.46,76.43,75.46,76.35,2139185
"2014-07-31",73.91,74.11,72.81,72.83,1323906
"2014-08-07",71.05,71.91,71.05,71.57,1447965
"2014-08-14",71.85,73.22,71.85,73.01,1667015
"2014-08-21",74.94,75.8,74.54,74.82,1199903
"2014-08-28",75.38,76.38,75.22,76.33,852419
"2014-09-04",77.01,77.28,76.46,76.86,1804407
"2014-09-11",76.19,77.08,75.9,77.06,984874
"2014-09-18",76.69,77.03,75.6,75.84,930224
"2014-09-25",76.32,76.53,75.8,76,1222489
"2014-10-02",77.79,78.32,77.32,77.47,1593674
"2014-10-09",79.05,79.66,77.44,77.51,2109935
"2014-10-16",77.87,79.52,77.05,79.4,1965224
"2014-10-23",81.49,81.96,80.75,81.29,1422417
"2014-10-30",82.46,84.26,81.95,84.24,1422914
"2014-11-06",83.73,83.85,81,81.96,3669621
