"","EW.Open","EW.High","EW.Low","EW.Close","EW.Volume"
"2011-09-15",37.5,38.4,37.2,38.16,2073814
"2011-09-22",37.18,37.52,36.78,37.34,2465276
"2011-09-29",36.2,36.25,33.75,35.44,11423018
"2011-10-06",34.6,35.2,34.52,35.17,2431390
"2011-10-13",35.14,35.8,35.07,35.62,1405320
"2011-10-20",35,36.12,34.15,36,4311382
"2011-10-27",37.75,38.14,37.11,37.58,1634698
"2011-11-03",38.7,38.7,37.52,38.4,2203386
"2011-11-10",36.17,36.6,34.09,34.51,7220208
"2011-11-17",32.57,32.62,31.56,31.84,2853228
"2011-12-01",32.86,33.7,32.72,33.42,1370650
"2011-12-08",32.12,32.16,31.88,31.91,1788046
"2011-12-15",33.06,33.26,32.62,33.15,1905606
"2011-12-22",35.26,35.91,35.08,35.2,1342556
"2011-12-29",35.17,35.8,34.9,35.71,750460
"2012-01-05",35.09,36.06,35.02,35.98,1544826
"2012-01-12",37.22,37.28,36.7,37.08,904942
"2012-01-19",38.9,39.5,38.66,38.94,3071304
"2012-01-26",39.5,39.54,39,39.14,1543632
"2012-02-02",40.54,40.68,39.98,40.34,2469118
"2012-02-09",36.84,37.06,36.58,36.66,1949362
"2012-02-16",37.83,38.15,37.67,38.13,2384080
"2012-02-23",37.24,37.34,36.58,36.84,2303264
"2012-03-01",36.59,36.74,35.91,36.15,3992314
"2012-03-08",34.74,34.74,33.98,34.26,4592234
"2012-03-15",34.81,35.16,34.46,35,1079234
"2012-03-22",35.5,36.07,35.44,35.75,2389210
"2012-03-29",36.38,36.7,36.28,36.44,1567518
"2012-04-05",35.86,36.2,35.69,36,1107308
"2012-04-12",35.82,36.38,35.67,36.3,1099570
"2012-04-19",36.4,36.6,36.3,36.46,2309578
"2012-04-26",40.67,41.11,40.44,40.86,2333860
"2012-05-03",42.9,43.36,42.47,43.06,1855504
"2012-05-10",43,43,41.72,42.02,3041694
"2012-05-17",41.59,41.9,41.27,41.3,2196090
"2012-05-24",42.6,43.72,42.6,43.66,2774910
"2012-05-31",42.7,42.89,42.12,42.68,2730202
"2012-06-07",43.83,44.1,43.5,43.61,1873904
"2012-06-14",45.6,49.5,45.6,48.44,8290330
"2012-06-21",51.11,51.13,49.64,49.78,1702220
"2012-06-28",50.56,50.81,50,50.59,1574934
"2012-07-05",51.76,52.32,51.75,52.22,1260460
"2012-07-12",50.52,50.66,49.45,50.41,1383562
"2012-07-19",51.18,51.76,51.08,51.41,1215998
"2012-07-26",52.14,52.53,50.3,51.27,3755348
"2012-08-02",49.46,49.8,49.04,49.65,1434660
"2012-08-09",49.88,49.88,48.45,49.15,2248128
"2012-08-16",49,49.4,48.76,48.9,614842
"2012-08-23",49.84,50.63,49.42,49.65,1397380
"2012-08-30",50.8,51.29,50.3,51,1421120
"2012-09-06",52.54,53.72,52.38,53.41,2105444
"2012-09-13",52.8,53.19,52.6,52.62,2610602
"2012-09-20",51.85,52,51.26,51.74,1347880
"2012-09-27",51.39,53.06,51.24,52.76,1252508
"2012-10-04",54.86,55.4,54.59,54.88,757750
"2012-10-11",44.03,44.41,42.94,43.09,2782392
"2012-10-18",43.78,43.88,43.32,43.37,1959546
"2012-10-25",43.8,43.8,42.9,43.5,1890196
"2012-11-01",43.54,43.8,42.97,43.78,1219580
"2012-11-08",44.66,44.7,43.14,43.32,1183112
"2012-11-15",42.68,43.22,42.43,43.14,2533376
"2012-11-29",42.23,42.76,41.92,41.97,1996586
"2012-12-06",45.32,45.86,44.95,45.56,1924932
