"","EXC.Open","EXC.High","EXC.Low","EXC.Close","EXC.Volume"
"2014-09-15",32.9,33.39,32.9,33.23,4612261
"2014-09-22",34.24,34.91,34.08,34.29,8712167
"2014-09-29",33.54,34.17,33.4,34.11,5267273
"2014-10-06",34.98,35.04,34.61,34.79,2690409
"2014-10-13",34.89,35.15,34.09,34.11,8496797
"2014-10-20",34.35,35.01,34.33,34.99,4413022
"2014-10-27",35.56,35.89,35.03,35.2,5317288
"2014-11-03",36.55,36.84,36.18,36.4,5616984
"2014-11-10",37.7,37.75,37.1,37.6,6093785
"2014-11-17",35.34,35.87,35.25,35.71,5903489
"2014-11-24",36.14,36.25,35.2,35.25,6313471
"2014-12-01",35.94,36.55,35.68,36.24,6538340
"2014-12-08",35.72,35.94,35.44,35.83,6076508
"2014-12-15",36.11,36.18,35.33,35.51,5024380
"2014-12-22",37.22,37.45,36.56,37.01,7505378
"2014-12-29",38.19,38.93,38.17,38.63,6681541
"2015-01-05",37.3,37.56,36.21,36.5,8801390
"2015-01-12",36.77,36.91,36.2,36.63,5081840
"2015-01-26",37.26,37.42,36.95,37.34,4241286
"2015-02-02",36,36.42,35.71,36.05,7152786
"2015-02-09",34.98,35.07,34.32,34.48,7266072
"2015-02-23",33.46,33.78,33.33,33.78,7384746
"2015-03-02",33.86,33.92,32.78,32.83,6958463
"2015-03-09",32.33,32.45,31.77,32.1,5834439
"2015-03-16",32.56,33.08,32.56,32.69,4362976
"2015-03-23",33.25,33.67,33.21,33.36,6028433
"2015-03-30",32.5,33.73,32.44,33.57,10019332
"2015-04-06",33.47,34.08,33.37,33.83,4219849
"2015-04-13",33.28,33.42,33.06,33.13,5349638
"2015-04-20",33.14,34.03,33.08,33.66,5495692
"2015-04-27",34.1,34.17,33.15,33.37,7503348
"2015-05-04",34.11,34.98,33.92,34.81,8522548
"2015-05-11",33.85,34.16,33.25,33.38,6456598
"2015-05-18",34.36,34.58,34.2,34.49,4534448
"2015-06-01",34.01,34.22,33.76,33.99,5153000
"2015-06-08",33.52,33.53,33.04,33.11,5518873
"2015-06-15",33.74,33.99,33.6,33.81,11695132
"2015-06-22",33.68,33.74,33.18,33.4,6092723
"2015-06-29",32.08,32.42,31.79,31.8,4868190
"2015-07-06",31.95,32.21,31.62,31.94,4672378
"2015-07-13",32.86,32.94,32.45,32.7,12455359
"2015-07-20",33.44,33.44,33.09,33.39,4751357
"2015-07-27",30.9,31.33,30.63,30.63,11910035
"2015-08-03",32.07,32.58,32.05,32.45,7933362
"2015-08-10",32.45,32.58,31.96,32.18,5871351
"2015-08-17",32.95,33.68,32.92,33.41,5618665
"2015-08-24",32.66,33.54,32.15,32.64,20119828
"2015-08-31",31.16,31.2,30.3,30.76,10256695
"2015-09-14",29.89,30.43,29.89,30.16,5357090
"2015-09-21",30.93,31.2,30.5,30.52,7577731
"2015-09-28",29.3,29.84,29.08,29.2,9679803
"2015-10-05",29.99,30.75,29.92,30.3,9392046
"2015-10-12",30.94,31.36,30.9,31.03,6159348
"2015-10-19",30.37,30.46,29.96,30.18,7889850
"2015-10-26",29.87,30,28.98,29.17,9365817
"2015-11-02",27.97,28.43,27.97,28.37,7919552
"2015-11-09",28.2,29.21,28.17,28.81,13738638
"2015-11-16",28.34,28.66,28.27,28.65,7054698
"2015-11-23",27.98,28.07,27.61,27.67,6352977
"2015-11-30",27.62,27.73,27.28,27.31,8592297
"2015-12-07",26.71,26.9,26.28,26.76,9614584
"2015-12-14",25.99,26.01,25.09,25.46,10888816
"2015-12-21",27.07,27.51,26.84,27.43,9824829
"2015-12-28",27.65,27.82,27.36,27.76,4582523
"2016-01-04",27.48,28,27.33,27.97,7306997
"2016-01-11",27.95,28.36,27.82,28.06,8189794
"2016-01-25",28,28.1,27.14,27.16,8421167
"2016-02-01",29.4,30.11,29.26,30,9483370
"2016-02-08",32.76,33.12,32.11,32.36,9714632
"2016-02-22",31.49,31.73,31.22,31.69,6905073
"2016-02-29",31.73,32.14,31.45,31.49,9691662
"2016-03-07",33.48,34.05,33.3,33.92,6902475
"2016-03-14",34.67,34.87,34.49,34.65,4752970
"2016-03-21",34.75,35.08,34.67,34.88,5711771
"2016-03-28",35.27,35.49,34.94,35.16,4532635
"2016-04-04",35.69,35.77,35.4,35.51,4467971
"2016-04-11",34.72,35.05,34.49,34.54,3706089
"2016-04-18",34.16,34.53,33.87,34.43,4954872
"2016-04-25",33.89,34.23,33.75,34.17,4257729
"2016-05-02",35.26,35.38,34.82,35.09,3817053
"2016-05-09",35.68,35.78,35.2,35.25,4962886
"2016-05-16",34.84,35.02,34.53,34.72,4654299
"2016-05-23",34.32,34.39,33.7,33.73,4264248
"2016-06-06",35.05,35.25,34.82,35.02,3349204
"2016-06-13",34.67,34.84,34.4,34.4,3840635
"2016-06-20",34.74,34.83,34.42,34.44,4645719
"2016-06-27",34.27,34.7,33.93,34.59,7964402
"2016-07-11",36.06,36.43,35.77,36.4,4174922
"2016-07-18",36.49,36.85,36.38,36.67,4696927
"2016-07-25",37.33,37.5,37.18,37.5,4605158
"2016-08-01",37.2,37.7,37.08,37.46,6176351
"2016-08-08",36.28,36.32,35.98,36.11,5399371
"2016-08-15",34.9,35.08,34.62,34.63,4053343
"2016-08-22",34.49,34.54,34.26,34.43,2267346
"2016-08-29",34.05,34.2,33.88,34.05,3441506
"2016-09-12",33.35,33.77,33.31,33.63,6809089
