"","EXPD.Open","EXPD.High","EXPD.Low","EXPD.Close","EXPD.Volume"
"2011-09-15",44.7,45.07,43.97,44.99,1312640
"2011-09-22",41.29,41.54,39.28,39.91,3493544
"2011-09-29",41.78,42.69,40.74,41.79,2598052
"2011-10-06",41.49,42.78,41.05,42.74,1683380
"2011-10-13",43.95,44.12,43.4,43.96,1514590
"2011-10-20",44.15,44.65,43.45,44.4,1535092
"2011-10-27",45.87,47.73,45.87,47.21,2301550
"2011-11-03",43.31,44.67,43.01,44.44,2660402
"2011-11-10",44.63,44.88,44.12,44.56,1429032
"2011-11-17",43.98,44.1,42.42,42.75,1840160
"2011-12-01",43.28,43.32,42.06,42.2,1742180
"2011-12-08",41.55,42.11,40.75,40.87,2293049
"2011-12-15",40.79,40.94,40.2,40.36,1639758
"2011-12-22",40.27,40.82,40.01,40.73,1293037
"2011-12-29",40.49,41.18,40.49,41.15,812963
"2012-01-05",41.29,41.32,40.8,41.02,1295664
"2012-01-12",42.65,43.21,42.52,42.6,1634372
"2012-01-19",43.44,44.6,43.44,44.42,1507771
"2012-01-26",44.61,45,44.34,44.72,1062920
"2012-02-02",44.25,44.54,43.26,43.46,1538207
"2012-02-09",42.74,43.27,42.74,43.07,1027123
"2012-02-16",43.91,45,43.65,44.68,2455180
"2012-02-23",43.51,44.07,43.47,43.83,1274452
"2012-03-01",43.82,44.47,43.43,44.27,2143217
"2012-03-08",43.86,43.99,43.37,43.83,1194218
"2012-03-15",44.09,44.73,43.99,44.55,1552130
"2012-03-22",46.48,46.76,46.08,46.39,1685838
"2012-03-29",46.1,46.32,45.52,46.29,1180888
"2012-04-05",46.17,46.91,46.16,46.73,1415016
"2012-04-12",46.16,47.48,46.05,46.99,1702791
"2012-04-19",46.37,46.71,45.53,45.74,1174112
"2012-04-26",40.59,40.65,40,40.33,2942536
"2012-05-03",40.61,40.93,39.84,40.01,2747789
"2012-05-10",38.91,39.38,38.56,38.8,1538173
"2012-05-17",37.81,38.08,37.41,37.55,3602548
"2012-05-24",38.9,39.07,38.45,38.74,2553849
"2012-05-31",37.83,38.42,37.34,38.25,3295673
"2012-06-07",39.67,39.94,38.85,38.97,1607464
"2012-06-14",38.94,39.88,38.84,39.52,1310001
"2012-06-21",40.01,40.18,38.61,38.67,1045094
"2012-06-28",37.19,37.42,36.72,37.22,1768537
"2012-07-05",39.07,39.61,38.92,39.29,944256
"2012-07-12",36.41,36.95,36.17,36.68,1455082
"2012-07-19",38.47,38.66,38.24,38.47,1115621
"2012-07-26",36.39,36.96,35.49,35.82,1736025
"2012-08-02",35.05,35.26,34.83,35.19,1757419
"2012-08-09",36.24,36.5,35.82,36.4,2695957
"2012-08-16",37.52,38.45,37.36,38.31,1555968
"2012-08-23",38.05,38.05,37.22,37.52,939055
"2012-08-30",36.57,36.68,36.06,36.19,1206057
"2012-09-06",36.62,37.3,36.47,37.11,1104828
"2012-09-13",38.88,39.45,38.72,39.11,1331516
"2012-09-20",38.04,38.13,37.33,37.53,1574687
"2012-09-27",36.25,36.86,36.04,36.81,1459485
"2012-10-04",35.44,35.56,35.13,35.43,1725514
"2012-10-11",34.58,34.7,34.21,34.41,3414064
"2012-10-18",35.61,35.85,35.47,35.54,2705184
"2012-10-25",36,36.15,35.49,35.78,1539296
"2012-11-01",36.52,37.33,36.39,37.22,1407595
"2012-11-08",37.12,37.31,36.74,36.74,2105431
"2012-11-15",36.31,36.54,36.04,36.22,1182380
"2012-11-29",37.5,37.96,37.18,37.35,2610244
"2012-12-06",37.57,37.57,36.67,36.99,1764874
"2012-12-13",37.73,38.5,37.72,38.11,1181425
"2012-12-20",39.7,39.92,39.37,39.9,1843614
"2012-12-27",39.49,39.56,38.88,39.27,926738
"2013-01-03",40.89,41.08,40.77,41.03,2124854
"2013-01-10",42.45,42.59,42.3,42.54,1920521
"2013-01-17",42.78,43.04,42.69,43.03,1340404
"2013-01-24",43.11,43.74,42.96,43.19,1977681
"2013-01-31",43.01,43.19,42.42,42.9,3358041
"2013-02-07",43.25,43.25,42.62,43.08,1737588
"2013-02-14",42.56,42.78,42.23,42.4,1920533
"2013-02-21",41.67,41.67,40.66,40.75,2490052
"2013-02-28",38.17,39.1,38.15,38.85,4339501
"2013-03-07",39.06,39.25,38.74,38.78,1818727
"2013-03-14",38.44,38.53,38.18,38.37,1773950
"2013-03-21",37.05,37.14,36.46,36.59,2395476
"2013-03-28",35.58,35.75,35.4,35.73,2269712
"2013-04-04",35.71,36.28,35.55,36.08,2610388
"2013-04-11",37.17,37.25,36.9,37.03,1552565
"2013-04-18",34.89,35.48,34.88,35.13,3031131
"2013-04-25",35.66,35.71,35.38,35.44,2297009
"2013-05-02",37,38.45,36.94,37.03,5317139
"2013-05-09",39,39.08,38.4,38.45,1728737
"2013-05-16",38.48,38.81,38.08,38.2,1240126
"2013-05-23",38.25,40.19,38,40.14,3507925
"2013-05-30",39.18,39.35,38.86,39.03,1130254
"2013-06-06",37.89,38.5,37.8,38.29,1411694
"2013-06-13",37.67,38.66,37.47,38.57,889711
"2013-06-20",38.06,38.06,37.28,37.29,1591288
"2013-06-27",37.6,37.88,37.41,37.82,1222380
"2013-07-11",39.98,40.39,39.98,40.3,1222473
"2013-07-18",40.47,41.35,40.42,41.31,1169461
"2013-07-25",40.05,40.33,39.66,40.02,970707
"2013-08-01",40.57,41.8,40.56,41.68,1474602
"2013-08-08",41.35,41.55,40.98,41.11,1589399
"2013-08-15",40.11,40.34,39.68,39.84,901160
"2013-08-22",40.6,41.35,40.5,41.26,713935
"2013-08-29",40.5,40.95,40.38,40.45,778328
"2013-09-05",42.02,42.3,41.58,42.14,1932828
"2013-09-12",44.55,44.69,44.22,44.34,1587120
"2013-09-19",45.22,45.48,44.88,44.93,1840901
"2013-09-26",44.41,44.67,44.13,44.32,757369
"2013-10-03",43.77,43.85,42.76,43.02,1279666
"2013-10-10",41.98,43.2,41.79,43.12,932780
"2013-10-17",43.07,43.3,42.92,43.14,1000618
"2013-10-24",44.65,46.67,44.54,46.3,2930107
"2013-10-31",46.46,46.48,45.01,45.29,1760548
"2013-11-07",42.95,42.97,42.07,42.17,1857839
"2013-11-14",43.05,43.43,42.85,43.23,837004
"2013-11-21",43.51,43.86,43.46,43.79,794320
"2013-12-05",43.21,43.52,43.05,43.18,1282725
"2013-12-12",42.49,42.82,42.41,42.63,930431
"2013-12-19",43.03,43.2,42.81,42.96,898886
"2013-12-26",43.55,43.71,43.42,43.63,478626
"2014-01-02",44.31,44.48,43.34,43.49,782942
"2014-01-09",43.21,43.21,42.41,43.01,981345
"2014-01-16",43.93,44.03,43.53,44,889628
"2014-01-23",43.82,44.09,43.34,43.59,544651
"2014-01-30",41.24,41.65,41,41.22,1022915
"2014-02-06",40.4,40.48,40.02,40.12,1467480
"2014-02-13",41.38,41.9,41.33,41.77,816324
"2014-02-20",41.37,41.88,41.02,41.7,922192
"2014-02-27",38.97,39.4,38.82,39.18,2542063
"2014-03-06",39.6,39.94,39.35,39.54,2113331
"2014-03-13",40.19,40.36,39.73,39.78,1770017
"2014-03-20",38.71,38.79,38.43,38.78,1955719
"2014-03-27",38.62,38.83,38.48,38.64,1052912
"2014-04-03",40,40.39,39.93,40.25,1071627
"2014-04-10",39.9,39.97,38.86,38.87,1365506
"2014-04-17",39.51,40.2,39.36,40.01,1635863
"2014-04-24",40.59,40.83,40.33,40.61,966174
"2014-05-01",41.3,41.46,40.86,41.33,1247491
"2014-05-08",41.74,44.43,41.53,43.42,3389667
"2014-05-15",44.54,45.99,44.31,45.93,3193708
"2014-05-22",45.47,45.78,45.37,45.67,1272875
"2014-05-29",45.62,45.75,45.1,45.46,1470274
"2014-06-05",46.17,46.17,45.15,45.72,1698479
"2014-06-12",45.08,45.18,44.51,44.62,1237822
"2014-06-19",44.42,44.88,44.23,44.64,1517009
"2014-06-26",44.01,44.12,43.68,44.09,750341
"2014-07-03",44.51,44.93,44.45,44.84,566061
"2014-07-10",44.38,44.68,44.06,44.35,773091
"2014-07-17",44.78,44.82,44.16,44.18,955585
"2014-07-24",45.43,45.78,45.32,45.69,973564
"2014-07-31",43.85,44.04,43.16,43.18,1478096
"2014-08-07",40.26,40.46,40.02,40.32,2196456
"2014-08-14",40.73,41.23,40.73,41.14,948876
"2014-08-21",41.24,41.44,41,41.04,1156008
"2014-08-28",41.46,41.58,41.12,41.19,706543
"2014-09-04",41.95,42.57,41.73,42.16,1355879
"2014-09-11",41.88,42.59,41.82,42.5,1139026
"2014-09-18",42.27,42.45,42.06,42.34,1029394
"2014-09-25",41.3,41.3,40.59,40.7,1044248
"2014-10-02",39.85,40.24,39.57,40.19,1308678
"2014-10-09",39.36,39.58,38.51,38.57,1504533
"2014-10-16",39,39.69,38.92,39.21,1632697
"2014-10-23",40.79,41.27,40.75,40.93,992956
"2014-10-30",41.61,42.14,41.31,41.74,1291883
"2014-11-06",43.61,44.18,43.46,44.02,1127740
"2014-11-13",44.06,44.13,43.49,43.9,890110
"2014-11-20",43.6,44.15,43.55,43.98,706111
"2014-12-04",45.53,45.72,45.2,45.51,1012264
"2014-12-11",44.28,45.2,44.28,44.65,1093726
"2014-12-18",43.65,43.76,43.38,43.71,1476631
"2015-01-08",42.95,43.76,42.84,43.72,924428
"2015-01-15",43.54,43.73,42.95,43.18,809826
"2015-01-22",43.68,44.77,43.49,44.76,1283397
"2015-01-29",44.18,44.66,44.01,44.56,1460289
"2015-02-05",44.4,44.81,44.21,44.81,931665
"2015-02-12",45.43,45.43,44.92,45.32,707754
"2015-02-19",45.57,46.17,45.46,45.61,781416
"2015-02-26",48,49.02,47.79,48.79,1635957
"2015-03-05",48.1,48.1,47.66,47.97,659439
"2015-03-12",47.75,48.38,47.63,48.26,1076807
"2015-03-19",49.07,49.25,48.85,48.87,936986
"2015-03-26",48.02,48.23,47.73,48.06,871998
"2015-04-02",47.87,48.22,47.03,47.04,1372048
"2015-04-09",46.48,46.98,46.36,46.64,612382
"2015-04-16",46.62,46.85,46.33,46.4,786888
"2015-04-23",46.38,46.96,46.19,46.67,679064
"2015-04-30",46.05,46.12,45.51,45.83,1393272
"2015-05-07",48.11,49.08,47.88,48.09,1912062
"2015-05-14",47.25,47.59,47.07,47.56,864767
"2015-05-21",47.28,47.35,47.04,47.27,666469
"2015-05-28",46.59,46.65,45.92,45.98,1381737
"2015-06-04",48.02,48.38,47.49,47.56,1625605
"2015-06-11",47.44,48.31,47.44,48.3,1446064
"2015-06-18",47.96,48.59,47.73,48.42,1025244
"2015-06-25",47.05,47.27,46.76,46.86,741353
"2015-07-02",46.29,46.55,45.86,46.17,1024577
"2015-07-09",44.99,45.16,44.67,44.72,1243240
"2015-07-16",45.19,45.47,44.85,45.07,1024412
"2015-07-23",45.34,45.45,44.4,44.52,854187
"2015-07-30",46.39,46.78,46.3,46.68,1108655
"2015-08-06",48.81,48.86,47.68,47.95,1623952
"2015-08-13",48.4,49,48.14,48.72,1275864
"2015-08-20",49.76,50.08,49.36,49.5,2605026
"2015-08-27",49.26,49.99,49.03,49.92,2196399
"2015-09-03",50,50.07,49,49.09,2220739
"2015-09-10",48.01,48.69,48.01,48.39,1217413
"2015-09-17",48.89,49.23,48.44,48.69,1116660
"2015-09-24",45.41,46.28,45.36,46,1815958
"2015-10-01",47.2,47.85,46.9,47.76,2351103
"2015-10-08",49.19,49.48,48.76,49.44,1310018
"2015-10-15",50.33,50.84,50.07,50.72,1261937
"2015-10-22",50.63,51.49,50.63,51.03,2143166
"2015-10-29",49.2,50.19,48.96,50.11,2019930
"2015-11-05",49.33,49.65,48.77,49.15,1130571
"2015-11-12",49.54,49.6,48.55,48.64,838008
"2015-11-19",49.38,49.95,49,49.25,1282139
"2015-12-03",47.19,47.91,46.44,46.58,2137152
"2015-12-10",46.46,47.42,45.98,46.89,2256396
"2015-12-17",47.28,47.29,46.31,46.31,1370252
"2015-12-24",45.8,46.14,45.5,45.92,356045
"2015-12-31",45.53,45.6,45.1,45.1,683336
"2016-01-07",41.46,42.95,40.5,42.66,4722913
"2016-01-14",42.82,43.62,42.3,43.2,2566790
"2016-01-21",43.33,43.78,42.96,43.4,2470156
"2016-01-28",44.16,44.59,43.84,44.48,1514443
"2016-02-04",44.37,45.84,44.37,45.79,1321965
"2016-02-11",44.43,45.02,44.13,44.69,1592448
"2016-02-18",46.85,47.2,46.51,46.73,947307
"2016-02-25",45.76,45.98,45.4,45.91,969662
"2016-03-03",46.07,46.81,45.64,46.64,1276456
"2016-03-10",47.47,47.96,46.95,47.79,1517428
"2016-03-17",48.15,49.36,47.77,48.75,1600662
"2016-03-24",48.3,48.77,48.04,48.66,1352569
"2016-03-31",48.86,48.99,48.55,48.81,918073
"2016-04-07",47.31,47.63,46.82,47.35,1384640
"2016-04-14",48.5,48.91,48.17,48.7,1252252
"2016-04-21",48.82,48.95,48,48.71,872201
"2016-04-28",50.16,50.46,49.56,49.85,1627973
"2016-05-05",47.6,47.89,47.39,47.47,1551375
"2016-05-12",48.06,48.44,47.68,48.05,1307535
"2016-05-19",47.46,47.9,47.1,47.76,1066661
"2016-05-26",48.74,49.2,48.71,48.91,1103848
"2016-06-02",48.48,48.71,48.24,48.46,900508
"2016-06-09",49.8,50.07,49.45,49.98,1723032
"2016-06-16",48.15,48.42,47.73,48.32,606020
"2016-06-23",49.03,49.23,48.82,49.01,724361
"2016-06-30",48.37,49.05,48.16,49.04,1415663
"2016-07-07",49.04,49.29,48.94,49.26,854545
"2016-07-14",50.39,50.58,50.15,50.17,639521
"2016-07-21",49.7,49.81,49.44,49.53,666519
"2016-07-28",49.96,50.27,49.42,50.15,753931
"2016-08-04",50.53,50.89,50.1,50.43,1813770
"2016-08-11",51.22,51.36,49.7,51.3,572572
"2016-08-18",50.93,51.05,50.58,50.77,1052249
"2016-08-25",51.42,51.42,51.1,51.22,588990
"2016-09-01",50.94,51.23,50.51,51.17,1145059
"2016-09-08",51.54,51.86,51.31,51.47,986725
"2016-09-15",50.16,50.49,50.08,50.42,675180
