"","EXR.Open","EXR.High","EXR.Low","EXR.Close","EXR.Volume"
"2011-09-15",21.06,21.45,20.98,21.44,935131
"2011-09-22",19.32,19.98,18.94,19.17,1402371
"2011-09-29",19.32,19.51,18.89,19.22,778857
"2011-10-06",18.6,19.55,18.48,19.53,926761
"2011-10-13",19.18,19.49,18.92,19.34,532385
"2011-10-20",20.09,20.28,19.7,20.25,720576
"2011-10-27",22.35,22.97,22.11,22.6,2240199
"2011-11-03",22.84,23,22.21,22.91,647268
"2011-11-10",22.33,22.36,22.02,22.26,397307
"2011-11-17",23.17,23.23,22.65,22.87,854598
"2011-12-01",23.95,24.09,23.6,23.72,648580
"2011-12-08",23.86,24.06,23.5,23.59,876462
"2011-12-15",23.33,23.4,23.08,23.28,1008721
"2011-12-22",23.79,24.04,23.79,23.93,1073400
"2011-12-29",24.23,24.58,24.23,24.42,514152
"2012-01-05",23.84,24.4,23.8,24.39,723117
"2012-01-12",24.6,24.63,24.28,24.5,480717
"2012-01-19",24.84,25.04,24.71,24.94,654688
"2012-01-26",25.81,25.94,25.72,25.8,607570
"2012-02-02",26.4,26.84,26.37,26.73,962993
"2012-02-09",27.2,27.35,26.46,26.47,1549501
"2012-02-16",26.37,26.94,26.37,26.87,790457
"2012-02-23",26.17,26.88,26.13,26.88,716932
"2012-03-01",26.41,26.65,26.37,26.61,675331
"2012-03-08",26.71,26.77,26.19,26.25,955913
"2012-03-15",27.15,27.25,27.01,27.25,537431
"2012-03-22",27.42,27.47,27.04,27.4,414325
"2012-03-29",28.07,28.53,28.07,28.49,593877
"2012-04-05",28.33,28.85,28.29,28.78,1182332
"2012-04-12",28.08,28.42,28,28.24,957665
"2012-04-19",28.39,28.53,28.18,28.5,2004019
"2012-04-26",29.9,30.19,29.83,30.12,1355049
"2012-05-03",30.6,30.8,30.4,30.44,965523
"2012-05-10",29.65,30.1,29.58,29.89,1358733
"2012-05-17",29.14,29.22,28.37,28.4,1067845
"2012-05-24",28,28.14,27.76,28.13,994022
"2012-05-31",28.02,28.49,27.72,28.36,891528
"2012-06-07",29.3,29.54,28.61,28.66,957834
"2012-06-14",28.35,28.97,28.35,28.92,652825
"2012-06-21",29.59,29.64,28.93,29.04,1110704
"2012-06-28",28.93,29.35,28.78,29.33,1192408
"2012-07-05",30.72,30.89,30.47,30.53,1054617
"2012-07-12",30.37,31.38,30.36,31.17,906803
"2012-07-19",32.12,32.19,31.58,31.86,1037512
"2012-07-26",31.88,32.22,31.74,31.94,397313
"2012-08-02",32.63,33.29,32.58,33.27,746024
"2012-08-09",33,33.18,32.88,32.96,594079
"2012-08-16",33.55,33.87,33.33,33.82,477725
"2012-08-23",33.28,33.5,33.05,33.19,685912
"2012-08-30",33.86,34.07,33.8,34.04,441921
"2012-09-06",34.2,34.44,34.15,34.29,519127
"2012-09-13",33.93,34.58,33.93,34.55,498686
"2012-09-20",33.71,33.89,33.23,33.41,1018107
"2012-09-27",33.36,33.53,33.23,33.36,560017
"2012-10-04",33.46,33.76,33.11,33.44,399637
"2012-10-11",34.25,34.35,33.95,33.95,481313
"2012-10-18",33.91,33.95,33.63,33.67,737438
"2012-10-25",33.45,33.62,32.89,33.12,676006
"2012-11-01",34.5,34.85,34.31,34.73,1188130
"2012-11-08",35.3,35.7,35.2,35.21,577679
"2012-11-15",34.7,35.09,34.27,34.61,657018
"2012-11-29",35.55,35.9,34.94,35.47,588912
"2012-12-06",35.03,35.25,34.86,35.2,744022
"2012-12-13",35.12,35.18,34.91,35.04,644878
"2012-12-20",36.13,36.56,36.13,36.34,566630
"2012-12-27",36.07,36.25,35.73,36.15,303473
"2013-01-03",36.88,37.42,36.88,37.15,680442
