"","FAST.Open","FAST.High","FAST.Low","FAST.Close","FAST.Volume"
"2011-09-15",35.7,35.94,35.13,35.9,3262142
"2011-09-22",34.97,35.49,34.06,34.48,4676960
"2011-09-29",34.96,35.2,33.38,34.18,2728441
"2011-10-06",33.64,34.19,33.15,34.11,3806366
"2011-10-13",34.38,34.45,32.26,33.7,4386920
"2011-10-20",34.24,34.85,33.99,34.62,2556049
"2011-10-27",36.78,38.96,36.78,38.34,5144249
"2011-11-03",38.59,40.2,38.57,40.13,4261143
"2011-11-10",39.91,40.5,39.68,40.16,1588066
"2011-11-17",40.6,40.96,39.8,40,2545681
"2011-12-01",41.8,42.34,41.42,41.77,1410888
"2011-12-08",40.92,41.78,40.92,41.1,2953842
"2011-12-15",40.68,40.99,40.29,40.76,1484827
"2011-12-22",43.11,43.3,42.68,42.86,1172191
"2011-12-29",43.86,44.4,43.84,44.32,1121170
"2012-01-05",44.3,45.16,43.82,45.13,1754518
"2012-01-12",45.4,46.09,45.28,45.86,3169585
"2012-01-19",45.8,45.99,45.39,45.74,3523924
"2012-01-26",47.12,47.18,46.53,46.78,1755497
"2012-02-02",47.16,47.39,46.85,46.97,1465585
"2012-02-09",48.9,48.96,47.81,48.21,2139485
"2012-02-16",50.63,51.37,50.6,50.82,1575366
"2012-02-23",51.09,51.97,51.09,51.93,1614093
"2012-03-01",52.91,53.01,52.36,52.93,1988769
"2012-03-08",53.21,53.34,52.65,52.78,2650571
"2012-03-15",52.83,52.9,51.97,52.55,2540378
"2012-03-22",53.71,53.98,53.24,53.71,1980485
"2012-03-29",54.03,54.31,53.6,54.26,1045394
"2012-04-05",52.79,53.41,52.72,52.98,1776434
"2012-04-12",48.5,49.47,47.73,48.87,6137693
"2012-04-19",48.37,48.49,47.28,47.5,2348049
"2012-04-26",47.12,47.4,46.63,47.21,1796229
"2012-05-03",47.65,47.89,45.78,45.79,2685382
"2012-05-10",43.44,44.3,43.44,44.14,4196684
"2012-05-17",43.95,44,42.28,42.33,4151187
"2012-05-24",44.34,44.48,43.75,44.36,1976093
"2012-05-31",44.39,44.5,43.62,44.23,2476917
"2012-06-07",39.88,40.26,39.36,39.56,2955020
"2012-06-14",38.96,39.34,38.59,39.03,2030490
"2012-06-21",40.55,40.76,38.85,38.91,1939800
"2012-06-28",38.19,38.67,37.61,38.63,2063103
"2012-07-05",40.55,41.54,40.48,41.29,1897400
"2012-07-12",39.77,42.7,39.75,42.31,4989909
"2012-07-19",44.92,45.44,44.46,45.3,1576774
"2012-07-26",43.67,44.34,43.11,43.46,1552028
"2012-08-02",41.71,42.87,41.48,42.47,2157323
"2012-08-09",42.95,42.95,42.45,42.81,1033876
"2012-08-16",42.95,43.55,42.44,43.37,1968865
"2012-08-23",43.65,43.87,43.13,43.76,1060915
"2012-08-30",43.55,43.58,42.96,43.07,1131622
"2012-09-06",42.32,42.58,41.75,42.18,3356844
"2012-09-13",42.39,43.36,41.81,42.86,2410448
"2012-09-20",43.64,44.11,43.19,43.91,1479438
"2012-09-27",42.66,43.24,42.29,42.84,1332683
"2012-10-04",44.62,45.28,44.37,44.5,1143868
"2012-10-11",44.69,47.17,44,45.89,6807708
"2012-10-18",45.32,45.38,44.74,44.74,1857648
"2012-10-25",43.82,44.16,42.91,43.05,1378934
"2012-11-01",44.94,45.13,44.71,45.06,1857853
"2012-11-08",42.45,42.78,41.93,41.99,1429320
"2012-11-15",40.02,41,40,40.95,2762667
"2012-11-29",41.4,42.42,41.19,42.2,3229740
"2012-12-06",42.11,42.14,41.35,41.76,2381825
"2012-12-13",42.93,43.29,42.9,42.98,1701021
"2012-12-20",44.63,45.05,44.18,45.02,1758488
"2012-12-27",45.87,46.48,45.86,46.32,1877280
"2013-01-03",47.98,48.71,47.75,47.98,1531568
"2013-01-10",46.99,47,46.3,46.5,2604842
"2013-01-17",48.25,48.77,45.71,46.91,5193117
"2013-01-24",47.75,49.02,47.56,48.56,1432046
"2013-01-31",49.37,50,48.8,49.68,3363133
"2013-02-07",50.01,50.23,49.55,49.82,1146667
"2013-02-14",52.02,52.71,51.83,52.49,1733495
"2013-02-21",52.05,52.15,50.83,50.89,1910722
"2013-02-28",52.27,52.27,51.37,51.63,1346795
"2013-03-07",51.43,51.5,51.07,51.1,1185238
"2013-03-14",51.18,51.18,50.71,50.95,860914
"2013-03-21",51.05,51.42,50.42,50.5,1129482
"2013-03-28",50.61,51.41,50.46,51.33,1445180
"2013-04-04",48.68,49.42,48.46,49.35,927144
"2013-04-11",49.23,49.81,48.78,48.8,2414530
"2013-04-18",47.89,48.25,47.08,47.26,2056382
"2013-04-25",49.6,49.88,49.23,49.34,1393535
"2013-05-02",47.95,48.24,47.72,47.95,1865476
"2013-05-09",48.21,49.02,48.16,48.72,1175211
"2013-05-16",51.69,51.93,50.7,50.85,1289859
"2013-05-23",51,52.34,50.56,51.87,1994479
"2013-05-30",52.11,52.19,51.63,51.7,967439
"2013-06-06",47.7,48.28,47.05,47.63,2733877
"2013-06-13",47.78,48.71,47.6,48.56,846045
"2013-06-20",45.75,46.05,44.8,44.95,2232918
"2013-06-27",46.49,47,46.06,46.9,1471082
"2013-07-11",46.13,46.75,45.48,46.56,4469767
"2013-07-18",47.04,47.59,46.88,47.18,1249643
"2013-07-25",45.3,46.27,45.27,46.25,1258755
"2013-08-01",49.45,50.16,48.98,50.12,2250750
"2013-08-08",48.05,48.18,47.44,47.52,1267930
"2013-08-15",46.04,46.18,45.05,45.2,1305631
"2013-08-22",44.66,45.49,44.61,45.24,983011
"2013-08-29",43.97,44.88,43.84,44.46,806391
"2013-09-05",46.93,49,46.93,48.6,4447021
"2013-09-12",50.23,50.47,50.03,50.15,840716
"2013-09-19",51.1,51.48,50.9,50.98,871867
"2013-09-26",49.82,50.64,49.64,49.87,927498
"2013-10-03",51.19,51.34,50.55,50.99,1206865
"2013-10-10",46.99,48.22,46.87,47.92,4141042
"2013-10-17",48.21,48.91,47.84,48.9,1493899
"2013-10-24",48.86,49.53,48.86,49.24,776359
"2013-10-31",50.56,50.71,49.71,49.83,1872078
"2013-11-07",48.39,48.5,46.43,46.49,2968553
"2013-11-14",46.59,46.76,46.12,46.6,1579044
"2013-11-21",46.53,47.23,46.05,47.11,1584292
"2013-12-05",46.82,46.95,46.22,46.57,1146993
"2013-12-12",46.97,47.18,46.16,46.41,2029216
"2013-12-19",48.05,48.1,47.41,48.01,1273990
"2013-12-26",46.63,47.38,46.41,47.13,1582513
"2014-01-02",47.51,47.61,46.45,46.7,1532639
"2014-01-09",46,46.78,45.81,46.59,1686705
"2014-01-16",46,46.78,45.85,46.67,3938026
"2014-01-23",47.67,47.86,47.07,47.54,3142966
"2014-01-30",44.56,44.58,44.08,44.26,2171224
"2014-02-06",44.22,44.66,44.07,44.35,2466653
"2014-02-13",44.59,45.2,44.45,44.67,2018148
"2014-02-20",45.06,45.57,44.95,45.53,1209555
"2014-02-27",46.4,47.61,46.22,47.57,2963010
"2014-03-06",48.75,48.98,48.36,48.56,1492676
"2014-03-13",49.01,49.42,48.16,48.4,1689866
"2014-03-20",49.67,49.88,49.23,49.71,1110654
"2014-03-27",48.65,48.98,47.93,48.4,1805216
"2014-04-03",50.58,51.93,50.48,51.2,2698107
"2014-04-10",50.95,51.42,50.37,50.73,3354504
"2014-04-17",50.06,50.51,50.02,50.12,2426284
"2014-04-24",50.23,50.35,49.65,49.95,1173935
"2014-05-01",49.94,50.3,49.41,49.52,1803834
"2014-05-08",48.61,48.96,48.04,48.25,1345186
"2014-05-15",48.02,48.31,47.47,48.15,1639892
"2014-05-22",48.12,48.7,47.86,48.12,1088811
"2014-05-29",48.51,48.88,48.33,48.85,929447
"2014-06-05",49.42,49.84,49,49.65,1229173
"2014-06-12",50.37,50.37,49.22,49.63,1788904
"2014-06-19",49.71,49.93,49.33,49.58,949950
"2014-06-26",49.15,49.38,48.87,49.36,793451
"2014-07-03",49.5,50.22,49.45,50.08,722382
"2014-07-10",48.18,48.8,48.09,48.16,4039183
"2014-07-17",45.21,45.58,45,45.03,2576619
"2014-07-24",44.87,45.16,44.76,45.01,2160403
"2014-07-31",44.84,44.85,44.15,44.36,4244742
"2014-08-07",44.24,44.46,43.72,43.83,1632741
"2014-08-14",44.49,44.94,44.25,44.91,1883451
"2014-08-21",45.32,45.68,45.01,45.6,1167777
"2014-08-28",45.28,45.39,44.95,45.22,589863
"2014-09-04",45.52,47.42,45.42,47.17,3820928
"2014-09-11",46.22,46.37,45.92,46.1,897570
"2014-09-18",46.2,46.34,45.85,46.31,1253053
"2014-09-25",46.09,46.09,44.96,45.02,1380645
"2014-10-02",44.59,45.56,44.27,45.48,1563281
"2014-10-09",45.6,45.88,44.38,44.7,3261463
"2014-10-16",40.23,41.23,40.22,40.78,2944232
"2014-10-23",42.09,42.62,42.09,42.22,1292262
"2014-10-30",42.87,43.34,42.68,43.21,992112
"2014-11-06",44.59,45.03,44.46,44.91,1721885
"2014-11-13",44.71,44.78,43.96,44.33,1343969
"2014-11-20",44.35,45.15,44.34,45.05,1720315
"2014-12-04",46.23,46.73,46,46.64,1903669
"2014-12-11",47.03,47.03,46.28,46.44,1849128
"2014-12-18",46.09,46.58,45.34,46.58,1687580
"2015-01-08",45.96,46.54,45.82,46.52,1591990
"2015-01-15",45.07,46.06,43.85,43.99,4948510
"2015-01-22",46.15,46.67,45.59,46.45,1583112
"2015-01-29",44.54,45.13,44.21,44.99,2255272
"2015-02-05",42.12,42.37,41.65,42.06,4790009
"2015-02-12",42.18,42.34,40.98,42.24,5592895
"2015-02-19",43.03,43.35,42.91,42.96,1955949
"2015-02-26",42.48,42.51,42.16,42.21,1571156
"2015-03-05",39.76,40.75,39.61,40.62,5530112
"2015-03-12",40.8,41.05,40.32,41,3499915
"2015-03-19",42.77,42.81,42.26,42.47,2526954
"2015-03-26",41.68,41.92,41.35,41.46,2227717
"2015-04-02",41.3,41.42,40.98,41.05,2035507
"2015-04-09",40.52,40.61,40.02,40.38,2405504
"2015-04-16",41.46,41.6,40.79,41.02,3415604
"2015-04-23",41.41,42.26,41.34,42.07,3064459
"2015-04-30",43.04,43.26,42.44,42.62,4257012
"2015-05-07",41.55,42.2,41.55,42.02,1727938
"2015-05-14",43.04,43.28,42.89,43.27,1460885
"2015-05-21",42.53,42.96,42.49,42.69,1144603
"2015-05-28",42.5,42.74,42.4,42.55,1486222
"2015-06-04",42.36,42.49,42.08,42.14,1493253
"2015-06-11",42.31,42.4,41.95,42.34,1531743
"2015-06-18",42.88,43.46,42.75,43.41,2183979
"2015-06-25",43.15,43.16,42.63,42.74,1301207
"2015-07-02",42.17,42.38,41.7,42.1,1881447
"2015-07-09",42.36,42.59,41.88,42,1649673
"2015-07-16",41.23,42.09,41.17,41.93,2435281
"2015-07-23",40.58,40.74,40.12,40.4,3037807
"2015-07-30",41.03,41.27,40.83,40.89,1788506
"2015-08-06",40.88,41.02,40.09,40.12,2798837
"2015-08-13",40.32,40.38,40.02,40.05,1086279
"2015-08-20",40.08,40.15,39.36,39.38,2124037
"2015-08-27",38.35,39.02,38.26,38.98,2702021
"2015-09-03",38.16,38.41,37.49,37.64,2754874
"2015-09-10",38.23,38.98,38.13,38.62,1970881
"2015-09-17",38.97,38.97,38.25,38.37,2260277
"2015-09-24",36.25,36.77,35.98,36.68,1922647
"2015-10-01",36.78,36.98,35.18,35.5,4171794
"2015-10-08",37.78,39.06,36.56,39.03,4152415
"2015-10-15",38.02,38.15,37.45,38.11,3954781
"2015-10-22",37.12,38.68,37.12,38.52,4063884
"2015-10-29",38.96,39.14,38.7,39.04,1789404
"2015-11-05",40.31,41.64,40.04,41.23,3530649
"2015-11-12",39.99,40.49,38.6,38.65,5970269
"2015-11-19",39.6,39.6,39.08,39.46,2230283
"2015-12-03",40.16,40.37,39.15,39.44,3020383
"2015-12-10",40.19,40.47,39.93,40.15,1611032
"2015-12-17",40.43,40.49,39.68,39.99,3023734
"2015-12-24",41.27,41.76,41,41.51,1393334
"2015-12-31",41.41,41.62,40.8,40.82,1491961
"2016-01-07",39.18,39.62,38.65,39.05,3037801
"2016-01-14",38.99,39.55,38,39.25,5736770
"2016-01-21",36.67,37.36,36.1,37.14,4019158
"2016-01-28",38.12,39.4,37.98,39.34,4055116
"2016-02-04",41.5,44.44,41.5,43.53,11099610
"2016-02-11",42.11,42.28,40.96,42.01,4293336
"2016-02-18",44.42,45.11,44.06,44.56,2222034
"2016-02-25",44.66,45.07,44.02,45.07,1764468
"2016-03-03",46.44,47.16,46.15,47,2295144
"2016-03-10",47,47.13,46.37,46.99,2712622
"2016-03-17",47.44,49.19,47.34,48.94,3278311
"2016-03-24",48.69,49.09,48.43,48.9,1924475
"2016-03-31",49,49.08,48.71,49,2168730
"2016-04-07",47.02,47.36,46.4,46.72,3033892
"2016-04-14",45.97,46.08,45.62,45.77,2263661
"2016-04-21",46.66,46.66,45.46,45.58,1413363
"2016-04-28",47.09,47.99,47.03,47.27,4732837
"2016-05-05",45.83,46.91,45.57,46.55,3800230
"2016-05-12",46.46,46.63,45.57,45.64,3356503
"2016-05-19",45,45.24,44.45,44.51,2276907
"2016-05-26",46.03,46.2,45.94,46.08,1965387
"2016-06-02",46.14,46.54,45.88,46.51,1462272
"2016-06-09",45.89,46.02,45.28,45.35,2422545
"2016-06-16",43.81,44.49,43.52,44.3,2071515
"2016-06-23",45.42,45.63,45.2,45.56,1656188
"2016-06-30",43.51,44.42,43.4,44.39,2711980
"2016-07-07",44.42,44.96,44.31,44.72,2552103
"2016-07-14",43.57,43.75,43.27,43.3,3372188
"2016-07-21",42.5,42.58,41.7,41.84,4221833
"2016-07-28",41.85,42.59,41.81,42.5,4606060
"2016-08-04",42.8,43.24,42.38,42.4,3877617
"2016-08-11",42.78,43.63,42.77,43.44,2095220
"2016-08-18",43.71,43.99,43.24,43.89,1198424
"2016-08-25",43.68,43.77,43.47,43.73,1089575
"2016-09-01",43.25,43.37,42.45,42.82,2408860
"2016-09-08",42.26,42.39,42,42.17,1478192
"2016-09-15",40.24,40.84,40.08,40.81,3436458
