"","FCX.Open","FCX.High","FCX.Low","FCX.Close","FCX.Volume"
"2011-09-15",42.48,42.72,41.5,42.54,12126605
"2011-09-22",33.46,33.5,30.97,32.14,49670902
"2011-09-29",33.32,33.35,30.64,31.34,39714087
"2011-10-06",34.93,35.4,34.09,34.88,52406389
"2011-10-13",35.5,35.5,34.16,35.24,25347185
"2011-10-20",34.65,35.7,33.6,34.79,31063905
"2011-10-27",42.62,43.5,41.62,42.76,41725177
"2011-11-03",40.35,40.52,39.27,40.11,20225061
"2011-11-10",39.49,39.82,38.37,39.2,18077814
"2011-11-17",37.86,38.12,36.49,36.83,22555745
"2011-12-01",39.34,40.11,38.85,39.28,13731015
"2011-12-08",39.87,40.08,38.07,38.34,16676685
"2011-12-15",38.01,38.32,36.68,36.87,18750814
"2011-12-22",37.97,38.6,37.6,38.4,12259020
"2011-12-29",36.26,36.59,36.05,36.54,9556105
"2012-01-05",39.39,39.75,38.94,39.3,13025929
"2012-01-12",42.37,42.69,41.73,42.45,17623701
"2012-01-19",44.59,44.97,43.31,44.37,30008932
"2012-01-26",46.58,48.96,46.17,46.5,30466483
"2012-02-02",46.44,46.8,45.41,45.51,17263826
"2012-02-09",47.07,47.25,46.02,46.42,14827892
"2012-02-16",42.17,44.49,41.9,43.84,23717184
"2012-02-23",44.24,44.28,43.42,43.78,13381437
"2012-03-01",43.03,43.47,42.5,42.91,15091220
"2012-03-08",39.66,39.73,39.06,39.5,16682853
"2012-03-15",38.54,38.81,38.22,38.35,19077255
"2012-03-22",39.08,39.5,37.95,38.33,24719500
"2012-03-29",37.07,37.71,36.76,37.61,17777662
"2012-04-05",38.02,38.57,37.65,37.8,14106595
"2012-04-12",36.15,38.01,36.02,37.89,21398908
"2012-04-19",38.75,39.13,37.69,38.03,26131671
"2012-04-26",37.33,38.04,37.02,37.75,13685515
"2012-05-03",37.91,37.93,36.68,36.87,19404151
"2012-05-10",36.07,36.29,35.18,35.31,14165965
"2012-05-17",33.01,33.38,32.1,32.17,19196151
"2012-05-24",32.86,33.14,31.96,32.57,15348753
"2012-05-31",32.33,32.41,31.25,32.04,15641201
"2012-06-07",34.6,34.8,33.48,33.6,23896429
"2012-06-14",33.38,33.96,32.9,33.9,13009641
"2012-06-21",34.68,34.9,32.88,32.99,22289253
"2012-06-28",31.8,32.28,31.47,32.26,13384519
"2012-07-05",35,36,34.93,35.47,28250042
"2012-07-12",31.93,32.76,31.7,32.36,17779463
"2012-07-19",33.38,34.76,33.17,34.42,25238000
"2012-07-26",32.24,32.5,31.68,32.31,16614884
"2012-08-02",32.91,33.37,32.32,32.69,14301247
"2012-08-09",35.43,36.3,35.41,36,13840311
"2012-08-16",34.96,35.51,34.74,35.31,12259675
"2012-08-23",37.26,37.47,36.55,36.77,16575835
"2012-08-30",35.37,35.39,34.65,34.69,11326968
"2012-09-06",35.62,36.73,35.59,36.34,16991402
"2012-09-13",39.92,42.18,39.65,41.79,28796373
"2012-09-20",40.36,41.04,40.02,40.93,18165554
"2012-09-27",39.79,40.24,39.15,40.11,12042411
"2012-10-04",39.79,40.85,39.66,40.45,17487833
"2012-10-11",40.28,41.33,40.21,40.75,15436287
"2012-10-18",42.29,42.89,42.16,42.43,16647185
"2012-10-25",39.31,39.62,38.84,39.19,16109064
"2012-11-01",39.23,40.55,39.05,40.5,16607226
"2012-11-08",39.25,39.45,38.41,38.67,13018725
"2012-11-15",37.39,37.66,36.84,37.28,10944862
"2012-11-29",39.28,39.54,38.91,39.26,12440114
"2012-12-06",31.27,31.33,30.54,30.81,84814944
"2012-12-13",32.38,32.74,32.2,32.48,19037409
"2012-12-20",34.17,34.24,33.44,33.98,18651642
"2012-12-27",34.04,34.05,33.27,33.68,13343429
"2013-01-03",35.09,35.58,34.63,34.85,14678845
"2013-01-10",35.66,35.74,35.22,35.6,18766492
"2013-01-17",34.56,34.64,33.92,34.08,13453116
"2013-01-24",34.87,35.22,34.52,34.65,13212753
"2013-01-31",35.08,35.38,34.92,35.25,9912334
"2013-02-07",35.94,36.05,35.51,35.69,11636695
"2013-02-14",35.6,35.86,35.4,35.53,7877567
"2013-02-21",32.04,32.92,31.69,32.34,20615951
"2013-02-28",32.23,32.28,31.73,31.92,11976624
"2013-03-07",32.92,33.26,32.72,33.08,14529308
"2013-03-14",32.96,33.35,32.77,33.16,10966430
"2013-03-21",33.06,33.28,32.9,32.99,10981823
"2013-03-28",33.24,33.33,32.9,33.1,12301076
"2013-04-04",31.57,32.18,31.25,31.7,25736753
"2013-04-11",33.31,33.41,32.68,32.79,13461749
"2013-04-18",27.58,28.7,27.24,28.05,26305309
"2013-04-25",30.8,30.83,29.64,29.86,32730665
"2013-05-02",30.66,30.66,29.9,30.34,12107701
"2013-05-09",32.78,33.25,32.42,32.62,28128826
"2013-05-16",31.68,32.48,31.35,32.04,18827926
"2013-05-23",30.7,31.12,30.57,30.93,19153552
"2013-05-30",31.18,31.86,31.1,31.85,35564572
"2013-06-06",30.47,31.07,30.25,31.03,16625613
"2013-06-13",29.59,29.76,29.24,29.71,15235562
"2013-06-20",28.54,28.55,27.52,27.72,30758673
"2013-06-27",27.19,27.55,27.02,27.3,12330099
"2013-07-11",28.46,28.66,28.17,28.53,21362088
"2013-07-18",28.25,28.43,28.08,28.17,10592141
"2013-07-25",28.76,29.14,28.66,28.84,9719674
"2013-08-01",28.94,29.23,28.75,29.1,14410559
"2013-08-08",30.09,31.14,30.07,30.8,27949433
"2013-08-15",31.21,32.06,31.11,31.92,15278210
"2013-08-22",30.92,31.57,30.87,31.35,12362768
"2013-08-29",30.44,30.74,30.25,30.42,8326826
"2013-09-05",31.24,31.24,30.76,30.76,9927578
"2013-09-12",32.45,33.2,32.38,33.15,19503567
"2013-09-19",34.86,34.99,34.19,34.6,15133947
"2013-09-26",34,34.23,33.68,33.87,5762811
"2013-10-03",33.35,33.6,32.76,33.01,8921721
"2013-10-10",33.01,33.49,32.68,33.23,10173367
"2013-10-17",34.18,34.82,34.17,34.71,14630983
"2013-10-24",36.6,37.64,36.53,37.41,19445622
"2013-10-31",37.11,37.64,36.72,36.76,12085959
"2013-11-07",37.04,37.09,35.79,35.93,17184994
"2013-11-14",36.34,36.56,35.93,36.34,7374764
"2013-11-21",36.4,36.4,35.7,36.17,7835688
"2013-12-05",34.28,34.53,34.06,34.28,7583349
"2013-12-12",34.5,34.67,33.94,34.29,9235145
"2013-12-19",34.89,35.34,34.81,35.19,6625642
"2013-12-26",36.35,37.04,36.35,36.96,10345486
"2014-01-02",37.69,38.09,37.44,37.63,9047737
"2014-01-09",36.23,36.34,35.44,35.71,10939886
"2014-01-16",36.79,36.92,36.44,36.91,11010333
"2014-01-23",34.37,34.37,33.16,33.68,17916069
"2014-01-30",32.52,32.54,31.95,32.41,10616967
"2014-02-06",31.36,31.9,31.29,31.54,10854224
"2014-02-13",32.5,33.29,32.35,33.16,7522146
"2014-02-20",33.03,33.81,32.83,33.75,12063752
"2014-02-27",33.38,33.51,33.15,33.47,5673353
