"","FDX.Open","FDX.High","FDX.Low","FDX.Close","FDX.Volume"
"2011-09-15",77,77.33,75.64,77.08,2218286
"2011-09-22",70.04,70.09,64.55,66.58,11371086
"2011-09-29",70.46,70.81,68.24,69.7,3227256
"2011-10-06",70.11,72.52,69.33,72.2,3260806
"2011-10-13",74.42,74.42,73.26,73.87,3055739
"2011-10-20",75.33,76.82,74.97,76.59,2634357
"2011-10-27",83.51,85.75,82.93,85.13,4107709
"2011-11-03",81.54,82.53,80.35,82.34,1781901
"2011-11-10",80.35,80.6,79.4,80.12,1866713
"2011-11-17",81.33,82.01,79.68,80.28,2236165
"2011-12-01",82.52,82.75,81.61,82.03,2109961
"2011-12-08",83.51,84.43,82.18,82.47,2654263
"2011-12-15",80.14,83.81,79.97,83.47,9175877
"2011-12-22",84.56,85.36,84.03,84.47,1248005
"2011-12-29",83.4,84.39,83,84.31,1313211
"2012-01-05",84.42,84.49,82.79,84.09,2218753
"2012-01-12",90.08,91.4,89.89,91.19,3324349
"2012-01-19",91.68,93.52,91.45,93.04,2781428
"2012-01-26",92.75,93.5,92.27,92.74,1659179
"2012-02-02",93.07,93.44,92.08,92.79,1299694
"2012-02-09",94.42,95.26,94.25,94.8,1572976
"2012-02-16",93.99,95.33,93.99,95,1848173
"2012-02-23",91.2,92.3,90.5,91.97,1568209
"2012-03-01",90.15,91.76,90.15,91.12,2019227
"2012-03-08",90.62,91.5,89.67,90.99,2103413
"2012-03-15",92.5,95.04,92.34,94.61,2628931
"2012-03-22",93.36,94.15,91.26,92.5,6667710
"2012-03-29",90.7,91.87,89.9,91.74,2118413
"2012-04-05",90.27,90.62,90.03,90.39,1230688
"2012-04-12",88.06,90.35,88.04,89.84,2631743
"2012-04-19",90.42,90.69,88.7,89.39,2058782
"2012-04-26",87.29,87.73,86.2,87.55,2991182
"2012-05-03",89.15,89.74,88.75,88.86,2199958
"2012-05-10",87.51,88.59,86.47,86.65,1714695
"2012-05-17",87.92,88.46,86.68,86.77,3414773
"2012-05-24",88.84,90.4,88.74,90.02,2244078
"2012-05-31",88.8,89.96,87.62,89.14,1621330
"2012-06-07",88.02,88.36,86,86.1,2643452
"2012-06-14",86.53,87.44,85.99,86.84,2333682
"2012-06-21",91.76,92.16,90.55,90.63,2893997
"2012-06-28",87.42,88.9,87.31,88.79,1432206
"2012-07-05",91.91,92.57,91.4,92.11,1398427
"2012-07-12",90,90.1,88.93,89.5,2173576
"2012-07-19",92.79,93.17,92.53,92.79,1289294
"2012-07-26",88.74,89.34,88.2,88.55,1893524
"2012-08-02",87.71,88.35,87.04,87.92,1901131
"2012-08-09",89.3,89.46,88.5,88.66,1481453
"2012-08-16",89.48,90.11,88.92,89.74,1935817
"2012-08-23",89.54,89.75,88.46,88.86,1049460
"2012-08-30",87.5,87.65,86.88,87.19,1811585
"2012-09-06",85.87,87.64,85.87,87.54,2694124
"2012-09-13",89.01,90.92,88.23,90.36,2144418
"2012-09-20",86.3,86.58,84.9,85.17,4072303
"2012-09-27",84.96,85.8,84.56,85.77,2500089
"2012-10-04",85.92,86.62,85.61,86.53,2060194
"2012-10-11",91.7,92.5,90,90,4171464
"2012-10-18",92.49,94.26,92.49,93.49,2346184
"2012-10-25",91.18,91.72,90.07,91.12,1532170
"2012-11-01",91.54,93.2,91.54,93.01,1737954
"2012-11-08",91.41,91.74,90,90.03,1461889
"2012-11-15",87.12,87.77,85.93,86.54,2410437
"2012-11-29",89.97,91.16,89.81,90.8,2623043
"2012-12-06",89.3,89.5,88.65,89.26,1077934
"2012-12-13",89.58,90.5,89.29,89.71,1698934
"2012-12-20",93,93.63,91.54,93.27,4273512
"2012-12-27",91.96,91.97,90.15,91.5,1580283
"2013-01-03",94.12,95.17,94.12,94.6,1723775
"2013-01-10",97.34,97.7,96.66,97.7,2009638
"2013-01-17",99.93,100.58,99.42,99.93,2312764
"2013-01-24",100,102.61,99.93,101.73,2702243
"2013-01-31",100.97,101.86,100.68,101.45,2308985
"2013-02-07",106.52,107,105.88,106.98,4063770
"2013-02-14",105.85,106.86,105.44,106.56,1660557
"2013-02-21",105.35,106.08,104.25,104.88,1730895
"2013-02-28",105.57,106.08,104.83,105.43,1691726
"2013-03-07",107.81,108,106.59,106.96,1747720
"2013-03-14",108.01,108.84,107.84,108.84,1450022
"2013-03-21",98.78,98.99,95.3,96.5,9161208
"2013-03-28",97.28,98.43,97.2,98.2,2219716
"2013-04-04",96.53,97.25,95.96,95.98,2248905
"2013-04-11",97.87,98,96.56,96.66,2035993
"2013-04-18",93.18,93.69,90.61,91.87,4952572
"2013-04-25",94.61,94.94,93.23,94.3,2326775
"2013-05-02",92.23,93.11,92.18,92.29,2405552
"2013-05-09",101.57,102.1,100.23,100.43,2754404
"2013-05-16",100.24,100.79,98.73,98.94,1776247
"2013-05-23",98.63,99.71,98,99.1,1649197
"2013-05-30",96.75,97.1,95.88,96.52,2947600
"2013-06-06",97.01,97.52,95.64,96.84,2478455
"2013-06-13",97.41,99.85,97.1,99.58,1424559
"2013-06-20",97.84,97.97,95.17,95.71,4946074
"2013-06-27",99.15,99.53,98.73,99.37,1941823
"2013-07-11",104,105.98,103.91,104.4,3983561
"2013-07-18",103.92,108.98,103.85,108.66,4659864
"2013-07-25",105.89,106.11,101.95,104.87,3956320
