"","FIS.Open","FIS.High","FIS.Low","FIS.Close","FIS.Volume"
"2011-09-15",26.11,26.18,25.69,26.18,1647049
"2011-09-22",24.4,24.4,23.66,24.16,3386937
"2011-09-29",25.12,25.26,24.26,24.79,1443774
"2011-10-06",24.34,25.2,24.22,25.19,1913193
"2011-10-13",25.7,25.84,25.34,25.74,998102
"2011-10-20",25.61,25.86,25.11,25.45,1796841
"2011-10-27",27.14,27.47,26.86,27.33,2633502
"2011-11-03",24.81,25.54,24.51,25.51,1998182
"2011-11-10",25.18,25.28,24.78,25.09,1571620
"2011-11-17",24.39,24.5,23.58,23.63,2607787
"2011-12-01",23.99,24.81,23.93,24.61,2590877
"2011-12-08",25.82,25.93,25.14,25.19,2908076
"2011-12-15",25.61,25.79,25.18,25.23,1870186
"2011-12-22",26.12,26.55,26.02,26.44,1665816
"2011-12-29",26.45,26.58,26.36,26.53,1305762
"2012-01-05",26.56,27.2,26.56,26.9,1875909
"2012-01-12",27.4,27.44,26.98,27.1,2035016
"2012-01-19",27.5,27.77,27.47,27.6,1312728
"2012-01-26",28.41,28.49,28.2,28.41,959848
"2012-02-02",28.82,28.83,28.66,28.75,1842866
"2012-02-09",28.95,28.97,28.66,28.77,1996181
"2012-02-16",31.44,31.51,31.15,31.16,1777134
"2012-02-23",30.72,31.18,30.65,31.11,3070039
"2012-03-01",31.8,31.98,31.73,31.93,2382155
"2012-03-08",31.72,31.8,31.48,31.7,1211429
"2012-03-15",32.22,33,32.14,32.83,2401111
"2012-03-22",32.63,33.04,32.54,32.94,1226800
"2012-03-29",32.78,33.24,32.78,33.05,1617629
"2012-04-05",32.43,32.67,32.42,32.58,1924803
"2012-04-12",32.8,33.08,32.78,32.89,1641761
"2012-04-19",33.31,33.72,32.92,33.1,1628002
"2012-04-26",32.97,34,32.92,33.63,2432080
"2012-05-03",33.81,33.81,33.31,33.33,768161
"2012-05-10",32.45,32.64,32.37,32.56,1450052
"2012-05-17",32.49,32.54,32.03,32.03,1529926
"2012-05-24",32.96,33.08,32.64,32.96,1707200
"2012-05-31",32.92,33.05,32.54,32.78,5748330
"2012-06-07",32.52,32.54,32.06,32.11,1066413
"2012-06-14",32.39,32.71,32.36,32.59,1314900
"2012-06-21",33.88,33.91,32.99,32.99,1078562
"2012-06-28",33.57,33.68,33.2,33.46,1947013
"2012-07-05",34.6,34.85,34.46,34.47,1187922
"2012-07-12",33.86,34.04,33.79,33.93,1274128
"2012-07-19",33.32,33.32,32.53,32.6,2378028
"2012-07-26",32.14,32.33,31.69,31.7,2094559
"2012-08-02",30.55,30.94,30.46,30.86,2399923
"2012-08-09",31,31.13,30.93,31.04,806690
"2012-08-16",30.95,31.16,30.71,30.9,1480050
"2012-08-23",31.62,31.8,31.44,31.72,1024553
"2012-08-30",31.58,31.66,31.45,31.48,1151771
"2012-09-06",32.08,32.66,32.06,32.64,1424796
"2012-09-13",31.52,32.04,31.45,31.92,1979209
"2012-09-20",32.29,32.65,32.14,32.56,1570221
"2012-09-27",31.9,31.97,31.66,31.68,1584199
"2012-10-04",31.08,31.33,30.96,31.14,2176014
"2012-10-11",31.38,31.63,31.26,31.47,1426403
"2012-10-18",32.54,32.7,32.42,32.5,778775
"2012-10-25",32.93,33,32.45,32.54,2759443
"2012-11-01",32.86,33.3,32.68,33.14,2057083
"2012-11-08",34.5,34.56,34.12,34.33,2293318
