"","FITB.Open","FITB.High","FITB.Low","FITB.Close","FITB.Volume"
"2011-09-15",10.66,10.8,10.51,10.7,12331316
"2011-09-22",9.52,9.68,9.32,9.6,29252452
"2011-09-29",10.36,10.59,10.06,10.46,18336084
"2011-10-06",10.59,11.13,10.32,11.11,19446408
"2011-10-13",11.36,11.4,10.94,11.23,13699082
"2011-10-20",11.25,11.76,11.12,11.63,32175756
"2011-10-27",12.58,12.74,12.18,12.49,24090453
"2011-11-03",11.98,12.05,11.63,12.01,23638575
"2011-11-10",12.02,12.12,11.82,12.01,13618125
"2011-11-17",11.96,12.18,11.74,11.81,16781374
"2011-12-01",12.08,12.1,11.85,11.95,6847815
"2011-12-08",12.28,12.31,11.91,11.97,13744728
"2011-12-15",12,12.09,11.89,11.97,10003219
"2011-12-22",12.6,13.06,12.6,12.92,12068556
"2011-12-29",12.66,12.91,12.59,12.91,6662988
"2012-01-05",13.01,13.54,12.92,13.47,14944057
"2012-01-12",13.78,13.92,13.6,13.83,12419543
"2012-01-19",14,14.03,13.49,13.56,15595107
"2012-01-26",13.57,13.6,13,13.08,15365642
"2012-02-02",13.17,13.36,13.05,13.23,6431661
"2012-02-09",13.64,13.72,13.44,13.52,8238778
"2012-02-16",13.38,13.64,13.31,13.63,9658411
"2012-02-23",13.62,13.82,13.52,13.81,8677925
"2012-03-01",13.66,13.8,13.59,13.72,13404746
"2012-03-08",13.43,13.56,13.27,13.48,8615241
"2012-03-15",14.38,14.72,14.17,14.47,18252719
"2012-03-22",14.17,14.17,13.96,14.08,18859467
"2012-03-29",14.06,14.17,13.92,14.03,15797207
"2012-04-05",14.38,14.65,14.35,14.62,13852423
"2012-04-12",14.25,14.5,14.22,14.48,7163193
"2012-04-19",14.3,14.34,13.61,13.72,22666678
"2012-04-26",14.26,14.43,14.25,14.37,9414691
"2012-05-03",14.4,14.51,14.35,14.45,12825591
"2012-05-10",14.17,14.33,14.12,14.19,9215366
"2012-05-17",13.56,13.58,13.29,13.29,14079698
"2012-05-24",13.63,13.67,13.37,13.57,9156311
"2012-05-31",13.33,13.46,13.07,13.35,17141403
"2012-06-07",12.87,12.91,12.67,12.74,11433383
"2012-06-14",12.82,13.09,12.78,13.04,12541097
"2012-06-21",13.18,13.25,12.95,13.04,17509512
"2012-06-28",12.88,13.04,12.71,13.02,9975034
"2012-07-05",13.47,13.52,13.35,13.42,8335579
"2012-07-12",13.26,13.39,13.19,13.34,8712636
"2012-07-19",13.9,14,13.66,13.8,12150839
"2012-07-26",13.95,14.21,13.89,14.14,14180075
"2012-08-02",13.66,13.82,13.5,13.67,10411782
"2012-08-09",14.34,14.42,14.29,14.32,10007926
"2012-08-16",14.26,14.41,14.22,14.33,8295469
"2012-08-23",14.76,14.8,14.6,14.63,6818313
"2012-08-30",15.03,15.17,14.94,15.08,9035158
"2012-09-06",15,15.17,14.98,15.06,15037332
"2012-09-13",15.25,15.64,15.24,15.61,11952468
"2012-09-20",15.56,15.63,15.32,15.59,11600576
"2012-09-27",15.39,15.6,15.32,15.48,7526876
"2012-10-04",15.79,15.99,15.76,15.98,8982064
"2012-10-11",15.91,16.06,15.89,15.89,6584404
"2012-10-18",15.25,15.26,15.03,15.12,15986452
"2012-10-25",14.7,14.76,14.4,14.64,10072531
"2012-11-01",14.51,14.57,14.42,14.56,11857613
"2012-11-08",14.16,14.37,14.04,14.04,9447142
"2012-11-15",13.8,14.06,13.75,14,9942002
"2012-11-29",14.75,14.8,14.62,14.66,6540150
"2012-12-06",14.39,14.39,14.24,14.34,7240056
"2012-12-13",14.77,14.77,14.44,14.51,9131452
"2012-12-20",14.94,15.17,14.93,15.14,8822473
"2012-12-27",15.03,15.13,14.93,15.08,12407412
"2013-01-03",15.76,15.77,15.52,15.63,11670588
"2013-01-10",15.52,15.72,15.46,15.7,11495670
"2013-01-17",15.98,16.39,15.89,16.29,25139735
"2013-01-24",16.43,16.5,16.27,16.39,7786113
"2013-01-31",16.3,16.34,16.18,16.29,8396710
"2013-02-07",16.64,16.77,16.36,16.47,10888018
"2013-02-14",16.09,16.19,16.04,16.13,11091204
"2013-02-21",15.85,15.96,15.51,15.6,17671587
"2013-02-28",15.68,15.92,15.67,15.84,8899092
"2013-03-07",16.05,16.25,16.01,16.23,8864711
"2013-03-14",16.44,16.55,16.3,16.37,8664402
"2013-03-21",16.4,16.52,16.35,16.37,8305091
"2013-03-28",16.31,16.37,16.2,16.31,5584391
"2013-04-04",15.99,16.04,15.85,15.95,8668767
"2013-04-11",16.62,16.86,16.53,16.86,9786737
"2013-04-18",16.25,16.25,15.62,15.92,16586071
"2013-04-25",16.75,16.95,16.69,16.83,5791422
"2013-05-02",16.77,16.97,16.71,16.86,4456928
"2013-05-09",17.66,17.81,17.53,17.57,8011275
"2013-05-16",18.01,18.2,17.97,18.02,5154579
"2013-05-23",17.81,18.2,17.76,18.1,8186266
"2013-05-30",18.46,18.74,18.45,18.53,9266481
"2013-06-06",17.66,18.07,17.64,18.07,9103835
"2013-06-13",18.25,18.49,18.15,18.45,8225891
"2013-06-20",17.9,17.96,17.66,17.78,18099361
"2013-06-27",18.06,18.32,18,18.1,8335298
"2013-07-11",19.03,19.08,18.67,18.81,10249611
"2013-07-18",18.8,18.97,18.27,18.94,17975186
"2013-07-25",19.26,19.44,19.22,19.37,7790771
"2013-08-01",19.44,19.65,19.32,19.6,5835338
"2013-08-08",19.35,19.41,19.11,19.22,7554601
"2013-08-15",19.06,19.15,18.98,19.04,6104650
"2013-08-22",18.97,19.24,18.94,19.18,6031281
"2013-08-29",18.2,18.55,18.17,18.39,4669145
"2013-09-05",18.38,18.64,18.36,18.53,6300102
"2013-09-12",18.6,18.64,18.49,18.49,5828523
"2013-09-19",18.63,18.7,18.33,18.53,13397506
"2013-09-26",18.24,18.3,17.99,18.08,4527154
"2013-10-03",17.98,18.04,17.84,18,6392178
"2013-10-10",17.96,18.25,17.92,18.14,10817627
"2013-10-17",18.39,19,18.34,18.96,14253521
"2013-10-24",19.29,19.32,18.99,19.12,9931655
"2013-10-31",19.27,19.28,19.03,19.04,6206473
"2013-11-07",19.19,19.3,19.08,19.08,8906054
"2013-11-14",19.96,20.05,19.87,20.02,5579684
"2013-11-21",20,20.47,19.95,20.34,8902560
"2013-12-05",19.87,20.05,19.79,19.82,7331846
"2013-12-12",20.2,20.38,20.08,20.25,6605836
"2013-12-19",20.38,20.74,20.36,20.67,6318642
"2013-12-26",21.01,21.14,20.96,21.04,3884687
"2014-01-02",20.94,21.06,20.83,20.87,6971216
"2014-01-09",21.14,21.45,21.14,21.32,8873058
"2014-01-16",21.49,21.55,21.31,21.37,5595082
"2014-01-23",21.65,21.91,21.35,21.52,11224659
"2014-01-30",21.09,21.32,21.04,21.24,5822331
"2014-02-06",20.98,21.11,20.84,21.08,7596799
"2014-02-13",21.29,21.54,21.19,21.54,6968174
"2014-02-20",21.29,21.4,21.12,21.34,7189716
"2014-02-27",21.67,21.72,21.51,21.72,6945764
"2014-03-06",22.25,22.42,22.23,22.3,5626541
"2014-03-13",22.56,22.73,22.34,22.43,6998000
"2014-03-20",22.84,23.49,22.8,23.36,9007649
"2014-03-27",23.12,23.24,22.41,22.55,13658554
"2014-04-03",23.17,23.22,23.04,23.19,7500018
"2014-04-10",22.66,22.7,21.75,21.8,11974108
"2014-04-17",21.31,21.52,20.75,20.95,16990860
"2014-04-24",21.23,21.23,20.8,21.03,9493167
"2014-05-01",20.56,20.68,20.3,20.35,11335011
"2014-05-08",20.66,20.88,20.58,20.6,8009388
"2014-05-15",20.42,20.44,19.92,20.16,11601026
"2014-05-22",20.33,20.56,20.25,20.41,7374319
"2014-05-29",20.6,20.65,20.39,20.55,6444875
"2014-06-05",21.13,21.25,20.92,21.19,10609572
"2014-06-12",21.37,21.55,21.27,21.29,6311756
"2014-06-19",21.81,21.81,21.34,21.51,7840541
"2014-06-26",21.34,21.38,21.1,21.29,5670234
"2014-07-03",21.52,21.69,21.48,21.63,4007142
"2014-07-10",21.31,21.34,21.16,21.22,8623453
