"","FL.Open","FL.High","FL.Low","FL.Close","FL.Volume"
"2011-09-15",21.53,21.94,21.08,21.8,3128136
"2011-09-22",19.82,20.23,19.37,20.03,3270461
"2011-09-29",21.91,22,20.62,21.43,2036316
"2011-10-06",20.47,21.51,20.46,21.45,2511403
"2011-10-13",21.31,21.55,20.83,21.24,1911057
"2011-10-20",21.85,22.14,21.54,22.06,1796804
"2011-10-27",22.78,23.02,22.34,22.79,2694554
"2011-11-03",22.07,22.59,21.01,22.5,4887829
"2011-11-10",21.67,22.31,21.66,22.18,5027752
"2011-11-17",22.04,22.1,21.5,21.82,3750017
"2011-12-01",23.46,24.12,23.25,23.88,2075776
"2011-12-08",24.89,25,24.63,24.81,2324434
"2011-12-15",24.01,24.09,23.55,23.85,1850405
"2011-12-22",23.95,24.39,23.4,23.46,3326550
"2011-12-29",23.65,24.06,23.59,24,1290867
"2012-01-05",23.91,24.83,23.48,24.74,2859327
"2012-01-12",24.75,24.96,24.41,24.78,1232248
"2012-01-19",25.24,25.8,25.22,25.73,1468359
"2012-01-26",26.82,26.82,26.02,26.28,1425810
"2012-02-02",26.69,26.79,26.33,26.53,1265199
"2012-02-09",26.76,26.85,26.41,26.68,1219507
"2012-02-16",27.85,28.27,27.85,28.17,1428099
"2012-02-23",28.65,29.02,28.43,28.72,1355049
"2012-03-01",29.22,29.52,28.95,29.52,4567508
"2012-03-08",30.1,30.17,29.72,30.12,2708937
"2012-03-15",30.17,30.47,29.89,30.35,1454304
"2012-03-22",30.68,31.33,30.56,31.19,2372326
"2012-03-29",31.32,31.62,31.03,31.56,1692791
"2012-04-05",31.16,31.7,31.08,31.4,1179957
"2012-04-12",30.1,30.57,29.98,30.52,1763636
"2012-04-19",31.49,31.72,30.8,30.99,2211743
"2012-04-26",30.44,30.96,30.33,30.89,1083309
"2012-05-03",31.85,32.09,31.38,31.58,1422280
"2012-05-10",29.3,29.63,28.86,29.34,2134067
"2012-05-17",28.88,28.96,27.86,28.01,5258674
"2012-05-24",31.63,32.36,31.53,32.31,4498374
"2012-05-31",32.02,32.08,31.31,31.74,6245412
"2012-06-07",31.45,32.19,30.24,30.56,1854084
"2012-06-14",29.87,30.15,29.42,29.75,2320962
"2012-06-21",30,30,29.25,29.39,2314535
"2012-06-28",28.97,29.22,28.47,28.87,2090843
"2012-07-05",30.84,31.81,30.84,31.7,2190505
"2012-07-12",31.51,32.56,31.4,32.22,3918396
"2012-07-19",33.59,34,33.28,33.76,2040498
"2012-07-26",32.92,33.11,32.4,32.94,1410729
"2012-08-02",32.51,33.27,32.51,32.92,1325218
"2012-08-09",34.61,34.79,34.01,34.54,1970068
"2012-08-16",34.57,34.8,34.47,34.49,2487735
"2012-08-23",34.52,34.52,33.85,34.04,1505230
"2012-08-30",34.4,34.7,34.32,34.49,1261394
"2012-09-06",35.66,36.33,35.57,36.33,2464291
"2012-09-13",36.88,37.36,36.6,37.1,2174916
"2012-09-20",36.45,37.5,36.45,37.27,2587333
"2012-09-27",35.87,36.13,35.5,36.04,1420038
"2012-10-04",35.14,35.35,34.92,35.21,2120683
"2012-10-11",35.1,35.32,34.57,34.65,1106861
"2012-10-18",36.11,36.33,35.97,36.23,1233730
"2012-10-25",34.7,34.84,33.79,33.97,1388120
"2012-11-01",33.49,34.54,32.99,34.36,2130626
"2012-11-08",33.85,33.97,32.07,32.13,4406717
"2012-11-15",31.81,32.18,31.13,31.85,3138905
"2012-11-29",35.45,35.86,35.32,35.72,1755952
"2012-12-06",35.02,35.36,34.76,35.18,1440438
"2012-12-13",33.46,33.54,32.55,32.6,4997611
"2012-12-20",33.13,33.41,32.78,33.14,2759513
"2012-12-27",32.11,32.13,31.07,31.95,2809049
"2013-01-03",31.75,32.55,31.71,32.5,3140211
"2013-01-10",33.1,33.51,33.05,33.49,3646074
"2013-01-17",33.91,34.04,33.45,33.73,3543431
"2013-01-24",33.59,34.27,33.59,33.8,2123430
"2013-01-31",34.42,34.84,34.31,34.35,1215710
"2013-02-07",34.75,34.86,34.19,34.57,1485374
"2013-02-14",33.43,33.67,33.05,33.29,1891509
"2013-02-21",34.39,34.94,34.15,34.29,2885457
"2013-02-28",34.11,34.39,33.95,34.19,1634071
"2013-03-07",35.16,35.5,34.96,35.31,2188266
"2013-03-14",33.12,33.34,32.89,33,2308642
"2013-03-21",32.15,32.53,32.06,32.28,5061255
"2013-03-28",34.15,34.77,33.99,34.24,2795189
"2013-04-04",33.24,33.46,32.95,33.15,4124105
"2013-04-11",33.76,34.6,33.71,34.06,2481103
"2013-04-18",32.6,32.65,31.7,31.79,3005362
"2013-04-25",32.53,33.49,32.42,33.4,2646859
"2013-05-02",34.71,35.13,34.68,34.91,2204055
"2013-05-09",35.8,36.31,35.8,35.97,2004007
"2013-05-16",36.47,36.76,36.26,36.4,1350625
"2013-05-23",35.53,35.84,35.41,35.68,3677787
"2013-05-30",34.03,34.25,33.82,34.01,4058214
"2013-06-06",34.07,34.49,33.81,34.49,1600618
"2013-06-13",34.25,34.57,33.99,34.46,2461177
"2013-06-20",35.27,35.34,34.77,34.95,3065552
"2013-06-27",34.19,34.43,34.04,34.25,2416530
"2013-07-11",37.21,37.24,36.5,36.78,2115952
"2013-07-18",36.39,36.94,36.33,36.58,1324060
"2013-07-25",35.63,36.1,35.55,36.07,1583501
"2013-08-01",36.42,37.43,36.17,37.26,2308697
"2013-08-08",35.74,36.2,35.62,35.67,3087277
"2013-08-15",34.87,34.93,34.4,34.61,1596628
"2013-08-22",34.08,34.42,33.8,34.01,2807920
"2013-08-29",32.61,32.76,32.33,32.54,1946558
"2013-09-05",32.94,33.27,32.74,32.84,1810940
"2013-09-12",33.5,33.62,32.81,32.92,1393560
"2013-09-19",33.7,33.76,33.35,33.37,1407890
"2013-09-26",32.68,33.2,32.59,32.76,1502858
"2013-10-03",33.81,33.89,33.13,33.49,1452566
"2013-10-10",32.98,33.32,32.79,33.03,1468281
"2013-10-17",33.2,33.41,32.91,33.15,1162562
"2013-10-24",34.09,34.33,33.85,34.19,1467937
"2013-10-31",34.74,34.86,34.33,34.7,1367510
"2013-11-07",35.76,36.2,35.2,35.26,1903691
"2013-11-14",36.7,37.23,36.55,37.13,1561437
"2013-11-21",36.65,36.81,35.87,36.76,3344736
"2013-12-05",38.77,39.07,38.55,38.84,1141594
"2013-12-12",38.72,38.88,38.36,38.57,1349318
"2013-12-19",39.73,40.01,39.43,39.68,1518891
"2013-12-26",41.25,41.5,41.01,41.05,900230
"2014-01-02",41.36,41.52,40.59,40.78,1559184
"2014-01-09",41.41,41.41,40.74,41.05,1543817
