"","FLIR.Open","FLIR.High","FLIR.Low","FLIR.Close","FLIR.Volume"
"2011-09-15",27.67,28.07,27.32,28.04,2262198
"2011-09-22",25.66,25.94,24.92,25.31,1651575
"2011-09-29",26.21,26.89,25.57,26.17,1256202
"2011-10-06",26.05,26.51,25.67,26.49,1293214
"2011-10-13",26.95,26.97,26.37,26.81,987969
"2011-10-20",27.01,27.4,26.45,27.23,1348498
"2011-10-27",27.39,27.92,27.12,27.68,1277057
"2011-11-03",26.06,26.67,25.68,26.65,1007242
"2011-11-10",25.75,25.93,25.26,25.81,1418899
"2011-11-17",25.67,25.72,25.03,25.51,1464359
"2011-12-01",26.86,26.99,26.57,26.65,971679
"2011-12-08",25.98,26.1,25.25,25.33,887259
"2011-12-15",25.32,25.39,24.9,25.02,830929
"2011-12-22",25.46,25.81,25.39,25.58,807592
"2011-12-29",25.39,25.53,25.28,25.5,469400
"2012-01-05",25.41,25.62,25.07,25.5,511843
"2012-01-12",25.31,26.03,25.28,25.79,765877
"2012-01-19",26.53,26.85,26.38,26.66,576757
"2012-01-26",26.57,26.57,26,26.1,636285
"2012-02-02",26.07,26.16,25.74,25.78,1026494
"2012-02-09",25.55,25.9,25.37,25.74,1879767
"2012-02-16",24.96,25.51,24.85,25.49,777241
"2012-02-23",25.59,25.89,25.25,25.84,776363
"2012-03-01",26.17,26.49,26.15,26.44,914459
"2012-03-08",26.17,26.24,25.78,26.08,694746
"2012-03-15",26.17,26.48,26.03,26.25,1013492
"2012-03-22",25.4,25.59,25.3,25.53,805737
"2012-03-29",25.21,25.38,25.03,25.34,787491
"2012-04-05",24.51,24.65,24.41,24.51,1116276
"2012-04-12",23.88,24.26,23.86,24.14,447454
"2012-04-19",23.27,23.92,23.27,23.42,1061505
"2012-04-26",23.29,23.6,23.22,23.52,2235642
"2012-05-03",22.04,22.52,22.01,22.17,1522213
"2012-05-10",21.7,21.82,21.48,21.55,1004024
"2012-05-17",20.97,21.04,20.55,20.55,1658099
"2012-05-24",21.32,21.4,21.09,21.32,1452173
"2012-05-31",21.53,21.56,21.22,21.33,1317517
"2012-06-07",21.88,22.02,21.28,21.34,2767715
"2012-06-14",20.18,20.18,19.93,19.95,1911808
"2012-06-21",20.12,20.22,19.47,19.48,1448815
"2012-06-28",19.05,19.22,18.95,19.09,1337417
"2012-07-05",19.57,19.9,19.54,19.76,1074233
"2012-07-12",18.74,18.77,18.49,18.59,1066877
"2012-07-19",19.19,19.51,19.16,19.47,1200426
"2012-07-26",18.94,20.92,18.55,20.78,3316411
"2012-08-02",20.48,20.63,20.17,20.38,887728
"2012-08-09",21.05,21.15,20.89,21.05,759554
"2012-08-16",20.76,21.03,20.76,20.82,1121443
"2012-08-23",20.07,20.12,19.78,19.89,1104438
"2012-08-30",19.6,19.8,19.57,19.72,898212
"2012-09-06",19.99,20.47,19.94,20.45,937372
"2012-09-13",20.63,20.92,20.45,20.86,696914
"2012-09-20",20.9,21.12,20.66,21.1,735994
"2012-09-27",20.1,20.27,20.03,20.19,721634
"2012-10-04",20.36,20.38,20.13,20.35,643833
"2012-10-11",19.76,19.96,19.61,19.67,1542762
"2012-10-18",19.62,19.7,19.5,19.57,801069
"2012-10-25",19.17,19.76,18.91,19.65,2085174
"2012-11-01",19.42,19.84,19.25,19.59,1101023
"2012-11-08",19.31,19.47,19.16,19.16,1031937
"2012-11-15",18.96,19.13,18.78,19.1,1019382
"2012-11-29",20.39,20.5,20.24,20.32,497355
"2012-12-06",19.87,20.02,19.74,20.02,554068
"2012-12-13",20.44,20.51,20.33,20.46,774891
"2012-12-20",22.23,22.29,21.8,21.9,1954972
"2012-12-27",22.11,22.26,21.91,22.2,870905
"2013-01-03",23.46,24.03,23.25,23.86,1243098
"2013-01-10",23.57,23.62,23.24,23.3,952037
"2013-01-17",23.43,23.64,23.38,23.47,630877
"2013-01-24",23.79,24.2,23.65,24.13,850443
"2013-01-31",24.28,24.35,23.75,23.77,1705194
"2013-02-07",23.63,26.11,23.56,26.03,3005714
"2013-02-14",26.87,26.96,26.67,26.7,1044221
"2013-02-21",26.51,26.61,25.67,25.94,1917294
"2013-02-28",26.49,26.7,26.32,26.33,708095
"2013-03-07",26.44,26.75,26.42,26.66,805562
"2013-03-14",26.42,26.68,26.19,26.19,1941988
"2013-03-21",25.75,26.14,25.75,25.9,1148041
"2013-03-28",25.79,26.1,25.66,26.01,2345752
"2013-04-04",25.81,26.03,25.73,25.9,698954
"2013-04-11",26.06,26.24,25.7,26.01,1916715
"2013-04-18",24.02,24.18,23.56,23.73,996814
"2013-04-25",24.22,24.55,24.1,24.46,1411646
"2013-05-02",24.08,24.33,24,24.2,1304768
"2013-05-09",24.73,24.81,24.59,24.67,976620
"2013-05-16",24.67,25.03,24.49,24.73,1233456
"2013-05-23",24.13,24.31,24.02,24.24,1044046
"2013-05-30",24.46,24.7,24.39,24.51,1398038
"2013-06-06",23.99,24.14,23.96,24.14,1351171
"2013-06-13",23.75,24.21,23.58,24.14,834232
"2013-06-20",26,26.02,25.46,25.58,1307788
"2013-06-27",26.71,26.88,26.48,26.79,778054
"2013-07-11",29.05,29.21,28.9,29.12,598117
"2013-07-18",29.15,29.23,28.9,29.04,763172
"2013-07-25",29.95,32.28,28.81,31.91,3585964
"2013-08-01",32.74,32.95,32.51,32.82,1316396
"2013-08-08",33,33.08,32.56,32.65,1075190
"2013-08-15",32.53,32.91,32.13,32.19,781880
"2013-08-22",32.24,32.98,32.22,32.94,556295
"2013-08-29",31.47,32.03,31.32,31.77,518161
"2013-09-05",31.86,32.2,31.76,31.92,501869
"2013-09-12",32.3,32.3,31.86,31.88,601486
"2013-09-19",32,32.32,31.79,32.15,751030
"2013-09-26",31.33,31.9,31.19,31.48,666430
"2013-10-03",31.52,32.38,31.51,32.36,2019397
"2013-10-10",31.98,32.34,31.67,32.2,784135
"2013-10-17",28.32,29.03,28.2,28.99,2106137
"2013-10-24",28.78,29.09,28.05,28.66,1099263
"2013-10-31",28.52,28.81,28.41,28.48,997983
"2013-11-07",28.47,28.92,28.19,28.22,1146510
"2013-11-14",29.46,29.52,29.13,29.51,470003
"2013-11-21",29.25,29.64,29.25,29.6,858888
"2013-12-05",29.3,29.43,28.98,29.04,936157
"2013-12-12",28.56,28.87,28.39,28.78,766904
"2013-12-19",28.69,28.79,28.54,28.67,585272
"2013-12-26",29.5,29.86,29.5,29.67,458759
"2014-01-02",29.92,30.01,29.07,29.11,781424
"2014-01-09",33.01,33.34,32.44,32.5,1818494
"2014-01-16",33.12,33.36,32.9,33.24,843316
"2014-01-23",34,34.12,33.81,34,1422248
"2014-01-30",32.43,32.85,32.32,32.77,626485
"2014-02-06",30.96,32.22,30.63,32.19,1713252
"2014-02-13",30.79,31.26,30.78,30.95,1207285
"2014-02-20",31.2,32.44,31.2,32.15,1308826
"2014-02-27",33.28,33.3,32.98,33.19,926988
"2014-03-06",35.01,35.44,34.95,35.22,1379279
"2014-03-13",35,35.08,34.17,34.28,1600651
"2014-03-20",34.29,34.66,34.08,34.65,585367
"2014-03-27",34.9,35.04,34.52,34.77,1464086
"2014-04-03",36.82,37.09,36.62,37,1629864
"2014-04-10",35.57,35.71,34.31,34.47,990803
"2014-04-17",35.29,35.88,35.19,35.7,1234271
"2014-04-24",37.09,37.42,36.74,37.19,1913848
"2014-05-01",34.1,34.7,34.03,34.56,959833
"2014-05-08",33.71,34.33,33.59,33.89,945830
"2014-05-15",33.82,33.84,33.09,33.46,781267
"2014-05-22",33.79,34.16,33.51,34.13,736722
"2014-05-29",34.94,35.14,34.68,34.94,633279
"2014-06-05",35,35.33,34.81,35.32,557428
"2014-06-12",35.79,35.95,35.37,35.63,680495
"2014-06-19",35.77,35.92,34.94,35.52,562635
"2014-06-26",34.55,34.76,34.37,34.38,649316
"2014-07-03",34.97,35.29,34.82,35.14,795610
"2014-07-10",33.63,34.12,33.55,33.9,548578
"2014-07-17",33.07,33.27,32.5,32.53,1205547
"2014-07-24",34.29,35.27,34.02,34.6,1165933
"2014-07-31",34.08,34.5,33.25,33.28,650338
"2014-08-07",33.79,33.82,33.44,33.45,705829
"2014-08-14",34.05,34.12,33.64,33.76,312005
"2014-08-21",34.04,34.17,33.84,33.87,800003
"2014-08-28",33.59,33.76,33.39,33.66,256072
"2014-09-04",33.81,34,33.57,33.62,367329
"2014-09-11",33.47,33.74,33.35,33.59,515647
"2014-09-18",33.51,33.63,33.43,33.52,446589
"2014-09-25",32.34,32.47,31.72,31.72,507437
"2014-10-02",30.5,30.9,30.13,30.75,794439
"2014-10-09",29.8,29.97,29.03,29.18,780429
"2014-10-16",28.9,29.5,28.32,29.2,1380920
"2014-10-23",29.83,30.3,29.65,30.11,963095
"2014-10-30",32.32,33.09,32.26,32.94,595201
"2014-11-06",34.11,34.4,33.96,34.32,650619
"2014-11-13",33.05,33.13,32.41,32.44,888176
"2014-11-20",31.63,31.83,31.46,31.5,598425
"2014-12-04",31.27,32.65,31.24,31.56,1361497
"2014-12-11",32.3,32.76,31.92,32.38,1212051
"2014-12-18",32.89,33.08,32.34,33.08,692781
"2015-01-08",31.22,31.36,30.9,31.25,813572
"2015-01-15",30.2,30.31,29.78,29.8,622340
"2015-01-22",30.44,31.04,30.07,30.9,494564
