"","FLR.Open","FLR.High","FLR.Low","FLR.Close","FLR.Volume"
"2011-09-15",59.98,60.7,59.23,60.63,1547655
"2011-09-22",51.63,51.78,47.81,49.52,4287275
"2011-09-29",50.66,51.1,48.36,49.56,2168438
"2011-10-06",49.9,51.78,49.73,51.74,2013187
"2011-10-13",54.46,55.09,53.37,54.6,1489005
"2011-10-20",52.41,53.02,51.07,52.75,1917316
"2011-10-27",59.18,60.76,58.28,59.7,3138993
"2011-11-03",57.33,58.8,56.52,58.6,2825872
"2011-11-10",54.13,54.71,53.11,53.94,2802426
"2011-11-17",54.58,54.91,52.55,52.97,1855582
"2011-12-01",54.6,55,53.91,54.41,1216746
"2011-12-08",53.24,53.47,51.5,51.72,2590196
"2011-12-15",49.29,49.67,48.12,48.27,2757614
"2011-12-22",49.38,50.69,49.21,50.46,1690781
"2011-12-29",50.03,50.65,49.9,50.32,1187735
"2012-01-05",51.59,52.43,51.25,51.96,1519408
"2012-01-12",52.91,54.35,52.61,54.19,2202729
"2012-01-19",55.52,57.09,55.5,56.63,1917357
"2012-01-26",56.93,58.53,56.74,56.97,2091110
"2012-02-02",58.05,58.3,57.77,57.97,1422651
"2012-02-09",59.33,60.44,59.26,60.22,1150219
"2012-02-16",59.63,60.6,59.29,60.3,1224051
"2012-02-23",61.55,64.67,61,63.99,5268302
"2012-03-01",60.95,61.9,60.76,61.84,2339364
"2012-03-08",59.41,60.52,59.27,60.09,1859852
"2012-03-15",62.45,62.6,61.9,62.35,1443764
"2012-03-22",59.61,59.98,58.85,59.56,1855187
"2012-03-29",59.63,60.22,59.05,60.06,1223828
"2012-04-05",59.93,60.67,59.63,59.92,1218736
"2012-04-12",57.98,59.76,57.88,59.43,1378926
"2012-04-19",59.02,59.34,57.69,57.93,1513260
"2012-04-26",58.31,58.83,57.75,58.26,1880684
"2012-05-03",57.94,57.94,56.24,56.54,2085376
"2012-05-10",55.19,56.24,54.48,54.6,3521709
"2012-05-17",51.28,51.38,50.04,50.2,2239889
"2012-05-24",50.42,50.82,49.46,50.05,1745350
"2012-05-31",48.32,48.42,46.05,46.88,4120724
"2012-06-07",49.79,50.96,49.11,49.17,2798843
"2012-06-14",47.06,47.44,46.62,47.13,1406906
"2012-06-21",48.77,48.77,46.61,46.73,1736456
"2012-06-28",46.66,48.39,46.56,48.34,2336370
"2012-07-05",49.97,50.23,49.29,49.97,1737102
