"","FMC.Open","FMC.High","FMC.Low","FMC.Close","FMC.Volume"
"2011-09-15",37.78,38.26,37.48,38.22,1272652
"2011-09-22",34.86,35.38,33.96,34.36,2377158
"2011-09-29",37.07,37.07,34.92,35.84,1164342
"2011-10-06",34.66,35.94,34.08,35.7,1256768
"2011-10-13",37.34,37.66,36.93,37.44,560238
"2011-10-20",37.43,37.86,36.66,37.28,1820082
"2011-10-27",40.72,42.16,40.24,41.34,1668284
"2011-11-03",41.07,42.06,40.22,41.9,1467772
"2011-11-10",40.82,41.3,40.16,40.98,1043412
"2011-11-17",40.52,40.66,39.17,39.42,894804
"2011-12-01",41.74,42.44,41.62,41.7,655518
"2011-12-08",42.33,42.71,41.46,41.6,889908
"2011-12-15",41.36,41.82,41.14,41.68,1202894
"2011-12-22",43.16,43.6,42.93,43.3,551442
"2011-12-29",42.86,43.24,42.58,43.14,418772
"2012-01-05",43.35,43.8,42.93,43.48,1074650
"2012-01-12",44.81,45.3,44.73,45.24,698586
"2012-01-19",45.74,46.04,45.38,45.9,529720
"2012-01-26",46.6,46.8,45.66,45.75,759098
"2012-02-02",46.78,47.06,46.56,46.64,719824
"2012-02-09",47.5,47.56,45.51,46.4,2441866
"2012-02-16",46.96,47.65,46.9,47.6,1288036
"2012-02-23",49.25,49.5,48.76,49.28,794126
"2012-03-01",49.68,50.22,49.64,50.12,1047596
"2012-03-08",48.86,49.62,48.7,49.56,995298
"2012-03-15",49.76,50,49.61,50,709062
"2012-03-22",49.2,49.52,48.47,48.72,1218152
"2012-03-29",51.38,52.82,51.38,52.7,1047674
"2012-04-05",53.04,53.71,52.87,53.16,469732
"2012-04-12",51.46,52.83,51.46,52.54,1240722
"2012-04-19",53.64,53.94,52.91,53.34,779246
"2012-04-26",54.07,55.2,53.85,55.1,1136966
"2012-05-03",54.54,54.78,53.8,53.87,844188
"2012-05-10",53.2,53.37,52.62,52.81,618470
"2012-05-17",50.45,50.53,48.54,48.64,1282498
"2012-05-24",51.37,52,50.82,51.98,1062196
"2012-05-31",51.7,51.96,50.36,50.97,1245882
"2012-06-07",51.23,51.75,50.75,50.88,788713
"2012-06-14",50.7,51.27,49.59,50.01,1977935
"2012-06-21",52.49,52.73,50.17,50.21,1042286
"2012-06-28",50.83,51.86,50.53,51.77,1166506
"2012-07-05",53.88,54.17,53.31,53.7,893950
"2012-07-12",50.79,52.01,50.45,51.72,759687
"2012-07-19",55.17,55.62,54.95,55.1,923667
"2012-07-26",55.01,55.45,54.64,55.21,971876
"2012-08-02",52.08,52.54,51.64,52.41,1060880
"2012-08-09",54.62,54.82,54.06,54.23,580403
"2012-08-16",54.71,55.65,54.36,55.58,736964
"2012-08-23",55.55,55.55,54.48,54.49,548885
"2012-08-30",53.61,54.22,53.47,53.84,1047382
"2012-09-06",54.74,55.79,54.45,55.5,628947
"2012-09-13",57.14,58.81,56.91,58.57,729216
"2012-09-20",57.51,58,57.34,57.99,465030
"2012-09-27",56.03,56.03,55.39,55.74,559624
"2012-10-04",55.56,55.78,55.15,55.72,579779
"2012-10-11",54.27,54.47,53.98,53.98,402419
"2012-10-18",55.99,56.52,55.77,55.95,332326
"2012-10-25",53.88,54.11,53.44,53.58,368203
"2012-11-01",53.47,54.71,53.27,54.67,1166352
"2012-11-08",53.5,53.67,52.37,52.84,598691
"2012-11-15",51.37,51.55,50.76,51.44,707697
"2012-11-29",55.78,55.95,55.25,55.5,485038
"2012-12-06",53.72,53.78,52.81,53.06,1032418
"2012-12-13",56.72,57.57,56.26,56.8,1685045
"2012-12-20",57.94,58.7,57.53,58.59,1021661
"2012-12-27",57.8,58.34,57.35,57.94,934997
"2013-01-03",59.48,59.82,58.69,58.91,570508
"2013-01-10",61.89,61.93,60.85,61.86,693342
"2013-01-17",61.01,61.15,60.55,60.83,586920
"2013-01-24",61.08,61.5,60.8,61.28,581910
"2013-01-31",61.28,61.7,61.03,61.47,453579
"2013-02-07",61.7,61.7,59.4,59.77,1647335
"2013-02-14",58.59,59.08,58.25,59.01,922822
"2013-02-21",57.92,57.92,57,57.46,1520104
"2013-02-28",59.68,60.66,59.62,60.26,1567281
"2013-03-07",61.06,61.48,60.79,60.89,633604
"2013-03-14",61.38,61.61,60.95,61.16,727380
"2013-03-21",58.76,58.84,57.09,57.19,1372884
"2013-03-28",56.6,57.11,56.43,57.03,1160777
"2013-04-04",56.26,56.72,55.79,56.26,797076
"2013-04-11",57.82,58.86,57.8,58.69,835681
"2013-04-18",57.87,58.56,57.47,57.68,1068729
"2013-04-25",59.94,60.85,59.73,60.67,596219
"2013-05-02",58.42,59.04,57.92,58.8,1318206
"2013-05-09",61.82,61.82,61.11,61.52,440685
"2013-05-16",62.77,62.89,61.93,62,629046
"2013-05-23",62.3,64.15,62.01,63.5,1240433
"2013-05-30",63.97,64.06,63.31,63.91,587147
"2013-06-06",61.23,61.53,60.66,61.26,863101
"2013-06-13",61.93,63.32,61.4,63.07,745027
"2013-06-20",61.96,63.6,61.96,62.62,819633
"2013-06-27",62.68,62.92,62.3,62.39,589126
"2013-07-11",63.13,63.25,61.69,62.27,977364
"2013-07-18",62.31,63.16,62.22,63.1,856022
"2013-07-25",63.49,63.73,62.87,63.65,673478
"2013-08-01",66.58,66.99,66.25,66.86,922579
"2013-08-08",65.32,66.22,65.15,65.96,694654
"2013-08-15",65.03,65.39,64.52,65,916667
"2013-08-22",65.62,66.79,65.51,66.75,632701
"2013-08-29",66.19,67.21,66.19,66.75,507221
"2013-09-05",67.19,67.99,67.19,67.34,706946
"2013-09-12",70.16,70.8,69.96,70.23,540558
"2013-09-19",71.4,72.13,71.37,71.83,391364
"2013-09-26",71.53,71.95,71.1,71.64,505288
"2013-10-03",71.31,71.48,70.71,70.85,855438
"2013-10-10",71.28,72.02,71.08,71.69,626911
