"","GE.Open","GE.High","GE.Low","GE.Close","GE.Volume"
"2011-09-15",15.9,16.1,15.84,16.08,67335512
"2011-09-22",14.96,15.22,14.82,15.04,113698390
"2011-09-29",15.82,15.95,15.5,15.86,60698965
"2011-10-06",15.27,15.54,14.96,15.53,64951115
"2011-10-13",16.23,16.31,16.02,16.22,46136083
"2011-10-20",16.57,16.8,16.33,16.63,55091334
"2011-10-27",16.96,17.5,16.81,17.22,110525900
"2011-11-03",16.52,16.69,16.36,16.67,54881753
"2011-11-10",16.08,16.19,15.97,16.06,59277683
"2011-11-17",15.98,16.05,15.5,15.64,67472809
"2011-12-01",15.89,16,15.73,15.91,58202724
"2011-12-08",16.58,16.65,16.25,16.31,79725093
"2011-12-15",16.82,16.87,16.59,16.79,61438304
"2011-12-22",17.7,18.14,17.65,18.05,95632535
"2011-12-29",17.81,18.12,17.79,18.07,43269658
"2012-01-05",18.46,18.6,18.29,18.55,45819130
"2012-01-12",18.96,19,18.76,18.93,38958098
"2012-01-19",19.03,19.19,18.93,19.15,53907545
"2012-01-26",19.26,19.27,18.98,19.07,42493452
"2012-02-02",18.85,18.93,18.7,18.75,37818773
"2012-02-09",19.31,19.35,19.11,19.13,44183420
"2012-02-16",18.86,19.03,18.8,19.01,40517282
"2012-02-23",19.07,19.37,19,19.31,45633119
"2012-03-01",19.15,19.19,19.03,19.12,37339079
"2012-03-08",18.98,19.09,18.92,19.03,35984877
"2012-03-15",19.87,20.2,19.86,20.16,76328140
"2012-03-22",19.95,19.96,19.69,19.85,50758849
"2012-03-29",19.82,19.97,19.71,19.95,40666279
"2012-04-05",19.61,19.71,19.46,19.49,39963753
"2012-04-12",19.01,19.32,18.96,19.3,28225802
"2012-04-19",19.17,19.25,18.97,19.14,52169001
"2012-04-26",19.43,19.71,19.4,19.62,34593929
"2012-05-03",19.8,19.8,19.57,19.61,24201229
"2012-05-10",19.12,19.23,19.01,19.09,35334510
"2012-05-17",18.95,19.13,18.87,18.88,52169485
"2012-05-24",19.15,19.39,19.02,19.25,41881328
"2012-05-31",19.01,19.22,18.87,19.09,49057830
"2012-06-07",19.09,19.2,18.9,19,139356677
"2012-06-14",19.36,19.77,19.24,19.72,62343806
"2012-06-21",19.99,20.07,19.46,19.53,60933560
"2012-06-28",19.92,20.2,19.87,20.2,56876039
"2012-07-05",20.34,20.48,20.29,20.33,29047342
"2012-07-12",19.5,19.64,19.36,19.44,50188178
"2012-07-19",19.94,19.94,19.64,19.8,41938905
"2012-07-26",20.2,20.7,20.16,20.56,57282256
"2012-08-02",20.52,20.7,20.2,20.52,44003967
"2012-08-09",20.94,21.12,20.94,21.06,31162111
"2012-08-16",20.87,21.14,20.82,21.05,33602888
"2012-08-23",20.74,20.79,20.63,20.64,36539037
"2012-08-30",20.72,20.78,20.62,20.64,21244008
"2012-09-06",20.87,21.32,20.85,21.31,53179314
"2012-09-13",21.77,22.24,21.75,22.02,111794220
"2012-09-20",22.19,22.47,22.12,22.43,43681368
"2012-09-27",22.24,22.86,22.13,22.73,67310402
"2012-10-04",22.95,23.05,22.77,22.95,40347444
"2012-10-11",22.59,22.71,22.48,22.51,24166913
"2012-10-18",22.81,23.08,22.8,22.81,43146844
"2012-10-25",21.5,21.57,21.03,21.26,45774003
"2012-11-01",21.03,21.39,21.02,21.34,46234753
"2012-11-08",21.16,21.19,20.88,20.89,40771487
"2012-11-15",19.9,20.23,19.9,20.06,51767716
"2012-11-29",21.24,21.36,20.95,21.13,27633308
"2012-12-06",21.2,21.39,21.08,21.37,32753387
"2012-12-13",21.74,21.92,21.55,21.62,33973877
"2012-12-20",20.91,21.24,20.87,21.05,50831439
"2012-12-27",20.8,20.87,20.42,20.69,38422484
"2013-01-03",21.48,21.49,21.05,21.1,48513419
"2013-01-10",21.04,21.23,20.96,21.17,33348152
"2013-01-17",21.22,21.54,21.12,21.3,63858300
"2013-01-24",21.96,22.19,21.95,22.05,46992128
"2013-01-31",22.21,22.4,22.18,22.28,34439693
"2013-02-07",22.5,22.51,22.27,22.48,38328930
"2013-02-14",23.25,23.49,23.11,23.41,54000329
"2013-02-21",23.18,23.35,23.12,23.26,47821500
"2013-02-28",23.37,23.46,23.2,23.22,39736064
"2013-03-07",23.7,23.83,23.67,23.68,22961667
"2013-03-14",23.55,23.76,23.51,23.69,34650796
"2013-03-21",23.42,23.6,23.29,23.29,38548336
"2013-03-28",23.14,23.2,22.99,23.12,31153440
"2013-04-04",23.01,23.13,22.96,23.08,30476337
"2013-04-11",23.55,23.72,23.43,23.59,27084431
"2013-04-18",22.76,22.84,22.57,22.67,41177812
"2013-04-25",22.21,22.23,21.91,21.95,41469691
"2013-05-02",22.25,22.32,22.15,22.32,27653766
"2013-05-09",22.99,23.1,22.69,22.78,29978312
"2013-05-16",23.1,23.35,23.1,23.27,33026928
"2013-05-23",23.52,23.75,23.45,23.66,44389216
"2013-05-30",23.58,23.76,23.5,23.6,29348751
"2013-06-06",23.25,23.39,23.1,23.38,42679453
"2013-06-13",23.45,23.78,23.34,23.68,34932623
"2013-06-20",23.63,23.69,23.2,23.25,62766258
"2013-06-27",23.41,23.48,23.26,23.32,30872357
"2013-07-11",23.91,23.96,23.63,23.94,32623806
"2013-07-18",23.6,23.94,23.56,23.63,41439097
"2013-07-25",24.61,24.69,24.52,24.69,29954529
"2013-08-01",24.6,24.87,24.52,24.62,31978086
"2013-08-08",24.47,24.54,24.22,24.33,22375365
"2013-08-15",23.97,24.26,23.92,24,39970664
"2013-08-22",23.66,23.8,23.61,23.78,31040443
"2013-08-29",23.16,23.3,23.1,23.11,22106308
"2013-09-05",23.34,23.35,23.09,23.16,30302361
"2013-09-12",24.16,24.2,23.77,23.85,30683803
"2013-09-19",24.8,24.88,24.4,24.46,49722443
"2013-09-26",24.3,24.51,23.96,24.25,34259500
"2013-10-03",24.22,24.25,23.84,24.1,37472161
"2013-10-10",23.9,24.25,23.82,24.25,38175465
"2013-10-17",24.38,24.68,24.23,24.68,45442418
"2013-10-24",25.84,26.02,25.67,25.94,34623986
"2013-10-31",26.35,26.44,26.12,26.14,42852523
"2013-11-07",26.94,27.19,26.6,26.6,59541615
"2013-11-14",27.15,27.2,26.86,26.99,32454643
"2013-11-21",27.02,27.02,26.76,26.91,30369466
"2013-12-05",26.63,26.64,26.34,26.45,28459432
"2013-12-12",26.5,26.7,26.48,26.54,30960207
"2013-12-19",27.18,27.4,26.82,27.32,50749383
"2013-12-26",27.68,27.96,27.6,27.83,24768806
"2014-01-02",27.86,27.94,27.41,27.5,41503781
"2014-01-09",27.33,27.36,26.93,27.22,31319824
"2014-01-16",27.22,27.27,27.08,27.2,32691427
"2014-01-23",25.98,25.98,25.53,25.82,58062966
"2014-01-30",25.5,25.59,25.33,25.5,30138917
"2014-02-06",24.8,25.1,24.62,24.95,44732148
"2014-02-13",25.23,25.44,25.11,25.44,32397948
"2014-02-20",25.31,25.32,25.02,25.12,32303682
"2014-02-27",25.21,25.56,25.15,25.5,22835227
"2014-03-06",26.06,26.28,26.02,26.22,34919127
"2014-03-13",26,26,25.2,25.34,37865067
"2014-03-20",25.37,25.37,25.12,25.27,35712324
"2014-03-27",25.58,25.85,25.51,25.81,29636377
"2014-04-03",26.15,26.26,26.05,26.23,22259442
"2014-04-10",26.09,26.11,25.57,25.58,36293724
"2014-04-17",26.47,26.76,26.45,26.56,69658555
"2014-04-24",26.44,26.64,26.23,26.46,25578133
"2014-05-01",26.73,26.83,26.64,26.77,25779732
"2014-05-08",26.48,26.6,26.3,26.44,20888629
"2014-05-15",26.72,26.8,26.32,26.6,33783058
"2014-05-22",26.42,26.57,26.31,26.51,15628725
"2014-05-29",26.69,26.74,26.55,26.74,15026430
"2014-06-05",26.54,26.78,26.45,26.77,25041424
"2014-06-12",27.1,27.16,26.89,26.96,25747546
"2014-06-19",26.66,26.98,26.66,26.93,31605232
"2014-06-26",26.46,26.46,26.2,26.29,23166624
"2014-07-03",26.81,26.89,26.78,26.86,20513861
"2014-07-10",26.13,26.29,26.1,26.2,33239944
"2014-07-17",26.92,26.98,26.6,26.61,37548895
"2014-07-24",25.95,26.08,25.9,25.94,22010781
