"","GGP.Open","GGP.High","GGP.Low","GGP.Close","GGP.Volume"
"2011-09-15",12.95,13.14,12.78,13.12,5361042
"2011-09-22",11.92,12.24,11.64,11.9,5318770
"2011-09-29",12.7,12.74,12.44,12.71,5191184
"2011-10-06",11.4,12.21,11.34,12.19,6707218
"2011-10-13",12.62,12.84,12.37,12.7,4837780
"2011-10-20",12.87,13.1,12.66,13.09,2440132
"2011-10-27",14.47,14.65,14.12,14.45,6489174
"2011-11-03",14.63,14.72,14.12,14.71,3557975
"2011-11-10",14.38,14.59,14.06,14.14,4211920
"2011-11-17",14.1,14.2,13.53,13.68,4855869
"2011-12-01",13.97,14.06,13.69,13.95,4560290
"2011-12-08",14.21,14.21,13.73,13.87,4798146
"2011-12-15",14.19,14.38,14.03,14.37,5697190
"2011-12-22",14.95,15.14,14.9,14.96,4357292
"2011-12-29",14.79,14.96,14.68,14.95,2576243
"2012-01-05",14.78,15.04,14.66,15,3191408
"2012-01-12",15.07,15.07,14.78,14.84,2910019
"2012-01-19",15.25,15.37,15.06,15.09,4325078
"2012-01-26",15.95,16,15.71,15.93,2977002
"2012-02-02",15.87,16.1,15.78,16.05,5029607
"2012-02-09",16.7,16.8,16.19,16.57,4602743
"2012-02-16",16.85,17.07,16.82,17.02,4460751
"2012-02-23",16.15,16.68,16.15,16.64,3732303
"2012-03-01",16.27,16.46,16.26,16.44,3313328
"2012-03-08",16.93,16.93,16.38,16.52,3749373
"2012-03-15",16.82,16.9,16.55,16.6,4681939
"2012-03-22",16.72,16.72,16.25,16.38,7975679
"2012-03-29",16.57,16.81,16.36,16.79,3158773
"2012-04-05",16.64,16.81,16.56,16.73,2292404
"2012-04-12",16.39,16.78,16.33,16.78,2044249
"2012-04-19",17.02,17.13,16.89,16.98,1747386
"2012-04-26",17.5,17.76,17.34,17.68,3570120
"2012-05-03",18.29,18.44,18.23,18.32,3061148
"2012-05-10",18.06,18.27,17.95,18.11,4935616
"2012-05-17",17.26,17.29,16.58,16.61,3551587
"2012-05-24",16.94,17.1,16.67,16.98,2382508
"2012-05-31",16.77,16.91,16.52,16.75,3656129
"2012-06-07",17.27,17.39,16.75,16.75,3851371
