"","GILD.Open","GILD.High","GILD.Low","GILD.Close","GILD.Volume"
"2014-09-15",101.9,102.1,99.33,100.99,18163898
"2014-09-22",106.01,107.57,104.62,105.47,12319361
"2014-09-29",107.59,108.68,106.45,107.51,8072107
"2014-10-06",107.22,107.45,104.82,105.13,11278334
"2014-10-13",104.49,104.57,101.36,101.44,14578948
"2014-10-20",101.15,103.59,100.82,102.21,11892203
"2014-10-27",110.77,112.99,108.87,112.59,11505452
"2014-11-03",112.31,112.8,108.81,109.98,15356666
"2014-11-10",109.07,109.37,106.66,107.02,21412922
"2014-11-17",101.1,102.16,100.3,100.44,17100909
"2014-11-24",101.11,102.3,99.44,100.6,17111125
"2014-12-01",100,101.99,99.77,100.55,14516135
"2014-12-08",105.05,107.58,104.92,105.56,13754240
"2014-12-15",105.24,105.94,102.37,103.16,16215178
"2014-12-22",96.73,98.07,92.45,92.9,72464172
"2014-12-29",96.07,97.42,95.4,97.3,20633973
"2015-01-05",95.24,98.73,93.18,96.78,27530431
"2015-01-12",102.84,103.34,100.76,101.21,12745984
"2015-01-26",104.87,107.77,104.87,107.11,10307537
"2015-02-02",106.1,107.19,104.43,106.19,13965576
"2015-02-09",97.01,98.67,96.63,96.9,12668518
"2015-02-23",102.96,104.99,102.95,104.51,8926892
"2015-03-02",104.3,104.3,102.8,103.83,7672808
"2015-03-09",101.54,101.98,100.19,101.37,9335877
"2015-03-16",100,101.6,99.77,101.3,10524243
"2015-03-23",99.78,101.19,99.25,100.26,17983654
"2015-03-30",101.12,101.66,99.57,100.69,9968236
"2015-04-06",97.92,98.74,97.19,97.79,9697287
"2015-04-13",102.01,103.82,102,102.28,10648428
"2015-04-20",102.28,102.28,100.41,100.66,8752017
"2015-04-27",104.18,104.53,102.01,102.94,10829233
"2015-05-04",105.65,107.5,105.22,105.66,13215612
"2015-05-11",104.19,105.36,104,104.73,9956111
"2015-05-18",109.59,111.33,109.36,111,13715956
"2015-06-01",113.17,114.76,112.65,114.08,11417627
"2015-06-08",113.96,114.77,113.53,113.7,10742939
"2015-06-15",116.72,118.39,116.4,118.16,9605804
"2015-06-22",120.77,121.87,120.56,121.49,8040659
"2015-06-29",117.88,119.14,115.3,115.46,12491082
"2015-07-06",114.46,116.44,114.12,115.66,13543318
"2015-07-13",115,115.11,114.31,114.55,9632774
"2015-07-20",118.8,118.95,117.84,118.2,7218657
"2015-07-27",112.63,112.88,108,110.54,14883609
"2015-08-03",118.5,120.17,118.18,119.6,11659988
"2015-08-10",115.73,117.12,115.51,116.58,7776169
"2015-08-17",115.08,116.89,115.01,116.42,7126704
"2015-08-24",97.31,106.67,86,100.66,25572790
"2015-08-31",107.42,108.33,104.63,105.07,11639464
"2015-09-14",109.47,109.63,108.4,109.35,7501418
"2015-09-21",109.12,109.37,104.59,105.74,15110744
"2015-09-28",99.06,99.26,94.57,94.8,23765776
"2015-10-05",99.99,101.3,97.66,99.26,14459264
"2015-10-12",101.08,101.22,99.38,99.51,8839087
"2015-10-19",102.64,103.84,101.84,103.61,7619252
"2015-10-26",108.65,110.36,107.44,108.63,10871897
"2015-11-02",108.76,109.95,108.32,109.6,8266497
"2015-11-09",108,108.53,107.08,108.11,8133246
"2015-11-16",102.9,104,101.64,103.81,7256943
"2015-11-23",106.7,107.65,105.93,106.36,5474570
"2015-11-30",108.21,108.31,105.69,105.96,9556017
"2015-12-07",104.11,104.15,102.25,102.91,5956098
"2015-12-14",99.97,100.93,98.66,100.49,10251316
"2015-12-21",102.21,103.26,101.63,102.63,8306474
"2015-12-28",103,103.31,101.5,101.68,5270907
"2016-01-04",99.77,100,97.01,98.01,14737167
"2016-01-11",97.22,97.22,94.29,96.5,12322488
"2016-01-25",91.53,93.54,90.43,90.61,10103621
"2016-02-01",82.32,84.52,82.28,84.05,17845071
"2016-02-08",84.19,86.65,83.86,85.26,18990026
"2016-02-22",88.35,89.5,88.05,89.1,9699840
"2016-02-29",87.87,89.14,87.25,87.25,12571556
"2016-03-07",87.11,90.04,86.88,89.65,13100610
"2016-03-14",90,91.21,89.34,90.46,10984129
"2016-03-21",90,93.01,90,92.67,9756436
"2016-03-28",92.07,94.31,91.94,92.46,9590369
"2016-04-04",94.35,95,93.75,94.24,8779152
"2016-04-11",96.41,97.05,95.74,95.83,8733374
"2016-04-18",98.17,99.73,98.11,99.2,8059457
"2016-04-25",101.84,102.38,101.5,102.29,8278253
"2016-05-02",88.7,89.45,86.75,89,13472066
"2016-05-09",84.99,86.46,84.7,85.67,8451565
"2016-05-16",82.7,83.83,82.5,83.61,6490416
"2016-05-23",83.02,84.03,82.25,83.33,7755440
"2016-06-06",86.17,87.87,86.1,87.6,8596714
"2016-06-13",84.03,84.81,83.9,83.98,8194059
"2016-06-20",83.26,84.12,82.9,82.99,6951779
"2016-06-27",79.9,80.47,77.92,78.25,11816137
"2016-07-11",86.56,87.23,86.09,86.25,7453859
"2016-07-18",86.94,87.34,86.47,86.93,6788252
"2016-07-25",86.57,88.85,86.28,88.55,15718506
"2016-08-01",79.81,81.21,79.51,80.46,14758005
"2016-08-08",80.46,80.79,79.01,79.74,9511596
"2016-08-15",79.88,80.09,79.43,79.65,7464775
"2016-08-22",80.89,81.53,80.6,80.92,7521994
"2016-08-29",79.65,79.7,77.63,78.17,15383507
"2016-09-12",77.69,79.03,77.69,78.85,8896126
