"","GLW.Open","GLW.High","GLW.Low","GLW.Close","GLW.Volume"
"2011-09-15",13.93,14,13.59,13.92,19816044
"2011-09-22",12.45,12.65,11.9,12.13,41446605
"2011-09-29",12.8,12.94,12.35,12.66,28082387
"2011-10-06",12.95,13.5,12.9,13.5,38889064
"2011-10-13",13.49,13.62,13.09,13.56,13803991
"2011-10-20",13.32,13.36,12.97,13.18,14547969
"2011-10-27",15.39,15.62,14.8,15.38,40057174
"2011-11-03",14.15,14.41,13.87,14.36,19821945
"2011-11-10",14.62,14.71,14.28,14.57,14699880
"2011-11-17",15.36,15.43,15,15.04,26871182
"2011-12-01",13.17,13.57,13.12,13.47,19023949
"2011-12-08",13.88,14.01,13.48,13.52,17869862
"2011-12-15",13.28,13.32,13.12,13.17,23851273
"2011-12-22",12.65,13.08,12.63,13.03,14782674
"2011-12-29",12.95,13.14,12.91,13.05,7691191
"2012-01-05",13.11,13.32,13.02,13.28,10257834
"2012-01-12",14.42,14.46,14.01,14.2,16017263
"2012-01-19",14.37,14.59,14.28,14.45,17408963
"2012-01-26",12.99,13.09,12.58,12.67,47483840
"2012-02-02",13.05,13.07,12.93,12.94,18139483
"2012-02-09",13.78,13.85,13.64,13.79,23434279
"2012-02-16",13.52,13.9,13.49,13.81,15171314
"2012-02-23",13.56,13.61,13.13,13.58,17964295
"2012-03-01",13.09,13.1,12.89,12.97,26124592
"2012-03-08",13.18,13.44,13.16,13.41,20645360
"2012-03-15",14.03,14.24,14,14.2,17549442
"2012-03-22",13.88,14,13.77,13.86,17229072
"2012-03-29",13.93,14.04,13.81,14.03,17686893
"2012-04-05",13.64,13.69,13.5,13.54,9830578
"2012-04-12",13.62,13.81,13.54,13.73,11232437
"2012-04-19",13.55,13.74,13.43,13.53,12751523
"2012-04-26",14.23,14.42,14.18,14.3,18044615
"2012-05-03",14.29,14.35,13.91,14,11698382
"2012-05-10",13.48,13.48,13.28,13.32,10992284
"2012-05-17",12.9,13,12.76,12.82,12478195
"2012-05-24",12.88,12.91,12.71,12.81,21761968
"2012-05-31",12.86,13.13,12.75,12.99,20607030
"2012-06-07",12.98,13.09,12.88,12.9,14198409
"2012-06-14",13.06,13.08,12.84,13.02,10410558
"2012-06-21",13.23,13.3,12.73,12.78,15772973
"2012-06-28",12.5,12.6,12.4,12.59,9367256
"2012-07-05",13.05,13.14,13,13,8227970
"2012-07-12",12.28,12.37,12.1,12.33,16681050
"2012-07-19",12.51,12.54,12.4,12.46,10233209
"2012-07-26",11.12,11.34,10.98,11.23,22643583
"2012-08-02",11.14,11.31,11.06,11.23,10391968
"2012-08-09",11.56,11.64,11.43,11.59,13746093
"2012-08-16",11.6,11.75,11.59,11.75,11858364
"2012-08-23",11.66,11.67,11.5,11.55,10385301
"2012-08-30",11.69,11.71,11.52,11.62,8658570
"2012-09-06",11.91,12.4,11.91,12.3,17893843
"2012-09-13",12.71,12.9,12.57,12.86,9882475
"2012-09-20",12.95,13.13,12.91,13.1,14683677
"2012-09-27",12.95,13.4,12.89,13.3,18517778
"2012-10-04",13.43,13.5,13.34,13.4,16050940
"2012-10-11",13.11,13.16,12.94,13.02,13726466
"2012-10-18",13.75,13.85,13.67,13.74,14220630
"2012-10-25",12.3,12.31,12.04,12.09,23049898
"2012-11-01",11.8,12.01,11.65,11.74,22120377
"2012-11-08",11.56,11.6,11.38,11.4,17099887
"2012-11-15",10.95,11.02,10.83,10.88,17846293
"2012-11-29",12.24,12.41,12.2,12.33,12865486
"2012-12-06",12.33,12.71,12.24,12.48,10529911
