"","GOOG.Open","GOOG.High","GOOG.Low","GOOG.Close","GOOG.Volume"
"2011-09-15",267.48,272.22,267.01,271.01,
"2011-09-22",262.86,264.12,256.74,260.07,
"2011-09-29",267.75,268.38,259.45,263.49,
"2011-10-06",253.5,257.36,251.05,257.1,
"2011-10-13",274.74,279.22,273.74,279.22,
"2011-10-20",290.66,294.15,289.47,291.54,
"2011-10-27",298.91,301.05,296.35,299.04,
"2011-11-03",293.21,298.45,291.57,298.45,
"2011-11-10",302.66,302.67,295.48,297.24,
"2011-11-17",304.72,305.84,298.09,300.13,
"2011-12-01",299.7,307.69,299.2,306.58,
"2011-12-08",310.21,313.41,307.34,307.72,
"2011-12-15",310.95,311.69,309.04,309.46,
"2011-12-22",313.66,315.55,313.19,314.54,
"2011-12-29",320.42,321.18,317.28,320.88,
"2012-01-05",330.73,331.65,327.79,329.18,
"2012-01-12",315.29,316.13,312.94,314.51,
"2012-01-19",320.17,320.17,315.41,319.47,
"2012-01-26",285.7,286.95,281.99,283.77,
"2012-02-02",292.14,292.91,290.75,292.26,
"2012-02-09",305.7,306.94,304.2,305.42,
"2012-02-16",301.11,304.1,298.57,302.96,
"2012-02-23",303.2,303.67,299.87,302.75,
"2012-03-01",310.82,312.54,308.77,310.89,
"2012-03-08",304.71,305.44,302.87,303.27,
"2012-03-15",307.99,311.44,307.11,310.25,
"2012-03-22",318.93,324.08,315.18,322.7,
"2012-03-29",326.39,327.97,321.83,323.88,
"2012-04-05",315.8,317.9,313.97,315.84,
"2012-04-12",320.85,326.24,319.81,325.18,
"2012-04-19",302.54,307.82,299.2,299.35,
"2012-04-26",305.15,308.69,304.55,307.43,
"2012-05-03",304.51,307.11,304.17,305.2,
"2012-05-10",306.17,307.79,304.81,306.52,
"2012-05-17",316.6,318.61,310.3,311.21,
"2012-05-24",304.28,305.65,299.14,301.53,
"2012-05-31",294.07,294.7,289.21,290.14,
"2012-06-07",293.51,293.65,288.34,288.83,
"2012-06-14",280.37,282.25,277.98,279.25,
"2012-06-21",289.63,289.63,281.58,282.32,
"2012-06-28",282.67,282.83,278.33,281.87,
"2012-07-05",294.09,299.73,293.98,297.66,
"2012-07-12",283.28,285.68,280.76,284.95,
"2012-07-19",292.78,298.94,292.71,296.23,
"2012-07-26",307.19,308.13,304.71,306.37,
"2012-08-02",312.44,318.7,311.39,314.06,
"2012-08-09",321.93,322.86,320.44,320.85,
"2012-08-16",333.42,336.98,333.21,336.1,
"2012-08-23",336.8,339.9,335.16,338.06,
"2012-08-30",341.78,343.35,339.75,340.5,
"2012-09-06",342.64,349.6,342.02,349.35,
"2012-09-13",346.2,354.15,344.92,352.67,
"2012-09-20",361.87,365.32,360.25,363.69,
"2012-09-27",379.6,381.04,375.45,377.87,
"2012-10-04",380.99,384.56,379.32,383.64,
"2012-10-11",376.07,378.87,374.77,375.36,
"2012-10-18",377.39,379.33,337.66,347.15,
"2012-10-25",339.66,340.66,336.42,338.54,
"2012-11-01",339.41,345.1,339.02,343.45,
"2012-11-08",334.76,335.41,325.29,325.82,
"2012-11-15",324.68,329.67,321.63,323.31,
"2012-11-29",343.55,346.6,340.66,345.6,
"2012-12-06",343.45,347.46,341.91,345.22,
"2012-12-13",357.6,357.88,349.42,351,
"2012-12-20",361.27,361.96,358.13,360.82,
"2012-12-27",353.22,354.07,348.96,352.79,
"2013-01-03",362.1,365.6,360,361.47,
"2013-01-10",371.04,372.13,366.38,370.37,
"2013-01-17",358.5,359.46,355.15,355.3,
"2013-01-24",370.25,378.04,369.88,376.54,
"2013-01-31",374.88,378.43,374.75,377.47,
"2013-02-07",384.47,389.02,382.37,386.59,
"2013-02-14",389.48,393.98,388.5,393.52,
"2013-02-21",398.6,402.32,395.21,397.37,
"2013-02-28",400.15,403.09,400.11,400.2,
"2013-03-07",416.61,417.89,414.38,415.88,
"2013-03-14",413.08,413.08,408.29,410.36,
"2013-03-21",405.24,408.05,404.52,405.22,
"2013-03-28",401.59,402.28,396.25,396.7,
"2013-04-04",401.72,402.47,395.25,397.14,
"2013-04-11",396.04,396.15,391.64,394.8,
"2013-04-18",392.28,392.51,380.25,382.57,
"2013-04-25",407.72,407.83,403.41,404.15,
"2013-05-02",409.64,416.86,409.12,414.39,
"2013-05-09",434.98,439.39,433.68,435.3,
"2013-05-16",459.04,459.53,450.55,451.48,
"2013-05-23",438.06,444.54,436.56,440.95,
"2013-05-30",434.53,439.01,432.77,434.94,
"2013-06-06",431.72,432.73,423.19,431.89,
"2013-06-13",434.06,439.39,432.32,438.06,
"2013-06-20",446.55,450.05,441.21,441.93,
"2013-06-27",438.96,441.9,437.89,438.1,
"2013-07-11",456.04,459.94,453.81,459.66,
"2013-07-18",459.04,459.54,451.14,454.88,
"2013-07-25",446.49,447.98,442.6,443.41,
"2013-08-01",447.05,451.82,447.05,451.66,
"2013-08-08",447.3,447.47,442.2,445.88,
"2013-08-15",431.79,432.03,428.57,429.4,
"2013-08-22",435.91,436.94,434.69,436.42,
"2013-08-29",424.11,429.76,423.87,427.29,
"2013-09-05",436.31,439.5,435.37,439.34,
"2013-09-12",448.25,448.5,444.56,446.08,
"2013-09-19",452.54,452.54,447.25,448.75,
"2013-09-26",438.71,440.93,437.06,438.65,
"2013-10-03",443.56,446.6,435.61,437.61,
"2013-10-10",431.49,433.98,429.67,433.69,
"2013-10-17",446.05,448,442.42,443.95,
"2013-10-24",515.42,519.76,511.89,512.26,
"2013-10-31",513.95,520.24,511.47,514.77,
"2013-11-07",510.79,511.45,503.32,503.47,
"2013-11-14",516.44,519.36,514.66,517.1,
"2013-11-21",512.99,518.64,512.49,516.52,
"2013-12-05",528.07,529.3,525.02,528.14,
"2013-12-12",539.25,540.93,533.97,534.45,
"2013-12-19",540.18,545.45,539,542.57,
"2013-12-26",556.45,558.94,553.79,558.17,
"2014-01-02",557.17,558.32,553.58,556,
"2014-01-09",571.15,571.54,562.22,564.55,
"2014-01-16",573.98,578.39,573.43,577.53,
"2014-01-23",579.42,580.66,576.61,579.47,
"2014-01-30",571.93,575.67,563.06,567.13,
"2014-02-06",574.99,579.5,573.2,579.4,
"2014-02-13",589.78,599.35,589.24,599.35,
"2014-02-20",600.97,602.84,599.51,601.45,
"2014-02-27",608.59,611.5,607.9,609,
"2014-03-06",610.53,612.46,608.69,609.2,
"2014-03-13",603.37,604.64,591.79,593.94,
"2014-03-20",599.38,604.2,597.08,597.98,
"2014-03-27",564.86,565.4,550.5,556.58,3826676
"2014-04-03",569.85,587.28,564.13,569.74,5087530
"2014-04-10",565,565,539.9,540.95,4027743
"2014-04-17",548.81,549.5,531.15,536.1,6795393
"2014-04-24",530.07,531.65,522.12,525.16,1881965
"2014-05-01",527.11,532.93,523.88,531.35,1900432
"2014-05-08",508.46,517.23,506.45,511,2016131
"2014-05-15",525.7,525.87,517.42,519.98,1703758
"2014-05-22",541.13,547.6,540.78,545.06,1611837
"2014-05-29",563.35,564,558.71,560.08,1350657
"2014-06-05",546.4,554.95,544.45,553.9,1684886
"2014-06-12",557.3,557.99,548.46,551.35,1457104
"2014-06-19",554.24,555,548.51,554.9,2451341
"2014-06-26",581,582.45,571.85,576,1737210
"2014-07-03",583.35,585.01,580.92,584.73,712210
"2014-07-10",565.91,576.59,565.01,571.1,1353317
"2014-07-17",579.53,580.99,568.61,573.73,3015475
"2014-07-24",596.45,599.5,591.77,593.35,1033341
"2014-07-31",580.6,583.65,570,571.6,2099516
"2014-08-07",568,569.89,561.1,563.36,1108900
"2014-08-14",576.18,577.9,570.88,574.65,982926
"2014-08-21",583.82,584.5,581.14,583.37,912854
"2014-08-28",569.56,573.25,567.1,569.2,1295963
"2014-09-04",580,586,579.22,581.98,1459956
"2014-09-11",580.36,581.81,576.26,581.35,1217721
"2014-09-18",587,589.54,585,589.27,1442012
"2014-09-25",587.55,587.98,574.18,575.06,1925350
"2014-10-02",567.31,571.91,563.32,570.08,1175307
"2014-10-09",571.18,571.49,559.06,560.88,2519693
"2014-10-16",519,529.43,515,524.51,3698423
"2014-10-23",539.32,547.22,535.85,543.98,2345296
"2014-10-30",548.95,552.8,543.51,550.31,1451667
"2014-11-06",545.5,546.88,540.97,542.04,1329604
"2014-11-13",549.8,549.8,543.48,545.38,1335719
"2014-11-20",531.25,535.11,531.08,534.83,1559131
"2014-12-04",531.16,537.34,528.59,537.31,1392208
"2014-12-11",527.8,533.92,527.1,528.34,1610964
"2014-12-18",512.95,513.87,504.7,511.1,2918730
"2015-01-08",497.99,503.48,491,502.68,3344395
"2015-01-15",505.57,505.68,497.76,501.79,2711355
"2015-01-22",521.48,536.33,519.7,534.39,2669558
"2015-01-29",511,511.09,501.2,510.66,4174924
"2015-02-05",523.79,528.5,522.09,527.58,1844687
"2015-02-12",537.25,544.82,534.67,542.93,1615824
"2015-02-19",538.04,543.11,538.01,542.87,987478
"2015-02-26",543.21,556.14,541.5,555.48,2305219
"2015-03-05",575.02,577.91,573.41,575.33,1385818
"2015-03-12",553.51,556.37,550.46,555.51,1385772
"2015-03-19",559.39,560.8,556.14,557.99,1194049
"2015-03-26",557.59,558.9,550.65,555.17,1568331
"2015-04-02",540.85,540.85,533.85,535.53,1711737
"2015-04-09",541.03,541.95,535.49,540.78,1553586
"2015-04-16",529.9,535.59,529.61,533.8,1296304
"2015-04-23",541,550.96,540.23,547,4173376
"2015-04-30",547.87,548.59,535.05,537.34,2082214
"2015-05-07",523.99,533.46,521.75,530.7,1546278
"2015-05-14",533.77,539,532.41,538.4,1403935
