"","GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume"
"2011-09-15",268.02,272.76,267.55,271.55,2961967
"2011-09-22",263.39,264.65,257.26,260.59,4400586
"2011-09-29",268.29,268.92,259.96,264.01,2907381
"2011-10-06",254,257.87,251.55,257.61,3424623
"2011-10-13",275.29,279.78,274.28,279.77,5687512
"2011-10-20",291.24,294.74,290.04,292.13,3379069
"2011-10-27",299.51,301.65,296.95,299.63,3780722
"2011-11-03",293.79,299.05,292.15,299.05,2669745
"2011-11-10",303.27,303.28,296.08,297.84,2868599
"2011-11-17",305.33,306.45,298.69,300.74,3493472
"2011-12-01",300.3,308.31,299.8,307.19,3621293
"2011-12-08",310.83,314.04,307.96,308.33,2414400
"2011-12-15",311.57,312.31,309.65,310.08,2409785
"2011-12-22",314.29,316.18,313.82,315.16,1824156
"2011-12-29",321.07,321.82,317.92,321.52,1575595
"2012-01-05",331.4,332.32,328.44,329.83,3283277
"2012-01-12",315.93,316.76,313.56,315.13,1875854
"2012-01-19",320.82,320.82,316.05,320.1,6305274
"2012-01-26",286.28,287.53,282.56,284.33,3228004
"2012-02-02",292.73,293.5,291.33,292.85,2414672
"2012-02-09",306.32,307.56,304.8,306.04,2265433
"2012-02-16",301.71,304.71,299.16,303.56,2530861
"2012-02-23",303.8,304.27,300.48,303.36,2055030
"2012-03-01",311.44,313.16,309.38,311.51,2238010
"2012-03-08",305.33,306.06,303.48,303.87,1345428
"2012-03-15",308.61,312.06,307.72,310.88,2435340
"2012-03-22",319.57,324.72,315.82,323.35,2410320
"2012-03-29",327.05,328.62,322.47,324.53,1924315
"2012-04-05",316.44,318.53,314.6,316.48,2319712
"2012-04-12",321.5,326.9,320.45,325.83,5756582
"2012-04-19",303.15,308.44,299.8,299.95,3295787
"2012-04-26",305.76,309.31,305.15,308.04,2093733
"2012-05-03",305.11,307.72,304.78,305.82,1868187
"2012-05-10",306.79,308.4,305.42,307.14,1535877
"2012-05-17",317.23,319.24,310.93,311.84,3354518
"2012-05-24",304.88,306.27,299.73,302.13,1892185
"2012-05-31",294.65,295.29,289.79,290.72,2969455
"2012-06-07",294.09,294.24,288.91,289.4,1759532
"2012-06-14",280.93,282.82,278.54,279.8,2345107
"2012-06-21",290.21,290.21,282.15,282.89,2011322
"2012-06-28",283.23,283.4,278.88,282.44,1922064
"2012-07-05",294.67,300.33,294.56,298.26,2345901
"2012-07-12",283.84,286.25,281.33,285.53,2310094
"2012-07-19",293.36,299.54,293.29,296.83,4674637
"2012-07-26",307.81,308.74,305.32,306.99,1687485
"2012-08-02",313.07,319.33,312.02,314.69,1977690
"2012-08-09",322.58,323.51,321.08,321.5,1070288
"2012-08-16",334.09,337.66,333.87,336.77,1717691
"2012-08-23",337.47,340.58,335.84,338.74,1784453
"2012-08-30",342.46,344.04,340.43,341.18,1627704
"2012-09-06",343.32,350.29,342.71,350.05,3044450
"2012-09-13",346.89,354.85,345.62,353.37,2659302
"2012-09-20",362.6,366.06,360.97,364.42,2907854
"2012-09-27",380.35,381.8,376.2,378.63,3932272
"2012-10-04",381.76,385.33,380.08,384.41,2454496
"2012-10-11",376.83,379.63,375.52,376.12,2383987
"2012-10-18",378.15,380.09,338.34,347.85,12442346
"2012-10-25",340.34,341.34,337.09,339.22,2403696
"2012-11-01",340.09,345.8,339.7,344.14,2050471
"2012-11-08",335.44,336.08,325.94,326.47,2598676
"2012-11-15",325.32,330.33,322.27,323.95,1848939
"2012-11-29",344.23,347.3,341.34,346.29,2780544
"2012-12-06",344.14,348.15,342.6,345.91,1462216
"2012-12-13",358.32,358.6,350.12,351.7,3446306
"2012-12-20",361.99,362.69,358.84,361.54,1657153
"2012-12-27",353.92,354.77,349.65,353.5,1647392
"2013-01-03",362.83,366.33,360.72,362.2,2318140
"2013-01-10",371.79,372.87,367.12,371.11,1835780
"2013-01-17",359.21,360.18,355.87,356.02,2212357
"2013-01-24",370.99,378.79,370.62,377.29,3383596
"2013-01-31",375.63,379.19,375.5,378.22,1634556
"2013-02-07",385.23,389.79,383.13,387.36,2840506
"2013-02-14",390.25,394.76,389.27,394.3,1735219
"2013-02-21",399.4,403.13,396.01,398.16,3511036
"2013-02-28",400.95,403.9,400.92,401,2265874
"2013-03-07",417.45,418.73,415.2,416.71,2054238
"2013-03-14",413.91,413.91,409.1,411.18,1651111
"2013-03-21",406.05,408.87,405.33,406.04,1477590
"2013-03-28",402.4,403.09,397.05,397.49,2287712
"2013-04-04",402.53,403.28,396.05,397.93,2448102
"2013-04-11",396.84,396.95,392.42,395.59,2028766
"2013-04-18",393.07,393.29,381.01,383.34,3328777
"2013-04-25",408.53,408.64,404.22,404.95,1992301
"2013-05-02",410.46,417.69,409.93,415.22,2018546
"2013-05-09",435.86,440.27,434.55,436.18,2200758
"2013-05-16",459.96,460.45,451.46,452.39,3211738
"2013-05-23",438.94,445.42,437.44,441.84,2279347
"2013-05-30",435.39,439.89,433.64,435.82,2120987
"2013-06-06",432.58,433.6,424.03,432.75,2579605
"2013-06-13",434.92,440.27,433.18,438.94,2071259
"2013-06-20",447.44,450.95,442.1,442.81,3377578
"2013-06-27",439.84,442.79,438.76,438.97,1926554
"2013-07-11",456.96,460.87,454.71,460.58,2587845
"2013-07-18",459.95,460.46,452.05,455.8,3634430
"2013-07-25",447.38,448.87,443.48,444.29,3005227
"2013-08-01",447.95,452.73,447.95,452.56,2138314
"2013-08-08",448.19,448.37,443.09,446.78,1488045
"2013-08-15",432.65,432.89,429.43,430.26,1870812
"2013-08-22",436.79,437.81,435.56,437.29,870491
"2013-08-29",424.96,430.62,424.72,428.14,1478494
"2013-09-05",437.19,440.38,436.24,440.22,1292601
"2013-09-12",449.15,449.4,445.45,446.98,1095465
"2013-09-19",453.45,453.45,448.15,449.64,1598201
"2013-09-26",439.59,441.82,437.94,439.52,1260307
"2013-10-03",444.44,447.5,436.49,438.48,2119212
"2013-10-10",432.35,434.85,430.54,434.55,2258931
"2013-10-17",446.94,448.9,443.31,444.84,4256622
"2013-10-24",516.45,520.81,512.91,513.29,2093154
"2013-10-31",514.98,521.28,512.5,515.81,1640035
"2013-11-07",511.82,512.48,504.32,504.48,1680071
"2013-11-14",517.48,520.39,515.69,518.13,1168469
"2013-11-21",514.01,519.67,513.51,517.55,1092497
"2013-12-05",529.13,530.36,526.07,529.2,1134919
"2013-12-12",540.32,542.01,535.03,535.51,1596498
"2013-12-19",541.27,546.54,540.08,543.65,1666006
"2013-12-26",557.56,560.06,554.9,559.29,1338507
"2014-01-02",558.29,559.43,554.68,557.12,1822719
"2014-01-09",572.29,572.68,563.34,565.69,2085565
"2014-01-16",575.12,579.54,574.57,578.69,1685699
