"","GPC.Open","GPC.High","GPC.Low","GPC.Close","GPC.Volume"
"2011-09-15",53.77,54.49,53.11,54.39,1496457
"2011-09-22",48.85,49.53,48.18,48.7,2070918
"2011-09-29",52.05,52.76,51.52,52.39,1518166
"2011-10-06",51.36,52.51,50.8,52.49,1064635
"2011-10-13",54.34,54.79,53.71,54.36,784822
"2011-10-20",55.78,56.24,55.04,55.63,1854599
"2011-10-27",58.97,59.4,58.5,59.36,1300601
"2011-11-03",57.92,59,57.51,58.91,926973
"2011-11-10",57.57,58.18,57.39,57.85,838242
"2011-11-17",57.68,57.86,56.62,57.07,582673
"2011-12-01",58.16,59.64,58.06,59.05,1122352
"2011-12-08",59.04,59.48,58.07,58.25,990388
"2011-12-15",57.58,57.87,57.27,57.56,677394
"2011-12-22",60,60.59,59.69,60.5,804381
"2011-12-29",61.65,62.04,61.45,61.96,570173
"2012-01-05",61.16,62.16,61.02,62,1170107
"2012-01-12",62.86,63.03,62.16,62.95,591904
"2012-01-19",64.16,65.38,64.14,64.88,1122042
"2012-01-26",64.7,65.02,64.22,64.66,477867
"2012-02-02",64.29,64.79,63.82,64,677288
"2012-02-09",64.62,64.81,64.12,64.69,420149
"2012-02-16",64.09,65.61,63.83,65.59,937122
"2012-02-23",62.74,62.9,61.67,62.27,1531823
"2012-03-01",62.66,63.18,62.54,62.97,987882
"2012-03-08",62.51,63.08,62.46,62.96,894258
"2012-03-15",63.75,63.86,63.06,63.46,776595
"2012-03-22",62.51,62.59,61.8,62.05,687307
"2012-03-29",62.62,62.79,61.84,62.49,821228
"2012-04-05",62.65,63.39,62.5,63.36,738365
"2012-04-12",61.94,63.03,61.85,62.98,901244
"2012-04-19",65.12,65.6,62.89,63.45,2434937
"2012-04-26",63.84,64.67,63.65,64.62,775838
"2012-05-03",66.17,66.5,65.63,65.76,414009
"2012-05-10",65.13,65.41,64.5,64.68,466055
"2012-05-17",63.55,63.55,60.81,60.81,1838771
"2012-05-24",62.5,62.59,61.33,61.96,1142138
"2012-05-31",62.66,63.26,62.28,63,1030316
"2012-06-07",61.33,61.73,60.73,60.75,1336390
"2012-06-14",61.01,61.52,60.51,60.78,847503
"2012-06-21",62.63,62.7,60.94,61.01,713569
"2012-06-28",58.14,59.71,57.33,59.65,1424950
"2012-07-05",60.5,61.63,60.14,61.49,881078
"2012-07-12",59.07,60.31,58.79,59.56,1550457
"2012-07-19",62.77,65.16,60.81,64.37,2834382
"2012-07-26",63.79,63.88,62.82,63.58,611127
"2012-08-02",62.86,63.38,62.6,63.32,452745
"2012-08-09",64.48,64.73,63.77,64.24,407046
