"","GPN.Open","GPN.High","GPN.Low","GPN.Close","GPN.Volume"
"2011-09-15",22.02,22.16,21.77,22.07,1675198
"2011-09-22",20.5,20.56,19.79,19.98,2529742
"2011-09-29",20.44,20.5,19.82,20.22,1296926
"2011-10-06",20.51,21.04,20.46,21.04,2227490
"2011-10-13",21.94,22.22,21.82,22.05,1543524
"2011-10-20",21.48,21.91,21.41,21.86,1940690
"2011-10-27",22.82,23.85,22.46,23.49,3545490
"2011-11-03",23.44,23.59,22.81,23.56,2057732
"2011-11-10",23.1,23.12,22.5,22.62,1394560
"2011-11-17",22.26,22.47,21.95,22.06,1089432
"2011-12-01",22.01,22.34,21.9,22.11,1137150
"2011-12-08",22.24,22.41,22.04,22.07,1381268
"2011-12-15",22.16,22.28,21.84,22,1203694
"2011-12-22",23.26,23.38,23.05,23.22,562674
"2011-12-29",23.61,23.8,23.46,23.76,1183766
"2012-01-05",24.02,24.12,23.79,24,1574700
"2012-01-12",24.31,24.44,23.93,24.02,1681492
"2012-01-19",24.5,24.58,24.26,24.32,1923780
"2012-01-26",24.92,25.3,24.81,25.04,1783164
"2012-02-02",25.24,25.35,25.1,25.17,2008030
"2012-02-09",25.84,26,25.68,25.96,1341568
"2012-02-16",25.94,26.14,25.79,26.05,744856
"2012-02-23",25.84,26,25.66,25.96,608150
"2012-03-01",25.82,26.12,25.78,26.05,564324
"2012-03-08",25.62,25.96,25.54,25.7,804488
"2012-03-15",26.14,26.52,26.14,26.44,655892
"2012-03-22",26.02,26.37,25.85,26.26,749962
"2012-03-29",26.15,26.25,26.02,26.12,896400
"2012-04-05",23.02,23.1,22.52,22.83,2185344
"2012-04-12",22.3,22.75,22.24,22.72,1924456
"2012-04-19",22.48,22.68,22.39,22.6,2780598
"2012-04-26",22.72,23.42,22.7,23.28,2693890
"2012-05-03",23.2,23.24,22.48,22.62,1756848
"2012-05-10",21.96,22.01,21.64,21.68,1590636
"2012-05-17",21.26,21.28,20.77,20.8,1802788
"2012-05-24",21.26,21.3,21,21.05,1211064
"2012-05-31",21.28,21.38,21,21.24,1176696
"2012-06-07",21.33,21.44,21.1,21.12,978912
"2012-06-14",20.26,20.48,20.14,20.3,1224228
"2012-06-21",21.18,21.18,20.29,20.37,2177066
"2012-06-28",20.63,20.93,20.58,20.93,1220562
"2012-07-05",21.75,22.1,21.66,22.04,1338180
"2012-07-12",21.49,21.78,21.2,21.72,3379580
"2012-07-19",22.34,22.55,22.24,22.28,2574160
"2012-07-26",21.66,21.85,21.26,21.26,2305224
"2012-08-02",20.92,21.25,20.82,21.01,1143074
"2012-08-09",21.56,21.74,21.26,21.33,739440
"2012-08-16",20.68,20.94,20.63,20.78,2844196
"2012-08-23",20.02,20.16,19.98,20.11,1815084
"2012-08-30",20.64,20.78,20.52,20.66,1141202
"2012-09-06",21,21.25,21,21.04,1370604
"2012-09-13",21.3,21.63,21.3,21.51,1247626
"2012-09-20",21.82,22,21.66,21.8,1176974
"2012-09-27",21.68,21.91,21.54,21.9,1294452
"2012-10-04",21.54,22.01,21.46,21.94,3545116
"2012-10-11",21.5,21.56,21.34,21.5,1942968
"2012-10-18",21.88,21.98,21.72,21.78,874356
"2012-10-25",21.5,21.57,21.38,21.46,1441382
"2012-11-01",21.42,22.1,21.02,21.95,2561776
"2012-11-08",21.06,21.14,20.75,20.75,1397852
"2012-11-15",20.68,20.8,20.56,20.71,910642
"2012-11-29",21.93,22.02,21.82,21.93,683310
"2012-12-06",22.18,22.3,21.92,22.22,796922
"2012-12-13",22.5,22.65,22.26,22.36,519858
"2012-12-20",22.72,22.85,22.58,22.84,915228
"2012-12-27",22.25,22.47,22.14,22.41,668058
"2013-01-03",23.01,23.36,22.96,23.18,1754532
"2013-01-10",24.58,24.58,24.3,24.55,2057808
"2013-01-17",25.05,25.36,24.79,24.82,2806690
