"","GRMN.Open","GRMN.High","GRMN.Low","GRMN.Close","GRMN.Volume"
"2011-09-15",33.62,33.79,33.19,33.64,603738
"2011-09-22",32.03,32.22,30.87,31.28,1529685
"2011-09-29",31.96,32.13,31.05,31.83,891434
"2011-10-06",32.74,32.74,31.97,32.46,965062
"2011-10-13",33.47,33.75,33.34,33.68,1129860
"2011-10-20",34.65,34.66,34.12,34.42,647718
"2011-10-27",35.16,35.7,34.71,34.8,1663316
"2011-11-03",35.89,36.1,35.4,35.88,983016
"2011-11-10",35.54,35.57,34.83,34.97,1007591
"2011-11-17",35.42,35.45,34.75,35.2,777377
"2011-12-01",36.39,36.8,36.39,36.56,529900
"2011-12-08",36.8,37.55,36.56,37.25,958644
"2011-12-15",37.56,37.66,36.78,37.34,1584527
"2011-12-22",39.66,40.18,39.3,39.45,1665747
"2011-12-29",39.73,40.58,39.59,40.39,989512
"2012-01-05",39.36,39.66,39.09,39.64,973989
"2012-01-12",41.07,41.21,40.54,40.8,667864
"2012-01-19",41.71,42.34,41.56,42.22,1271311
"2012-01-26",41.76,41.92,41.3,41.73,593689
"2012-02-02",42.63,43.53,42.38,43.53,1474517
"2012-02-09",43.3,43.58,43.25,43.48,469028
"2012-02-16",44.04,44.5,44,44.18,873748
"2012-02-23",48.86,49.31,48.15,48.29,2077656
"2012-03-01",47.39,48.25,46.87,47.15,884409
"2012-03-08",47.24,47.77,46.92,47.43,906853
"2012-03-15",47.8,47.8,46.77,47.11,1159347
"2012-03-22",47.04,47.55,46.82,47.53,509727
"2012-03-29",47.18,47.88,46.9,47.34,828654
"2012-04-05",46.4,46.79,46.17,46.22,482046
"2012-04-12",44.81,45.48,44.68,45.3,481649
"2012-04-19",45.04,45.35,44.55,44.81,417780
"2012-04-26",45.44,47.36,45.44,47.28,1168449
"2012-05-03",49.19,49.23,47.89,48.13,574851
"2012-05-10",45.64,45.8,45.23,45.39,475736
"2012-05-17",44.68,44.96,43.67,43.68,865696
"2012-05-24",43.9,44.12,43.55,43.72,732925
"2012-05-31",43.24,43.42,42.7,42.96,700417
"2012-06-07",42.41,42.48,41.07,41.07,1374536
"2012-06-14",38.36,38.51,37.34,37.45,1879323
"2012-06-21",38.33,38.35,37.36,37.4,1015597
"2012-06-28",36.92,37.19,36.28,36.76,1096801
"2012-07-05",38.54,38.65,37.84,37.92,1086083
"2012-07-12",36.36,36.36,35.55,36.06,1285802
"2012-07-19",37.45,37.65,37.19,37.28,586606
"2012-07-26",37.84,38.2,37.24,37.37,912977
"2012-08-02",39.94,40.42,39.64,40.35,1604679
"2012-08-09",40.92,41.47,40.71,41.44,978523
"2012-08-16",41.14,41.39,40.95,41.15,594236
"2012-08-23",41.62,41.68,40.63,40.72,1026896
"2012-08-30",40.26,40.55,39.68,39.97,539665
"2012-09-06",40.35,40.8,40.07,40.74,995402
"2012-09-13",40.37,41.88,40.28,41.42,1299000
"2012-09-20",41.89,42.12,41.6,41.81,910603
"2012-09-27",41.27,42.11,40.97,41.99,756474
"2012-10-04",41.64,42.68,41.59,42.57,943996
"2012-10-11",40.5,40.77,40.28,40.44,401130
"2012-10-18",39.51,39.8,38.95,39.75,1215903
"2012-10-25",39.51,40.02,39.1,39.26,376760
"2012-11-01",38.1,38.5,37.88,38.1,1343395
"2012-11-08",37.19,37.2,36.4,36.41,795339
"2012-11-15",36.06,37.17,36.04,37.15,1686383
"2012-11-29",38.87,39.13,38.6,38.78,500985
"2012-12-06",41.65,42.19,41.3,41.99,3700726
"2012-12-13",41.01,41.68,40.64,41.16,1506246
"2012-12-20",41.99,42.1,41.32,41.43,799592
"2012-12-27",40.68,42.7,40.1,41.32,1215219
"2013-01-03",42,42.59,41.75,42.09,697445
"2013-01-10",39.5,39.98,38.78,39.39,2979342
"2013-01-17",40.07,40.19,39.44,39.61,1181298
"2013-01-24",38.79,39.02,38.35,38.59,1241440
"2013-01-31",38.15,38.49,37.6,37.89,1500695
"2013-02-07",37.79,38.28,37.68,38.16,1216017
"2013-02-14",38.48,39,38.2,38.97,1214935
"2013-02-21",35.4,35.4,34.57,35.02,1899981
"2013-02-28",34.5,34.65,34.15,34.36,866584
"2013-03-07",35.29,35.49,34.97,35.02,868364
"2013-03-14",34.74,34.99,34.65,34.9,976304
"2013-03-21",33.44,33.48,33,33.15,1040684
"2013-03-28",32.98,33.23,32.8,33.05,1509192
"2013-04-04",33.43,33.53,33.07,33.43,1025848
"2013-04-11",34.46,34.55,34.15,34.46,696157
"2013-04-18",33.34,33.78,33.07,33.4,1006674
"2013-04-25",34.45,36,34.36,35.31,1406809
"2013-05-02",33.76,34.77,33.76,34.51,1225317
"2013-05-09",35.75,35.99,35.23,35.33,1102270
"2013-05-16",35.63,36.59,35.63,36.39,1388148
"2013-05-23",35.49,35.54,35.2,35.35,1073277
"2013-05-30",35.15,35.89,35.13,35.62,868517
"2013-06-06",34.07,34.33,33.8,34.33,756015
"2013-06-13",33.97,34.71,33.91,34.61,1160563
"2013-06-20",34.57,35.14,34.11,34.24,1117136
"2013-06-27",35.7,36.26,35.7,36.21,790206
"2013-07-11",36.17,36.76,36,36.06,1661496
"2013-07-18",36.57,36.84,36.41,36.52,552290
"2013-07-25",36.77,37.37,36.74,37.21,961924
"2013-08-01",40.12,40.25,39.55,39.94,1478757
"2013-08-08",39.36,39.42,38.97,39.01,494596
"2013-08-15",38.56,38.58,38.12,38.28,757961
"2013-08-22",40.41,40.84,40.41,40.64,1240052
"2013-08-29",39.48,42.41,39.42,41.23,3937669
"2013-09-05",42.27,42.6,42,42.19,1395337
"2013-09-12",42.82,42.82,42.11,42.4,1347915
"2013-09-19",44.73,45.22,44.45,44.98,1584274
"2013-09-26",45.29,45.61,44.7,45.42,1404453
"2013-10-03",47.2,47.27,46.22,47.06,2166974
"2013-10-10",46.46,47.98,46.4,47.56,1442458
"2013-10-17",48.49,48.9,48.29,48.54,882797
"2013-10-24",48.77,49.1,48.65,48.83,511058
"2013-10-31",47.87,47.87,45.84,46.75,2687128
"2013-11-07",47.47,47.77,46.2,46.35,1298360
"2013-11-14",46,46.47,45.85,46.33,1877919
"2013-11-21",48.08,48.34,47.87,48.16,746785
"2013-12-05",47.08,47.98,47.08,47.88,761983
"2013-12-12",47.74,47.95,47.06,47.12,1539785
"2013-12-19",45.5,45.86,45.34,45.7,1066416
"2013-12-26",46.25,46.53,45.99,46.1,508713
"2014-01-02",45.75,45.84,44.56,44.95,1830255
"2014-01-09",45.65,45.74,44.42,44.87,1079898
"2014-01-16",47,47.22,46.8,46.95,617525
"2014-01-23",46.25,46.67,45.87,46.2,804119
"2014-01-30",45.12,46.04,44.84,45.8,701805
"2014-02-06",44.15,45.5,44.15,45.13,802075
"2014-02-13",45.8,46.92,45.8,46.26,1274660
"2014-02-20",50.99,51.96,50.28,51.56,2861190
"2014-02-27",51.97,53.89,51.85,53.55,2885450
"2014-03-06",54.56,54.7,53.78,53.93,862686
"2014-03-13",53.73,53.86,52.09,52.49,974777
"2014-03-20",54.15,54.83,53.76,54.64,917424
"2014-03-27",55.41,58.21,55.28,56.02,2940399
"2014-04-03",56.89,57.54,56.42,57.35,1915352
"2014-04-10",57.01,57.18,55.22,55.23,1264446
"2014-04-17",55.75,56.47,55.54,56.17,1031409
"2014-04-24",56.19,56.32,55.44,55.49,782472
"2014-05-01",57.07,57.42,56.38,56.82,1407701
"2014-05-08",56.43,56.8,55.63,55.88,1871262
"2014-05-15",55.89,56,54.79,55.01,1461619
"2014-05-22",55.36,56,55.24,55.83,1073409
"2014-05-29",58.47,58.93,58.19,58.84,1130924
"2014-06-05",58.32,58.97,58.06,58.87,568128
"2014-06-12",60.58,60.82,59.94,60.1,730169
"2014-06-19",61.26,61.3,60.17,61.12,1180465
"2014-06-26",60.03,60.19,59.16,59.23,1034518
"2014-07-03",61.15,62.05,60.89,61.69,847626
"2014-07-10",57.72,57.86,56.78,57.35,1807027
"2014-07-17",56.38,56.94,55.93,56.14,1080152
"2014-07-24",57.32,58,57.32,57.9,976811
"2014-07-31",54.23,56.3,54,55.02,2930841
"2014-08-07",55.33,55.73,54.83,55.04,1082727
"2014-08-14",55.7,56.21,55.54,55.75,506307
"2014-08-21",57.25,57.5,57.03,57.4,499238
"2014-08-28",54.39,54.5,53.2,54.12,2618305
"2014-09-04",53.54,54.03,52.38,52.44,2259449
"2014-09-11",53.5,53.5,52.3,53.08,1546511
"2014-09-18",53.17,53.45,53.03,53.06,864391
"2014-09-25",51.17,51.41,50.5,50.75,952254
"2014-10-02",50.91,51,48.67,49.88,5507012
"2014-10-09",51.13,51.13,49.16,49.72,1608323
"2014-10-16",51.22,53.37,51.22,52.61,1573341
"2014-10-23",54.11,54.54,54.01,54.23,855098
"2014-10-30",55,55,53.84,54.14,2051251
"2014-11-06",55.59,55.96,54.9,54.94,2286176
"2014-11-13",56.09,56.47,55.74,55.93,1019412
"2014-11-20",58.98,60.19,58.6,58.74,2847848
"2014-12-04",56.74,57,56.05,56.21,676850
"2014-12-11",54.92,54.94,52.99,53.28,2324677
"2014-12-18",53.95,54.37,53.7,54.37,1597538
"2015-01-08",51.66,51.87,50.96,51.45,2240484
"2015-01-15",52.03,52.36,50.51,50.82,1247405
"2015-01-22",52.75,53.42,52.02,53.14,722362
"2015-01-29",52,52.55,51.48,52.5,821953
"2015-02-05",53.23,53.59,52.97,53.44,669817
"2015-02-12",54.67,56.26,54.43,55.91,1836963
"2015-02-19",51.54,51.7,50,50.72,4755996
"2015-02-26",49.39,49.82,49.17,49.43,1051341
"2015-03-05",49.5,50.79,49.35,50.71,4104935
"2015-03-12",48.18,49.34,47.98,48.67,2386570
"2015-03-19",48.7,48.8,47.85,48.14,1502016
"2015-03-26",47.87,47.87,46.78,47.47,1249199
"2015-04-02",46,46.79,45.92,46.48,1776509
"2015-04-09",46.46,46.63,46,46.59,1109267
"2015-04-16",47.48,47.71,47.21,47.61,816354
"2015-04-23",46.79,47.43,46.65,47.14,1151714
"2015-04-30",45.77,46.14,44.96,45.19,2518327
"2015-05-07",45.3,45.62,45.17,45.4,799311
"2015-05-14",46.38,46.51,45.99,46.17,1166286
"2015-05-21",45.92,46.32,45.69,45.94,852976
"2015-05-28",45.6,46.27,45.53,46.22,1393036
"2015-06-04",46.13,46.13,45.21,45.5,1048843
"2015-06-11",46.52,46.81,45.93,46.03,844787
"2015-06-18",45.41,46.62,45.04,46.56,1992738
"2015-06-25",46.23,46.27,45.68,45.72,601422
"2015-07-02",44.25,44.36,43.95,44.09,691296
"2015-07-09",43.94,44.06,43.5,43.56,1291369
"2015-07-16",41.23,43.2,41.2,43.1,10777173
"2015-07-23",42.9,43.1,42.61,42.92,981643
"2015-07-30",41.88,42.27,41.86,42.19,1701897
"2015-08-06",41.59,41.66,40.66,40.71,1525151
"2015-08-13",40.24,40.54,39.89,39.95,857332
"2015-08-20",39.53,39.99,38.99,39,1014745
"2015-08-27",38.38,38.39,37.45,38.16,1784433
"2015-09-03",37.27,37.55,37.13,37.26,960997
"2015-09-10",36.64,37.02,36.2,36.36,1981172
"2015-09-17",36.8,37.16,36.46,36.57,1010240
"2015-09-24",35.47,35.77,35.01,35.63,1054036
"2015-10-01",35.95,35.97,35.13,35.38,978992
"2015-10-08",36.72,37.18,36.61,36.98,981663
"2015-10-15",33.55,33.96,31.32,32.28,9446009
"2015-10-22",34.38,35.23,34.25,35.06,1158561
"2015-10-29",35.22,35.64,34.85,35.4,994440
"2015-11-05",36.62,37.32,36.61,37.2,1343528
"2015-11-12",37.5,37.5,36.24,36.28,1319324
"2015-11-19",37.17,37.17,36.61,37,1049270
"2015-12-03",37.72,37.96,36.78,37.17,1874078
"2015-12-10",37.36,37.6,37.03,37.12,1035810
"2015-12-17",36.46,36.47,35.51,35.52,1440056
"2015-12-24",36.81,37.09,36.8,36.98,472039
"2015-12-31",37,37.44,36.88,37.17,1155451
"2016-01-07",35.4,35.59,34.8,34.9,1688870
"2016-01-14",32.66,33.44,32.08,33.17,1973317
"2016-01-21",32.47,33.88,32.36,33.13,1814905
"2016-01-28",34.14,34.46,33.44,33.88,1010723
"2016-02-04",34.23,35.2,34.23,35.14,1397870
"2016-02-11",32.83,34.42,32.83,33.84,1366798
"2016-02-18",40.22,41.11,38.53,40.77,4215334
"2016-02-25",40.55,40.8,39.83,40.31,1280281
"2016-03-03",40.44,41.08,40.44,40.94,1641541
"2016-03-10",39.6,40.05,39.21,39.83,1708622
"2016-03-17",39.35,39.88,38.98,39.59,1299263
"2016-03-24",39.16,39.16,38.4,38.97,785824
"2016-03-31",39.97,40.29,39.68,39.96,1220912
"2016-04-07",39.77,40.21,39.32,39.57,1148498
"2016-04-14",42.3,42.32,41.9,42.09,914660
"2016-04-21",43.04,43.17,42.21,42.24,931182
"2016-04-28",43.75,44.36,43.12,43.26,1364363
"2016-05-05",41.36,41.66,40.86,41.06,871358
"2016-05-12",40.53,40.66,39.88,40.17,770283
"2016-05-19",39.69,39.96,39.24,39.82,662033
"2016-05-26",41.38,41.59,41.27,41.45,282521
"2016-06-02",42.08,42.85,42.04,42.8,608330
"2016-06-09",43.09,43.28,42.84,43.24,601641
"2016-06-16",41.6,42.14,41.11,41.87,598582
"2016-06-23",42.78,43.37,42.64,43.28,909621
"2016-06-30",41.83,42.43,41.11,42.42,909546
"2016-07-07",42.15,43.1,41.89,42.59,859094
"2016-07-14",44.9,45.34,44.6,44.74,762262
"2016-07-21",45.63,45.94,45.41,45.71,478071
"2016-07-28",52,53.8,51.55,53.54,2974525
"2016-08-04",53.85,55.05,53.75,54.54,2000750
"2016-08-11",55.34,55.42,54.65,55.29,732877
"2016-08-18",54.62,54.94,53.9,54.82,881243
"2016-08-25",49.46,51,49.46,50.52,1545386
"2016-09-01",49.21,49.33,48.26,48.86,1856106
"2016-09-08",48.77,49.02,48.4,48.92,1337854
"2016-09-15",46.7,47.64,46.55,47.54,1375618
