"","GT.Open","GT.High","GT.Low","GT.Close","GT.Volume"
"2011-09-15",11.07,11.34,10.89,11.06,6549416
"2011-09-22",9.62,9.86,9.15,9.39,8474437
"2011-09-29",10.25,10.66,10.18,10.45,8916619
"2011-10-06",10.27,10.76,10.09,10.73,5706298
"2011-10-13",11.72,11.91,11.44,11.82,5266162
"2011-10-20",11.94,12.17,11.67,12.13,3434355
"2011-10-27",14.01,14.4,13.85,14.28,10849916
"2011-11-03",14.16,14.43,13.59,14.38,7327724
"2011-11-10",13.64,13.73,13.25,13.51,5157256
"2011-11-17",13.6,13.64,12.86,12.99,7082329
"2011-12-01",13.91,14.13,13.67,13.92,5597787
"2011-12-08",14.18,14.43,13.9,13.93,3653321
"2011-12-15",13.5,13.63,13.28,13.53,3513802
"2011-12-22",13.95,14.15,13.92,14.07,2258601
"2011-12-29",14,14.17,13.93,14.14,1970270
"2012-01-05",14.59,14.99,14.46,14.91,4768239
"2012-01-12",13.84,14.15,13.8,13.84,6123091
"2012-01-19",13.51,13.8,13.51,13.76,3469438
"2012-01-26",13.69,13.96,13.32,13.45,4619229
"2012-02-02",13.35,13.44,13.17,13.28,3706786
"2012-02-09",13.98,14.34,13.96,14.16,5359668
"2012-02-16",13.1,13.22,13,13.19,6408100
"2012-02-23",13.16,13.29,13.03,13.23,5935281
"2012-03-01",12.91,13.07,12.81,12.86,5210643
"2012-03-08",12.34,12.51,12.31,12.37,4726736
"2012-03-15",12.33,12.45,12.21,12.35,4586241
"2012-03-22",11.95,12.02,11.73,11.77,5816874
"2012-03-29",11.36,11.45,11.22,11.38,4291328
"2012-04-05",11,11.23,10.99,11.02,4120553
"2012-04-12",10.7,10.96,10.56,10.96,5931749
"2012-04-19",10.79,11.54,10.75,11.17,17054862
"2012-04-26",11.6,11.96,11.41,11.93,11148379
"2012-05-03",11.12,11.28,10.83,10.9,6351629
"2012-05-10",10.55,10.58,10.08,10.3,10938336
"2012-05-17",10.71,10.73,10.17,10.22,5518778
"2012-05-24",10.48,10.54,10.2,10.42,4283455
"2012-05-31",10.32,10.49,9.98,10.45,9327959
"2012-06-07",10.17,10.46,10,10.28,7679630
"2012-06-14",10.42,10.75,10.18,10.62,5859646
"2012-06-21",11.73,11.78,11.13,11.21,6707505
"2012-06-28",11.29,11.64,11.27,11.6,6482905
"2012-07-05",11.4,11.65,11.21,11.62,5870076
"2012-07-12",10.52,10.52,10.08,10.24,8379700
"2012-07-19",10.2,10.25,10.05,10.09,4526705
"2012-07-26",9.96,10,9.75,9.89,6757569
"2012-08-02",11.31,11.42,10.86,11.03,8047364
"2012-08-09",11.64,11.78,11.46,11.69,1128341
"2012-08-16",11.72,11.88,11.63,11.77,845325
"2012-08-23",11.85,12.01,11.68,11.86,5668817
"2012-08-30",11.77,11.92,11.71,11.78,3420598
"2012-09-06",12.63,13.15,12.63,12.98,6304814
"2012-09-13",13.01,13.4,12.88,13.28,5251149
"2012-09-20",13.3,13.42,13.05,13.38,3410217
"2012-09-27",12.71,12.77,12.35,12.46,5872532
"2012-10-04",12.52,12.74,12.42,12.73,3335916
"2012-10-11",12.75,12.81,12.42,12.44,5025383
"2012-10-18",12.76,12.86,12.61,12.73,4142388
"2012-10-25",12.4,12.54,12.1,12.3,4691545
"2012-11-01",11.43,11.72,11.38,11.64,5045015
"2012-11-08",11.85,11.97,11.6,11.65,4097483
"2012-11-15",11,11.28,10.93,11.19,4429271
"2012-11-29",11.99,12.34,11.96,12.34,4059054
"2012-12-06",12.78,12.87,12.57,12.74,2924479
"2012-12-13",13.11,13.25,12.79,12.86,3329106
"2013-01-03",13.95,14.21,13.83,14.07,2589736
"2013-01-10",14.48,14.52,14.08,14.13,4027213
"2013-01-17",13.85,13.98,13.67,13.88,3045398
"2013-01-24",13.69,13.91,13.66,13.81,2230106
"2013-01-31",13.68,13.85,13.6,13.75,3323542
"2013-02-07",13.68,13.71,13.44,13.53,4510637
"2013-02-14",14,14.2,13.93,14.17,4514455
"2013-02-21",13.82,13.88,13.43,13.53,4683303
"2013-02-28",12.87,13.2,12.87,12.98,3708481
"2013-03-07",12.99,13,12.87,12.94,1533335
"2013-03-14",13.46,13.61,13.36,13.55,2998340
"2013-03-21",13.28,13.38,12.91,12.99,3960081
"2013-03-28",12.73,12.79,12.46,12.6,2891718
"2013-04-04",12.1,12.33,12.06,12.26,2951572
"2013-04-11",12.77,12.9,12.66,12.83,2618870
"2013-04-18",12.08,12.16,11.87,11.98,4099082
"2013-04-25",12.59,13.02,12.58,12.94,6879711
"2013-05-02",12.3,12.39,12.14,12.23,3734439
"2013-05-09",13.05,13.07,12.67,12.89,4710169
"2013-05-16",13.47,13.91,13.45,13.78,9761290
"2013-05-23",14.16,14.67,14.03,14.58,3920334
"2013-05-30",15.32,16.06,15.22,15.82,10026061
"2013-06-06",14.59,14.91,14.46,14.65,4693795
"2013-06-13",14.85,15.53,14.7,15.49,5110470
"2013-06-20",15.21,15.23,14.67,14.84,4716707
"2013-06-27",14.99,15.2,14.9,14.98,4596566
"2013-07-11",16.62,16.74,16.4,16.68,3731934
"2013-07-18",17.06,17.64,16.96,17.3,5396341
"2013-07-25",16.83,16.88,16.49,16.75,4865340
"2013-08-01",18.58,18.9,18.51,18.69,4946725
"2013-08-08",18.9,19.17,18.78,18.84,3740834
"2013-08-15",19.08,19.08,18.64,18.84,3127657
"2013-08-22",18.64,18.95,18.62,18.84,1919079
"2013-08-29",19.9,20.46,19.64,20.31,7510999
"2013-09-05",20.92,21.01,20.7,20.77,3321335
"2013-09-12",22.02,22.15,21.65,21.77,4537250
"2013-09-19",22.48,22.5,21.92,22.23,4253191
"2013-09-26",23.1,23.21,22.51,22.6,3992025
"2013-10-03",23.14,23.34,22.68,22.78,4806391
"2013-10-10",22.43,23,22.34,22.45,5090021
"2013-10-17",22.42,22.43,22.11,22.35,3612800
"2013-10-24",22.02,22.29,21.86,22.15,4012831
"2013-10-31",21.44,21.45,20.96,20.97,4127725
"2013-11-07",20.79,20.99,20.46,20.91,5396557
"2013-11-14",21.58,21.82,21.2,21.33,2522663
"2013-11-21",21.46,21.84,21.39,21.7,2891315
"2013-12-05",21.33,22.02,21.29,21.99,8304449
"2013-12-12",22.4,22.48,22.15,22.33,2480685
"2013-12-19",22.54,22.82,22.38,22.78,2924113
"2013-12-26",23.63,23.87,23.45,23.47,1739127
"2014-01-02",23.67,23.74,23.31,23.53,2792843
"2014-01-09",24.98,25.87,24.8,25.22,9064163
"2014-01-16",25.28,25.3,24.85,24.92,3138834
"2014-01-23",24.3,24.38,23.73,23.89,3129486
"2014-01-30",23.24,23.61,23.11,23.51,2902192
"2014-02-06",22.72,23.54,22.65,23.23,7112212
"2014-02-13",25,27.27,24.68,26.94,16956602
"2014-02-20",26.7,27.21,26.56,26.65,3897118
"2014-02-27",26.25,26.78,26.11,26.69,3769009
"2014-03-06",27.55,28.14,27.48,28.12,7222633
"2014-03-13",27.33,27.41,26.48,26.71,2541145
"2014-03-20",27.2,27.38,26.93,27.24,2966203
"2014-03-27",25.19,25.77,24.95,25.55,3641989
"2014-04-03",26.71,26.79,25.67,26,5722562
"2014-04-10",26.24,26.35,25.42,25.47,4810608
"2014-04-17",27.09,27.27,26.79,27,3661900
"2014-04-24",28.34,28.48,27.68,28.2,5004689
"2014-05-01",25.28,25.78,25,25.46,4938360
"2014-05-08",24.75,25.01,24.24,24.3,4067399
"2014-05-15",24.19,24.8,23.82,24.79,6018866
"2014-05-22",24.62,24.9,24.5,24.7,2342746
"2014-05-29",26.27,26.65,25.36,26,4359485
"2014-06-05",26.47,26.83,26.25,26.82,3389370
"2014-06-12",26.15,26.36,25.52,25.73,3782235
"2014-06-19",27.14,27.35,26.92,27.33,2233413
"2014-06-26",27.3,27.38,26.94,27.31,1454687
"2014-07-03",27.83,28.04,27.75,27.91,1361968
"2014-07-10",27.3,27.87,27.05,27.63,3797103
"2014-07-17",27.78,28.14,27.45,27.46,2720918
"2014-07-24",28.56,28.66,28.12,28.38,2561810
"2014-07-31",25.25,25.94,24.95,25.18,5579407
"2014-08-07",24.25,24.46,23.89,24.22,3559549
"2014-08-14",24.7,24.86,24.57,24.82,1497504
"2014-08-21",25.45,25.54,25.18,25.26,1561767
"2014-08-28",25.51,25.81,25.26,25.77,3036666
"2014-09-04",25.96,26.15,25.61,25.81,4304375
"2014-09-11",24.8,25.2,24.79,25.01,1890552
"2014-09-18",24.77,24.84,24.5,24.51,2520628
"2014-09-25",23.32,23.43,22.93,23.2,2947006
"2014-10-02",22.04,22.57,21.72,22.34,4624546
"2014-10-09",21.87,21.89,20.86,20.92,8311654
"2014-10-16",19.41,20.4,19.38,19.98,6257821
"2014-10-23",20.97,21.17,20.51,20.97,4210220
"2014-10-30",23.01,23.82,22.86,23.54,5445646
"2014-11-06",24.54,25.35,24.5,25.15,6928538
"2014-11-13",25.18,25.5,25.12,25.42,3536099
"2014-11-20",25.66,26.24,25.65,26.2,2529364
"2014-12-04",27.22,27.57,27.1,27.35,2187478
"2014-12-11",27.2,27.5,27,27.1,4367036
"2014-12-18",27.59,27.8,27.36,27.76,3835019
"2015-01-08",28.42,28.98,28.35,28.58,5743862
"2015-01-15",25.48,25.61,24.53,24.56,5606373
"2015-01-22",26.03,26.34,25.77,25.94,3568406
"2015-01-29",23.88,24.74,23.74,24.64,4448893
"2015-02-05",25.08,25.19,24.93,24.98,3148458
"2015-02-12",26.12,26.33,26.03,26.21,2704652
"2015-02-19",27.32,27.65,27.25,27.34,2840798
"2015-02-26",27.16,27.57,27.13,27.34,2291103
"2015-03-05",26.64,26.67,26.03,26.2,2785751
"2015-03-12",25.16,25.74,25.11,25.47,2513682
"2015-03-19",25.87,25.87,25.15,25.18,3335460
"2015-03-26",25.76,26.24,25.6,26.15,2560046
"2015-04-02",26.78,27.07,26.69,26.82,1487499
"2015-04-09",27.28,27.72,27.28,27.62,2515026
"2015-04-16",27.17,27.33,26.99,27.06,2289176
"2015-04-23",27.63,27.89,27.33,27.74,2191401
"2015-04-30",28.07,28.85,27.99,28.36,5226849
"2015-05-07",27.88,28.86,27.83,28.79,5237990
"2015-05-14",30.56,30.87,30.3,30.86,4487350
"2015-05-21",31.27,31.98,31.24,31.89,3938650
"2015-05-28",32.2,32.51,31.86,32.03,3035349
"2015-06-04",32.04,32.16,31.26,31.38,4738804
"2015-06-11",31.39,31.75,31.3,31.41,2859882
"2015-06-18",31.17,31.34,30.89,31.01,2927784
"2015-06-25",31.44,31.5,31.21,31.23,1884453
"2015-07-02",30.59,30.75,30.07,30.29,1948350
"2015-07-09",29.68,29.8,28.62,28.91,5138062
"2015-07-16",30.09,30.46,29.79,30.39,4491609
"2015-07-23",30.17,30.32,29.92,30,2393277
"2015-07-30",29.51,30.06,29.51,29.74,3642969
"2015-08-06",31.06,31.47,30.29,30.74,3787256
"2015-08-13",31.34,32.1,31.23,31.88,3033936
"2015-08-20",31.78,31.92,31.08,31.14,3343489
"2015-08-27",28.85,29.16,28.18,28.94,5982215
"2015-09-03",29.38,30.09,29.11,29.7,2852742
"2015-09-10",29.73,30.18,29.6,29.92,3129513
"2015-09-17",30.8,31.62,30.66,31.1,2988763
"2015-09-24",29.28,29.39,28.34,29.19,2862075
"2015-10-01",29.58,29.89,28.87,29.42,3638412
"2015-10-08",31.07,31.96,31.07,31.82,2781098
"2015-10-15",32.03,32.4,31.77,32.37,2631142
"2015-10-22",32.81,32.91,32.33,32.57,2623755
"2015-10-29",33.32,33.35,30.53,31.79,6483190
"2015-11-05",32.92,33.16,32.65,32.71,2555284
"2015-11-12",32.57,32.96,32.22,32.25,2295107
"2015-11-19",33.34,34,33.34,33.81,2974075
"2015-12-03",34.83,35,34.34,34.52,2778978
"2015-12-10",33.15,34.19,33.05,33.41,2430110
"2015-12-17",33.2,33.51,32.4,32.5,2067282
"2015-12-24",32.98,33.25,32.65,32.8,852826
"2015-12-31",33.17,33.23,32.56,32.67,2095397
"2016-01-07",29.53,29.76,28.56,28.71,4364512
"2016-01-14",27.71,28.79,26.68,28.41,5433363
"2016-01-21",28.04,28.65,27.63,27.92,4271758
"2016-01-28",29.08,29.39,27.71,27.76,4341055
"2016-02-04",27.95,28.29,27.4,27.61,5489602
"2016-02-11",27.98,29.08,27.7,28.61,4437287
"2016-02-18",30.81,31,30.11,30.23,2574616
"2016-02-25",29.61,29.95,29.21,29.95,2500331
"2016-03-03",31.28,32.17,31.11,32.07,3604062
"2016-03-10",32.5,32.69,31.72,31.9,3718185
"2016-03-17",32.82,33.11,32.55,32.56,3709220
"2016-03-24",32,32.35,31.72,32.18,1923199
"2016-03-31",32.72,33.04,32.6,32.98,3064153
"2016-04-07",31.75,31.8,30.98,31.14,4323352
"2016-04-14",32.12,32.28,31.77,31.94,1679907
"2016-04-21",32.31,32.63,32.09,32.29,1467350
"2016-04-28",30.02,30.68,29.76,29.89,4693294
"2016-05-05",27.99,28.18,27.68,27.89,4408929
"2016-05-12",28.06,28.49,27.8,27.99,2173549
"2016-05-19",27.19,27.42,26.85,27.06,3307153
"2016-05-26",27.56,27.79,27.37,27.37,2895582
"2016-06-02",27.38,27.74,27.32,27.49,1808243
"2016-06-09",27.92,27.95,27.48,27.74,2289588
"2016-06-16",26.6,27.13,26.28,27.08,2745074
"2016-06-23",27.42,27.72,27.32,27.41,2848875
"2016-06-30",25.56,25.66,25.17,25.66,4783626
