"","GWW.Open","GWW.High","GWW.Low","GWW.Close","GWW.Volume"
"2011-09-15",160.86,162.44,158.31,161.63,883386
"2011-09-22",152.25,155.28,151.71,154.49,1182408
"2011-09-29",157.3,158.65,150.43,153.27,1010538
"2011-10-06",149.03,152.63,148,152.23,819043
"2011-10-13",157.61,157.65,154.08,156.21,528902
"2011-10-20",164,165.73,162.5,165.12,450171
"2011-10-27",176.12,177.77,173.33,174.38,639735
"2011-11-03",176.2,179.5,176,179.12,507933
"2011-11-10",175,176.83,174.16,176.27,497418
"2011-11-17",176.94,177.04,173.75,175.49,617430
"2011-12-01",186.9,189.04,185.9,186.3,416326
"2011-12-08",184.37,185.63,182.81,183.28,291486
"2011-12-15",179.98,179.98,177.34,178.42,546330
"2011-12-22",187.28,187.33,184.24,186.46,419584
"2011-12-29",188.99,190.59,188.23,189.63,321852
"2012-01-05",186.75,190.54,185.6,190.2,426763
"2012-01-12",194.05,195,193.82,194.08,326900
"2012-01-19",203.04,203.44,201.02,202.1,453167
"2012-01-26",194.44,195.18,191.84,192.6,677124
"2012-02-02",193.65,196.63,193.65,196.31,416834
"2012-02-09",201.03,202,198.83,201.54,204211
"2012-02-16",208,209.43,207.51,208.88,211281
"2012-02-23",205.99,208.07,205.5,207.97,161084
"2012-03-01",208.01,209.59,206.7,207.82,367424
"2012-03-08",207.98,209.28,206.86,207.56,344464
"2012-03-15",216.18,216.77,213.81,216.48,217599
"2012-03-22",213.71,214.07,211.28,213.61,307227
"2012-03-29",215.16,217.79,214.26,217.55,254554
"2012-04-05",216.47,217.9,215.94,217.27,174910
"2012-04-12",210,216.04,209.04,214,453104
"2012-04-19",216.84,216.84,211.96,213.26,506947
"2012-04-26",208.98,210.01,206.44,209.46,772190
"2012-05-03",209.98,209.98,204.79,205.66,487190
"2012-05-10",203.7,204.9,201.99,202.4,461393
"2012-05-17",191.77,192.15,187.44,188.4,873373
"2012-05-24",196,198.75,193.85,194.84,523056
"2012-05-31",195.38,196.07,189.76,193.65,643145
"2012-06-07",184.64,187.74,184.22,185.74,933905
"2012-06-14",177.68,179.58,175.52,177.1,636018
"2012-06-21",190.35,191.02,183.16,184.16,806045
"2012-06-28",182.85,184.05,180.11,182.45,769219
"2012-07-05",193.4,193.4,191.34,191.87,389600
"2012-07-12",176.8,186.24,176.5,185.43,1207931
"2012-07-19",210.5,210.57,204.78,205.72,1155562
"2012-07-26",202.33,208.71,199.13,202.26,382508
"2012-08-02",202.62,205.22,199.26,201.27,485050
"2012-08-09",205.13,206.1,203.71,204.51,320996
"2012-08-16",202.25,206.63,201.06,206.1,308460
"2012-08-23",203.52,205.21,202.87,204.13,271437
"2012-08-30",202.54,205.27,202.45,204.27,330254
"2012-09-06",204.17,205.05,202,203.65,723735
"2012-09-13",202.7,209.79,202.11,205.92,753285
"2012-09-20",203.2,204.49,200.97,204.26,374086
"2012-09-27",208.67,208.67,204.53,207.84,486152
"2012-10-04",213.33,215.45,212.26,213.76,413579
"2012-10-11",212.17,218.23,211.5,216.72,794386
"2012-10-18",209.76,210.68,208.39,209.6,840319
"2012-10-25",200.85,202.11,198.63,199.63,636768
"2012-11-01",201.83,204.58,200.35,200.52,797005
"2012-11-08",198.38,199.41,195.02,195.25,590135
"2012-11-15",188.48,190.7,184.78,187.08,1817233
"2012-11-29",192.69,194.79,191.9,194,547443
"2012-12-06",186.84,190.8,186.59,190.62,467044
"2012-12-13",191.93,192.28,189.92,190.49,730632
"2012-12-20",197.77,198.7,195.71,196.94,476678
"2012-12-27",198.54,201,198.47,200.52,403678
"2013-01-03",207.64,208.5,205.87,207.07,325733
"2013-01-10",203.99,203.99,201.49,203.75,812421
"2013-01-17",208.97,210.44,202.83,210.34,534280
"2013-01-24",204.98,215.79,204.19,214.31,908894
"2013-01-31",217.68,218.91,216.23,217.82,562897
"2013-02-07",216.77,218.21,215.09,215.86,428735
"2013-02-14",225.1,226.54,224.63,226.29,388831
"2013-02-21",226.02,226.41,223.18,223.75,279164
"2013-02-28",227.67,228.2,225.71,226.46,340120
"2013-03-07",231.26,231.67,230.05,230.23,240347
"2013-03-14",225.06,225.86,224.03,225.1,425581
"2013-03-21",224.65,226.17,222.55,223.13,217593
"2013-03-28",222.46,225.16,221.38,224.98,245649
"2013-04-04",217.43,224.73,217.38,224.65,412046
"2013-04-11",227.46,232.58,226.75,228.87,589511
"2013-04-18",236.63,241.15,236.63,240.6,428658
"2013-04-25",245.41,247.83,245.19,245.54,217441
"2013-05-02",241.92,244.59,241.14,242.44,251168
"2013-05-09",251.07,254,250.46,251.59,278481
"2013-05-16",260.99,261.9,257.88,258.46,281542
"2013-05-23",258.85,260.24,256.2,258.55,551121
"2013-05-30",256.29,256.61,252.67,253.1,449534
"2013-06-06",251.78,253.33,250.02,253.22,266061
"2013-06-13",252.15,254.65,251.45,253.75,381691
"2013-06-20",249.47,251.23,248.27,249.52,294806
"2013-06-27",255.5,257.03,253.51,254.67,352533
"2013-07-11",265,265.94,263.08,264.39,286855
"2013-07-18",262.65,265.27,260.04,263.2,352942
"2013-07-25",254.06,255.85,252.83,255.46,288492
"2013-08-01",265.3,270.47,265.3,269.53,354430
"2013-08-08",261.51,265,260.71,261,156425
"2013-08-15",251.97,253.25,247.21,251.94,203569
"2013-08-22",249.82,251.53,248.31,251.36,257994
"2013-08-29",247.91,249.84,246.93,247.2,207018
"2013-09-05",255.93,260.4,255.88,259.55,313197
"2013-09-12",267.7,271.32,265.55,268.08,549852
"2013-09-19",273.93,276.38,272.93,273.51,339704
"2013-09-26",268.17,271.96,267.97,269.05,261885
"2013-10-03",263.71,265.4,261.4,263.74,479165
"2013-10-10",254.55,256.47,253.65,255.9,646640
"2013-10-17",256.29,262.44,254.81,261.9,443405
"2013-10-24",264.31,265.06,263.04,263.04,212438
"2013-10-31",269.94,271.26,268.63,268.97,276322
"2013-11-07",273,273,263.47,263.68,359493
"2013-11-14",265,267.32,262.93,265.6,419229
"2013-11-21",253,256.91,252.66,255.22,566280
"2013-12-05",255.16,257.3,254.01,255.17,233491
"2013-12-12",254.8,254.8,246.86,252.03,904930
"2013-12-19",255.2,256.71,252.66,253.39,397440
"2013-12-26",255.61,256.15,253.88,255.42,193928
"2014-01-02",254.7,255.48,252.82,253.06,285125
"2014-01-09",254.44,256.26,252.56,254.5,421054
"2014-01-16",263.73,266.3,262.13,265.94,395984
"2014-01-23",260.36,262.76,256.02,256.66,622008
"2014-01-30",238.17,239.8,236.92,237.17,402747
"2014-02-06",231.48,234.17,230.33,233.95,449517
"2014-02-13",237.21,239.72,235.33,239.64,644954
"2014-02-20",247.16,250.44,246.83,248.04,593941
"2014-02-27",245.58,252.95,237.26,252.91,267871
"2014-03-06",257.24,259.38,256.2,257.48,422589
"2014-03-13",253.6,253.68,245.54,245.84,675565
"2014-03-20",248.85,251.2,247.09,251.04,358208
"2014-03-27",251.51,252.36,249.29,250.24,429196
"2014-04-03",255.5,257.2,254.48,256.74,354266
"2014-04-10",258.79,259.22,252.06,252.23,447838
"2014-04-17",249.54,254.6,248.64,252.15,596927
"2014-04-24",255.76,255.8,250.88,252.53,308098
"2014-05-01",255.24,255.24,251.85,252.75,323918
"2014-05-08",249.19,253.97,248.33,252.29,334399
"2014-05-15",253.19,254.7,250.97,252.23,451388
"2014-05-22",252.4,253.7,251.54,252.15,200126
"2014-05-29",255.72,256.73,253.67,256.64,242521
"2014-06-05",261.54,265.03,259.54,265.01,528341
"2014-06-12",264.6,265,259.34,260.21,938620
"2014-06-19",259.43,263.11,258.63,261.1,479857
"2014-06-26",255.76,255.85,253.57,254.88,321624
"2014-07-03",252.76,256.42,252.76,255.58,209503
"2014-07-10",248.02,248.54,246.42,247.65,284821
"2014-07-17",242.94,247.49,240,241.39,1290227
"2014-07-24",241.13,241.92,239.84,240.49,381437
"2014-07-31",238.09,239.11,234.8,235.15,507583
"2014-08-07",236,236.94,232.7,233.07,331167
"2014-08-14",239.99,240.54,238.16,238.45,365491
"2014-08-21",245.04,248.4,243.86,247.86,337421
"2014-08-28",244.63,245.87,244.01,245.56,256347
"2014-09-04",251.14,253.32,249.85,251.64,455605
"2014-09-11",245.59,247.43,244.68,246.54,300532
"2014-09-18",251.1,253.49,250.14,253.08,317743
"2014-09-25",251.82,252.34,250.13,250.13,426547
"2014-10-02",250.9,253.33,250.85,252.8,474808
"2014-10-09",251.76,252.99,245.64,246.15,417489
"2014-10-16",228.6,237.49,223.92,229.72,1526712
"2014-10-23",234.51,236.67,233.28,235.38,611262
"2014-10-30",241.25,244.63,240.6,243.86,285561
"2014-11-06",252.85,255.08,251.13,254.77,379840
"2014-11-13",246.52,246.73,243.95,244.37,405665
"2014-11-20",243.37,246.42,243.37,244.87,311745
"2014-12-04",248.39,251.1,246.81,250.57,447063
"2014-12-11",242.05,247.14,241.28,246.16,466044
"2014-12-18",246.24,252.3,246.24,252.23,568711
"2015-01-08",247.38,251.22,247.38,251.14,452968
"2015-01-15",243.03,244.8,237.76,237.92,490033
"2015-01-22",245.22,246.12,243.18,245.16,406803
"2015-01-29",231.49,236.85,231.13,235.92,660580
"2015-02-05",239.65,241.4,237.97,240.02,833342
"2015-02-12",236.76,237.59,230.5,234.31,1278405
"2015-02-19",235.77,236.77,234.51,235.55,528846
"2015-02-26",239.55,240.69,238.42,240.38,559266
"2015-03-05",236.72,239.15,235.46,238.04,540162
"2015-03-12",233.01,234.04,230.15,231.71,603023
"2015-03-19",237.07,237.99,234.78,237.06,533096
"2015-03-26",234.44,235.3,233.35,234.33,505116
"2015-04-02",231.88,233.55,229.85,230.42,609446
"2015-04-09",233,235.63,231.31,234.85,531480
"2015-04-16",250.1,252.87,241.47,241.87,1883896
"2015-04-23",243.05,246.25,242.19,244.28,695378
"2015-04-30",249.45,251.06,247.7,248.43,710186
"2015-05-07",244.3,246.33,242.47,245.81,416356
"2015-05-14",246.69,248.6,245.96,247.04,508121
"2015-05-21",245.74,247.44,244.99,246.6,506501
"2015-05-28",244.73,245.24,243.06,244.66,336871
"2015-06-04",241.53,242.32,238.8,239.25,390761
"2015-06-11",242.8,243.87,241.63,243.34,461227
"2015-06-18",240.76,244.18,239.7,243.38,549377
"2015-06-25",243.69,243.98,239.18,239.53,536921
"2015-07-02",237.59,237.99,234.18,235.5,555614
"2015-07-09",236.98,238.75,235.7,235.7,442011
"2015-07-16",232.67,233.34,231.07,232.36,770379
"2015-07-23",224.52,228.12,224.1,226.18,1111343
"2015-07-30",224.64,226.7,221.81,225.01,833668
"2015-08-06",226.64,227.62,224.57,226.07,438120
"2015-08-13",228,230.14,224.91,225.86,734505
"2015-08-20",223.67,226.79,223.32,224.04,505672
"2015-08-27",220.17,224.28,218.58,223.74,737508
"2015-09-03",220.8,223.9,219.01,220.69,823379
"2015-09-10",222.97,224.76,220.55,222.61,538679
"2015-09-17",221.64,223,218.16,218.67,669492
"2015-09-24",208.55,214.14,208.1,213.37,684888
"2015-10-01",214.01,215.73,207.62,209.46,1288350
"2015-10-08",227.28,232.64,227.15,231.44,653138
"2015-10-15",222.11,222.78,217.77,221.63,1187022
"2015-10-22",203.01,213.21,202.08,209.42,1319910
"2015-10-29",207.12,209.54,205.45,208.28,509090
"2015-11-05",209.63,211.75,206.66,209.78,763613
"2015-11-12",209.45,212.15,199.09,199.83,1879934
"2015-11-19",198.1,198.61,196.51,198.31,540164
"2015-12-03",200.47,201.34,196.88,198.8,800443
"2015-12-10",193.46,195.28,192.24,194.47,588031
"2015-12-17",196.72,196.72,193.49,194.85,784136
"2015-12-24",205.64,207.67,205.21,205.45,301493
"2015-12-31",203.86,205.28,202.24,202.59,494421
"2016-01-07",197.18,198.8,194.09,197.13,544390
"2016-01-14",185.62,190.84,183.5,188.96,693891
"2016-01-21",183.1,186.52,182,185.53,843733
"2016-01-28",185.86,192.63,185.5,192.18,1051176
"2016-02-04",201.37,212.65,199.35,208.48,1494808
"2016-02-11",200.55,205.95,197.66,204.37,910432
"2016-02-18",217.74,217.95,215.22,215.85,634299
"2016-02-25",217.53,217.88,213.72,217.5,702815
"2016-03-03",221.11,223.25,219.6,221.71,836633
"2016-03-10",219.37,220.4,216,217.94,816745
"2016-03-17",220.35,232,218.32,226.6,1322119
"2016-03-24",228.05,231,228.05,229.15,502564
"2016-03-31",233.33,234.77,231.83,233.43,461596
"2016-04-07",232.02,233.82,229.1,229.97,511715
"2016-04-14",234.55,234.8,232.25,234.47,372495
"2016-04-21",228.43,230.81,227.8,227.89,514996
"2016-04-28",237.5,239.95,235.06,235.96,941426
"2016-05-05",230.06,235.49,229.8,232.26,644332
"2016-05-12",231.21,231.86,225.79,227.76,752662
"2016-05-19",221.77,223.88,219.38,221.75,495168
"2016-05-26",225.59,228.6,225.59,227.52,363858
"2016-06-02",227.87,229.73,227.78,229.73,301382
"2016-06-09",228.85,230.78,226.77,227.17,388784
"2016-06-16",218.91,222.18,216.85,221.4,367509
"2016-06-23",226.33,227.38,225.24,225.97,387553
"2016-06-30",220.6,227.42,219.67,227.25,778647
"2016-07-07",224.28,227.08,223.68,225.44,537400
"2016-07-14",232.55,233.01,231.3,231.6,266475
"2016-07-21",217.05,218.37,214.94,215.27,538696
"2016-07-28",218.75,221.03,218.48,220.22,349313
"2016-08-04",218.3,221.78,217.54,218.36,538122
"2016-08-11",222.6,230.35,221.68,229.38,849360
"2016-08-18",231.01,231.5,229.94,231.32,308643
"2016-08-25",230.11,231.45,229.13,230.93,313897
"2016-09-01",230.93,230.93,226.23,228.62,538767
"2016-09-08",227.4,229.79,226.01,229.48,508978
"2016-09-15",223.57,228.57,222.17,227.94,564830
