"","HAL.Open","HAL.High","HAL.Low","HAL.Close","HAL.Volume"
"2011-09-15",40.02,40.47,39.6,40.19,12433420
"2011-09-22",33.1,33.88,32.07,32.72,26657985
"2011-09-29",33.48,33.8,31.55,32.25,15821480
"2011-10-06",32.39,34.83,32.39,34.45,27384380
"2011-10-13",35.07,35.41,34.23,35.02,15291768
"2011-10-20",34.1,34.61,33.23,34.47,21022888
"2011-10-27",37.73,39.62,37.73,38.74,27051080
"2011-11-03",37.34,38.04,36.35,37.85,18785250
"2011-11-10",37.49,37.83,36.29,37.29,14052464
"2011-11-17",39.03,39.08,36.58,37.04,22419667
"2011-12-01",36.5,37.07,36.01,36.41,15818731
"2011-12-08",33.99,34.36,33,33.13,27850885
"2011-12-15",31.77,31.99,31,31.26,24418391
"2011-12-22",33.9,34.05,32.73,33.54,16206837
"2011-12-29",33.28,33.97,33.28,33.79,7904822
"2012-01-05",34.84,34.85,34.13,34.56,16640385
"2012-01-12",35.57,35.86,34.5,34.73,18586085
"2012-01-19",35.28,36.74,35.25,36.25,23747550
"2012-01-26",36.85,37.37,36,36.16,19136967
"2012-02-02",36.81,36.91,36.12,36.54,12029670
"2012-02-09",37.23,37.23,36.51,36.77,13628597
"2012-02-16",35.2,35.8,34.83,35.64,15366282
"2012-02-23",38.73,38.8,37.94,38.21,13729561
"2012-03-01",36.89,37.01,36.43,36.5,13972603
"2012-03-08",34.54,35.18,34.42,34.78,11492399
"2012-03-15",34.35,34.41,33.7,33.91,18793951
"2012-03-22",33.66,33.77,32.6,32.98,23985434
"2012-03-29",32.16,32.82,32.07,32.77,11591005
"2012-04-05",32.88,33.2,32.5,32.77,13235509
"2012-04-12",32.27,33.27,32.16,33.18,14202601
"2012-04-19",34.46,35.07,33.7,33.98,22454421
"2012-04-26",33.29,33.74,33.2,33.45,12491804
"2012-05-03",34.6,34.73,33.85,34.06,12065055
"2012-05-10",32.84,33,32.22,32.31,12150637
"2012-05-17",30.22,30.59,29.92,30,14770924
"2012-05-24",31.39,31.56,30.91,31.41,14521888
"2012-05-31",30.46,30.5,29.1,30.06,18203864
"2012-06-07",28.37,28.8,27.81,28.13,31125479
"2012-06-14",28.25,28.83,28.04,28.68,14899833
