"","HBAN.Open","HBAN.High","HBAN.Low","HBAN.Close","HBAN.Volume"
"2011-09-15",5.09,5.14,4.97,5.13,11490391
"2011-09-22",4.56,4.66,4.51,4.58,20008149
"2011-09-29",5.02,5.03,4.84,4.99,16340652
"2011-10-06",4.97,5.28,4.85,5.26,22350379
"2011-10-13",5.35,5.39,5.13,5.24,16524951
"2011-10-20",4.99,5.01,4.82,4.88,46774637
"2011-10-27",5.47,5.47,5.3,5.4,37288396
"2011-11-03",5.35,5.38,5.17,5.3,13877147
"2011-11-10",5.25,5.27,5.13,5.17,14263922
"2011-11-17",5.18,5.31,5.06,5.08,17509831
"2011-12-01",5.21,5.25,5.11,5.18,8379607
"2011-12-08",5.24,5.26,5.1,5.1,9624497
"2011-12-15",5.1,5.22,5.07,5.12,14996461
"2011-12-22",5.45,5.69,5.41,5.6,17410612
"2011-12-29",5.36,5.65,5.36,5.61,11807089
"2012-01-05",5.65,5.83,5.56,5.79,12471701
"2012-01-12",5.97,5.97,5.88,5.97,12156168
"2012-01-19",6,6.01,5.72,5.79,31404014
"2012-01-26",5.96,5.97,5.62,5.64,24185563
"2012-02-02",5.76,5.83,5.72,5.78,9719127
"2012-02-09",6.08,6.09,5.95,6.03,11387018
"2012-02-16",5.82,5.93,5.79,5.93,12049517
"2012-02-23",5.95,6.01,5.91,6.01,7475968
"2012-03-01",5.89,5.98,5.86,5.9,11566389
"2012-03-08",5.77,5.8,5.71,5.8,6281180
"2012-03-15",6.26,6.5,6.17,6.45,21275422
"2012-03-22",6.37,6.43,6.31,6.34,12163980
"2012-03-29",6.4,6.43,6.31,6.4,10090472
"2012-04-05",6.48,6.51,6.41,6.42,7912196
"2012-04-12",6.35,6.45,6.31,6.42,5651272
"2012-04-19",6.43,6.55,6.37,6.44,21040866
"2012-04-26",6.65,6.7,6.57,6.69,15341602
"2012-05-03",6.72,6.78,6.63,6.65,10696140
"2012-05-10",6.58,6.58,6.47,6.5,10836018
