"","HCA.Open","HCA.High","HCA.Low","HCA.Close","HCA.Volume"
"2011-09-15",19.96,21,19.93,20.84,7338508
"2011-09-22",19.03,20.33,19.03,19.92,3843215
"2011-09-29",19.5,19.94,19,19.8,1730055
"2011-10-06",18.11,18.8,17.99,18.27,2032412
"2011-10-13",20.12,21.21,19.92,21.13,3378238
"2011-10-20",21.93,22.13,21.11,21.67,3167372
"2011-10-27",22.95,22.95,21,22.67,3778802
"2011-11-03",23,23.42,22.52,23.09,3674763
"2011-11-10",25.01,25.98,25.01,25.87,4279309
"2011-11-17",25.41,25.78,24.72,25.05,3054255
"2011-12-01",24.29,24.58,24.05,24.19,1495606
"2011-12-08",22.53,22.55,21.13,21.45,2941457
"2011-12-15",20.63,21.28,20.53,21.14,3124216
"2011-12-22",21.91,22.22,21.69,21.88,1272532
"2011-12-29",20.93,21.39,20.85,21.27,781247
"2012-01-05",20.65,21.57,20.65,21.29,1959212
"2012-01-12",23.95,24.1,22.89,23.32,4220721
"2012-01-19",24.25,24.8,24.16,24.51,2033138
"2012-01-26",26.55,26.87,26.18,26.36,1779378
"2012-02-02",25.04,25.31,24.78,25.27,2187588
"2012-02-09",29,29,27.41,27.8,6654698
"2012-02-16",25,25.98,24.82,25.94,3320490
"2012-02-23",26.08,26.3,25.83,26.07,1886486
"2012-03-01",26.75,26.85,25.88,26.25,1971186
"2012-03-08",25.56,25.72,25.23,25.28,1070700
"2012-03-15",25.82,25.9,25.17,25.42,2605228
"2012-03-22",24.82,25.06,24.65,24.78,873051
"2012-03-29",23.76,24.45,22.94,23.89,6243091
"2012-04-05",26.86,27.09,26.59,26.96,5084009
"2012-04-12",27.5,28.17,26.87,27.57,8664202
"2012-04-19",27.6,27.88,27.33,27.6,2581887
"2012-04-26",26.74,27.57,26.49,27.3,1613937
"2012-05-03",27.04,27.68,26.6,26.76,4675561
"2012-05-10",26.49,26.69,26.23,26.27,905973
"2012-05-17",25.47,26,25.16,25.44,1882936
"2012-05-24",26.05,26.67,25.56,26.1,2565167
"2012-05-31",25.92,26.1,25.19,25.99,1912268
"2012-06-07",25.89,25.94,25.38,25.45,1518496
"2012-06-14",26.38,26.59,26.22,26.4,3527482
