"","HCN.Open","HCN.High","HCN.Low","HCN.Close","HCN.Volume"
"2011-09-15",49.85,50.14,49.48,50.07,2063661
"2011-09-22",47.11,47.73,46.15,46.78,2976001
"2011-09-29",48.29,48.69,47.83,48.66,2241933
"2011-10-06",46.44,47.27,45.9,47.2,1974280
"2011-10-13",47.25,47.51,46.5,47.23,1767186
"2011-10-20",48.02,48.42,47.2,48.34,1938571
"2011-10-27",52.29,53.05,51.97,52.49,3340027
"2011-11-03",53.41,53.77,51.9,52.99,1697519
"2011-11-10",50.4,50.57,49.2,49.55,2047272
"2011-11-17",49.7,49.79,48.55,48.8,2041872
"2011-12-01",50,50,49.31,49.78,1173617
"2011-12-08",50,50.02,49.41,49.64,2603479
"2011-12-15",51.14,51.49,50.82,51.18,1796216
"2011-12-22",52.9,53.72,52.78,53.69,1555453
"2011-12-29",54.18,54.69,54.16,54.64,976560
"2012-01-05",53.63,54.37,53.6,54.24,2231465
"2012-01-12",55.78,55.78,54.73,55.25,1334431
"2012-01-19",55.85,55.98,55.11,55.14,1859581
"2012-01-26",56.98,57.48,56.74,57.33,2600322
"2012-02-02",57.32,57.62,57.02,57.23,1829411
"2012-02-09",57.4,57.66,56.86,57.08,1524239
"2012-02-16",56.32,56.75,55.41,55.62,2117156
"2012-02-23",53.53,54.39,53.37,54.38,3191726
"2012-03-01",54.58,54.98,54.38,54.96,2153377
"2012-03-08",54.38,54.47,53.8,53.93,1790150
"2012-03-15",54.45,54.56,54.05,54.45,1835898
"2012-03-22",54.15,54.15,53.55,53.65,1921259
"2012-03-29",54.65,54.84,54.14,54.41,1231383
"2012-04-05",53.52,53.65,53.3,53.46,1151969
"2012-04-12",53.05,53.68,52.88,53.68,1411544
"2012-04-19",53.85,54.26,53.75,53.95,1615537
"2012-04-26",55.94,56.75,55.75,56.64,1720913
"2012-05-03",56.95,57.3,56.93,56.98,1884567
"2012-05-10",56.47,56.5,55.87,56.24,1774404
"2012-05-17",55.2,55.38,54.21,54.22,1727693
"2012-05-24",55.6,55.96,55.02,55.63,915805
"2012-05-31",54.75,55.88,54.39,55.47,2090615
"2012-06-07",55.94,56.08,55.11,55.2,1132252
"2012-06-14",55.89,56.79,55.44,56.59,2975319
"2012-06-21",57.15,57.44,56.34,56.42,2101706
"2012-06-28",56.29,57.43,55.94,57.4,1626969
