"","HD.Open","HD.High","HD.Low","HD.Close","HD.Volume"
"2014-09-15",89.18,89.54,88.6,89.38,3935032
"2014-09-16",89.27,90.74,88.53,90.27,5045237
"2014-09-17",90.63,91.54,89.94,91.22,7068839
"2014-09-18",91.83,92.44,91.2,92.09,6027690
"2014-09-19",92.85,93.75,92.2,92.34,12498834
"2014-09-22",91.98,92.42,91.68,91.89,5209196
"2014-09-23",91.79,92.22,91.45,91.49,6330068
"2014-09-24",91.68,93.11,91.35,93.02,6382807
"2014-09-25",92.8,93,91.55,91.9,4972116
"2014-09-26",92.29,93,91.8,92.84,4572090
"2014-09-29",92.37,93.17,91.95,92.88,3894623
"2014-09-30",93.03,93.21,91.4,91.74,6775101
"2014-10-01",92.14,92.34,90.92,91.02,5970715
"2014-10-02",91.31,92.46,91.07,92.24,5991202
"2014-10-03",92.52,93.68,92.34,93.54,6210091
"2014-10-06",93.72,94.25,93.06,93.26,4952151
"2014-10-07",93.04,93.56,92.44,92.47,5030738
"2014-10-08",92.57,94.16,92.24,94.09,6619986
"2014-10-09",93.91,94.79,93.02,93.07,6674894
"2014-10-10",93.23,93.86,92.54,92.55,6350141
"2014-10-13",92.88,92.94,90.43,90.6,7378868
"2014-10-14",90.37,90.53,88.52,90.1,9711348
"2014-10-15",88.09,89.17,86.62,87.85,12993637
"2014-10-16",86.35,89.72,86.35,88.88,7147819
"2014-10-17",89.3,91.12,89.05,90.24,7013765
"2014-10-20",89.87,92.07,89.77,91.85,5614727
"2014-10-21",92.53,94.37,92.12,94.2,6611310
"2014-10-22",94.3,94.99,93.24,93.34,5912513
"2014-10-23",94.5,95.52,94.44,94.8,5926297
"2014-10-24",94.6,95.19,94.13,94.99,4825237
"2014-10-27",94.96,95.68,94.71,95.47,4465121
"2014-10-28",95.91,96.6,95.5,96.59,5261206
"2014-10-29",96.62,97.25,95.8,96.42,4275440
"2014-10-30",96.12,97.8,96.03,97.52,4115778
"2014-10-31",98.78,99.26,97.33,97.52,6336392
"2014-11-03",96.81,96.83,95.98,96.09,7615378
"2014-11-04",96.06,96.18,95.19,95.96,5349563
"2014-11-05",96.59,96.85,95.15,95.78,5002664
"2014-11-06",96.35,97.51,96.01,97.29,4016928
"2014-11-07",97.17,97.75,96.69,97.65,3429560
"2014-11-10",97.64,98.17,97,98.16,3662260
"2014-11-11",98.46,98.75,97.88,98.14,3819301
"2014-11-12",98.3,98.7,97.61,98.49,4629393
"2014-11-13",98.9,99.36,98.34,99,3182816
"2014-11-14",98.9,99,98.02,98.24,4085461
"2014-11-17",98.17,98.94,97.8,98.03,8581591
"2014-11-18",97.15,97.71,86.52,95.98,10387062
"2014-11-19",96.55,97.31,96,96.7,6831110
"2014-11-20",96.08,97.97,96.02,97.57,4958779
"2014-11-21",98.98,99.1,97.82,98.28,6806841
"2014-11-24",98.68,98.9,98.22,98.4,5043636
"2014-11-25",98.64,98.87,96.41,97.01,7991953
"2014-11-26",97.06,97.71,97.01,97.7,4338093
"2014-11-28",98.06,99.8,98,99.4,3305799
"2014-12-01",99.49,99.61,98.31,98.88,4393689
"2014-12-02",98.62,99,97.99,98.16,4677714
"2014-12-03",98.1,98.74,98.04,98.59,4358974
"2014-12-04",98.15,99.11,97.78,98.95,5227444
"2014-12-05",98.77,99.68,98.66,99.64,4649088
"2014-12-08",99.71,100.95,99.66,100.43,6624334
"2014-12-09",99.69,99.98,98.59,99.64,5285388
"2014-12-10",99.36,100.23,98.82,98.94,5357039
"2014-12-11",99.28,101.4,99.15,100.27,6863972
"2014-12-12",99.69,101.25,99.39,99.78,5985138
"2014-12-15",100.01,101.24,99.29,100.05,5488342
"2014-12-16",99.38,100.23,96.99,97.06,7831584
"2014-12-17",97.59,99.14,97.09,98.94,6096377
"2014-12-18",100.34,100.69,99.3,100.67,6593962
"2014-12-19",100.92,102,100.81,101.93,12500604
"2014-12-22",102.25,103.57,102.23,103.5,5418865
"2014-12-23",103.66,104.2,103.32,103.76,4067739
"2014-12-24",104.05,104.38,103.56,103.56,1819047
"2014-12-26",103.98,104.32,103.48,103.75,2594855
"2014-12-29",103.58,104.8,103.26,104.53,3492708
"2014-12-30",104.44,104.74,103.85,104.27,2927755
"2014-12-31",104.75,106.02,104.56,104.97,5821631
"2015-01-02",105.16,105.65,102.67,103.43,4324850
"2015-01-05",102.78,102.78,100.79,101.26,5881379
"2015-01-06",102.07,102.07,100.34,100.95,4913547
"2015-01-07",102.29,104.47,102,104.41,5090980
"2015-01-08",105.37,106.99,105.02,106.72,6468184
"2015-01-09",106.88,106.88,104.82,104.89,5717610
"2015-01-12",105.17,105.29,104.06,104.42,4992945
"2015-01-13",105.41,106.04,103.15,103.73,5395151
"2015-01-14",102.42,103.41,101.88,102.64,5384438
"2015-01-15",103.32,103.65,100.82,101.01,6894979
"2015-01-16",100.86,104.31,100.24,104.12,6403841
"2015-01-20",104.84,104.95,102.35,103.25,5335526
"2015-01-21",103.05,104.06,102.5,103.53,5899195
"2015-01-22",104.38,106.31,103.54,106.07,5804132
"2015-01-23",106.21,106.48,105.31,105.37,4075976
"2015-01-26",105.36,106.5,105.06,106.36,4192274
"2015-01-27",104.78,105.81,104.4,105.16,4606480
"2015-01-28",105.31,107.43,104.6,104.74,4917323
"2015-01-29",105.14,107.74,104.51,107.62,6529339
"2015-01-30",106.36,106.86,104.38,104.42,6999952
"2015-02-02",104.78,105,101.57,104.43,5012800
"2015-02-03",104.89,107.32,104.81,107.24,5969829
"2015-02-04",107.09,109,106.75,108.41,6766242
"2015-02-05",108.98,109.34,108.15,108.99,4471808
"2015-02-06",109.28,109.74,108.46,109.04,4223662
"2015-02-09",108.88,109.46,108.04,108.34,4243767
"2015-02-10",108.79,110.85,108.66,110.67,5414382
"2015-02-11",110.6,110.8,109.81,110.31,4553751
"2015-02-12",110.81,112.2,110.21,112.16,4592234
"2015-02-13",112.01,112.39,111.3,111.89,5099683
"2015-02-17",111.69,112.22,110.62,112,6029630
"2015-02-18",111.6,112.17,111,111.99,3731576
"2015-02-19",112.01,112.45,110.64,110.94,5910566
"2015-02-20",110.81,112.25,110.05,112.24,7276070
"2015-02-23",112.99,113.16,111.8,112.28,5637972
"2015-02-24",117.5,117.92,115.13,116.75,12775465
"2015-02-25",117.35,117.35,115.85,116.31,7328170
"2015-02-26",116,116.42,115.2,115.38,5649886
"2015-02-27",115.19,115.67,114.56,114.75,5732581
"2015-03-02",114.86,117.06,114.86,116.12,5971908
"2015-03-03",116.11,116.12,114.8,116.07,3784761
"2015-03-04",115.39,115.47,114.25,114.76,3799034
"2015-03-05",115.23,116.1,115.06,115.91,4089528
"2015-03-06",115.96,115.96,114,114.45,5169186
"2015-03-09",114.38,115.48,114.37,115.25,5351215
"2015-03-10",113.85,114.34,112.56,112.56,5685032
"2015-03-11",112.68,113.8,112.41,113.07,4356487
"2015-03-12",113.85,116.46,113.77,116.1,5741991
"2015-03-13",115.99,116.31,114,114.82,4626909
"2015-03-16",115.33,116.61,115.32,116.5,4820315
"2015-03-17",115.45,116.08,115.14,115.58,3715940
"2015-03-18",115.41,116.42,113.31,116.08,4773550
"2015-03-19",116.21,116.43,115.07,115.16,3545575
"2015-03-20",115.55,117.99,115.33,117.49,8445980
"2015-03-23",117.04,117.75,116.07,116.07,4095198
"2015-03-24",116.2,117.83,116.04,116.15,4026866
"2015-03-25",115.96,116.61,113.64,113.68,4725790
"2015-03-26",113.36,113.43,111.58,112.37,5409611
"2015-03-27",112.08,114.23,112,113.86,3879323
"2015-03-30",114.96,116.05,114.53,114.63,3968431
"2015-03-31",113.7,115.37,113.55,113.61,4128769
"2015-04-01",113.88,114,112.43,113.13,4737737
"2015-04-02",112.61,114.92,112.52,114.54,4065097
"2015-04-06",113.45,115.55,113.41,114.95,3250043
"2015-04-07",114.83,115.79,114.23,114.3,3189404
"2015-04-08",113.97,115.81,113.83,115.59,3753476
"2015-04-09",115.46,116.24,114.14,114.57,4674020
"2015-04-10",114.47,115.65,114.42,115.24,3658058
"2015-04-13",114.96,115.43,114.35,114.44,2981956
"2015-04-14",114.2,114.98,113.11,114.05,4072474
"2015-04-15",114.58,115.21,113.38,113.45,4210990
"2015-04-16",113.34,113.99,113.02,113.37,4013015
"2015-04-17",112.91,113.11,111.77,112.1,6245213
"2015-04-20",113,113.69,112.68,112.86,4397308
"2015-04-21",113.5,113.98,112.5,113.17,3899843
"2015-04-22",113.2,113.31,112.19,112.99,4065535
"2015-04-23",112.74,114.51,112.56,113.96,3945310
"2015-04-24",113.88,114.04,112.9,113.7,2879124
"2015-04-27",114.05,114.11,111.28,111.39,5618018
"2015-04-28",110.9,111.77,110.05,110.58,5743300
"2015-04-29",110.17,110.31,108.07,108.71,7238947
"2015-04-30",108.56,109.21,106.62,106.98,9041570
"2015-05-01",106.98,109.79,106.85,109.55,6696926
"2015-05-04",109.94,110.45,109.32,110.06,3366760
"2015-05-05",109.2,109.88,107.98,108.06,4164751
"2015-05-06",108.2,108.91,107.24,108.31,3996648
"2015-05-07",108.4,110.72,108.25,110.04,5400160
"2015-05-08",112.4,113.48,112.11,112.47,6435306
"2015-05-11",112.24,112.91,111.81,111.9,3725195
"2015-05-12",111.12,112.82,110.83,112.52,4053840
"2015-05-13",112.92,112.95,111.1,111.19,4340651
"2015-05-14",112.05,112.22,110.83,111.94,3815733
"2015-05-15",111.92,113.4,111.82,113.35,4575811
"2015-05-18",113.87,114.6,113.16,114.33,6878237
"2015-05-19",116.12,116.48,112.34,112.34,11133206
"2015-05-20",112.19,112.89,111.22,112.1,7004521
"2015-05-21",111.98,112.33,111.62,112.01,4238635
"2015-05-22",111.87,112.53,111.46,112.16,3693959
"2015-05-26",112,112.18,110.69,110.93,4612599
"2015-05-27",111.04,112.53,110.81,112.16,4147790
"2015-05-28",111.91,112.7,111.86,112.19,2806141
"2015-05-29",111.84,112.59,111.37,111.42,5310612
"2015-06-01",111.97,112.34,111.25,111.67,5114842
"2015-06-02",110.75,112.18,110.64,111.59,6088225
"2015-06-03",111.72,113.48,111.45,113.16,6337980
"2015-06-04",112.52,113.16,111.17,111.46,4328576
"2015-06-05",111.34,111.36,110.27,110.37,4505390
"2015-06-08",110.14,110.81,109.83,109.93,3449728
"2015-06-09",109.79,110.25,109.03,109.53,3658994
"2015-06-10",109.9,111.19,109.39,110.98,3967931
"2015-06-11",111,112.33,111,111.29,3642764
"2015-06-12",110.89,111.59,110.42,110.6,4301864
"2015-06-15",110.23,110.46,109.55,110.01,3965178
"2015-06-16",109.9,110.45,109.75,110.23,3466563
"2015-06-17",110.73,111.29,109.96,110.47,5722179
"2015-06-18",111.06,112.3,110.76,111.85,7222590
"2015-06-19",111.64,113.3,111.44,112.43,9255075
"2015-06-22",112.93,113.62,112.78,113.07,3190171
"2015-06-23",113.24,113.59,112.93,113.18,3075864
"2015-06-24",112.94,113.68,112.35,112.35,3716056
"2015-06-25",113.24,113.71,112.24,112.24,4467082
"2015-06-26",112.77,113.34,112.23,112.6,4208527
"2015-06-29",111.56,112.32,110.46,110.54,5187380
"2015-06-30",111.15,111.76,110.59,111.13,5938810
"2015-07-01",112.45,112.81,111.47,112.07,4216233
"2015-07-02",112.58,112.75,111.1,111.49,3845043
"2015-07-06",110.27,111.93,110.17,111.32,3864664
"2015-07-07",111.72,112.64,110.7,112.4,5515857
"2015-07-08",111.72,112.46,110.8,111,3794058
"2015-07-09",112.32,112.59,111.2,111.38,3643735
"2015-07-10",112.67,113.48,112.09,113.1,4631403
"2015-07-13",114.21,115.02,114.07,114.9,4171921
"2015-07-14",114.5,115.53,114.39,115.36,3688931
"2015-07-15",115.42,116.15,115.07,115.58,3365201
"2015-07-16",115.87,115.91,113.83,114.73,5234834
"2015-07-17",114.49,115,114,114.47,5497580
"2015-07-20",112.25,114.11,112.17,113.41,6107521
"2015-07-21",113.41,113.97,112.68,113.86,4660582
"2015-07-22",113.96,115.08,113.8,114.9,5485245
"2015-07-23",115.21,116.11,114.43,114.59,4308872
"2015-07-24",114.74,115.23,113.43,113.59,4427770
"2015-07-27",113.37,113.89,112.71,113.07,4468238
"2015-07-28",113.76,115.03,113.18,114.84,4176783
"2015-07-29",115.16,116.76,115.11,116.37,5104040
"2015-07-30",115.94,116.74,115.34,116.46,3291136
"2015-07-31",116.98,118.13,116.37,117.03,4301198
"2015-08-03",117.62,117.7,116.16,116.89,3645105
"2015-08-04",116.63,117.82,116.25,117.53,3008159
"2015-08-05",118.38,118.53,117.1,118,4299076
"2015-08-06",118.39,118.5,116.07,116.56,4768869
"2015-08-07",116.7,117.16,115.78,116.93,3986101
"2015-08-10",117.53,118.34,117.36,117.6,3408880
"2015-08-11",117.02,118.14,116.76,117.69,4080013
"2015-08-12",117.13,117.88,115.7,117.69,4620961
"2015-08-13",118,120.14,117.79,119.02,6255459
"2015-08-14",119.3,119.89,118.46,119.75,5135524
"2015-08-17",119.1,120.75,118.73,119.7,7255634
"2015-08-18",121.83,123.8,121.15,122.8,11021859
"2015-08-19",122.67,123.79,122.13,122.76,6490297
"2015-08-20",121.98,122.53,120.54,120.54,5551223
"2015-08-21",119.54,120.36,116.15,116.16,10171352
"2015-08-24",110.05,115.88,92.17,112.54,13652647
"2015-08-25",117,117,110.89,110.97,10203493
"2015-08-26",114.06,116.03,112.08,115.93,9308638
"2015-08-27",117.5,118.09,115.33,117.66,7245103
"2015-08-28",117.43,118.46,116.92,117.52,5005401
"2015-08-31",117.01,117.49,115.93,116.46,5435280
"2015-09-01",113.99,114.75,112.56,113.07,7385653
"2015-09-02",114.83,116.48,114.32,116.48,6478959
"2015-09-03",117.03,118.08,116.18,116.6,5290290
"2015-09-04",114.68,115.69,113.49,114.42,5737507
"2015-09-08",115.69,116.64,114.73,116.43,5761313
"2015-09-09",117.11,117.47,113.7,113.97,5263696
"2015-09-10",114,115.41,113.69,114.49,5252790
"2015-09-11",113.97,115.46,113.7,115.44,4470003
"2015-09-14",115.5,115.68,114.42,114.73,4247696
"2015-09-15",114.78,116.63,113.9,116.18,4990966
"2015-09-16",116.08,118.02,115.97,117.82,5282176
"2015-09-17",118.33,119.82,117.27,117.91,6510325
"2015-09-18",116.51,117.2,114.98,115.12,11341149
