"","HES.Open","HES.High","HES.Low","HES.Close","HES.Volume"
"2011-09-15",61.34,61.84,60.62,61.25,3186267
"2011-09-22",54.07,54.22,50.76,51.77,8615361
"2011-09-29",56.59,56.67,54.14,55.54,4374810
"2011-10-06",53.65,55.04,52.59,54.69,3553715
"2011-10-13",55.52,55.7,54,55.09,3344431
"2011-10-20",58.85,59.25,56.62,58.81,4013605
"2011-10-27",63.6,66.49,62.48,64.73,10641457
"2011-11-03",61.15,63.14,60.31,62.91,4123942
"2011-11-10",62.73,64.39,61.81,63.85,4450099
"2011-11-17",62.5,63.1,60,60.37,4676639
"2011-12-01",59.93,61.13,59.32,59.49,3244006
"2011-12-08",59.38,59.46,57.15,57.43,3229116
"2011-12-15",54.82,55.2,54.05,54.69,3635897
"2011-12-22",56.11,56.87,56.05,56.65,2231688
"2011-12-29",56.01,56.62,55.84,56.47,1641700
"2012-01-05",58.45,58.66,57.37,57.6,6649511
"2012-01-12",58,58.56,56.99,57.01,4896011
"2012-01-19",59.97,61.48,59.56,61.19,5959629
"2012-01-26",58.13,58.33,54.76,54.99,9591051
"2012-02-02",56.89,58.05,56.53,57.81,5330353
"2012-02-09",60.75,63.45,60.73,63.25,8076808
"2012-02-16",64.07,65.07,63.66,64.88,4377977
"2012-02-23",65.31,66.39,64.59,66.38,3515827
"2012-03-01",65.35,66.83,65.33,66.16,4169939
"2012-03-08",64.79,65.15,63.37,64.56,3450436
"2012-03-15",61.85,62.65,61.27,61.49,4143534
"2012-03-22",60.65,60.78,58.79,59.22,4991097
"2012-03-29",58.07,58.64,57.35,58.43,3832682
"2012-04-05",57.85,59.05,57.54,57.87,3337065
"2012-04-12",55.63,56.93,55.55,56.66,3375961
"2012-04-19",55.28,56,54.93,55.25,2484966
"2012-04-26",50.78,53.19,50.71,51.75,11648308
"2012-05-03",53.54,53.99,52.1,52.4,5156791
"2012-05-10",49.35,49.86,48.39,48.55,4854236
"2012-05-17",44.36,45.8,44.36,45.15,6940528
"2012-05-24",46.68,46.74,45.8,46.51,4487734
"2012-05-31",45.49,45.61,43.31,43.7,9578388
"2012-06-07",45.88,46.48,44.65,44.76,3826080
"2012-06-14",43.15,44.03,42.81,43.95,4525404
"2012-06-21",44.19,44.19,40.91,40.97,8201306
"2012-06-28",40.59,41.3,40.28,41.12,6165560
"2012-07-05",45.03,45.03,44,44.29,4621535
"2012-07-12",43.01,43.04,42.15,42.6,3648955
"2012-07-19",45.33,45.46,44.54,44.99,4553001
"2012-07-26",46.65,47.69,46.43,47.56,6841168
"2012-08-02",47.01,47.82,46,46.52,3737044
"2012-08-09",50,50,49.35,49.59,3883186
"2012-08-16",49.16,50.23,49.16,50.01,3031987
"2012-08-23",50.4,50.53,49.76,49.78,2103939
"2012-08-30",50.29,50.33,49.64,49.68,1863490
"2012-09-06",49.93,51.4,49.92,50.82,3362127
"2012-09-13",54.86,56.24,54.08,55.6,4310632
"2012-09-20",54.82,55.5,54.25,55.44,2690069
"2012-09-27",52.82,53.95,52.57,53.77,2594820
"2012-10-04",52.84,54.1,52.73,53.98,2670400
"2012-10-11",53.21,54.17,53.1,53.33,2459402
"2012-10-18",55.39,55.72,54.84,55.32,2358050
"2012-10-25",53.27,53.94,52.54,53.9,3739853
"2012-11-01",52.21,53.18,52.11,52.65,3444707
"2012-11-08",53.01,53.47,52.18,52.2,3730641
"2012-11-15",49.48,49.85,48.38,48.89,6027874
"2012-11-29",50.21,50.65,50.2,50.5,3132628
"2012-12-06",49.31,49.47,48.3,49.11,3288307
"2012-12-13",51.84,52.55,51.25,51.84,3943125
"2012-12-20",53.04,53.54,53.04,53.46,2098144
"2012-12-27",52.29,52.62,51.77,52.45,3198118
"2013-01-03",53.6,54.7,53.32,54.2,3888377
"2013-01-10",56.41,56.71,55.89,56.61,3791189
"2013-01-17",57.19,57.6,56.65,57.3,2707516
"2013-01-24",57.84,58.68,57.8,58.44,2996288
"2013-01-31",65.72,67.79,64.61,67.16,6979974
"2013-02-07",66.5,66.84,65.98,66.57,2638169
"2013-02-14",67.76,68.96,67.53,68.35,3537045
"2013-02-21",65.72,65.93,63.9,64.4,6312694
"2013-02-28",65.71,67.23,65.45,66.5,3400226
"2013-03-07",69.88,69.92,68.8,69.04,2952587
"2013-03-14",71.67,72.12,71.35,71.97,3213737
"2013-03-21",69.42,70.36,69.24,69.27,2338020
"2013-03-28",72,72.5,71.13,71.61,2692159
"2013-04-04",72.1,72.24,70.65,71.79,2784647
"2013-04-11",73.12,73.28,71.99,72.66,1599197
"2013-04-18",66.96,67.54,66.11,67.02,2991575
"2013-04-25",70.27,72.26,70.06,71.16,3177439
"2013-05-02",71.9,72.41,71.02,72.21,2234876
"2013-05-09",71.86,71.98,70.7,70.96,2596303
"2013-05-16",70.95,70.95,68,69.11,11770467
"2013-05-23",67.55,68.24,66.75,68.04,3071873
"2013-05-30",68.26,69.16,67.87,68.74,2587887
"2013-06-06",66.7,67.99,66.27,67.99,2244211
"2013-06-13",66.67,67.11,66,66.85,3234106
"2013-06-20",65.26,65.66,64.04,64.28,3409072
"2013-06-27",66.26,67.5,66.21,67.05,3392973
"2013-07-11",69.94,71.08,69.83,70.96,4170528
"2013-07-18",71.41,72.39,71.34,72.16,2654735
"2013-07-25",72.23,73.63,72.23,73.54,2104275
"2013-08-01",75.38,76.34,74.78,76.04,3595375
"2013-08-08",74.33,74.83,73.42,74.36,1894022
"2013-08-15",74.66,75.3,74.34,75.23,2677407
"2013-08-22",73.43,74.92,73.43,74.51,1754455
"2013-08-29",76.09,76.15,75.17,75.82,1922968
"2013-09-05",76.28,77.04,76.19,76.53,2543348
"2013-09-12",77.7,78.25,77.12,77.25,3026671
"2013-09-19",79.45,80.35,79.45,79.64,2622199
"2013-09-26",79.06,79.35,78.1,78.79,1328585
"2013-10-03",79.94,81.12,79.54,79.89,3755559
"2013-10-10",81.04,81.23,79.53,80.79,3704111
"2013-10-17",81.37,82.59,81.37,82.39,2791001
"2013-10-24",82.28,83.33,81.74,83.09,1889527
"2013-10-31",80.83,81.94,79.98,81.2,3306715
"2013-11-07",81.03,81.39,78.68,78.78,3303326
"2013-11-14",80.76,81.8,80.49,81.7,2215896
"2013-11-21",81.45,82.48,81.15,82.33,1915794
"2013-12-05",81.83,82.38,81.4,81.47,2106644
"2013-12-12",78.93,79.43,77.88,78.56,2650006
"2013-12-19",80.46,81.08,80.14,80.54,2118172
"2013-12-26",81.28,82.85,81.16,82.6,1548590
"2014-01-02",82.95,83,80.68,81.12,2755967
"2014-01-09",81.87,82.16,80.86,81.34,2864205
"2014-01-16",77.74,78.03,77.17,77.72,3237933
"2014-01-23",77.77,78.06,76.96,77.4,1832907
"2014-01-30",76.64,77.24,76.02,76.53,3004571
"2014-02-06",75.03,76.45,74.85,76.31,2082226
"2014-02-13",77.59,79.37,77.36,78.67,2337597
"2014-02-20",80.77,81.95,80.5,81.61,3536887
"2014-02-27",79.3,79.66,79.02,79.5,2803260
"2014-03-06",80.9,81.54,80.74,81.44,1997621
"2014-03-13",80.65,81.06,79.66,79.85,2057412
"2014-03-20",80.41,81.33,79.92,81.18,1519335
"2014-03-27",81.55,82.49,81.29,82,1539768
"2014-04-03",84.94,85.97,84.69,85.63,2912725
"2014-04-10",85.09,85.67,83.96,84.02,3325483
"2014-04-17",86.45,87.31,85.82,87.27,4177382
"2014-04-24",88.63,88.99,87.91,88.31,1775905
"2014-05-01",89.01,89.49,88.44,88.9,1911321
"2014-05-08",88.58,89.12,87.82,88.21,2360496
"2014-05-15",88.6,88.73,87.21,88.19,1828340
"2014-05-22",91.41,91.92,90.28,90.29,4322666
"2014-05-29",90,90.79,89.71,90.59,2933348
"2014-06-05",92.17,92.56,91.91,92.2,1975772
"2014-06-12",95.34,96.73,95.2,95.48,2292333
"2014-06-19",95.95,97.34,95.95,97.34,1878688
"2014-06-26",98.09,98.32,96.75,97.59,1591619
"2014-07-03",99.52,100.11,99.32,99.93,1500683
"2014-07-10",98.35,98.8,97.57,98.5,3000933
"2014-07-17",98.76,100.22,98.38,98.45,2513812
"2014-07-24",100.05,100.98,99.86,100.74,1505492
"2014-07-31",100.39,100.5,98.49,98.98,3682396
"2014-08-07",99.17,99.57,97.55,97.84,2224386
"2014-08-14",99.2,99.45,97.29,97.53,2454672
"2014-08-21",99.52,100.29,99.23,100.07,1478351
"2014-08-28",99.97,100.41,99.62,100.19,948992
"2014-09-04",100.56,101.78,99.5,100.15,2419978
"2014-09-11",98.2,99.08,97.71,98.84,1689176
"2014-09-18",99.45,99.45,97.53,97.73,2278547
"2014-09-25",96,96.2,94.99,95.18,1980022
"2014-10-02",91.03,91.93,89.6,91.32,3337754
"2014-10-09",87.25,87.89,84.45,84.6,3441014
"2014-10-16",74.59,78.84,74.22,78.04,5961971
"2014-10-23",81.58,82.9,80.96,82.22,3208780
"2014-10-30",82.36,83.7,81.66,83.14,3202811
"2014-11-06",83.09,84.04,81.94,83.71,3712907
"2014-11-13",82.23,82.76,79.92,81.1,4298406
"2014-11-20",82.44,83.62,82.41,83.59,2764798
"2014-12-04",76.03,76.37,75.18,76.29,4136609
"2014-12-11",68.53,69.9,67.56,67.86,4904529
"2014-12-18",71.31,71.52,68.64,70.55,4934722
"2015-01-08",70.21,71.55,69.6,71.38,3350083
"2015-01-15",70.24,70.74,67.77,67.92,5392460
"2015-01-22",71.81,72.15,70.56,72.07,3192537
"2015-01-29",66.6,67.3,63.81,65.7,5022858
"2015-02-05",72.75,73.93,72.17,73.17,4893510
"2015-02-12",73.76,74.87,73.42,74.71,3718624
"2015-02-19",74.54,76.97,74.11,76.48,4111342
"2015-02-26",75.93,76.34,74.69,75.43,2704813
"2015-03-05",74.38,74.56,73.5,73.5,2630678
"2015-03-12",70.06,70.2,68.71,68.77,2240423
"2015-03-19",68.35,68.69,67.27,67.4,3200714
"2015-03-26",69.96,70.39,68.74,68.9,2730702
"2015-04-02",68.89,69.88,68.27,69.2,2362026
"2015-04-09",71.86,72.89,71.86,72.38,2621092
"2015-04-16",77.66,78.53,77.03,78.02,2693182
"2015-04-23",75.75,76.57,75.7,75.8,1674110
"2015-04-30",78.39,78.87,76.6,76.9,2924326
"2015-05-07",74.2,74.4,72.74,73.46,2920238
"2015-05-14",70.35,70.89,69.24,69.41,1930616
"2015-05-21",70.12,70.4,69.38,69.94,2781638
"2015-05-28",67.02,67.5,66.42,67.29,2055943
"2015-06-04",66.3,66.64,66.01,66.17,2082934
"2015-06-11",69.51,69.9,68.65,68.83,6065679
"2015-06-18",69.78,70.23,69.09,69.31,1850967
"2015-06-25",69.21,69.44,67.98,68.03,1988504
"2015-07-02",65.56,66.2,65.44,65.71,2040904
"2015-07-09",65.62,65.65,64.53,64.65,2103564
"2015-07-16",63.28,63.8,62.61,62.68,2782310
"2015-07-23",58.96,59.49,58.35,59.28,2333088
"2015-07-30",60.04,60.78,59.68,60.33,2984065
"2015-08-06",55.58,56.9,54.65,56.81,3819160
"2015-08-13",59.11,59.55,58.45,58.79,3258419
"2015-08-20",56.53,57.24,55.7,55.74,2633138
"2015-08-27",52.57,56.06,52.36,55.76,4413849
"2015-09-03",58,59.28,56.63,57.4,3288227
"2015-09-10",55.14,55.6,53.64,54.1,3938541
"2015-09-17",54.49,56.04,53.81,54.6,2807574
"2015-09-24",49.86,50.4,49.31,50.05,3655247
"2015-10-01",50.81,51.56,50.02,50.75,3373988
"2015-10-08",59.95,63.16,59.84,62.57,5269194
"2015-10-15",60.15,61.55,59.6,61.42,1660332
"2015-10-22",59.75,61.18,59.59,61.13,2714549
"2015-10-29",57.05,58.61,56.07,56.14,4195706
"2015-11-05",60.53,64.08,60.21,62.19,7523658
"2015-11-12",60.01,60.96,59.45,59.72,2728962
"2015-11-19",60.78,61.16,59.32,60.1,2054678
"2015-12-03",57.15,57.99,55.36,55.56,5252150
"2015-12-10",51.62,53.11,51.1,52.48,3718683
"2015-12-17",51.04,51.18,48.47,49.2,4490025
"2015-12-24",51.11,51.26,49.83,50.57,1147139
"2015-12-31",47.74,48.9,47.71,48.48,2394736
"2016-01-07",44,45.51,43.49,43.62,4562906
"2016-01-14",38.88,40.54,38.47,39.96,7957166
"2016-01-21",35.07,37.95,35,37.62,7467959
"2016-01-28",40.59,41.99,39.05,40.34,9889021
"2016-02-04",43.38,45.16,42.53,43.47,9987664
"2016-02-11",38.44,39.41,36.95,38.93,9689650
"2016-02-18",44,44.2,41.49,42.07,7996519
"2016-02-25",41.66,42.37,39.95,41.58,4256443
"2016-03-03",46.6,48.24,46.25,48,5752531
"2016-03-10",47.15,48.36,45.99,48.27,5524583
"2016-03-17",52.29,54.18,51.94,53.19,5926056
"2016-03-24",50.18,52.27,49.7,52.1,4212271
"2016-03-31",50.73,52.96,50.52,52.65,4263179
"2016-04-07",53.47,54.27,52,52.9,3579566
"2016-04-14",56.73,57.88,56.46,57.72,3856404
"2016-04-21",61.37,61.8,59.96,60.18,4891476
"2016-04-28",60.44,61.45,59.1,59.18,7033292
"2016-05-05",57.21,57.67,55.35,55.88,3626006
"2016-05-12",59.2,60.3,57.47,58.14,3713029
"2016-05-19",57.01,57.54,55.54,57.26,3838318
"2016-05-26",61.51,62,60.4,60.44,3399556
"2016-06-02",58.24,59.23,57.8,59.23,2451183
"2016-06-09",60.72,61.73,60.35,60.38,2304424
"2016-06-16",56.39,56.46,54.42,56.1,4120484
"2016-06-23",58.73,59.79,58.33,59.77,2501445
"2016-06-30",59.42,60.38,58.81,60.1,11904680
"2016-07-07",57.73,58.68,55.85,56.48,4218113
"2016-07-14",59.09,59.43,57.98,58.01,2839539
"2016-07-21",56.28,56.93,54.72,54.91,1965645
"2016-07-28",51.5,53,51.28,52.17,5308092
"2016-08-04",53.28,55.14,53.11,53.87,5349856
"2016-08-11",55.23,57.28,54.98,56.54,3961257
"2016-08-18",56.94,57.88,56.87,57.62,3320086
"2016-08-25",56.31,57.35,55.87,56.81,3464337
"2016-09-01",53.75,54.22,52.76,53.31,3776731
"2016-09-08",51.39,52.76,51.08,52.55,5192047
"2016-09-15",46.91,47.27,46.34,46.65,5615343
