"","HLT.Open","HLT.High","HLT.Low","HLT.Close","HLT.Volume"
"2013-12-12",191.7,197.28,191.25,193.5,7905523
"2013-12-19",195.75,201.69,193.95,200.52,335002
"2013-12-26",194.04,197.64,193.95,195.3,298513
"2014-01-02",200.25,201.15,195.93,196.74,402147
"2014-01-09",198,198.18,195.39,196.83,104805
"2014-01-16",197.1,198.27,195.21,197.64,257648
"2014-01-23",201.87,203.94,198.9,203.94,213436
"2014-01-30",195.84,196.38,194.4,194.94,118622
"2014-02-06",187.56,190.8,187.38,190.8,67052
"2014-02-13",196.02,198.18,194.85,197.55,125766
"2014-02-20",193.5,195.03,191.79,193.41,137281
"2014-02-27",201.69,205.74,196.2,202.41,498871
"2014-03-06",204.93,205.74,201.6,202.32,155584
"2014-03-13",200.07,201.87,197.64,198.45,226332
"2014-03-20",200.25,201.78,198.99,199.53,148819
"2014-03-27",200.79,202.64,199.53,200.07,152937
"2014-04-03",202.5,203.22,198.18,198.18,218734
"2014-04-10",193.23,194.13,189.36,190.62,120383
"2014-04-17",193.86,196.74,191.7,195.93,183577
"2014-04-24",194.04,195.03,193.14,193.5,68928
"2014-05-01",196.11,199.17,193.05,198.72,159724
"2014-05-08",204.84,205.74,203.04,203.76,276614
"2014-05-15",203.4,203.4,194.94,197.1,415277
"2014-05-22",196.56,198.45,196.56,197.91,228548
"2014-05-29",198.54,199.8,196.88,199.62,167109
"2014-06-05",204.93,207.45,203.4,207.18,200404
"2014-06-12",203.31,205.47,201.78,202.32,414015
"2014-06-19",201.42,203.22,200.7,200.97,296227
"2014-06-26",206.37,207.18,205.11,205.74,1726617
"2014-07-03",214.74,223.2,214.74,223.2,1249919
"2014-07-10",218.61,222.48,218.43,220.68,426061
"2014-07-17",219.87,222.26,216,216.63,727800
"2014-07-24",229.5,232.38,227.16,227.61,762856
"2014-07-31",219.78,221.31,216.09,217.89,619824
"2014-08-07",212.67,215.68,212.31,213.12,510561
"2014-08-14",221.04,222.66,220.41,222.57,210722
"2014-08-21",228.6,230.76,228.33,229.86,278149
"2014-08-28",230.49,231.84,228.92,230.94,312140
"2014-09-04",228.42,231.12,225.72,228.06,363295
"2014-09-11",223.2,226.8,221.94,223.56,751549
"2014-09-18",225.36,226.62,222.21,222.57,403330
"2014-09-25",222.03,222.12,219.51,220.5,501057
"2014-10-02",216,217.12,213.03,215.82,487075
"2014-10-09",216.54,217.08,210.06,210.33,509479
"2014-10-16",191.25,201.15,190.26,196.74,1223360
"2014-10-23",219.24,220.1,214.78,216.36,306700
"2014-10-30",219.42,226.89,218.7,225.09,478771
"2014-11-06",225.36,226.8,224.37,225.45,880367
"2014-11-13",228.6,229.68,224.46,228.33,655796
"2014-11-20",229.23,230.04,225.99,229.05,553333
"2014-12-04",233.1,235.98,231.75,234,1026798
"2014-12-11",235.26,238.77,235.17,236.34,362803
"2014-12-18",230.67,232.92,228.69,232.83,535128
"2015-01-08",229.41,234.18,228.69,233.73,478452
"2015-01-15",233.73,234,230.04,230.4,264034
"2015-01-22",234,241.56,232.83,240.66,609669
"2015-01-29",237.6,238.86,235.17,237.42,616323
"2015-02-05",236.79,241.83,236.79,241.83,270636
"2015-02-12",255.33,257.67,252.99,255.96,926751
"2015-02-19",256.86,258.21,255.15,255.15,577053
"2015-02-26",251.64,252.36,248.58,252.09,676010
"2015-03-05",260.73,263.97,260.46,261.27,441157
"2015-03-12",253.98,259.3,253.98,254.79,527730
"2015-03-19",262.71,265.59,262.44,265.14,386166
"2015-03-26",256.95,264.42,256.05,262.62,1129659
"2015-04-02",263.97,267.39,263.7,264.24,789176
"2015-04-09",273.78,280.8,271.39,279.9,957131
"2015-04-16",271.8,273.87,267.84,268.74,449145
"2015-04-23",270.18,274.14,269.37,272.79,323469
"2015-04-30",267.21,267.57,257.67,260.64,882392
"2015-05-07",261.9,266.04,261.63,265.32,349027
"2015-05-14",264.78,267.8,262.89,265.5,1423215
"2015-05-21",266.67,266.67,263.25,263.52,2261167
"2015-05-28",263.97,265.32,261.54,264.69,705744
"2015-06-04",261.54,265.59,261.18,263.43,578296
"2015-06-11",259.38,260.46,257.76,259.2,864418
"2015-06-18",252.09,258.03,252.09,255.24,4215065
"2015-06-25",252.63,254.16,250.92,251.91,986578
"2015-07-02",252.09,252.81,248.49,250.02,376083
"2015-07-09",247.59,249.84,245.25,245.52,639572
"2015-07-16",255.87,256.41,253.8,254.25,632191
"2015-07-23",251.73,251.93,240.93,243.45,1629063
"2015-07-30",248.22,249.03,238.68,238.86,1726455
"2015-08-06",231.57,231.57,226.48,231.21,1738380
"2015-08-13",232.74,233.78,230.22,232.56,617003
"2015-08-20",228.15,229.41,224.1,224.64,741380
"2015-08-27",221.58,225.18,218.52,223.92,996547
"2015-09-03",220.14,225.54,219.69,222.48,641016
"2015-09-10",228.6,231.21,226.44,229.14,889935
"2015-09-17",229.23,233.1,228.42,228.78,496144
